disagreement_id,record_id,cohort,title,field,field_type,coder_x_label,coder_y_label,evidence_status,evidence_location_lead,evidence_excerpt_lead,evidence_summary,codebook_rule,human_final_label,brief_reason,evidence_location_verified,unresolved,reviewer_initials,review_date,row_status
C15__capability,C15,released_67,What makes a good LLM agent for real-world penetration testing?,cross-stage capability,multi-label,context aggregation / rule extraction;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,source-linked lead,"https://arxiv.org/abs/2602.17622 | Paper pp. 1–6 (failure analysis), pp. 6–9 (PentestGPTV2 design), and pp. 9–13 (evaluation, strategy case study and deployment). | excerpt pages 1, 2","[p.1] A Task Difficulty Assessment (TDA) mechanism ad- dresses Type B failures by estimating tractability through four measurable dimensions (horizon estimation, evidence confi- dence, context load, and historical success) and uses these estimates to guide exploration-exploitation decisions within an Evidence-Guided Attack Tree Search (EGATS) frame- work. [p.2] We present a system addressing both failure types: a Tool and Skill Layer for Type A failures, and Task Difficulty Assessment integrated into Evidence- Guided Attack Tree Search for Type B failures. • Evaluation across three benchmarks(§5).",A source-linked excerpt and locator are supplied as review leads; the cited source and locator should be retained for auditability.,Require an explicit cross-stage connection. Information must guide later action; feedback must alter later action; packaging must assemble prior outputs; governance must enforce an actual gate.,context aggregation / rule extraction;tool routing / strategy routing;long-horizon state management,"The cited source supports the selected label context aggregation / rule extraction;tool routing / strategy routing;long-horizon state management; each retained label requires an explicit connection that guides later action, feedback, packaging, or a gate.","https://arxiv.org/abs/2602.17622 | Paper pp. 1–6 (failure analysis), pp. 6–9 (PentestGPTV2 design), and pp. 9–13 (evaluation, strategy case study and deployment). | excerpt pages 1, 2",no,,2026-08-12,ready
C15__external_traceability,C15,released_67,What makes a good LLM agent for real-world penetration testing?,external traceability,single-label,no external trace reported,benchmark ground truth / public material,source-linked lead,"https://arxiv.org/abs/2602.17622 | Paper pp. 1–6 (failure analysis), pp. 6–9 (PentestGPTV2 design), and pp. 9–13 (evaluation, strategy case study and deployment). | excerpt pages 13, 7","[p.13] This provides a direct test of real-world viability: unlike retired benchmark machines, Season machines incor- porate recent CVEs and novel attack chains with no public walkthroughs. [p.7] The knowl- edge base contains only generic attack techniques from public security resources (MITRE ATT&CK, OWASP, tool docu- mentation); it excludes CTF writeups, HTB walkthroughs, or benchmark-specific solutions to prevent data leakage in evaluation.",A source-linked excerpt and locator are supplied as review leads; the cited source and locator should be retained for auditability.,Code separately from principal output. Only item-level alignment between a concrete system result and a specific public external record qualifies as publicly aligned external trace.,no external trace reported,The cited source supports the selected label no external trace reported under the codebook's item-level public-record alignment criterion.,"https://arxiv.org/abs/2602.17622 | Paper pp. 1–6 (failure analysis), pp. 6–9 (PentestGPTV2 design), and pp. 9–13 (evaluation, strategy case study and deployment). | excerpt pages 13, 7",no,,2026-08-12,ready
C16__lifecycle,C16,released_67,Taint-style vulnerability detection and confirmation for node.js packages using LLM agent reasoning,lifecycle coverage,multi-label,candidate analysis;execution observation;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,source-linked lead,"https://arxiv.org/abs/2604.20179 | Paper pp. 1–5 (Abstract and pipeline), pp. 5–8 (system and PoC validation), pp. 8–12 (evaluation), and pp. 10–13 (new-package results/limitations). | excerpt pages 5","[p.5] Taint-Style Vulnerability Detection and Confirmation for Node.js Packages Using LLM Agent Reasoning <package>@<version> Finder Environment Setup Judge Judge Judge Constraints Constraints Inferencer Testing Oracles Exploit Exploiter Rule-based Program LLM Agent Per-ﬁnding validation Iterative exploit attempts LLM Agents { ""vuln_type"": ""prototype_pollution"", ""location"": { ""ﬁle"": ""utils.js"", ""line"": 34 }, ""description"": ""User input is merged into an object without ﬁltering special keys, allowing prototype pollution."", ""evidence"": ""Object.assign({}, defaults, userInput)"" } { ""vuln_type"": ""path_traversal"", ""location"": { ""ﬁle"": ""server.js"", ""line"": 87 }, ""description"": ""User-controlled path is joi",A source-linked excerpt and locator are supplied as review leads; the cited source and locator should be retained for auditability.,"Mark only observable lifecycle actions or outputs. Reporting and audit requires explicit packaging, routing, disclosure, or audit transition; a report name alone is insufficient.",candidate analysis;execution observation;reproduction and validation,The cited source supports the selected label candidate analysis;execution observation;reproduction and validation; only observable workflow actions or outputs were retained.,"https://arxiv.org/abs/2604.20179 | Paper pp. 1–5 (Abstract and pipeline), pp. 5–8 (system and PoC validation), pp. 8–12 (evaluation), and pp. 10–13 (new-package results/limitations). | excerpt pages 5",no,,2026-08-12,ready
C16__capability,C16,released_67,Taint-style vulnerability detection and confirmation for node.js packages using LLM agent reasoning,cross-stage capability,multi-label,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,source-linked lead,"https://arxiv.org/abs/2604.20179 | Paper pp. 1–5 (Abstract and pipeline), pp. 5–8 (system and PoC validation), pp. 8–12 (evaluation), and pp. 10–13 (new-package results/limitations). | excerpt pages 1","[p.1] Third, these tools rely on external JavaScript analysis infrastructure, such as parsers [2], transpilers [1], and instrumentation tools [44]. [p.1] For packages from public benchmarks, LLMVD.js confirms 84% of the vulnerabilities, compared to less than 22% for prior program analysis tools.",A source-linked excerpt and locator are supplied as review leads; the cited source and locator should be retained for auditability.,Require an explicit cross-stage connection. Information must guide later action; feedback must alter later action; packaging must assemble prior outputs; governance must enforce an actual gate.,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,"The cited source supports the selected label context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging; each retained label requires an explicit connection that guides later action, feedback, packaging, or a gate.","https://arxiv.org/abs/2604.20179 | Paper pp. 1–5 (Abstract and pipeline), pp. 5–8 (system and PoC validation), pp. 8–12 (evaluation), and pp. 10–13 (new-package results/limitations). | excerpt pages 1",no,,2026-08-12,ready
C16__external_traceability,C16,released_67,Taint-style vulnerability detection and confirmation for node.js packages using LLM agent reasoning,external traceability,single-label,no external trace reported,author-reported external clue,source-linked lead,"https://arxiv.org/abs/2604.20179 | Paper pp. 1–5 (Abstract and pipeline), pp. 5–8 (system and PoC validation), pp. 8–12 (evaluation), and pp. 10–13 (new-package results/limitations). | excerpt pages 2","[p.2] Ronghao Ni, Mihai Christodorescu, and Limin Jia • A systematic evaluation of a multi-stage ReAct-style LLM agent framework for taint-style vulnerability detection and confirmation in Node.js packages, with direct com- parison against state-of-the-art program-analysis tools and a program-analysis–aided LLM approach. • A multi-dataset evaluation setup for LLM-agent vulnerabil- ity research: combining standard public benchmarks, trans- formed benchmark variants for memorization robustness checks, a private real-world dataset without CVEs/public exploits, and recently released npm packages to assess gen- eralizability under realistic settings. •LLMVD.js identified 36 previously undocumented vuln",A source-linked excerpt and locator are supplied as review leads; the cited source and locator should be retained for auditability.,Code separately from principal output. Only item-level alignment between a concrete system result and a specific public external record qualifies as publicly aligned external trace.,no external trace reported,The cited source supports the selected label no external trace reported under the codebook's item-level public-record alignment criterion.,"https://arxiv.org/abs/2604.20179 | Paper pp. 1–5 (Abstract and pipeline), pp. 5–8 (system and PoC validation), pp. 8–12 (evaluation), and pp. 10–13 (new-package results/limitations). | excerpt pages 2",no,,2026-08-12,ready
C17__lifecycle,C17,released_67,Synthesizing multi-agent harnesses for vulnerability discovery,lifecycle coverage,multi-label,execution observation;path and input exploration;reporting and audit;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,source-linked lead,"https://arxiv.org/abs/2604.20801 | Paper pp. 1–3 (Abstract and motivating harness), pp. 5–9 (typed DSL and outer loop), and pp. 9–12 (evaluation, Table 2 and vendor-confirmed CVEs). | excerpt pages 10, 1","[p.10] Benchmarks.TerminalBench-2 is the public agent-harness leader- board: a fixed pool of89long-horizon terminal tasks (code transla- tion, machine-learning pipeline reconstruction, distributed-systems setup, cryptanalysis, memory-corruption analysis, vulnerability re- mediation, secret recovery), each graded by a hidden test suite under a fixed wall-clock budget, with a public ranking of complete systems (harness plus model) on each LLM model. [p.1] In the simplest deployment, a single language model operates as asecurity agent: the operator hands it atarget program(the software under analysis, e.g.libtiff, OpenSSL,curl), gives it asystem promptthat states its goal in natural language (“find a memory-safety vulnerability in the TIFF parsing module”), and exposes a set oftools: concrete actions the model may invoke at each step (read source files, compile the target with instrumentation, execute the binary, inspect output).",A source-linked excerpt and locator are supplied as review leads; the cited source and locator should be retained for auditability.,"Mark only observable lifecycle actions or outputs. Reporting and audit requires explicit packaging, routing, disclosure, or audit transition; a report name alone is insufficient.",path and input exploration;execution observation;reproduction and validation;reporting and audit,The cited source supports the selected label path and input exploration;execution observation;reproduction and validation;reporting and audit; only observable workflow actions or outputs were retained.,"https://arxiv.org/abs/2604.20801 | Paper pp. 1–3 (Abstract and motivating harness), pp. 5–9 (typed DSL and outer loop), and pp. 9–12 (evaluation, Table 2 and vendor-confirmed CVEs). | excerpt pages 10, 1",no,,2026-08-12,ready
C17__capability,C17,released_67,Synthesizing multi-agent harnesses for vulnerability discovery,cross-stage capability,multi-label,failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,source-linked lead,"https://arxiv.org/abs/2604.20801 | Paper pp. 1–3 (Abstract and motivating harness), pp. 5–9 (typed DSL and outer loop), and pp. 9–12 (evaluation, Table 2 and vendor-confirmed CVEs). | excerpt pages 11, 1","[p.11] Meta- Harness [25] rewrites a single agent’s prompts, tool bindings, and context-building code through a free-form Claude Code session, so the lone agentspecificationis partially mutated each iteration (Σ, Φ, and the prompt-level slice of A), but the team cardinality stays at |A |=1: no edit introduces a second agent role or any inter-agent coordination, so any failure mode that needs more than one role is structurally out of reach. [p.1] First, real security targets produce voluminous output: a single instrumented Chrome build emits megabytes of sanitizer and coverage data per run, quickly exhausting even frontier-scale context windows (on the order of200K tokens).",A source-linked excerpt and locator are supplied as review leads; the cited source and locator should be retained for auditability.,Require an explicit cross-stage connection. Information must guide later action; feedback must alter later action; packaging must assemble prior outputs; governance must enforce an actual gate.,tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,"The cited source supports the selected label tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update; each retained label requires an explicit connection that guides later action, feedback, packaging, or a gate.","https://arxiv.org/abs/2604.20801 | Paper pp. 1–3 (Abstract and motivating harness), pp. 5–9 (typed DSL and outer loop), and pp. 9–12 (evaluation, Table 2 and vendor-confirmed CVEs). | excerpt pages 11, 1",no,,2026-08-12,ready
C17__primary_shape,C17,released_67,Synthesizing multi-agent harnesses for vulnerability discovery,primary system shape,single-label,"reproduction-, validation-, and repair-centered agent",long-horizon pentest and CRS agent,source-linked lead,"https://arxiv.org/abs/2604.20801 | Paper pp. 1–3 (Abstract and motivating harness), pp. 5–9 (typed DSL and outer loop), and pp. 9–12 (evaluation, Table 2 and vendor-confirmed CVEs). | excerpt pages 7","[p.7] Output: discovered vulnerabilities with proof- of-concept (PoC) exploit inputs. [p.7] Synthesizing Multi-Agent Harnesses for Vulnerability Discovery Target Software Chrome $ _ Terminal- Bench-2 libheif Harness DSL ⟨ A,G,Σ,Φ,Ψ⟩ AgentFlow ♂lightbulbPropose♂playExecute & Observe /char◎-barScore/stethoscopeDiagnose Harness optimize Output BUG Vulnerability PoC Exploit Figure 4: High-level overview of theAgentFlowoptimiza- tion loop (Algorithm 1).",A source-linked excerpt and locator are supplied as review leads; the cited source and locator should be retained for auditability.,Choose the dominant locus and objective of agent control in the main evaluated contribution. Use the evaluation task and primary metrics to resolve ties; do not infer from agent count or system name.,"reproduction-, validation-, and repair-centered agent","The cited source supports the selected label reproduction-, validation-, and repair-centered agent as the dominant evaluated locus and objective of agent control.","https://arxiv.org/abs/2604.20801 | Paper pp. 1–3 (Abstract and motivating harness), pp. 5–9 (typed DSL and outer loop), and pp. 9–12 (evaluation, Table 2 and vendor-confirmed CVEs). | excerpt pages 7",no,,2026-08-12,ready
C17__principal_evidence,C17,released_67,Synthesizing multi-agent harnesses for vulnerability discovery,principal reported evidence output,single-label,reproducible validation,externally traceable material,source-linked lead,"https://arxiv.org/abs/2604.20801 | Paper pp. 1–3 (Abstract and motivating harness), pp. 5–9 (typed DSL and outer loop), and pp. 9–12 (evaluation, Table 2 and vendor-confirmed CVEs). | excerpt pages 3","[p.3] The harness has produced a small, reproducible HEIF file that triggers the heap-buffer-overflow found in CVE-2020-23109. [p.3] Synthesizing Multi-Agent Harnesses for Vulnerability Discovery Input // heif_colorconv.cc voidconvert_colsp( Image* in, out) { intw = in->width; if(in_a && out_a) memcpy(dst, src,w*2); } libheif AgentFlow Propose Execute & Observe Score Diagnose Iter 1 Harness𝐻0 agent libheif stderr file rejected by parser ×fail format not satisfied Iter 2 Harness𝐻1 analyzer crafter libheif coverage no crash, exit 0 ×fail vuln. branch not reached Iter 3 Harness𝐻2 analyzer crafter verifier libheif coverage ASan retry heap-buffer-overflow ✓CVE triggered PoC constructed 0100110110110010 0110010101001000 0010101011010110 Output 0100110110110010 0110010101001000 0010101011010110 1100101101110100 10010110001110",A source-linked excerpt and locator are supplied as review leads; the cited source and locator should be retained for auditability.,Select the observable result most directly supporting the main finding. Benchmark ground truth or aggregate CVE counts do not automatically establish externally traceable material.,reproducible validation,The cited source supports the selected label reproducible validation as the main observable result reported for the study.,"https://arxiv.org/abs/2604.20801 | Paper pp. 1–3 (Abstract and motivating harness), pp. 5–9 (typed DSL and outer loop), and pp. 9–12 (evaluation, Table 2 and vendor-confirmed CVEs). | excerpt pages 3",no,,2026-08-12,ready
C17__external_traceability,C17,released_67,Synthesizing multi-agent harnesses for vulnerability discovery,external traceability,single-label,no external trace reported,publicly aligned external trace,source-linked lead,"https://arxiv.org/abs/2604.20801 | Paper pp. 1–3 (Abstract and motivating harness), pp. 5–9 (typed DSL and outer loop), and pp. 9–12 (evaluation, Table 2 and vendor-confirmed CVEs). | excerpt pages 2, 11","[p.2] On theGoogle Chromecodebase (over 35 million lines of C/C++), the same synthesis loop, driven by the open-weight LLM model Kimi K2.5 [23], discoverstenpreviously unknown zero-day vulnerabilities, including two Critical sandbox- escape CVEs (CVE-2026-5280 and CVE-2026-6297), all confirmed by the vendor through the Chrome Vulnerability Reward Program. [p.11] Rows without a public CVE are listed under the accepted vendor identifier currently attached to the report.",A source-linked excerpt and locator are supplied as review leads; the cited source and locator should be retained for auditability.,Code separately from principal output. Only item-level alignment between a concrete system result and a specific public external record qualifies as publicly aligned external trace.,no external trace reported,The cited source supports the selected label no external trace reported under the codebook's item-level public-record alignment criterion.,"https://arxiv.org/abs/2604.20801 | Paper pp. 1–3 (Abstract and motivating harness), pp. 5–9 (typed DSL and outer loop), and pp. 9–12 (evaluation, Table 2 and vendor-confirmed CVEs). | excerpt pages 2, 11",no,,2026-08-12,ready
C18__lifecycle,C18,released_67,PentestAgent: incorporating LLM agents to automated penetration testing,lifecycle coverage,multi-label,candidate analysis;execution observation;path and input exploration,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,source-linked lead,"urn:isbn:979-8-4007-1410-8 | Paper pp. 1–5 (Abstract/background), pp. 5–8 (system overview and agents), and pp. 8–12 (evaluation and limitations). | excerpt pages 1, 5","[p.1] This complex process involves gathering information about the target system, identifying entry points, exploiting the system, and reporting findings. [p.5] PentestAgent: Incorporating LLM Agents to Automated Penetration Testing ASIA CCS ’25, August 25–29, 2025, Hanoi, Vietnam RAG – Coarse-grained Attack Knowledge Agents – End-to-End Pentesting Recon Agent Planning Agent 1 Target Host Environmental Information Potential Attack Surface 1 Vulnerability DB Attack Report CVE …… DB Planning Agent 2 Exploit 1 Exploit 2 Exploit 3 …… RAG – Execution History & Environmental Information Potential Attack Surface 2 Potential Attack Surface 3 …… RAG – Procedure-level Attack Knowledge Exploit poc Security articles …… DB Execution Agent Exposed app/services Attack performed …… DB Exposed App/Service Attack Performed Success GitLab 13.10.1 CVE-2021-22205 √ GitL",A source-linked excerpt and locator are supplied as review leads; the cited source and locator should be retained for auditability.,"Mark only observable lifecycle actions or outputs. Reporting and audit requires explicit packaging, routing, disclosure, or audit transition; a report name alone is insufficient.",candidate analysis;path and input exploration;execution observation,The cited source supports the selected label candidate analysis;path and input exploration;execution observation; only observable workflow actions or outputs were retained.,"urn:isbn:979-8-4007-1410-8 | Paper pp. 1–5 (Abstract/background), pp. 5–8 (system overview and agents), and pp. 8–12 (evaluation and limitations). | excerpt pages 1, 5",no,,2026-08-12,ready
C18__capability,C18,released_67,PentestAgent: incorporating LLM agents to automated penetration testing,cross-stage capability,multi-label,context aggregation / rule extraction;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,source-linked lead,"urn:isbn:979-8-4007-1410-8 | Paper pp. 1–5 (Abstract/background), pp. 5–8 (system overview and agents), and pp. 8–12 (evaluation and limitations). | excerpt pages 5","[p.5] PentestAgent: Incorporating LLM Agents to Automated Penetration Testing ASIA CCS ’25, August 25–29, 2025, Hanoi, Vietnam RAG – Coarse-grained Attack Knowledge Agents – End-to-End Pentesting Recon Agent Planning Agent 1 Target Host Environmental Information Potential Attack Surface 1 Vulnerability DB Attack Report CVE …… DB Planning Agent 2 Exploit 1 Exploit 2 Exploit 3 …… RAG – Execution History & Environmental Information Potential Attack Surface 2 Potential Attack Surface 3 …… RAG – Procedure-level Attack Knowledge Exploit poc Security articles …… DB Execution Agent Exposed app/services Attack performed …… DB Exposed App/Service Attack Performed Success GitLab 13.10.1 CVE-2021-22205 √ GitL",A source-linked excerpt and locator are supplied as review leads; the cited source and locator should be retained for auditability.,Require an explicit cross-stage connection. Information must guide later action; feedback must alter later action; packaging must assemble prior outputs; governance must enforce an actual gate.,context aggregation / rule extraction;tool routing / strategy routing;long-horizon state management,"The cited source supports the selected label context aggregation / rule extraction;tool routing / strategy routing;long-horizon state management; each retained label requires an explicit connection that guides later action, feedback, packaging, or a gate.","urn:isbn:979-8-4007-1410-8 | Paper pp. 1–5 (Abstract/background), pp. 5–8 (system overview and agents), and pp. 8–12 (evaluation and limitations). | excerpt pages 5",no,,2026-08-12,ready
C18__external_traceability,C18,released_67,PentestAgent: incorporating LLM agents to automated penetration testing,external traceability,single-label,no external trace reported,benchmark ground truth / public material,source-linked lead,"urn:isbn:979-8-4007-1410-8 | Paper pp. 1–5 (Abstract/background), pp. 5–8 (system overview and agents), and pp. 8–12 (evaluation and limitations). | excerpt pages 2, 8","[p.2] We make our benchmark datasets and framework publicly avail- able to facilitate further research in automated penetration testing.1 2 Background and Related Work 2.1 Penetration Testing Penetration testing (pentesting) is a structured, multi-stage process designed to identify security vulnerabilities in systems. [p.8] 4.1 Evaluation Setup 4.1.1 Benchmark Dataset.",A source-linked excerpt and locator are supplied as review leads; the cited source and locator should be retained for auditability.,Code separately from principal output. Only item-level alignment between a concrete system result and a specific public external record qualifies as publicly aligned external trace.,no external trace reported,The cited source supports the selected label no external trace reported under the codebook's item-level public-record alignment criterion.,"urn:isbn:979-8-4007-1410-8 | Paper pp. 1–5 (Abstract/background), pp. 5–8 (system overview and agents), and pp. 8–12 (evaluation and limitations). | excerpt pages 2, 8",no,,2026-08-12,ready
C19__lifecycle,C19,released_67,LIVA: a multi-agent LLM-assisted system for IoT vulnerability analysis,lifecycle coverage,multi-label,candidate analysis,candidate analysis;reporting and audit,source-linked lead,"https://doi.org/10.1109/TDSC.2026.3665343 | Paper pp. 1–3 (Abstract and contributions), pp. 5–8 (source/sink and taint-analysis agents), pp. 8–13 (evaluation), and p. 13 (vendor/device-to-CVE/CNVD table). | excerpt pages 1, 2","[p.1] Check Point’s “2025 Cybersecurity Report” indicates a 44% increase in global cyberattacks since 2023, with 37% specifically targeting edge devices and network infrastructure [2]. [p.2] Beyond the detection of known vulnerabilities, real-world validation of Liva revealed 64 previously undisclosed security flaws, with 39 successfully obtaining official CVE/CNVD designations.",A source-linked excerpt and locator are supplied as review leads; the cited source and locator should be retained for auditability.,"Mark only observable lifecycle actions or outputs. Reporting and audit requires explicit packaging, routing, disclosure, or audit transition; a report name alone is insufficient.",candidate analysis,The cited source supports the selected label candidate analysis; only observable workflow actions or outputs were retained.,"https://doi.org/10.1109/TDSC.2026.3665343 | Paper pp. 1–3 (Abstract and contributions), pp. 5–8 (source/sink and taint-analysis agents), pp. 8–13 (evaluation), and p. 13 (vendor/device-to-CVE/CNVD table). | excerpt pages 1, 2",no,,2026-08-12,ready
C19__principal_evidence,C19,released_67,LIVA: a multi-agent LLM-assisted system for IoT vulnerability analysis,principal reported evidence output,single-label,candidate judgment,externally traceable material,source-linked lead,"https://doi.org/10.1109/TDSC.2026.3665343 | Paper pp. 1–3 (Abstract and contributions), pp. 5–8 (source/sink and taint-analysis agents), pp. 8–13 (evaluation), and p. 13 (vendor/device-to-CVE/CNVD table). | excerpt pages 2, 9","[p.2] Beyond the detection of known vulnerabilities, real-world validation of Liva revealed 64 previously undisclosed security flaws, with 39 successfully obtaining official CVE/CNVD designations. [p.9] To evaluate the effectiveness of Liva in firmware vulnerability detection, we adopt five common classification metrics: Alerts, True Positives (TP) , False Negatives (FN) , Precision, and Recall.",A source-linked excerpt and locator are supplied as review leads; the cited source and locator should be retained for auditability.,Select the observable result most directly supporting the main finding. Benchmark ground truth or aggregate CVE counts do not automatically establish externally traceable material.,candidate judgment,The cited source supports the selected label candidate judgment as the main observable result reported for the study.,"https://doi.org/10.1109/TDSC.2026.3665343 | Paper pp. 1–3 (Abstract and contributions), pp. 5–8 (source/sink and taint-analysis agents), pp. 8–13 (evaluation), and p. 13 (vendor/device-to-CVE/CNVD table). | excerpt pages 2, 9",no,,2026-08-12,ready
C19__external_traceability,C19,released_67,LIVA: a multi-agent LLM-assisted system for IoT vulnerability analysis,external traceability,single-label,author-reported external clue,publicly aligned external trace,source-linked lead,"https://doi.org/10.1109/TDSC.2026.3665343 | Paper pp. 1–3 (Abstract and contributions), pp. 5–8 (source/sink and taint-analysis agents), pp. 8–13 (evaluation), and p. 13 (vendor/device-to-CVE/CNVD table). | excerpt pages 13, 2","[p.13] These vulnerabilities were re- ported to the corresponding vendors and confirmed, with 39 already assigned official CVE or CNVD identifiers. [p.2] Beyond the detection of known vulnerabilities, real-world validation of Liva revealed 64 previously undisclosed security flaws, with 39 successfully obtaining official CVE/CNVD designations.",A source-linked excerpt and locator are supplied as review leads; the cited source and locator should be retained for auditability.,Code separately from principal output. Only item-level alignment between a concrete system result and a specific public external record qualifies as publicly aligned external trace.,author-reported external clue,The cited source supports the selected label author-reported external clue under the codebook's item-level public-record alignment criterion.,"https://doi.org/10.1109/TDSC.2026.3665343 | Paper pp. 1–3 (Abstract and contributions), pp. 5–8 (source/sink and taint-analysis agents), pp. 8–13 (evaluation), and p. 13 (vendor/device-to-CVE/CNVD table). | excerpt pages 13, 2",no,,2026-08-12,ready
C20__lifecycle,C20,released_67,FirmAgent: leveraging fuzzing to assist LLM agents with IoT firmware vulnerability discovery,lifecycle coverage,multi-label,candidate analysis;execution observation;path and input exploration;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,source-linked lead,"https://doi.org/10.14722/ndss.2026.231943 | Paper pp. 1–5 (Abstract/motivation), pp. 5–9 (fuzzing, taint and PoC agents), pp. 9–12 (Tables IV–VI and evaluation), and p. 14 (disclosure). | excerpt pages 1","[p.1] Our findings indicate that fuzzing is highly effective at covering a wide range of input source points within firmware. [p.1] To address these challenges, we present FirmAgent, the first hybrid solution that leverages fuzzing to assist LLM agents in finding vulnerabilities in IoT firmware.",A source-linked excerpt and locator are supplied as review leads; the cited source and locator should be retained for auditability.,"Mark only observable lifecycle actions or outputs. Reporting and audit requires explicit packaging, routing, disclosure, or audit transition; a report name alone is insufficient.",candidate analysis;path and input exploration;execution observation;reproduction and validation,The cited source supports the selected label candidate analysis;path and input exploration;execution observation;reproduction and validation; only observable workflow actions or outputs were retained.,"https://doi.org/10.14722/ndss.2026.231943 | Paper pp. 1–5 (Abstract/motivation), pp. 5–9 (fuzzing, taint and PoC agents), pp. 9–12 (Tables IV–VI and evaluation), and p. 14 (disclosure). | excerpt pages 1",no,,2026-08-12,ready
C21__lifecycle,C21,released_67,PANGOLIN: fuzzing multilingual IoT firmware with LLM-driven code analysis,lifecycle coverage,multi-label,candidate analysis;execution observation;path and input exploration,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,source-linked lead,"https://www.usenix.org/conference/usenixsecurity26/presentation/jia | Paper pp. 1–5 (Abstract and design), pp. 5–10 (specification generation/correction and fuzzing), pp. 10–14 (evaluation/disclosure), and Appendix C pp. 18–20 (IDs). | excerpt pages 1","[p.1] Moreover, static analysis methods typically require extensive manual effort to verify the generated alerts. [p.1] As of the time of writing, all vulnerabil- ities have been reported to vendors and acknowledged, with 31 vulnerability IDs assigned.",A source-linked excerpt and locator are supplied as review leads; the cited source and locator should be retained for auditability.,"Mark only observable lifecycle actions or outputs. Reporting and audit requires explicit packaging, routing, disclosure, or audit transition; a report name alone is insufficient.",candidate analysis;path and input exploration;execution observation,The cited source supports the selected label candidate analysis;path and input exploration;execution observation; only observable workflow actions or outputs were retained.,"https://www.usenix.org/conference/usenixsecurity26/presentation/jia | Paper pp. 1–5 (Abstract and design), pp. 5–10 (specification generation/correction and fuzzing), pp. 10–14 (evaluation/disclosure), and Appendix C pp. 18–20 (IDs). | excerpt pages 1",no,,2026-08-12,ready
C21__principal_evidence,C21,released_67,PANGOLIN: fuzzing multilingual IoT firmware with LLM-driven code analysis,principal reported evidence output,single-label,runtime safety signal,externally traceable material,source-linked lead,"https://www.usenix.org/conference/usenixsecurity26/presentation/jia | Paper pp. 1–5 (Abstract and design), pp. 5–10 (specification generation/correction and fuzzing), pp. 10–14 (evaluation/disclosure), and Appendix C pp. 18–20 (IDs). | excerpt pages 18",[p.18] C Vulnerability Identifiers Table 8: Vulnerabilities discovered byPANGOLIN Brand Model Type Vuln IDs CVE/CNVD HIKSEMIMAGE20PRO CI 5 2 CNVD-2025-14195 CNVD-2025-14455Dos 1 leak 1 TP-LINKTL-IPC42A-4 CI 2 0 cisco IOS-XE(C) AFR 1 0 IOS-XE(ISR)AFU 1 0 CI 2 1 CNVD-2025-18467 Linksys E5600 CI 15 11 CVE-2025-29223 CVE-2025-(29226∼29231) CVE-2025-(45487∼45491)XSS 4 1 Netgear EX8000 CI 3 3 CVE-2025-(45492∼45493) CVE-2025-50526 EX6250 CI 3 3 CNVD-2025-(09131∼09132) CNVD-2025-12271 xiaomi R3A CI 3 1 CNVD-2025-13974 GL-iNet AR300M16 CI 6 6 CNVD-2025-14616 CNVD-2025-19408 CNVD-2025-19973 CNVD-2025-(20412∼20414) MT300N-V2 CI 6 0 XE300 CI 6 0 Ruijie EG105GW CI 9 3 CNVD-2025-05920 CNVD-2025-08689 CNVD-2025-0,A source-linked excerpt and locator are supplied as review leads; the cited source and locator should be retained for auditability.,Select the observable result most directly supporting the main finding. Benchmark ground truth or aggregate CVE counts do not automatically establish externally traceable material.,runtime safety signal,The cited source supports the selected label runtime safety signal as the main observable result reported for the study.,"https://www.usenix.org/conference/usenixsecurity26/presentation/jia | Paper pp. 1–5 (Abstract and design), pp. 5–10 (specification generation/correction and fuzzing), pp. 10–14 (evaluation/disclosure), and Appendix C pp. 18–20 (IDs). | excerpt pages 18",no,,2026-08-12,ready
