matrix_id,system,training_data_overlap_control,source_location,evidence_note,audit_scope
C26,CyberGym,not located,"Paper pp. 1–6 (Abstract, benchmark construction and PoC oracle), pp. 6–9 (evaluation and zero-day deployment), and Appendix E pp. 34–35 (incomplete-patch/zero-day analysis).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
C28,FuzzingBrain V2,not located,Locally reviewed public full text,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
C29,DrillAgent,not located,"Paper pp. 1–3 (Abstract/motivation), pp. 3–6 (DrillAgent design and agents), and pp. 7–12 (SEC-bench evaluation, ablations and limitations).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
C30,OSS-CRS,not located,"Paper pp. 1–4 (Abstract/motivation), pp. 4–7 (architecture and adapters), pp. 7–9 (porting/evaluation and disclosure outcomes), and p. 10 (conclusion/ethics).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
C31,GONDAR,not located,"Paper pp. 1–4 (Abstract/overview), pp. 4–7 (methodology and agents), pp. 7–14 (evaluation and industry validation), and pp. 15–17 (discussion/disclosure).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U01,RAVEN,not located,"Paper pp. 1–3 (Abstract/design motivation), pp. 3–7 (RAG/curator/repair-review loop), and pp. 7–11 (evaluation and conclusion).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U02,Revelio,not located,"Paper pp. 1–6 (architecture), pp. 6–11 (evaluation), especially pp. 8–9 (finding table and CVE case study).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U03,OpenAnt,not located,"Paper pp. 1–6 (architecture and dynamic verification), pp. 6–10 (evaluation/results), and pp. 13–14 (limitations/conclusion).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U04,Code-Augur,not located,"Paper pp. 1–8 (specification-first design and runtime falsification), pp. 8–12 (evaluation and public CVE mappings).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U05,Transferable Self-Evolving Playbooks for Agentic Security Auditing,not located,"Paper pp. 1–7 (EvoHunt/playbook loop), pp. 7–13 (experiments/discussion), and p. 15 (published GHSA/CVE mappings).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U06,DIG,not located,"Paper pp. 1–8 (oracle-guided design), pp. 8–13 (Magma CVE evaluation and new-finding study), and pp. 13–14 (limitations/disclosure).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U07,NeuroLog,not located,"Paper pp. 1–7 (neuro-symbolic pipeline), pp. 14–17 (evaluation and CVE rediscovery), and pp. 20–23 (discussion/conclusion).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U08,EvoRepair,not located,"Paper pp. 1–9 (experience bank and repair loop), pp. 9–15 (benchmark evaluation and transfer).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U09,Quality-Assured Fuzz Harness Generation via the Four Principles Framework,not located,"Paper pp. 1–6 (Four Principles and generate-check-fix loop), pp. 6–12 (RQ1–RQ5), and p. 14 (ethics/release boundary).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U10,ContraFix,not located,"Paper pp. 1–5 (contrastive runtime repair design), pp. 5–9 (PatchEval evaluation), and pp. 9–10 (discussion/conclusion).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U11,MemRepair,not located,"Paper pp. 1–5 (hierarchical memory/refinement loop), pp. 5–10 (evaluation, cases and conclusion).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U12,Veritas,not located,"Paper pp. 1–6 (Slicer/Discover/Validator), pp. 6–10 (runtime-oracle evaluation and limitations).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U13,FuzzAgent,not located,"Paper pp. 1–8 (full fuzzing lifecycle and sandboxed tools), pp. 8–14 (evaluation, crash reports and disclosure controls).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U14,Agentic Fuzzing,not located,"Paper pp. 1–7 (AFuzz pipeline), pp. 7–12 (evaluation, Table 1/issue mappings and discussion).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U15,Root-Cause-Driven Automated Vulnerability Repair,not located,"Paper pp. 1–6 (root-cause repair design), pp. 6–12 (patching/comprehensiveness/quality evaluation), and p. 13 (conclusion).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U16,Generating Proof-of-Vulnerability Tests to Help Enhance the Security of Complex,not located,"Paper pp. 1–5 (PoVSmith workflow), pp. 5–10 (evaluation and PR/CVE-request outcomes).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U17,FunFuzz,not located,"Paper pp. 1–5 (multi-island fuzzing), pp. 5–12 (evaluation and upstream issue classification), and p. 13 (artifact/disclosure).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U18,APIOT,not located,"Paper pp. 1–7 (APIOT mission cycle and controls), pp. 7–16 (290-run evaluation and patch verification), and pp. 16–17 (limitations/tools).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U21,Symbolic Execution Meets Multi-LLM Orchestration,not located,"Paper pp. 1–6 (four-agent/KLEE pipeline), pp. 6–10 (evaluation, graph artifacts and limitations).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U22,Automation-Exploit,not located,"Paper pp. 1–14 (adaptive safety architecture and digital twin), pp. 14–22 (scenario evaluation and reproducibility).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U23,Towards Optimal Agentic Architectures for Offensive Security Tasks,not located,"Paper pp. 1–6 (architecture families and validator), pp. 6–9 (600-run results), and appendices pp. 15–17 (prompts/PoC validation).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U25,V2E,not located,"Paper pp. 1–9 (V2E design/workflow), pp. 12–20 (execution-based validation evaluation and case study).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U26,COBALT-TLA,not located,"Paper pp. 1–4 (neuro-symbolic TLC loop, three targets and counterexample results).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U27,Argus,not located,"Paper pp. 1–6 (Argus pipeline/PoC reasoning/reporting), pp. 6–8 (evaluation and static-only limitation).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U28,PoC-Adapt,not located,"Paper pp. 1–10 (semantic oracle and adaptive policy), pp. 10–15 (PoC verification results and limitations).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U29,Guiding Symbolic Execution with Static Analysis and LLMs for Vulnerability Disco,not located,"Paper pp. 1–8 (static/LLM/symbolic workflow and concrete replay), pp. 8–11 (evaluation, evidence package and disclosure boundary).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U31,Fuzzing with Agents? Generators Are All You Need,not located,"Paper pp. 1–5 (Gentoo generator loop), pp. 5–10 (coverage experiments), and pp. 10–12 (discussion/conclusion).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U32,STRIATUM-CTF,not located,"Paper pp. 1–5 (MCP architecture, validation and scoped execution), pp. 5–8 (CTF workflow/results).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U33,VulnAgent-R2,not located,"Paper pp. 1–6 (evidence-calibrated architecture), pp. 6–11 (benchmark/dynamic-verification evaluation and limitations).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U34,Coverage-Guided Multi-Agent Harness Generation for Java Library Fuzzing,not located,"Paper pp. 1–5 (five-agent harness workflow), pp. 5–8 (coverage-guided evaluation and conclusion).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U35,vEcho,not located,"Paper pp. 1–6 (memory/tool design), pp. 6–11 (benchmark and zero-day case study), pp. 11–13 (limitations/disclosure).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U36,FuzzySQL,not located,"Paper pp. 1–14 (stateful fuzzing/error repair), pp. 14–22 (evaluation/cases), and p. 28 (disclosure-status appendix).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U37,QRS,not located,"Paper pp. 1–8 (QRS triad and validation), pp. 8–17 (historical/new-CVE evaluation), and CVE tables/appendices.",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U38,A Dual-Loop Agent Framework for Automated Vulnerability Reproduction,not located,"Paper pp. 1–10 (dual-loop reproduction architecture), pp. 10–18 (617-case evaluation and discussion).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U39,Multi-Agent End-to-End Vulnerability Management for Mitigating Recurring Vulnera,not located,"Paper pp. 1–7 (VKB and five-stage pipeline), pp. 7–11 (detection/repair evaluation and limitations).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U40,VulnResolver,not located,"Paper pp. 1–7 (hybrid issue-resolution workflow), pp. 7–13 (SEC-bench evaluation and conclusion).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
U41,Multi-Agent Taint Specification Extraction for Vulnerability Detection,not located,"Paper pp. 1–10 (SemTaint architecture), pp. 10–14 (evaluation and unknown-vulnerability/disclosure boundary).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0090,A Systematic Study on Generating Web Vulnerability Proof-of-Concepts Using Large,not located,"Public full text: Sections 3-5, adaptive-feedback design, validator definitions, and the 100-CVE evaluation.",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0100,ACFIX,not located,"Public full text: Sections IV-V, generator-validator loop, patch-validation procedure, Table II, and exploit-script evaluation.",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0105,Adaptive Plan-Execute Framework for Smart Contract Security Auditing,not located,public full text; https://arxiv.org/pdf/2505.15242,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0109,Advanced Smart Contract Vulnerability Detection via LLM-Powered Multi-Agent Syst,not located,public full text; https://daoyuan14.github.io/papers/TSE25_LLM-SmartAudit.pdf,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0120,AEGIS,not located,"Public full text and extracted mechanism/evaluation locations: p. 1, p. 9, p. 2",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0134,Agent That Debugs,not located,public full text; https://arxiv.org/pdf/2504.07634,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0152,Agentic Vulnerability Reasoning on COTS Binaries,discussion only,"Reviewed full text, p. 10","25), so type annotations. A survey confirms that data races remain the zero-day cases are free from training-data leakage. The difficult to cover [23]. COMR ACE [6] is our direct baseline, 8 1-day objects may predate the cutoff, but leakage remains detecting ra",Reporting-status extraction only; it does not test whether contamination occurred.
FMS0206,Antiproof,not located,Public full text: Fig. 3; Sections 3.1-3.3; Algorithm 1; Section 5 and Table 4; ethics discussion.,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0212,APT-Agent,not located,public full text; https://arxiv.org/pdf/2605.24949,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0214,ARACNE,not located,public full text; https://arxiv.org/pdf/2502.18528,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0219,Are Frontier LLMs Ready for Cybersecurity? Evidence for Vertical Foundation Mode,not located,"Public full text and extracted mechanism/evaluation locations: p. 2, p. 1",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0226,Artificial Intelligence as the New Hacker,not located,public full text; https://arxiv.org/pdf/2406.07561,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0239,ATLANTIS,not located,"Public final report: Sections 4-7, multi-fuzzer loop, symbolic execution, PoV generation, patching, scheduling, and end-to-end evaluation.",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0254,Automated Penetration Testing with LLM Agents and Classical Planning,not located,public full text; https://arxiv.org/pdf/2512.11143,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0257,Automated Vulnerability Validation and Verification,not located,public full text; https://arxiv.org/pdf/2509.24037,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0258,"Automatic, Expressive, and Scalable Fuzzing with Stitching",not located,Public full text: Sections 4.1-4.5 and Fig. 5; Section 5; real-world results and Table 4; Sections 13-14.,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0267,AutoPatch,not located,public full text; https://arxiv.org/pdf/2505.04195,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0269,AutoPenBench,not located,public full text; https://arxiv.org/pdf/2410.03225,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0270,AutoPentest,not located,public full text; https://arxiv.org/pdf/2505.10321,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0271,AutoPentester,not located,public full text; https://arxiv.org/pdf/2510.05605,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0272,AutoPT,not located,public full text; https://arxiv.org/pdf/2411.01236,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0281,AWE,not located,public full text; https://arxiv.org/pdf/2603.00960,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0284,BACFuzz,not located,public full text; https://arxiv.org/pdf/2507.15984,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0288,Baselines Before Architecture,not located,public full text; https://arxiv.org/pdf/2607.13085,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0297,Benchmarking LLMs and LLM-based Agents in Practical Vulnerability Detection for ,not located,"Public full text: Sections 2-4, JitVul construction, ReAct context tools, benchmark definition, and evaluation.",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0347,Bulkhead,not located,"Public full text and extracted mechanism/evaluation locations: p. 2, p. 1, p. 9",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0362,Can LLMs Patch Security Issues?,not located,"Public full text: Fig. 1, FDSP algorithm and iteration budget, PythonSecurityEval construction, Bandit feedback, and evaluation.",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0372,Chai,not located,public full text; https://arxiv.org/pdf/2606.26933,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0376,CHAINTRIX,not located,"Public full text: Sections 3-4, resolution map, risk dossiers, coverage-feedback loop, selective Mythril/fuzz validation, and EVMbench evaluation.",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0389,CKG-LLM,not located,public full text; https://arxiv.org/pdf/2512.06846,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0401,Cochise,not located,public full text; https://arxiv.org/pdf/2605.11671,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0412,Codexity,not located,Public full text and extracted mechanism/evaluation locations: p. 1,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0435,Construction and Evaluation of LLM-based agents for Semi-Autonomous penetration ,not located,public full text; https://arxiv.org/pdf/2502.15506,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0443,ContractTinker,not located,"Public full text and extracted mechanism/evaluation locations: p. 2, p. 1",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0479,CryptoFormalEval,not located,"Public full text: Sections 2.3-4, middleware loop, Tamarin feedback filtering, attack-trace translation, symbolic validator, and benchmark evaluation.",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0488,CVE-Bench,not located,"Public full text and extracted mechanism/evaluation locations: p. 2, p. 1",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0489,CVE-Bench,not located,public full text; https://aclanthology.org/2025.naacl-long.212.pdf,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0494,CyberChainBench,explicit control,"Reviewed full text, p. 10","of all evaluated models. We observe a consistent performance gap between pre-cutoff (455 cases) and post-cutoff (86 cases): detection scores drop by 12–16 points (Opus 4.7: 36.3% → 20.9%; Gemini 3.1 Pro: 39.1% → 26.7%), while exploit and patch scores",Reporting-status extraction only; it does not test whether contamination occurred.
FMS0500,D-CIPHER,not located,public full text; https://arxiv.org/pdf/2502.10931,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0509,Decoupling Reconnaissance and Exploitation,not located,public full text; https://arxiv.org/pdf/2606.25332,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0533,Detecting Vulnerability-Inducing Commits via Multi-Stage Reasoning with LLM-Base,not located,"Public full text: Sections 2-4, Fig. 1, audit-supervisor feedback, decision stages, and V-SZZ evaluation.",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0538,Diffploit,explicit control,"Reviewed full text, p. 9","by library maintainers. To overcome this, we eval- that are disclosed after the model cutoff date. Our base model used uate the acceptance of Diffploit by submitting the previously for all experiments",Reporting-status extraction only; it does not test whether contamination occurred.
FMS0541,Directed Symbolic Execution for Vulnerability Discovery,not located,public full text; https://arxiv.org/pdf/2607.21676,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0558,DREA,not located,"Public full text and extracted mechanism/evaluation locations: p. 1, p. 7",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0598,Environment-Grounded Multi-Agent Workflow for Autonomous Penetration Testing,not located,public full text; https://arxiv.org/pdf/2603.24221,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0619,Evaluating the Effectiveness of Multi-Agent Large Language Models for Automated ,not located,public full text; https://www.scitepress.org/Papers/2026/144804/144804.pdf,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0648,FalseCrashReducer,not located,public full text; https://arxiv.org/pdf/2510.02185,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0650,FaultLine,not located,public full text; https://arxiv.org/pdf/2507.15241,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0651,Favia,not located,"Public full text: Section 4, especially Sections 4.1-4.2.2; Sections 5-6 and CVEVC evaluation.",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
