matrix_id,pub__record_id,pub__system_alias,pub__analytical_role,pub__coding_round,pub__year,pub__publication_status_standardized,pub__strongest_evidence_output,pub__primary_system_shape,pub__cross_stage_capabilities,pub__external_traceability,prim__system,prim__primitive_tags,prim__named_tools,prim__source_location,prim__extraction_note,domain__system,domain__title,domain__target_domain,domain__primary_system_shape,domain__principal_reported_evidence_output,domain__publication_year,domain__source_location,domain__extraction_basis,domain__extraction_scope,artifact__system,artifact__principal_reported_evidence_output,artifact__public_implementation_located,artifact__environment_or_build_instructions,artifact__trigger_replay_poc_pov_artifact,artifact__execution_trace_or_log,artifact__patch_artifact,artifact__source_location,artifact__evidence_note,artifact__audit_scope,artifact__trigger_replay_evidence_scope,task__study_title,task__principal_reported_evidence_output,task__target_domain,task__controlled_task_only_excluded,task__decision_reason,task__domain_source_location,overlap__system,overlap__training_data_overlap_control,overlap__source_location,overlap__evidence_note,overlap__audit_scope
C26,CP133,CyberGym,target_software_study,initial_frozen_round,2025,preprint,reproducible validation,"reproduction-, validation-, and repair-centered agent",no qualifying label observed,author-reported external clue,CyberGym,runtime_oracle;replay_poc_pov,sanitizers;containerized PoC execution,"Paper pp. 1–6 (Abstract, benchmark construction and PoC oracle), pp. 6–9 (evaluation and zero-day deployment), and Appendix E pp. 34–35 (incomplete-patch/zero-day analysis).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent.",CyberGym,CyberGym: Evaluating AI Agents' Cybersecurity Capabilities with Real-World Vulnerabilities at Scale,mixed or general software targets,"reproduction-, validation-, and repair-centered agent",reproducible validation,2025,"Paper pp. 1–6 (Abstract, benchmark construction and PoC oracle), pp. 6–9 (evaluation and zero-day deployment), and Appendix E pp. 34–35 (incomplete-patch/zero-day analysis).",No more specific target-domain cue was located in the title or claim-boundary note.,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,CyberGym,reproducible validation,located,not located,not located,not located,not located,"Paper pp. 1–6 (Abstract, benchmark construction and PoC oracle), pp. 6–9 (evaluation and zero-day deployment), and Appendix E pp. 34–35 (incomplete-patch/zero-day analysis).",项目页可追溯；specific artifact status not assigned in public metadata; public metadata status recorded; ,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,CyberGym: Evaluating AI Agents' Cybersecurity Capabilities with Real-World Vulnerabilities at Scale,reproducible validation,mixed or general software targets,no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–6 (Abstract, benchmark construction and PoC oracle), pp. 6–9 (evaluation and zero-day deployment), and Appendix E pp. 34–35 (incomplete-patch/zero-day analysis).",CyberGym,not located,"Paper pp. 1–6 (Abstract, benchmark construction and PoC oracle), pp. 6–9 (evaluation and zero-day deployment), and Appendix E pp. 34–35 (incomplete-patch/zero-day analysis).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
C28,CP206,FuzzingBrain V2,target_software_study,initial_frozen_round,2026,preprint,runtime safety signal,"reproduction-, validation-, and repair-centered agent",context aggregation / rule extraction,author-reported external clue,FuzzingBrain V2,static_taint_specification;fuzzing_input_harness;runtime_oracle;replay_poc_pov;patch_build_test,static analysis;coverage-guided fuzzing;sanitizers;PoV and patch validation,"Paper pp. 1–3 (Abstract/system goals), pp. 3–8 (three-stage design and PoC pipeline), pp. 8–12 (evaluation), and pp. 12–13 (zero-day table/case study).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent.",FuzzingBrain V2,FuzzingBrain V2: A Multi-Agent LLM System for Automated Vulnerability Discovery and Reproduction,"native binary, compiler, or operating system","reproduction-, validation-, and repair-centered agent",runtime safety signal,2026,"Paper pp. 1–3 (Abstract/system goals), pp. 3–8 (three-stage design and PoC pipeline), pp. 8–12 (evaluation), and pp. 12–13 (zero-day table/case study).",Matched target-domain cue using pattern: binary|c/c\+\+|memory safety|kernel|compiler|executable|native code|operating system,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,FuzzingBrain V2,runtime safety signal,located,not located,not located,not located,not located,"Paper pp. 1–3 (Abstract/system goals), pp. 3–8 (three-stage design and PoC pipeline), pp. 8–12 (evaluation), and pp. 12–13 (zero-day table/case study).",arXiv PDF/HTML/source available; project artifact not assigned from current public metadata.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,reviewed_candidate_excluded,FuzzingBrain V2: A Multi-Agent LLM System for Automated Vulnerability Discovery and Reproduction,runtime safety signal,"native binary, compiler, or operating system",no,"Retained: principal output is runtime safety signal, not controlled task completion.","Paper pp. 1–3 (Abstract/system goals), pp. 3–8 (three-stage design and PoC pipeline), pp. 8–12 (evaluation), and pp. 12–13 (zero-day table/case study).",FuzzingBrain V2,not located,Locally reviewed public full text,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
C29,CP207,DrillAgent,target_software_study,initial_frozen_round,2026,preprint,reproducible validation,"reproduction-, validation-, and repair-centered agent",context aggregation / rule extraction; feedback interpretation / loop adjustment,benchmark ground truth / public material,DrillAgent,static_taint_specification;runtime_oracle;replay_poc_pov,code analysis;execution-state feedback;PoV execution,"Paper pp. 1–3 (Abstract/motivation), pp. 3–6 (DrillAgent design and agents), and pp. 7–12 (SEC-bench evaluation, ablations and limitations).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent.",DrillAgent,Execution-State-Aware LLM Reasoning for Automated Proof-of-Vulnerability Generation,mixed or general software targets,"reproduction-, validation-, and repair-centered agent",reproducible validation,2026,"Paper pp. 1–3 (Abstract/motivation), pp. 3–6 (DrillAgent design and agents), and pp. 7–12 (SEC-bench evaluation, ablations and limitations).",No more specific target-domain cue was located in the title or claim-boundary note.,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,DrillAgent,reproducible validation,located,not located,not located,not located,not located,"Paper pp. 1–3 (Abstract/motivation), pp. 3–6 (DrillAgent design and agents), and pp. 7–12 (SEC-bench evaluation, ablations and limitations).",not assigned from current public metadata.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,Execution-State-Aware LLM Reasoning for Automated Proof-of-Vulnerability Generation,reproducible validation,mixed or general software targets,no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–3 (Abstract/motivation), pp. 3–6 (DrillAgent design and agents), and pp. 7–12 (SEC-bench evaluation, ablations and limitations).",DrillAgent,not located,"Paper pp. 1–3 (Abstract/motivation), pp. 3–6 (DrillAgent design and agents), and pp. 7–12 (SEC-bench evaluation, ablations and limitations).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
C30,CP208,OSS-CRS,target_software_study,initial_frozen_round,2026,preprint,reproducible validation,long-horizon pentest and CRS agent,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management,author-reported external clue,OSS-CRS,fuzzing_input_harness;runtime_oracle;replay_poc_pov;patch_build_test,OSS-Fuzz harnesses;sanitizers;PoV execution;patch testing,"Paper pp. 1–4 (Abstract/motivation), pp. 4–7 (architecture and adapters), pp. 7–9 (porting/evaluation and disclosure outcomes), and p. 10 (conclusion/ethics).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent.",OSS-CRS,OSS-CRS: Liberating AIxCC Cyber Reasoning Systems for Real-World Open-Source Security,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,reproducible validation,2026,"Paper pp. 1–4 (Abstract/motivation), pp. 4–7 (architecture and adapters), pp. 7–9 (porting/evaluation and disclosure outcomes), and p. 10 (conclusion/ethics).",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,OSS-CRS,reproducible validation,located,not located,not located,not located,not located,"Paper pp. 1–4 (Abstract/motivation), pp. 4–7 (architecture and adapters), pp. 7–9 (porting/evaluation and disclosure outcomes), and p. 10 (conclusion/ethics).",project page linked from arXiv; public availability recorded at source level.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,OSS-CRS: Liberating AIxCC Cyber Reasoning Systems for Real-World Open-Source Security,reproducible validation,"cyber range, CTF, or penetration testing",no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–4 (Abstract/motivation), pp. 4–7 (architecture and adapters), pp. 7–9 (porting/evaluation and disclosure outcomes), and p. 10 (conclusion/ethics).",OSS-CRS,not located,"Paper pp. 1–4 (Abstract/motivation), pp. 4–7 (architecture and adapters), pp. 7–9 (porting/evaluation and disclosure outcomes), and p. 10 (conclusion/ethics).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
C31,CP209,GONDAR,target_software_study,initial_frozen_round,2026,preprint,reproducible validation,feedback-driven fuzzing agent,context aggregation / rule extraction; feedback interpretation / loop adjustment,author-reported external clue,GONDAR,static_taint_specification;fuzzing_input_harness;runtime_oracle;replay_poc_pov,sink analysis;libFuzzer;execution logs;exploit synthesis,"Paper pp. 1–4 (Abstract/overview), pp. 4–7 (methodology and agents), pp. 7–14 (evaluation and industry validation), and pp. 15–17 (discussion/disclosure).","Author-audited multi-label extraction of primitives explicitly used in the study workflow or evaluation; related-work mentions were not coded, and a recorded primitive is not necessarily dynamically selected by the Agent.",GONDAR,Contextualizing Sink Knowledge for Java Vulnerability Discovery,"repository, package, or source code",feedback-driven fuzzing agent,reproducible validation,2026,"Paper pp. 1–4 (Abstract/overview), pp. 4–7 (methodology and agents), pp. 7–14 (evaluation and industry validation), and pp. 15–17 (discussion/disclosure).",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,GONDAR,reproducible validation,located,not located,not located,not located,not located,"Paper pp. 1–4 (Abstract/overview), pp. 4–7 (methodology and agents), pp. 7–14 (evaluation and industry validation), and pp. 15–17 (discussion/disclosure).",arXiv landing page and PDF/source available; no separate public artifact assigned in this release.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,Contextualizing Sink Knowledge for Java Vulnerability Discovery,reproducible validation,"repository, package, or source code",no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–4 (Abstract/overview), pp. 4–7 (methodology and agents), pp. 7–14 (evaluation and industry validation), and pp. 15–17 (discussion/disclosure).",GONDAR,not located,"Paper pp. 1–4 (Abstract/overview), pp. 4–7 (methodology and agents), pp. 7–14 (evaluation and industry validation), and pp. 15–17 (discussion/disclosure).",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0090,FMS0090,A Systematic Study on Generating Web Vulnerability Proof-of-Concepts Using Large,target_software_study,integrated_multisource_search_through_2026-07-30,2025,preprint,reproducible validation,"reproduction-, validation-, and repair-centered agent",context aggregation / rule extraction; feedback interpretation / loop adjustment,author-reported external clue,A Systematic Study on Generating Web Vulnerability Proof-of-Concepts Using Large,fuzzing_input_harness;symbolic_constraint;runtime_oracle;replay_poc_pov,not specified,"Public full text, extracted pages 1, 2, 7, 11, 12, 13; https://arxiv.org/abs/2510.10148","Rule-assisted author extraction of explicit workflow/evaluation terminology; matched terms: fuzzing, symbolic execution, sanitizer, execution feedback, PoC, Proof-of-Concept. Tags do not imply dynamic agent selection.",A Systematic Study on Generating Web Vulnerability Proof-of-Concepts Using Large,A Systematic Study on Generating Web Vulnerability Proof-of-Concepts Using Large Language Models,"web application, API, or database","reproduction-, validation-, and repair-centered agent",reproducible validation,2025,"Public full text, extracted pages 1, 2, 7, 11, 12, 13; https://arxiv.org/abs/2510.10148",Matched target-domain cue using pattern: web application|website|http|rest api|web api|database|\bsql\b|browser|server-side|web server,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,A Systematic Study on Generating Web Vulnerability Proof-of-Concepts Using Large,reproducible validation,not located,not located,not located,not located,not located,"Public full text: Sections 3-5, adaptive-feedback design, validator definitions, and the 100-CVE evaluation.",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,A Systematic Study on Generating Web Vulnerability Proof-of-Concepts Using Large Language Models,reproducible validation,"web application, API, or database",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 1, 2, 7, 11, 12, 13; https://arxiv.org/abs/2510.10148",A Systematic Study on Generating Web Vulnerability Proof-of-Concepts Using Large,not located,"Public full text: Sections 3-5, adaptive-feedback design, validator definitions, and the 100-CVE evaluation.",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0100,FMS0100,ACFIX,target_software_study,integrated_multisource_search_through_2026-07-30,2024,preprint,reproducible validation,"reproduction-, validation-, and repair-centered agent",context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management,benchmark ground truth / public material,ACFIX,static_taint_specification;symbolic_constraint;patch_build_test,foundry;Slither,"Public full text, extracted pages 1, 4, 6, 10, 18; https://arxiv.org/abs/2403.06838","Rule-assisted author extraction of explicit workflow/evaluation terminology; matched terms: taint analysis, static analysis, symbolic reasoning, unit test, Patch Validation. Tags do not imply dynamic agent selection.",ACFIX,ACFIX: Guiding LLMs with Mined Common RBAC Practices for Context-Aware Repair of Access Control Vulnerabilities in Smart Contracts,smart contract and blockchain,"reproduction-, validation-, and repair-centered agent",reproducible validation,2024,"Public full text, extracted pages 1, 4, 6, 10, 18; https://arxiv.org/abs/2403.06838",Matched target-domain cue using pattern: smart contract|solidity|ethereum|blockchain|web3|defi|evm,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,ACFIX,reproducible validation,not located,not located,not located,not located,not located,"Public full text: Sections IV-V, generator-validator loop, patch-validation procedure, Table II, and exploit-script evaluation.",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,ACFIX: Guiding LLMs with Mined Common RBAC Practices for Context-Aware Repair of Access Control Vulnerabilities in Smart Contracts,reproducible validation,smart contract and blockchain,no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 1, 4, 6, 10, 18; https://arxiv.org/abs/2403.06838",ACFIX,not located,"Public full text: Sections IV-V, generator-validator loop, patch-validation procedure, Table II, and exploit-script evaluation.",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0105,FMS0105,Adaptive Plan-Execute Framework for Smart Contract Security Auditing,target_software_study,integrated_multisource_search_through_2026-07-30,2025,preprint,candidate judgment,candidate-analysis system,context aggregation / rule extraction; validation organization / evidence packaging,benchmark ground truth / public material,Adaptive Plan-Execute Framework for Smart Contract Security Auditing,static_taint_specification;symbolic_constraint,CodeQL;Docker;slither;Slither,"Public full text, extracted pages 2, 3, 20; https://arxiv.org/abs/2505.15242","Rule-assisted author extraction of explicit workflow/evaluation terminology; matched terms: static analysis, symbolic execution. Tags do not imply dynamic agent selection.",Adaptive Plan-Execute Framework for Smart Contract Security Auditing,Adaptive Plan-Execute Framework for Smart Contract Security Auditing,smart contract and blockchain,candidate-analysis system,candidate judgment,2025,"Public full text, extracted pages 2, 3, 20; https://arxiv.org/abs/2505.15242",Matched target-domain cue using pattern: smart contract|solidity|ethereum|blockchain|web3|defi|evm,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,Adaptive Plan-Execute Framework for Smart Contract Security Auditing,candidate judgment,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2505.15242,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,Adaptive Plan-Execute Framework for Smart Contract Security Auditing,candidate judgment,smart contract and blockchain,no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 2, 3, 20; https://arxiv.org/abs/2505.15242",Adaptive Plan-Execute Framework for Smart Contract Security Auditing,not located,public full text; https://arxiv.org/pdf/2505.15242,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0109,FMS0109,Advanced Smart Contract Vulnerability Detection via LLM-Powered Multi-Agent Syst,target_software_study,integrated_multisource_search_through_2026-07-30,2025,journal,candidate judgment,candidate-analysis system,context aggregation / rule extraction,benchmark ground truth / public material,Advanced Smart Contract Vulnerability Detection via LLM-Powered Multi-Agent Syst,static_taint_specification;symbolic_constraint,Slither,"Public full text, extracted pages 2, 8; https://doi.org/10.1109/tse.2025.3597319","Rule-assisted author extraction of explicit workflow/evaluation terminology; matched terms: Slither, static analysis, formal verification. Tags do not imply dynamic agent selection.",Advanced Smart Contract Vulnerability Detection via LLM-Powered Multi-Agent Syst,Advanced Smart Contract Vulnerability Detection via LLM-Powered Multi-Agent Systems,smart contract and blockchain,candidate-analysis system,candidate judgment,2025,"Public full text, extracted pages 2, 8; https://doi.org/10.1109/tse.2025.3597319",Matched target-domain cue using pattern: smart contract|solidity|ethereum|blockchain|web3|defi|evm,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,Advanced Smart Contract Vulnerability Detection via LLM-Powered Multi-Agent Syst,candidate judgment,not located,not located,not located,not located,not located,public full text; https://daoyuan14.github.io/papers/TSE25_LLM-SmartAudit.pdf,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,Advanced Smart Contract Vulnerability Detection via LLM-Powered Multi-Agent Systems,candidate judgment,smart contract and blockchain,no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 2, 8; https://doi.org/10.1109/tse.2025.3597319",Advanced Smart Contract Vulnerability Detection via LLM-Powered Multi-Agent Syst,not located,public full text; https://daoyuan14.github.io/papers/TSE25_LLM-SmartAudit.pdf,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0120,FMS0120,AEGIS,target_software_study,integrated_multisource_search_through_2026-07-30,2026,preprint,candidate judgment,candidate-analysis system,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management,benchmark ground truth / public material,AEGIS,static_taint_specification,Joern,"Public full text, extracted pages 2, 6; https://arxiv.org/abs/2603.20637",Rule-assisted author extraction of explicit workflow/evaluation terminology; matched terms: Joern. Tags do not imply dynamic agent selection.,AEGIS,AEGIS: From Clues to Verdicts -- Graph-Guided Deep Vulnerability Reasoning via Dialectics and Meta-Auditing,"repository, package, or source code",candidate-analysis system,candidate judgment,2026,"Public full text, extracted pages 2, 6; https://arxiv.org/abs/2603.20637",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,AEGIS,candidate judgment,located,not located,not located,not located,not located,"Reviewed full text, p. 2",https://github.com/secureai4code/Aegis.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,AEGIS: From Clues to Verdicts -- Graph-Guided Deep Vulnerability Reasoning via Dialectics and Meta-Auditing,candidate judgment,"repository, package, or source code",no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 2, 6; https://arxiv.org/abs/2603.20637",AEGIS,not located,"Public full text and extracted mechanism/evaluation locations: p. 1, p. 9, p. 2",No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0134,FMS0134,Agent That Debugs,target_software_study,integrated_multisource_search_through_2026-07-30,2025,preprint,reproducible validation,"reproduction-, validation-, and repair-centered agent",no qualifying label observed,benchmark ground truth / public material,Agent That Debugs,static_taint_specification;symbolic_constraint;runtime_oracle;replay_poc_pov;patch_build_test,GDB,"Public full text, extracted pages 2, 3, 8, 9, 11, 12, 13; https://arxiv.org/abs/2504.07634","Rule-assisted author extraction of explicit workflow/evaluation terminology; matched terms: static analysis, symbolic execution, Sanitizer, sanitizer, Proof of Concept, POC, patch validation, test suite. Tags do not imply dynamic agent selection.",Agent That Debugs,Agent That Debugs: Dynamic State-Guided Vulnerability Repair,"web application, API, or database","reproduction-, validation-, and repair-centered agent",reproducible validation,2025,"Public full text, extracted pages 2, 3, 8, 9, 11, 12, 13; https://arxiv.org/abs/2504.07634",Matched target-domain cue using pattern: web application|website|http|rest api|web api|database|\bsql\b|browser|server-side|web server,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,Agent That Debugs,reproducible validation,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2504.07634,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,Agent That Debugs: Dynamic State-Guided Vulnerability Repair,reproducible validation,"web application, API, or database",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 2, 3, 8, 9, 11, 12, 13; https://arxiv.org/abs/2504.07634",Agent That Debugs,not located,public full text; https://arxiv.org/pdf/2504.07634,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0152,FMS0152,Agentic Vulnerability Reasoning on COTS Binaries,target_software_study,integrated_multisource_search_through_2026-07-30,2026,preprint,reproducible validation,"reproduction-, validation-, and repair-centered agent",no qualifying label observed,author-reported external clue,Agentic Vulnerability Reasoning on COTS Binaries,static_taint_specification;fuzzing_input_harness;symbolic_constraint;runtime_oracle;replay_poc_pov,Angr,"Public full text, extracted pages 1, 2, 7, 9, 10, 12; https://arxiv.org/abs/2605.05000","Rule-assisted author extraction of explicit workflow/evaluation terminology; matched terms: static analyzer, static analysis, fuzzing, Angr, concolic execution, execution feedback, proof-of-concept, PoC. Tags do not imply dynamic agent selection.",Agentic Vulnerability Reasoning on COTS Binaries,Agentic Vulnerability Reasoning on COTS Binaries,"native binary, compiler, or operating system","reproduction-, validation-, and repair-centered agent",reproducible validation,2026,"Public full text, extracted pages 1, 2, 7, 9, 10, 12; https://arxiv.org/abs/2605.05000",Matched target-domain cue using pattern: binary|c/c\+\+|memory safety|kernel|compiler|executable|native code|operating system,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,Agentic Vulnerability Reasoning on COTS Binaries,reproducible validation,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2605.05000,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,Agentic Vulnerability Reasoning on COTS Binaries,reproducible validation,"native binary, compiler, or operating system",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 1, 2, 7, 9, 10, 12; https://arxiv.org/abs/2605.05000",Agentic Vulnerability Reasoning on COTS Binaries,discussion only,"Reviewed full text, p. 10","25), so type annotations. A survey confirms that data races remain the zero-day cases are free from training-data leakage. The difficult to cover [23]. COMR ACE [6] is our direct baseline, 8 1-day objects may predate the cutoff, but leakage remains detecting ra",Reporting-status extraction only; it does not test whether contamination occurred.
FMS0206,FMS0206,Antiproof,target_software_study,integrated_multisource_search_through_2026-07-30,2026,preprint,candidate judgment,"reproduction-, validation-, and repair-centered agent",context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update;governance / human gates / disclosure control,author-reported external clue,Antiproof,static_taint_specification;fuzzing_input_harness;symbolic_constraint;runtime_oracle;replay_poc_pov,AddressSanitizer;AFL;CodeQL;Docker;joern;Joern;Memorysanitizer;semgrep;Semgrep,"Public full text, extracted pages 1, 2, 4, 6; https://arxiv.org/abs/2607.12316","Rule-assisted author extraction of explicit workflow/evaluation terminology; matched terms: Static analysis, fuzzing, Fuzzing, symbolic execution, runtime monitor, PoC, PoV. Tags do not imply dynamic agent selection.",Antiproof,Antiproof: Synthesizing Vulnerability Detectors and Proofs of Exploitability,"native binary, compiler, or operating system","reproduction-, validation-, and repair-centered agent",candidate judgment,2026,"Public full text, extracted pages 1, 2, 4, 6; https://arxiv.org/abs/2607.12316",Matched target-domain cue using pattern: binary|c/c\+\+|memory safety|kernel|compiler|executable|native code|operating system,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,Antiproof,candidate judgment,not located,not located,not located,not located,not located,Public full text: Fig. 3; Sections 3.1-3.3; Algorithm 1; Section 5 and Table 4; ethics discussion.,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,Antiproof: Synthesizing Vulnerability Detectors and Proofs of Exploitability,candidate judgment,"native binary, compiler, or operating system",no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 1, 2, 4, 6; https://arxiv.org/abs/2607.12316",Antiproof,not located,Public full text: Fig. 3; Sections 3.1-3.3; Algorithm 1; Section 5 and Table 4; ethics discussion.,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
FMS0212,FMS0212,APT-Agent,target_software_study,integrated_multisource_search_through_2026-07-30,2026,preprint,controlled task completion,long-horizon pentest and CRS agent,no qualifying label observed,no external trace reported,APT-Agent,runtime_oracle;recon_scan_pentest,metasploit;Metasploit;Nmap;nmap,"Public full text, extracted pages 1, 6; https://arxiv.org/abs/2605.24949","Rule-assisted author extraction of explicit workflow/evaluation terminology; matched terms: execution result, Penetration Testing, Penetration testing. Tags do not imply dynamic agent selection.",APT-Agent,APT-Agent: Automated Penetration Testing using Large Language Models,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2026,"Public full text, extracted pages 1, 6; https://arxiv.org/abs/2605.24949",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.,APT-Agent,controlled task completion,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2605.24949,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.,not_a_reviewed_trigger_candidate,APT-Agent: Automated Penetration Testing using Large Language Models,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Public full text, extracted pages 1, 6; https://arxiv.org/abs/2605.24949",APT-Agent,not located,public full text; https://arxiv.org/pdf/2605.24949,No explicit training-data-overlap control or discussion was located in the reviewed material.,Reporting-status extraction only; it does not test whether contamination occurred.
