matrix_id,study_title,principal_reported_evidence_output,target_domain,controlled_task_only_excluded,decision_reason,domain_source_location
C29,Execution-State-Aware LLM Reasoning for Automated Proof-of-Vulnerability Generation,reproducible validation,mixed or general software targets,no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–3 (Abstract/motivation), pp. 3–6 (DrillAgent design and agents), and pp. 7–12 (SEC-bench evaluation, ablations and limitations)."
C30,OSS-CRS: Liberating AIxCC Cyber Reasoning Systems for Real-World Open-Source Security,reproducible validation,"cyber range, CTF, or penetration testing",no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–4 (Abstract/motivation), pp. 4–7 (architecture and adapters), pp. 7–9 (porting/evaluation and disclosure outcomes), and p. 10 (conclusion/ethics)."
C31,Contextualizing Sink Knowledge for Java Vulnerability Discovery,reproducible validation,"repository, package, or source code",no,"Retained: principal output is reproducible validation, not controlled task completion.","Paper pp. 1–4 (Abstract/overview), pp. 4–7 (methodology and agents), pp. 7–14 (evaluation and industry validation), and pp. 15–17 (discussion/disclosure)."
FMS0090,A Systematic Study on Generating Web Vulnerability Proof-of-Concepts Using Large Language Models,reproducible validation,"web application, API, or database",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 1, 2, 7, 11, 12, 13; https://arxiv.org/abs/2510.10148"
FMS0100,ACFIX: Guiding LLMs with Mined Common RBAC Practices for Context-Aware Repair of Access Control Vulnerabilities in Smart Contracts,reproducible validation,smart contract and blockchain,no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 1, 4, 6, 10, 18; https://arxiv.org/abs/2403.06838"
FMS0105,Adaptive Plan-Execute Framework for Smart Contract Security Auditing,candidate judgment,smart contract and blockchain,no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 2, 3, 20; https://arxiv.org/abs/2505.15242"
FMS0109,Advanced Smart Contract Vulnerability Detection via LLM-Powered Multi-Agent Systems,candidate judgment,smart contract and blockchain,no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 2, 8; https://doi.org/10.1109/tse.2025.3597319"
FMS0120,AEGIS: From Clues to Verdicts -- Graph-Guided Deep Vulnerability Reasoning via Dialectics and Meta-Auditing,candidate judgment,"repository, package, or source code",no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 2, 6; https://arxiv.org/abs/2603.20637"
FMS0134,Agent That Debugs: Dynamic State-Guided Vulnerability Repair,reproducible validation,"web application, API, or database",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 2, 3, 8, 9, 11, 12, 13; https://arxiv.org/abs/2504.07634"
FMS0152,Agentic Vulnerability Reasoning on COTS Binaries,reproducible validation,"native binary, compiler, or operating system",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 1, 2, 7, 9, 10, 12; https://arxiv.org/abs/2605.05000"
FMS0206,Antiproof: Synthesizing Vulnerability Detectors and Proofs of Exploitability,candidate judgment,"native binary, compiler, or operating system",no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 1, 2, 4, 6; https://arxiv.org/abs/2607.12316"
FMS0212,APT-Agent: Automated Penetration Testing using Large Language Models,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Public full text, extracted pages 1, 6; https://arxiv.org/abs/2605.24949"
FMS0214,ARACNE: An LLM-Based Autonomous Shell Pentesting Agent,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Public full text, extracted pages 1, 3; https://arxiv.org/abs/2502.18528"
FMS0219,Are Frontier LLMs Ready for Cybersecurity? Evidence for Vertical Foundation Models from Dual-Mode Vulnerability Benchmarks,candidate judgment,"web application, API, or database",no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 1, 3, 4; https://arxiv.org/abs/2605.23243"
FMS0226,Artificial Intelligence as the New Hacker: Developing Agents for Offensive Security,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Public full text, extracted pages 4; https://arxiv.org/abs/2406.07561"
FMS0239,"ATLANTIS: AI-driven Threat Localization, Analysis, and Triage Intelligence System",reproducible validation,"web application, API, or database",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 3, 4, 8, 20, 97; https://arxiv.org/abs/2509.14589"
FMS0254,Automated Penetration Testing with LLM Agents and Classical Planning,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Public full text, extracted pages 1, 4, 10; https://arxiv.org/abs/2512.11143"
FMS0257,Automated Vulnerability Validation and Verification: A Large Language Model Approach,reproducible validation,"web application, API, or database",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 2, 3; https://arxiv.org/abs/2509.24037"
FMS0258,"Automatic, Expressive, and Scalable Fuzzing with Stitching",externally traceable material,"native binary, compiler, or operating system",no,"Retained: principal output is externally traceable material, not controlled task completion.","Public full text, extracted pages 1, 2, 7, 16; https://arxiv.org/abs/2602.18689"
FMS0267,AutoPatch: Multi-Agent Framework for Patching Real-World CVE Vulnerabilities,candidate judgment,"native binary, compiler, or operating system",no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 1, 10; https://arxiv.org/abs/2505.04195"
FMS0269,AutoPenBench: Benchmarking Generative Agents for Penetration Testing,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Public full text, extracted pages 1; https://arxiv.org/abs/2410.03225"
FMS0270,AutoPentest: Enhancing Vulnerability Management With Autonomous LLM Agents,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Public full text, extracted pages 1; https://arxiv.org/abs/2505.10321"
FMS0271,AutoPentester: An LLM Agent-based Framework for Automated Pentesting,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Public full text, extracted pages 1; https://arxiv.org/abs/2510.05605"
FMS0272,AutoPT: How Far Are We from the End2End Automated Web Penetration Testing?,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Public full text, extracted pages 1, 2, 7; https://arxiv.org/abs/2411.01236"
FMS0281,AWE: Adaptive Agents for Dynamic Web Penetration Testing,controlled task completion,"web application, API, or database",no,"Retained: principal output is controlled task completion, but the author-audited target domain is web application, API, or database.","Public full text, extracted pages 1, 2, 7; https://doi.org/10.14722/last-x.2026.23037"
FMS0284,BACFuzz: Exposing the Silence on Broken Access Control Vulnerabilities in Web Applications,candidate judgment,"web application, API, or database",no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 1; https://arxiv.org/abs/2507.15984"
FMS0288,Baselines Before Architecture: Evaluating Coding Agents for Autonomous Penetration Testing,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Public full text, extracted pages 1; https://arxiv.org/abs/2607.13085"
FMS0297,Benchmarking LLMs and LLM-based Agents in Practical Vulnerability Detection for Code Repositories,candidate judgment,"repository, package, or source code",no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 3, 8; https://arxiv.org/abs/2503.03586"
FMS0347,Bulkhead: Automated Semantic Detection and Remediation of Container Escape Vulnerabilities,reproducible validation,"native binary, compiler, or operating system",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 1, 2, 7, 13, 14, 15; https://arxiv.org/abs/2607.12723"
FMS0362,Can LLMs Patch Security Issues?,reproducible validation,"web application, API, or database",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 6; https://arxiv.org/abs/2312.00024"
FMS0372,Chai: Agentic Discovery of Cryptographic Misuse Vulnerabilities,reproducible validation,protocol and networked service,no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 1, 4, 6, 16, 17; https://arxiv.org/abs/2606.26933"
FMS0376,CHAINTRIX: A multi-pipeline LLM-augmented framework for automated smart-contract security auditing,candidate judgment,smart contract and blockchain,no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 1, 3; https://arxiv.org/abs/2605.09350"
FMS0389,CKG-LLM: LLM-Assisted Detection of Smart Contract Access Control Vulnerabilities Based on Knowledge Graphs,candidate judgment,smart contract and blockchain,no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 1, 2, 5; https://arxiv.org/abs/2512.06846"
FMS0401,Cochise: A Reference Harness for Autonomous Penetration Testing,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Public full text, extracted pages 1; https://arxiv.org/abs/2605.11671"
FMS0412,Codexity: Secure AI-assisted Code Generation,reproducible validation,"web application, API, or database",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 1, 2; https://arxiv.org/abs/2405.03927"
FMS0435,Construction and Evaluation of LLM-based agents for Semi-Autonomous penetration testing,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Public full text, extracted pages 1, 5; https://arxiv.org/abs/2502.15506"
FMS0443,ContractTinker: LLM-Empowered Vulnerability Repair for Real-World Smart Contracts,controlled task completion,smart contract and blockchain,no,"Retained: principal output is controlled task completion, but the author-audited target domain is smart contract and blockchain.","Public full text, extracted pages 1, 2, 4; https://doi.org/10.1145/3691620.3695349"
FMS0479,CryptoFormalEval: Integrating LLMs and Formal Verification for Automated Cryptographic Protocol Vulnerability Detection,reproducible validation,protocol and networked service,no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 1; https://arxiv.org/abs/2411.13627"
FMS0488,CVE-Bench: A Benchmark for AI Agents' Ability to Exploit Real-World Web Application Vulnerabilities,controlled task completion,"web application, API, or database",no,"Retained: principal output is controlled task completion, but the author-audited target domain is web application, API, or database.","Public full text, extracted pages 2, 5, 6; https://arxiv.org/abs/2503.17332"
FMS0489,CVE-Bench: Benchmarking LLM-based Software Engineering Agent’s Ability to Repair Real-World CVE Vulnerabilities,reproducible validation,"repository, package, or source code",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 2, 3; https://doi.org/10.18653/v1/2025.naacl-long.212"
FMS0494,CyberChainBench: Can AI Agents Secure Smart Contracts Against Real-World On-Chain Vulnerabilities?,reproducible validation,smart contract and blockchain,no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 2, 5, 6, 7, 9; https://arxiv.org/abs/2606.26216"
FMS0500,D-CIPHER: Dynamic Collaborative Intelligent Multi-Agent System with Planner and Heterogeneous Executors for Offensive Security,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Public full text, extracted pages 12, 13; https://arxiv.org/abs/2502.10931"
FMS0509,Decoupling Reconnaissance and Exploitation: Measuring the Capability Boundaries of LLM-Based Web Penetration Testing,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Public full text, extracted pages 1, 4, 5; https://arxiv.org/abs/2606.25332"
FMS0533,Detecting Vulnerability-Inducing Commits via Multi-Stage Reasoning with LLM-Based Agents,candidate judgment,"repository, package, or source code",no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages ; https://arxiv.org/abs/2607.05772"
FMS0538,Diffploit: Facilitating Cross-Version Exploit Migration for Open Source Library Vulnerabilities,reproducible validation,"repository, package, or source code",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 11, 12; https://arxiv.org/abs/2511.12950"
FMS0541,Directed Symbolic Execution for Vulnerability Discovery: An LLM-Guided Approach in KLEE,runtime safety signal,smart contract and blockchain,no,"Retained: principal output is runtime safety signal, not controlled task completion.","Public full text, extracted pages 1, 2, 5, 10, 11; https://arxiv.org/abs/2607.21676"
FMS0558,DREA: Decoupled Reasoning and Exploration Agents for Repository-Level Vulnerability Detection,candidate judgment,"repository, package, or source code",no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 10; https://arxiv.org/abs/2607.13439"
FMS0598,Environment-Grounded Multi-Agent Workflow for Autonomous Penetration Testing,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Public full text, extracted pages 1; https://arxiv.org/abs/2603.24221"
FMS0619,Evaluating the Effectiveness of Multi-Agent Large Language Models for Automated Vulnerable Code Repair,reproducible validation,"repository, package, or source code",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 4, 5; https://doi.org/10.5220/0014480400004061"
FMS0648,FalseCrashReducer: Mitigating False Positive Crashes in OSS-Fuzz-Gen Using Agentic AI,runtime safety signal,mixed or general software targets,no,"Retained: principal output is runtime safety signal, not controlled task completion.","Public full text, extracted pages 2, 10, 12; https://arxiv.org/abs/2510.02185"
FMS0650,FaultLine: Automated Proof-of-Vulnerability Generation Using LLM Agents,reproducible validation,"web application, API, or database",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 1, 4, 10; https://arxiv.org/abs/2507.15241"
FMS0651,Favia: Forensic Agent for Vulnerability-fix Identification and Analysis,candidate judgment,"repository, package, or source code",no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 6, 13; https://arxiv.org/abs/2602.12500"
FMS0659,Fixing Security Vulnerabilities with AI in OSS-Fuzz,runtime safety signal,"web application, API, or database",no,"Retained: principal output is runtime safety signal, not controlled task completion.","Public full text, extracted pages 1, 2, 3, 6; https://arxiv.org/abs/2411.03346"
FMS0676,From Capabilities to Performance: Evaluating Key Functional Properties of LLM Architectures in Penetration Testing,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Public full text, extracted pages 1, 20; https://doi.org/10.18653/v1/2025.emnlp-main.802"
FMS0677,From Controlled to the Wild: Evaluation of Pentesting Agents for the Real-World,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Public full text, extracted pages 1, 7; https://arxiv.org/abs/2605.10834"
FMS0684,From LLMs to Agents: A Comparative Evaluation of LLMs and LLM-based Agents in Security Patch Detection,candidate judgment,"repository, package, or source code",no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 3; https://arxiv.org/abs/2511.08060"
FMS0698,From Trace to Line: LLM Agent for Real-World OSS Vulnerability Localization,candidate judgment,"repository, package, or source code",no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 1, 2, 3; https://arxiv.org/abs/2510.02389"
FMS0718,GapForge: Directed Compiler Fuzzing via Coverage-Gap Analysis,candidate judgment,"native binary, compiler, or operating system",no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 1, 2, 11; https://arxiv.org/abs/2607.15762"
FMS0733,GoAT-X: A Graph of Auditing Thoughts for Securing Token Transactions in Cross-Chain Contracts,candidate judgment,smart contract and blockchain,no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 1, 13; https://arxiv.org/abs/2604.24341"
FMS0734,GPTScan: Detecting Logic Vulnerabilities in Smart Contracts by Combining GPT with Program Analysis,candidate judgment,smart contract and blockchain,no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 1, 2, 6; https://doi.org/10.1145/3597503.3639117"
FMS0741,Guided Reasoning in LLM-Driven Penetration Testing Using Structured Attack Trees,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Public full text, extracted pages 1; https://arxiv.org/abs/2509.07939"
FMS0742,Guiding AI to Fix Its Own Flaws: An Empirical Study on LLM-Driven Secure Code Generation,reproducible validation,mixed or general software targets,no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 1; https://arxiv.org/abs/2506.23034"
FMS0747,HackSynth: LLM Agent and Evaluation Framework for Autonomous Penetration Testing,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Public full text, extracted pages 1; https://arxiv.org/abs/2412.01778"
FMS0752,HarnessAgent: Scaling Automatic Fuzzing Harness Construction with Tool-Augmented LLM Pipelines,controlled task completion,"repository, package, or source code",no,"Retained: principal output is controlled task completion, but the author-audited target domain is repository, package, or source code.","Public full text, extracted pages 1, 3; https://arxiv.org/abs/2512.03420"
FMS0753,Harnessing Large Language Models for Seed Generation in Greybox Fuzzing,controlled task completion,"native binary, compiler, or operating system",no,"Retained: principal output is controlled task completion, but the author-audited target domain is native binary, compiler, or operating system.","Public full text, extracted pages 1, 2, 9; https://arxiv.org/abs/2411.18143"
FMS0768,Hound: Relation-First Knowledge Graphs for Complex-System Reasoning in Security Audits,candidate judgment,"repository, package, or source code",no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 4; https://arxiv.org/abs/2510.09633"
FMS0782,How Well Do Large Language Models Serve as End-to-End Secure Code Agents for Python?,reproducible validation,"repository, package, or source code",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 2; https://arxiv.org/abs/2408.10495"
FMS0800,Improving LLM-Assisted Secure Code Generation through Retrieval-Augmented-Generation and Multi-Tool Feedback,reproducible validation,"web application, API, or database",no,"Retained: principal output is reproducible validation, not controlled task completion.","Public full text, extracted pages 1; https://arxiv.org/abs/2601.00509"
FMS0842,Knowledge-Informed Self-Reflective Automated Penetration Testing Based on LLMs,controlled task completion,"cyber range, CTF, or penetration testing",yes,"Excluded: principal output is controlled task completion and the author-audited target domain is cyber range, CTF, or penetration testing.","Public full text, extracted pages 3, 19, 34, 40, 100; https://orcid.org/0009-0004-1073-526X"
FMS0850,Large Language Model assisted Hybrid Fuzzing,controlled task completion,"repository, package, or source code",no,"Retained: principal output is controlled task completion, but the author-audited target domain is repository, package, or source code.","Public full text, extracted pages 1; https://arxiv.org/abs/2412.15931"
FMS0885,Let the Trial Begin: A Mock-Court Approach to Vulnerability Detection using LLM-Based Agents,candidate judgment,"web application, API, or database",no,"Retained: principal output is candidate judgment, not controlled task completion.","Public full text, extracted pages 11; https://doi.org/10.1145/3744916.3773256"
