"task_id","sample_id","case_id","record_id","title","field","field_type","allowed_labels","material_path","material_sha256","reviewer_label","evidence_locator","evidence_excerpt","reviewer_reason","reviewer_confidence"
"FMRC-T011","FMRC-003","A012","FMS1227","SAVANT: Vulnerability Detection in Application Dependencies through Semantic-Guided Reachability Analysis","lifecycle coverage","multi-label","candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed | not observable in supplied material | unresolved | material mismatch","materials\FMRC-003.pdf","0b0cc7b1432d3a26ec29ba0cd47d4f16192eb5690c49441f09a88755d6043fbe","candidate analysis","PDF page 12, extracted text line 1153","els to generate code representations from source code and","The excerpt shows the coded workflow action(s); the material does not support stronger stages without an explicit action, object, and result or later use.","medium"
"FMRC-T012","FMRC-003","A012","FMS1227","SAVANT: Vulnerability Detection in Application Dependencies through Semantic-Guided Reachability Analysis","cross-stage capability","multi-label","context aggregation / rule extraction | tool routing / strategy routing | feedback interpretation / loop adjustment | validation organization / evidence packaging | long-horizon state management | failure reuse / strategy update | governance / human gates / disclosure control | no qualifying label observed | not observable in supplied material | unresolved | material mismatch","materials\FMRC-003.pdf","0b0cc7b1432d3a26ec29ba0cd47d4f16192eb5690c49441f09a88755d6043fbe","context aggregation / rule extraction","PDF page 12, extracted text line 1185","method where LLMs automatically refine contextual informa-","The excerpt shows information or feedback changing a later action/state under the revised cross-stage template; architecture or memory alone was excluded.","medium"
"FMRC-T013","FMRC-003","A012","FMS1227","SAVANT: Vulnerability Detection in Application Dependencies through Semantic-Guided Reachability Analysis","primary system shape","single-label","candidate-analysis system | feedback-driven fuzzing agent | reproduction-, validation-, and repair-centered agent | long-horizon pentest and CRS agent | unresolved | material mismatch","materials\FMRC-003.pdf","0b0cc7b1432d3a26ec29ba0cd47d4f16192eb5690c49441f09a88755d6043fbe","reproduction-, validation-, and repair-centered agent","PDF p.1","Eclipse Steady [22] traces execution paths from potential vulnerability points to application entry points to determine if vulnerable APIs are actually reachable.","Independent recheck supports reproduction-, validation-, and repair-centered agent for the stated evaluation only; stronger deployment or external claims require additional evidence.","high"
"FMRC-T014","FMRC-003","A012","FMS1227","SAVANT: Vulnerability Detection in Application Dependencies through Semantic-Guided Reachability Analysis","principal reported evidence output","single-label","candidate judgment | controlled task completion | runtime safety signal | reproducible validation | externally traceable material | unresolved | material mismatch","materials\FMRC-003.pdf","0b0cc7b1432d3a26ec29ba0cd47d4f16192eb5690c49441f09a88755d6043fbe","reproducible validation","PDF p.1","Eclipse Steady [22] traces execution paths from potential vulnerability points to application entry points to determine if vulnerable APIs are actually reachable.","Independent recheck supports reproducible validation for the stated evaluation only; stronger deployment or external claims require additional evidence.","high"
"FMRC-T015","FMRC-003","A012","FMS1227","SAVANT: Vulnerability Detection in Application Dependencies through Semantic-Guided Reachability Analysis","external traceability","single-label","no external trace reported | author-reported external clue | item-aligned external record | not observable in supplied material | unresolved | material mismatch","materials\FMRC-003.pdf","0b0cc7b1432d3a26ec29ba0cd47d4f16192eb5690c49441f09a88755d6043fbe","no external trace reported","PDF page 9, extracted text line 833","CVE-2018-1002201 plexus-utils CWE-22 (Path Traversal) CVE-2021-27568 spring-security-oauth CWE-287 (Improper Authentica-","The excerpt is limited to the paper's stated external record relationship; benchmark ground truth or public background is not treated as item-level traceability.","medium"
"FMRC-T016","FMRC-004","A150","FMS0648","FalseCrashReducer: Mitigating False Positive Crashes in OSS-Fuzz-Gen Using Agentic AI","lifecycle coverage","multi-label","candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed | not observable in supplied material | unresolved | material mismatch","materials\FMRC-004.pdf","f9c46eff39e6687d5e3076ec9b1ae4e429035383dd266c40afa7bb4fe51a4788","candidate analysis;path and input exploration;execution observation","PDF page 8, extracted text line 821","infeasible: although triggered by a bug in the target function, the","The excerpt shows the coded workflow action(s); the material does not support stronger stages without an explicit action, object, and result or later use.","medium"
"FMRC-T017","FMRC-004","A150","FMS0648","FalseCrashReducer: Mitigating False Positive Crashes in OSS-Fuzz-Gen Using Agentic AI","cross-stage capability","multi-label","context aggregation / rule extraction | tool routing / strategy routing | feedback interpretation / loop adjustment | validation organization / evidence packaging | long-horizon state management | failure reuse / strategy update | governance / human gates / disclosure control | no qualifying label observed | not observable in supplied material | unresolved | material mismatch","materials\FMRC-004.pdf","f9c46eff39e6687d5e3076ec9b1ae4e429035383dd266c40afa7bb4fe51a4788","context aggregation / rule extraction","PDF page 9, extracted text line 961","fuzz drivers are then run continuously, dwarfing generation costs.","The excerpt shows information or feedback changing a later action/state under the revised cross-stage template; architecture or memory alone was excluded.","medium"
"FMRC-T018","FMRC-004","A150","FMS0648","FalseCrashReducer: Mitigating False Positive Crashes in OSS-Fuzz-Gen Using Agentic AI","primary system shape","single-label","candidate-analysis system | feedback-driven fuzzing agent | reproduction-, validation-, and repair-centered agent | long-horizon pentest and CRS agent | unresolved | material mismatch","materials\FMRC-004.pdf","f9c46eff39e6687d5e3076ec9b1ae4e429035383dd266c40afa7bb4fe51a4788","feedback-driven fuzzing agent","PDF p.1","edu Abstract Fuzz testing has become a cornerstone technique for identifying software bugs and security vulnerabilities, with broad adoption in both industry and open-source communities.","Independent recheck supports feedback-driven fuzzing agent for the stated evaluation only; stronger deployment or external claims require additional evidence.","high"
"FMRC-T019","FMRC-004","A150","FMS0648","FalseCrashReducer: Mitigating False Positive Crashes in OSS-Fuzz-Gen Using Agentic AI","principal reported evidence output","single-label","candidate judgment | controlled task completion | runtime safety signal | reproducible validation | externally traceable material | unresolved | material mismatch","materials\FMRC-004.pdf","f9c46eff39e6687d5e3076ec9b1ae4e429035383dd266c40afa7bb4fe51a4788","controlled task completion","PDF p.1","edu Abstract Fuzz testing has become a cornerstone technique for identifying software bugs and security vulnerabilities, with broad adoption in both industry and open-source communities.","Independent recheck supports controlled task completion for the stated evaluation only; stronger deployment or external claims require additional evidence.","high"
"FMRC-T020","FMRC-004","A150","FMS0648","FalseCrashReducer: Mitigating False Positive Crashes in OSS-Fuzz-Gen Using Agentic AI","external traceability","single-label","no external trace reported | author-reported external clue | item-aligned external record | not observable in supplied material | unresolved | material mismatch","materials\FMRC-004.pdf","f9c46eff39e6687d5e3076ec9b1ae4e429035383dd266c40afa7bb4fe51a4788","no external trace reported","PDF page 10, extracted text line 1063","than maintainers can fix, as seen in OSS-Fuzz [59] and Syzkaller [1].","The excerpt is limited to the paper's stated external record relationship; benchmark ground truth or public background is not treated as item-level traceability.","medium"
"FMRC-T021","FMRC-005","A139","CP221","Quality-Assured Fuzz Harness Generation via the Four Principles Framework","lifecycle coverage","multi-label","candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed | not observable in supplied material | unresolved | material mismatch","materials\FMRC-005.pdf","018da1de0f6bcd578bb7e71bdedcaf9dcc3954faac4f463954266dad35a7f802","path and input exploration;execution observation","PDF page 4, extracted text line 154","as the primary feedback. It continuously generates a large number of test inputs to repeatedly","The excerpt shows the coded workflow action(s); the material does not support stronger stages without an explicit action, object, and result or later use.","medium"
"FMRC-T022","FMRC-005","A139","CP221","Quality-Assured Fuzz Harness Generation via the Four Principles Framework","cross-stage capability","multi-label","context aggregation / rule extraction | tool routing / strategy routing | feedback interpretation / loop adjustment | validation organization / evidence packaging | long-horizon state management | failure reuse / strategy update | governance / human gates / disclosure control | no qualifying label observed | not observable in supplied material | unresolved | material mismatch","materials\FMRC-005.pdf","018da1de0f6bcd578bb7e71bdedcaf9dcc3954faac4f463954266dad35a7f802","context aggregation / rule extraction;tool routing / strategy routing","PDF page 11, extracted text line 626","Then, please regenerate the answer based on your","The excerpt shows information or feedback changing a later action/state under the revised cross-stage template; architecture or memory alone was excluded.","medium"
"FMRC-T023","FMRC-005","A139","CP221","Quality-Assured Fuzz Harness Generation via the Four Principles Framework","primary system shape","single-label","candidate-analysis system | feedback-driven fuzzing agent | reproduction-, validation-, and repair-centered agent | long-horizon pentest and CRS agent | unresolved | material mismatch","materials\FMRC-005.pdf","018da1de0f6bcd578bb7e71bdedcaf9dcc3954faac4f463954266dad35a7f802","feedback-driven fuzzing agent","PDF p.1","Investigating Metamorphic Fuzz Oracle Enhancement via Large Language Models RUIXIANG QIAN,State Key Laboratory for Novel Software Technology, China DING YANG,State Key Laboratory for Novel Software Technology, China ZENGXU CHEN,State Key Laboratory for Novel Software Technology, China YUXUAN GAO,State Key Laboratory for Novel Software Technology, China CHUNRONG FANG∗,State Key Laboratory for Novel Software Technology, China CHAO ZHANG,Tsinghua University, China ZHENYU CHEN∗,State Key Laboratory for Novel Software Technology, China Fuzz drivers are important components of greybox fuzzing; they ","Independent recheck supports feedback-driven fuzzing agent for the stated evaluation only; stronger deployment or external claims require additional evidence.","high"
"FMRC-T024","FMRC-005","A139","CP221","Quality-Assured Fuzz Harness Generation via the Four Principles Framework","principal reported evidence output","single-label","candidate judgment | controlled task completion | runtime safety signal | reproducible validation | externally traceable material | unresolved | material mismatch","materials\FMRC-005.pdf","018da1de0f6bcd578bb7e71bdedcaf9dcc3954faac4f463954266dad35a7f802","runtime safety signal","PDF p.1","Investigating Metamorphic Fuzz Oracle Enhancement via Large Language Models RUIXIANG QIAN,State Key Laboratory for Novel Software Technology, China DING YANG,State Key Laboratory for Novel Software Technology, China ZENGXU CHEN,State Key Laboratory for Novel Software Technology, China YUXUAN GAO,State Key Laboratory for Novel Software Technology, China CHUNRONG FANG∗,State Key Laboratory for Novel Software Technology, China CHAO ZHANG,Tsinghua University, China ZHENYU CHEN∗,State Key Laboratory for Novel Software Technology, China Fuzz drivers are important components of greybox fuzzing; they ","Independent recheck supports runtime safety signal for the stated evaluation only; stronger deployment or external claims require additional evidence.","high"
"FMRC-T025","FMRC-005","A139","CP221","Quality-Assured Fuzz Harness Generation via the Four Principles Framework","external traceability","single-label","no external trace reported | author-reported external clue | item-aligned external record | not observable in supplied material | unresolved | material mismatch","materials\FMRC-005.pdf","018da1de0f6bcd578bb7e71bdedcaf9dcc3954faac4f463954266dad35a7f802","no external trace reported","PDF page 22, extracted text line 1364","We thus call for better oracle design from vendors and highlight the need for automated techniques","The excerpt is limited to the paper's stated external record relationship; benchmark ground truth or public background is not treated as item-level traceability.","medium"
"FMRC-T026","FMRC-006","A157","CP068","LLAMA: multi-feedback smart contract fuzzing framework with LLM-guided seed generation","lifecycle coverage","multi-label","candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed | not observable in supplied material | unresolved | material mismatch","materials\FMRC-006.txt","c7b357edef22fa892efc7b9d3da7417962af51a2ef3769ae466b0b028042dc01","path and input exploration;execution observation","TXT paragraph 1, character offset 1486","weight pre-fuzzing phase that validates code. Such code are prone to vulnerab","The excerpt shows the coded workflow action(s); the material does not support stronger stages without an explicit action, object, and result or later use.","medium"
"FMRC-T027","FMRC-006","A157","CP068","LLAMA: multi-feedback smart contract fuzzing framework with LLM-guided seed generation","cross-stage capability","multi-label","context aggregation / rule extraction | tool routing / strategy routing | feedback interpretation / loop adjustment | validation organization / evidence packaging | long-horizon state management | failure reuse / strategy update | governance / human gates / disclosure control | no qualifying label observed | not observable in supplied material | unresolved | material mismatch","materials\FMRC-006.txt","c7b357edef22fa892efc7b9d3da7417962af51a2ef3769ae466b0b028042dc01","feedback interpretation / loop adjustment;context aggregation / rule extraction","TXT paragraph 1, character offset 89","Feedback Smart Contract Fuzzing Framework With LLM-Guided Seed Generat","The excerpt shows information or feedback changing a later action/state under the revised cross-stage template; architecture or memory alone was excluded.","medium"
"FMRC-T028","FMRC-006","A157","CP068","LLAMA: multi-feedback smart contract fuzzing framework with LLM-guided seed generation","primary system shape","single-label","candidate-analysis system | feedback-driven fuzzing agent | reproduction-, validation-, and repair-centered agent | long-horizon pentest and CRS agent | unresolved | material mismatch","materials\FMRC-006.txt","c7b357edef22fa892efc7b9d3da7417962af51a2ef3769ae466b0b028042dc01","feedback-driven fuzzing agent","PDF p.1","A fundamental security concern arises from the strict structurally valid, context-aware multi-transaction initial seeds, dependence of smart contract execution on the underlying together with a lightweight pre-fuzzing phase that validates code. Such code are prone to vulnerabilities stemming from and prioritizes high-potential LLM-generated candidates; 2) a design flaws or implementation errors, causing irreversible multi-feedback-guided evolutionary optimization module that hazards once exploited [7].","Independent recheck supports feedback-driven fuzzing agent for the stated evaluation only; stronger deployment or external claims require additional evidence.","high"
"FMRC-T029","FMRC-006","A157","CP068","LLAMA: multi-feedback smart contract fuzzing framework with LLM-guided seed generation","principal reported evidence output","single-label","candidate judgment | controlled task completion | runtime safety signal | reproducible validation | externally traceable material | unresolved | material mismatch","materials\FMRC-006.txt","c7b357edef22fa892efc7b9d3da7417962af51a2ef3769ae466b0b028042dc01","runtime safety signal","PDF p.1","A fundamental security concern arises from the strict structurally valid, context-aware multi-transaction initial seeds, dependence of smart contract execution on the underlying together with a lightweight pre-fuzzing phase that validates code. Such code are prone to vulnerabilities stemming from and prioritizes high-potential LLM-generated candidates; 2) a design flaws or implementation errors, causing irreversible multi-feedback-guided evolutionary optimization module that hazards once exploited [7].","Independent recheck supports runtime safety signal for the stated evaluation only; stronger deployment or external claims require additional evidence.","high"
"FMRC-T030","FMRC-006","A157","CP068","LLAMA: multi-feedback smart contract fuzzing framework with LLM-guided seed generation","external traceability","single-label","no external trace reported | author-reported external clue | item-aligned external record | not observable in supplied material | unresolved | material mismatch","materials\FMRC-006.txt","c7b357edef22fa892efc7b9d3da7417962af51a2ef3769ae466b0b028042dc01","no external trace reported","TXT paragraph 1, character offset 997","merged","The excerpt is limited to the paper's stated external record relationship; benchmark ground truth or public background is not treated as item-level traceability.","medium"
"FMRC-T031","FMRC-007","A064","FMS1338","Sifting the Noise: A Comparative Study of LLM Agents in Vulnerability False Positive Filtering","lifecycle coverage","multi-label","candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed | not observable in supplied material | unresolved | material mismatch","materials\FMRC-007.pdf","ed09e8edaeedf08f2fe008efe5087b996182ed4f0eb1cffcd759bd401b2f846f","candidate analysis","PDF page 7, extracted text line 316","generated by the SAST tools for the target file, (2) access to the test code, and (3) a prompt instructing","The excerpt shows the coded workflow action(s); the material does not support stronger stages without an explicit action, object, and result or later use.","medium"
"FMRC-T032","FMRC-007","A064","FMS1338","Sifting the Noise: A Comparative Study of LLM Agents in Vulnerability False Positive Filtering","cross-stage capability","multi-label","context aggregation / rule extraction | tool routing / strategy routing | feedback interpretation / loop adjustment | validation organization / evidence packaging | long-horizon state management | failure reuse / strategy update | governance / human gates / disclosure control | no qualifying label observed | not observable in supplied material | unresolved | material mismatch","materials\FMRC-007.pdf","ed09e8edaeedf08f2fe008efe5087b996182ed4f0eb1cffcd759bd401b2f846f","context aggregation / rule extraction","PDF page 7, extracted text line 335","only environment and requires a triage decision based on the provided inputs. The complete prompt","The excerpt shows information or feedback changing a later action/state under the revised cross-stage template; architecture or memory alone was excluded.","medium"
"FMRC-T033","FMRC-007","A064","FMS1338","Sifting the Noise: A Comparative Study of LLM Agents in Vulnerability False Positive Filtering","primary system shape","single-label","candidate-analysis system | feedback-driven fuzzing agent | reproduction-, validation-, and repair-centered agent | long-horizon pentest and CRS agent | unresolved | material mismatch","materials\FMRC-007.pdf","ed09e8edaeedf08f2fe008efe5087b996182ed4f0eb1cffcd759bd401b2f846f","feedback-driven fuzzing agent","PDF p.2","In our empirical evaluation on the OWASP Benchmark [46], we observe that this problem is particularly severe: When aggregating findings across multiple mainstream SAST tools, the vast majority of non-vulnerable cases are flagged as suspicious by at least one scanner.","Independent recheck supports feedback-driven fuzzing agent for the stated evaluation only; stronger deployment or external claims require additional evidence.","high"
"FMRC-T034","FMRC-007","A064","FMS1338","Sifting the Noise: A Comparative Study of LLM Agents in Vulnerability False Positive Filtering","principal reported evidence output","single-label","candidate judgment | controlled task completion | runtime safety signal | reproducible validation | externally traceable material | unresolved | material mismatch","materials\FMRC-007.pdf","ed09e8edaeedf08f2fe008efe5087b996182ed4f0eb1cffcd759bd401b2f846f","reproducible validation","PDF p.2","In our empirical evaluation on the OWASP Benchmark [46], we observe that this problem is particularly severe: When aggregating findings across multiple mainstream SAST tools, the vast majority of non-vulnerable cases are flagged as suspicious by at least one scanner.","Independent recheck supports reproducible validation for the stated evaluation only; stronger deployment or external claims require additional evidence.","high"
"FMRC-T035","FMRC-007","A064","FMS1338","Sifting the Noise: A Comparative Study of LLM Agents in Vulnerability False Positive Filtering","external traceability","single-label","no external trace reported | author-reported external clue | item-aligned external record | not observable in supplied material | unresolved | material mismatch","materials\FMRC-007.pdf","ed09e8edaeedf08f2fe008efe5087b996182ed4f0eb1cffcd759bd401b2f846f","no external trace reported","PDF page 20, extracted text line 1362","due to limited manual triage capacity, and most labels were assigned by the first author after patch","The excerpt is limited to the paper's stated external record relationship; benchmark ground truth or public background is not treated as item-level traceability.","medium"
"FMRC-T036","FMRC-008","A128","FMS0541","Directed Symbolic Execution for Vulnerability Discovery: An LLM-Guided Approach in KLEE","lifecycle coverage","multi-label","candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed | not observable in supplied material | unresolved | material mismatch","materials\FMRC-008.pdf","f4bc55b74bb2e989ca47b43005062ebfe555e08eed7d3549458cc699dd619729","candidate analysis;path and input exploration;execution observation","PDF page 6, extracted text line 303","rather than to guide path prioritization. Xu et al. [83] and Wang et al. [76] use LLM-generated test","The excerpt shows the coded workflow action(s); the material does not support stronger stages without an explicit action, object, and result or later use.","medium"
"FMRC-T037","FMRC-008","A128","FMS0541","Directed Symbolic Execution for Vulnerability Discovery: An LLM-Guided Approach in KLEE","cross-stage capability","multi-label","context aggregation / rule extraction | tool routing / strategy routing | feedback interpretation / loop adjustment | validation organization / evidence packaging | long-horizon state management | failure reuse / strategy update | governance / human gates / disclosure control | no qualifying label observed | not observable in supplied material | unresolved | material mismatch","materials\FMRC-008.pdf","f4bc55b74bb2e989ca47b43005062ebfe555e08eed7d3549458cc699dd619729","tool routing / strategy routing;feedback interpretation / loop adjustment","PDF page 23, extracted text line 1476","Xiong. 2025. Utilizing Precise and Complete Code Context to Guide LLM in Automatic False Positive Mitigation.","The excerpt shows information or feedback changing a later action/state under the revised cross-stage template; architecture or memory alone was excluded.","medium"
"FMRC-T038","FMRC-008","A128","FMS0541","Directed Symbolic Execution for Vulnerability Discovery: An LLM-Guided Approach in KLEE","primary system shape","single-label","candidate-analysis system | feedback-driven fuzzing agent | reproduction-, validation-, and repair-centered agent | long-horizon pentest and CRS agent | unresolved | material mismatch","materials\FMRC-008.pdf","f4bc55b74bb2e989ca47b43005062ebfe555e08eed7d3549458cc699dd619729","reproduction-, validation-, and repair-centered agent","PDF p.1","Directed Symbolic Execution for Vulnerability Discovery: An LLM-Guided Approach in KLEE LINGFENG CHEN,Kyushu University, Japan TAO XIAO∗,Kyushu University, Japan MASANARI KONDO,Kyushu University, Japan YASUTAKA KAMEI,Kyushu University, Japan Symbolic execution effectively discovers security violations but suffers from path explosion.","Independent recheck supports reproduction-, validation-, and repair-centered agent for the stated evaluation only; stronger deployment or external claims require additional evidence.","high"
"FMRC-T039","FMRC-008","A128","FMS0541","Directed Symbolic Execution for Vulnerability Discovery: An LLM-Guided Approach in KLEE","principal reported evidence output","single-label","candidate judgment | controlled task completion | runtime safety signal | reproducible validation | externally traceable material | unresolved | material mismatch","materials\FMRC-008.pdf","f4bc55b74bb2e989ca47b43005062ebfe555e08eed7d3549458cc699dd619729","reproducible validation","PDF p.1","Directed Symbolic Execution for Vulnerability Discovery: An LLM-Guided Approach in KLEE LINGFENG CHEN,Kyushu University, Japan TAO XIAO∗,Kyushu University, Japan MASANARI KONDO,Kyushu University, Japan YASUTAKA KAMEI,Kyushu University, Japan Symbolic execution effectively discovers security violations but suffers from path explosion.","Independent recheck supports reproducible validation for the stated evaluation only; stronger deployment or external claims require additional evidence.","high"
"FMRC-T040","FMRC-008","A128","FMS0541","Directed Symbolic Execution for Vulnerability Discovery: An LLM-Guided Approach in KLEE","external traceability","single-label","no external trace reported | author-reported external clue | item-aligned external record | not observable in supplied material | unresolved | material mismatch","materials\FMRC-008.pdf","f4bc55b74bb2e989ca47b43005062ebfe555e08eed7d3549458cc699dd619729","no external trace reported","PDF page 26, extracted text line 1641","based on CVE Description Empowered by Large Language Models. In Proceedings of the 39th IEEE/ACM International","The excerpt is limited to the paper's stated external record relationship; benchmark ground truth or public background is not treated as item-level traceability.","medium"
"FMRC-T041","FMRC-009","A110","CP084","PentestAgent: incorporating LLM agents to automated penetration testing","lifecycle coverage","multi-label","candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed | not observable in supplied material | unresolved | material mismatch","materials\FMRC-009.txt","b6b0aa84b8cd0d85c2649fa79b702ae410e62631ede723690b561e34cc6b5026","candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit","TXT paragraph 1, character offset 949","agent systems. specialists. This complex process involves gathering information about the target system, identifying entry points, exploiting the Keywords system, and reporting findings. Despite its effectiveness, manual Penetration Testing, Large Language Mod","The excerpt shows the coded workflow action(s); the material does not support stronger stages without an explicit action, object, and result or later use.","medium"
