task_id,case_id,study_title,field,field_type,allowed_labels,source_url,included_local_file,evidence_location_lead,evidence_excerpt_lead,final_label,verified_evidence_locator,brief_reason,confidence,unresolved,reviewer_initials,review_date,completion_check
R2-011,A104,MALF: a multi-agent LLM framework for intelligent fuzzing of industrial control protocols,principal reported evidence output,single-label,candidate judgment | controlled task completion | runtime safety signal | reproducible validation | externally traceable material,https://arxiv.org/abs/2510.02694,papers_corrected/A104.pdf,"https://arxiv.org/abs/2510.02694 | Paper pp. 1–10 (architecture/workflows), pp. 11–18 (evaluation), and pp. 18–19 (Table 5, CNVD-2024-16009 and Figure 13). | excerpt pages 5, 19","[p.5] In MALF, RAG retrieves information (e.g., command structures, field formats, vendor-specific constraints) from structured ICP documents (e.g., Modbus/TCP, S7, Ethernet/IP) and vulnerability databases (e.g., CVE, CNVD). [p.19] Device Vulnerability Description Security Issue Reference SIEMENS S7-300 Denial of Service Vulnera- bility Device crashed CVE-2016-3949 Input Validation Vulnerabil- ity Device crashed CVE-2015-2177 Controller Password Protec- tion Vulnerability Device access compro- mised CVE-2015-0004 Plaintext Unverified Proto- col Vulnerability Data leakage or device ex- posure CVE-2015-0019 PLC Memory Read/Write Vulnerability Device memory corrupted CVE-2015-0015 I/O Module Stoppage Device functionality dis- rupted Under review SIEMENS S7-1200 CPU Device CRLF Injec- tion Vulnerability Device crashed CVE-2014-2909 CPU Device Cross-Site Scripting (XSS) Device compromised CVE-2014-2908 Network Server Cross-",runtime safety signal,"p.1, Abstract; pp.14-17, Sec. 5.2-5.4, Tables 2-4; pp.18-20, Sec. 5.5 and Table 5",MALF 的主要结果围绕测试执行产生的安全信号展开：Table 2 用 TCPR 和 ETN 汇总三类工业协议上的通过率与异常触发数，Table 3 报告协议覆盖率和 Shannon entropy，p.18 的 Sec. 5.5 进一步说明三轮 24 小时测试中由 PLC 触发崩溃、通信丢失和设备功能中断等结果。论文因此主要报告运行时异常/安全信号，而不是逐项可复现材料集合。,high,no,OY,2026-08-24,ready
R2-012,A153,Locus: Agentic Predicate Synthesis for Directed Fuzzing,principal reported evidence output,single-label,candidate judgment | controlled task completion | runtime safety signal | reproducible validation | externally traceable material,https://obj.umiacs.umd.edu/locus/2508.21302v3.pdf,papers/A153.pdf,validation p.1; evaluation p.1,"[validation p.1] thus difficult to generalize to diverse target states and programs. Concept (PoC) exploits of vulnerabilities [7, 56]. While the original We present Locus, a novel framework to improve the efficiency purpose of directed fuzzing is largely not for discovering new bugs, of directed fuzzing. Our key insight is to synthesize predicates [evaluation p.1] if x==42 has the distance metric of |𝑥 −42|. However, such feedback Our evaluation shows that Locus substantially improves the effi- is sometimes too sparse or indirect to reliably measure the progress, ciency of eight state-of-the-art fuzzers in discovering real-world especially when there is a long chain of implicit preconditions vuln",runtime safety signal,p.1; papers/A153.pdf,"p.1 报告“While the original purpose of directed fuzzing is largely not for discovering new bugs, i.e.,it needs a specified target, it has found numerous impactful zero-day vulnerabilities [9, 53, 68, 78, 93].”。主要结果以覆盖、崩溃、运行时违规或新 bug 等运行信号呈现。",high,no,OY,2026-08-24,ready
R2-013,A177,ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis,cross-stage capability,multi-label,context aggregation / rule extraction | tool routing / strategy routing | feedback interpretation / loop adjustment | validation organization / evidence packaging | long-horizon state management | failure reuse / strategy update | governance / human gates / disclosure control | no qualifying label observed,https://doi.org/10.1109/FMLDS67896.2025.00022,papers/A177.txt,"urn:isbn:979-8-3315-5397-5 | Paper pp. 1–3 (pipeline and feedback loop), pp. 4–5 (evaluation and Listings 1–2), and p. 6 (conclusion). | excerpt pages 1","[p.1] Some examples of these tools are presented as follows. [p.1] These tools either op- erate at a higher protocol layer, require manual intervention to triage crashes, or are constrained to specific domains (e.g. blockchain, Java libraries, heap contexts).",feedback interpretation / loop adjustment,p.5; papers/A177.txt,"feedback interpretation / loop adjustment: p.5“Fuzzing this feedback loop—capturing execution logs, returning them is an automated software-testing technique that feeds programs to AI-ExploitGen for refinement.”。引文分别说明前序信息/反馈如何改变后续检索、生成、验证、记忆或审查动作。",high,no,OY,2026-08-24,ready
R2-014,A134,AutoPT: How Far Are We from the End2End Automated Web Penetration Testing?,cross-stage capability,multi-label,context aggregation / rule extraction | tool routing / strategy routing | feedback interpretation / loop adjustment | validation organization / evidence packaging | long-horizon state management | failure reuse / strategy update | governance / human gates / disclosure control | no qualifying label observed,https://arxiv.org/pdf/2411.01236,papers/A134.pdf,feedback p.2; action p.1,"[feedback p.2] been applied to tasks that require interaction with the environment through agents [36, 40, 62], such as code execution feedback and real-world scene interaction. Despite the significant efforts of tens of thousands of penetration testing researchers worldwide, fully automated penetration testing has remained challenging for an extended period [2, 62]. Recently, several studies have aimed at helping humans perform penetration testing, such as PentestGPT [13]. Nevertheless, they neces [action p.1] framework of penetration testing tasks, but they still face limitations in generating accurate commands and executing complete processes. Accordingly, we summarize the current challenges, including the difficulty of maintaining the entire message history and the tendency for the agent to become stuck. Based on the abo",no qualifying label observed,p.7; papers/A134.pdf,"论文描述的相关流程为“Action: EXECMD Action Input: ping -c 4 172.19.0.1 Test History Correct steps Trial and Error Steps Irrelevant and Hallucination Steps {“count”: 0, “flag”: “success”, “runtime”: 713.7750873565674, “commands”: [“xray ws --url 172.17.0.1:8999\n”, “[URL of the xray scan results]\n”, “curl ‘http://172.17.0.1:8999/druid/indexer/v1/sampler’ -H ‘Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/a”。全文未定位到可核查的“前序信息或反馈 -> 后续动作改变”链条，故不把多模块并列或普通人工评估计为 cross-stage capability。",medium,no,OY,2026-08-24,ready
R2-015,A005,Construction and Evaluation of LLM-based agents for Semi-Autonomous penetration testing,cross-stage capability,multi-label,context aggregation / rule extraction | tool routing / strategy routing | feedback interpretation / loop adjustment | validation organization / evidence packaging | long-horizon state management | failure reuse / strategy update | governance / human gates / disclosure control | no qualifying label observed,https://arxiv.org/pdf/2502.15506,papers/A005.pdf,feedback p.2; action p.1,"[feedback p.2] (Madaan et al., 2023) en- execution. The system is designed to be independent of ables an LLM to generate feedback on its initial output and specific environments, enabling penetration testing using iteratively refine it on the basis of that feedback. Addi- tools executable on the Kali Linux command line. tionally, ReAct (Yao et al., 2023) is a prompting method that alternates between reasoning and action generation, en- 3.2. Planning Mo [action p.1] netration testing includes expert support system that semi-autonomously executes complex systems for strategy formulation and execution planning cybersecurity workflows by employing multiple (Deng et al., 2024), autonomy focused on post-exploitation LLMs modules to formulate attack strategies,",feedback interpretation / loop adjustment,p.3; papers/A005.pdf,"feedback interpretation / loop adjustment: p.3“onstruction and Evaluation of LLM-based agents for Semi-Autonomous penetration testing MITRE ATT&CK framework (noa, d) and ensures that all recorded execution results are accessible to every module. The module’s architecture draws inspiration from Self- Refine and ReAct.”。引文分别说明前序信息/反馈如何改变后续检索、生成、验证、记忆或审查动作。",high,no,OY,2026-08-24,ready
R2-016,A071,Co-RedTeam: orchestrated security discovery and exploitation with LLM agents,cross-stage capability,multi-label,context aggregation / rule extraction | tool routing / strategy routing | feedback interpretation / loop adjustment | validation organization / evidence packaging | long-horizon state management | failure reuse / strategy update | governance / human gates / disclosure control | no qualifying label observed,https://arxiv.org/abs/2602.02164,papers/A071.pdf,"https://arxiv.org/abs/2602.02164 | Paper pp. 1–3 (Abstract and contribution), pp. 4–8 (discovery/exploitation agents, feedback and memory), and pp. 8–13 (Tables 1–3, ablations and conclusion). | excerpt pages 2, 3","[p.2] We proposeCo - Re d Te am, a security-aware multi-agent framework for automatic software vulnerability discovery and exploitation, explicitly designed to overcome core limitations of existing LLM-based security systems, namely brittle single-shot reasoning, lack of execution-grounded validation, and the inability to learn from prior attacks. [p.3] Co - Re d Te amis a security-aware multi-agent framework for automatic vulnerability discovery and exploitation.(Top) Given a target codebase (and optional vulnerability hints), the orchestrator coordinates two stages.Stage I ( Vulnerability Discovery): Analysis and Critique agents discuss together leveraging code-browsing tools and security documen- tation to identify and validate candidate vulnerabilities with concrete evidence.Stage II (Iterative Exploitation): Planning, Validation, Execution, and Evaluation agents interact with an isolated execution environment to iteratively reproduce vulnerabilities through execution-grounded feed",tool routing / strategy routing; feedback interpretation / loop adjustment; validation organization / evidence packaging; long-horizon state management,p.4；p.6；p.9；p.12; papers/A071.pdf,"tool routing / strategy routing: p.4“The orchestrator is responsible for initializing all agent instances and configuring their capabil- ities throughrole-aware tool assignment.”；feedback interpretation / loop adjustment: p.9“In contrast, VulTrail and RepoAudit exhibit notably weaker performance, particularly on exploitation tasks, as they do not incorporate execution feedback into their reasoning loop. This gap highlights the critical role of interaction with the execution environment and iterative refinement for validating and reproducing real-world vulnerabilities.”；validation organization / evidence packaging: p.6“Execution results include structured status signals, raw outputs, and error messages.”；long-horizon state management: p.12“Together, these results demonstrate that long-term memory is not only useful for initialization but essential for enabling cumulative, experience-driven improvement in security exploitation tasks.”。引文分别说明前序信息/反馈如何改变后续检索、生成、验证、记忆或审查动作。",high,no,OY,2026-08-24,ready
R2-017,A117,Orion: Fuzzing Workflow Automation,cross-stage capability,multi-label,context aggregation / rule extraction | tool routing / strategy routing | feedback interpretation / loop adjustment | validation organization / evidence packaging | long-horizon state management | failure reuse / strategy update | governance / human gates / disclosure control | no qualifying label observed,https://arxiv.org/pdf/2509.15195,papers/A117.pdf,feedback p.1; action p.1,"[feedback p.1] utomatically, the overall workflow, from ana- Post-execution, the analyst must analyze results: triaging crash- lyzing a codebase, to configuring harnesses, to triaging results, still ing inputs, interpreting stack traces, and identifying root causes. Fi- arXiv:2509.15195v1 [cs.SE] 18 Sep 2025 requires substantial manual effort. Prior attempts focused on single nally [action p.1] uzz testing is one of the most effective techniques for finding soft- trate valid input structures and allow the fuzzer to exercise deeper ware vulnerabilities. While modern fuzzers can generate inputs and execution paths. monitor executions automatically, the overall workflow, from ana- Post-execution, the analyst must analyze results: triaging cra",feedback interpretation / loop adjustment,p.3; papers/A117.pdf,"feedback interpretation / loop adjustment: p.3“Coverage feedback can trigger harness or seed adjustments, while crashes are analyzed by down- stream agents.”。引文分别说明前序信息/反馈如何改变后续检索、生成、验证、记忆或审查动作。",high,no,OY,2026-08-24,ready
R2-018,A098,PentestEval: Benchmarking LLM-based Penetration Testing with Modular and Stage-Level Design,lifecycle coverage,multi-label,candidate analysis | path and input exploration | execution observation | reproduction and validation | patch validation | reporting and audit | no qualifying label observed,https://arxiv.org/pdf/2512.14233,papers/A098.pdf,action p.1; validation p.2,"[action p.1] netration testing approaches [1], [2] involve a rigorous, often the first modular benchmarking framework specifically de- labor-intensive process in which expert security profession- signed for fine-grained and rigorous assessment of LLM als systematically probe systems, networks, and applications performance in the stages of the penetration test [validation p.2] 39% success with manual execution and 31% with and validating potential weaknesses in the target environment. automation, fully autonomous agents fail catastrophically a) Information Collection (IC): This stage corresponds (PentestAgent 3%, VulnBot 6%), demonstrating that current",execution observation; reproduction and validation,p.3; papers/A098.pdf,"execution observation: p.3“This stage aims to iteratively refine such exploits based on the observed execution feedback. Formally, given the execution responser i and the original exploite i, the system generates a revised exploitˆei using the function: ˆei =F expR(ri, ei) Here,F expR denotes the exploit revision function, which ana- lyzes the runtime behavior and adjusts the exploit accordingly.”；reproduction and validation: p.3“Each selected weaknessw i includes not only technical details (e.g., affected component, proof of concept), but also a concrete attack intent describing the expected outcome by exploiting this weakness (e.g., uploading a webshell, triggering remote code execution).”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",high,no,OY,2026-08-24,ready
R2-019,A172,MemRepair: Hierarchical Memory for Agentic Repository-Level Vulnerability Repair,primary system shape,single-label,"candidate-analysis system | feedback-driven fuzzing agent | reproduction-, validation-, and repair-centered agent | long-horizon pentest and CRS agent",https://arxiv.org/abs/2605.17444,papers/A172.pdf,"https://arxiv.org/abs/2605.17444 | Paper pp. 1–5 (hierarchical memory/refinement loop), pp. 5–10 (evaluation, cases and conclusion). | excerpt pages 1, 2","[p.1] This design allows the agent to retrieve repository- specific repair conventions, apply reusable security defenses, and exploit prior “failure-to-success” trajectories to revise semantically invalid patches based on runtime evidence. [p.2] The goal is to synthesize a patch 𝛿 yielding a patched version P′ =P ⊕𝛿 that satisfies two semantic constraints: (1) Functionality Preservation.The patch must maintain existing functionality, ensuring no regressions on passing tests: ∀𝑡∈ T:P (𝑡)=Pass=⇒ P ′ (𝑡)=Pass(1) (2) Vulnerability Mitigation.The patch must resolve the defect captured by the PoC𝜏 𝑣𝑢𝑙𝑛 (whereP (𝜏 𝑣𝑢𝑙𝑛 )=Fail): P′ (𝜏𝑣𝑢𝑙𝑛 )=Pass(2) The vulnerability repair task is to find a 𝛿 satisfying Eq. (1) and Eq. (2), treating 𝜏𝑣𝑢𝑙𝑛 as the security target and T as the semantic boundary.","reproduction-, validation-, and repair-centered agent",p.1; papers/A172.pdf,"论文将主要系统任务表述为“emRepair: Hierarchical Memory for Agentic Repository-Level Vulnerability Repair Simiao Liu Beihang University Beijing, China buaalsm@buaa.edu.cn Li Zhang Beihang University Beijing, China lily@buaa.edu.cn Fang Liu∗ Beihang University Beijing, China fangliu@buaa.edu.cn Xiaoli Lian Beihang University Beijing, China lianxiaoli@buaa.edu.cn Yang Liu Beihang University Beijing, China liuyang26@buaa.edu.cn Yinghao Zhu The University o”。按主任务及主要评价对象，agent 控制的中心落在 reproduction-, validation-, and repair-centered agent，而不是由 agent 数量或系统名称推定。",high,no,OY,2026-08-24,ready
R2-020,A188,Argus: Reorchestrating Static Analysis via a Multi-Agent Ensemble for Full-Chain Security Vulnerability Detection,principal reported evidence output,single-label,candidate judgment | controlled task completion | runtime safety signal | reproducible validation | externally traceable material,https://arxiv.org/abs/2604.06633,papers/A188.pdf,"paper p.5, Fig.1; p.7, CallGraph Agent; p.8, Source/Sink Agent","The agents build call-graph, source, and sink specifications that are used by the subsequent analysis workflow.",candidate judgment,p.7; papers/A188.pdf,"p.7 报告“As shown in Table 2, Argus achieves a con- sistently higher number of sinks compared with all baselines, and a significantly higher number of detected vulnerabilities, indicating substantial progress from traditional SAST tools and LLM- assisted analysis to LLM-centered automatic and # Vuln./# Sinks Bare Argus Extra with RAG PublicCMS 5/7 1/1 JeecgBoot 3/9 0/0 Ruoyi 3/3 0/0 JSPWiki 5/7 0/0 DataGear 3/10 3/1 Yudao-Cloud 0/0 0/0”。主要结果是检测、分类或定位候选的判断指标。",high,no,OY,2026-08-24,ready
