cohort,record_id,title,first_lifecycle,second_lifecycle,first_capability,second_capability,first_primary_shape,second_primary_shape,first_principal_evidence,second_principal_evidence,first_external_traceability,second_external_traceability
released_67,C17,Synthesizing multi-agent harnesses for vulnerability discovery,execution observation;path and input exploration;reporting and audit;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,"reproduction-, validation-, and repair-centered agent",long-horizon pentest and CRS agent,reproducible validation,externally traceable material,no external trace reported,publicly aligned external trace
released_67,C18,PentestAgent: incorporating LLM agents to automated penetration testing,candidate analysis;execution observation;path and input exploration,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,no external trace reported,benchmark ground truth / public material
released_67,C19,LIVA: a multi-agent LLM-assisted system for IoT vulnerability analysis,candidate analysis,candidate analysis;reporting and audit,context aggregation / rule extraction;tool routing / strategy routing,context aggregation / rule extraction;tool routing / strategy routing,candidate-analysis system,candidate-analysis system,candidate judgment,externally traceable material,author-reported external clue,publicly aligned external trace
released_67,C20,FirmAgent: leveraging fuzzing to assist LLM agents with IoT firmware vulnerability discovery,candidate analysis;execution observation;path and input exploration;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",reproducible validation,reproducible validation,author-reported external clue,author-reported external clue
released_67,C21,PANGOLIN: fuzzing multilingual IoT firmware with LLM-driven code analysis,candidate analysis;execution observation;path and input exploration,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,feedback-driven fuzzing agent,feedback-driven fuzzing agent,runtime safety signal,externally traceable material,author-reported external clue,publicly aligned external trace
released_67,C22,TransferFuzz-pro: LLM-driven code debugging for verifying propagated vulnerability,execution observation;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",reproducible validation,reproducible validation,no external trace reported,benchmark ground truth / public material
released_67,C23,Cybench: A Framework for Evaluating Cybersecurity Capabilities and Risks of Language Models,execution observation;path and input exploration,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,no external trace reported,benchmark ground truth / public material
released_67,C24,BountyBench: Dollar Impact of AI Agent Attackers and Defenders on Real-World Cybersecurity Systems,candidate analysis;execution observation;patch validation;reproduction and validation,candidate analysis;execution observation;patch validation;path and input exploration;reporting and audit;reproduction and validation,feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,long-horizon state management;validation organization / evidence packaging,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,reproducible validation,benchmark ground truth / public material,benchmark ground truth / public material
released_67,C25,SEC-bench: Automated Benchmarking of LLM Agents on Real-World Software Security Tasks,patch validation;reproduction and validation,candidate analysis;execution observation;patch validation;path and input exploration;reporting and audit;reproduction and validation,feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",reproducible validation,reproducible validation,no external trace reported,benchmark ground truth / public material
released_67,C26,CyberGym: Evaluating AI Agents' Cybersecurity Capabilities with Real-World Vulnerabilities at Scale,execution observation;path and input exploration;reporting and audit;reproduction and validation,candidate analysis;execution observation;patch validation;path and input exploration;reporting and audit;reproduction and validation,failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,long-horizon pentest and CRS agent,"reproduction-, validation-, and repair-centered agent",reproducible validation,reproducible validation,benchmark ground truth / public material,author-reported external clue
released_67,C28,FuzzingBrain V2: A Multi-Agent LLM System for Automated Vulnerability Discovery and Reproduction,candidate analysis;execution observation;patch validation;path and input exploration;reporting and audit;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,long-horizon pentest and CRS agent,"reproduction-, validation-, and repair-centered agent",reproducible validation,externally traceable material,author-reported external clue,publicly aligned external trace
released_67,C29,Execution-State-Aware LLM Reasoning for Automated Proof-of-Vulnerability Generation,execution observation;reproduction and validation,candidate analysis;execution observation;path and input exploration;reproduction and validation,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",reproducible validation,reproducible validation,benchmark ground truth / public material,benchmark ground truth / public material
released_67,C30,OSS-CRS: Liberating AIxCC Cyber Reasoning Systems for Real-World Open-Source Security,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,candidate analysis;execution observation;patch validation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,reproducible validation,reproducible validation,author-reported external clue,author-reported external clue
released_67,C31,Contextualizing Sink Knowledge for Java Vulnerability Discovery,execution observation;path and input exploration;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,long-horizon state management,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,feedback-driven fuzzing agent,feedback-driven fuzzing agent,reproducible validation,reproducible validation,author-reported external clue,author-reported external clue
released_67,U01,RAVEN: Agentic RAG for Automated Vulnerability Repair,candidate analysis;patch validation,candidate analysis;patch validation;reporting and audit,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,candidate-analysis system,"reproduction-, validation-, and repair-centered agent",controlled task completion,controlled task completion,benchmark ground truth / public material,benchmark ground truth / public material
released_67,U02,Revelio: Cost-Efficient Agentic Memory Safety Vulnerability Detection For Repository-Scale Codebases,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",reproducible validation,externally traceable material,author-reported external clue,publicly aligned external trace
released_67,U03,"OpenAnt: LLM-Powered Vulnerability Discovery Through Code Decomposition, Adversarial Verification, and Dynamic Testing",candidate analysis;execution observation;path and input exploration;reproduction and validation,candidate analysis;execution observation;path and input exploration;reproduction and validation,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,"reproduction-, validation-, and repair-centered agent",candidate-analysis system,runtime safety signal,reproducible validation,author-reported external clue,no external trace reported
released_67,U04,Code-Augur: Agentic Vulnerability Detection via Specification Inference,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,feedback-driven fuzzing agent,feedback-driven fuzzing agent,externally traceable material,reproducible validation,publicly aligned external trace,publicly aligned external trace
released_67,U05,Transferable Self-Evolving Playbooks for Agentic Security Auditing,candidate analysis;reporting and audit,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,externally traceable material,benchmark ground truth / public material,publicly aligned external trace
released_67,U06,DIG: Oracle-Guided Directed Input Generation for One-Day Vulnerabilities,candidate analysis;execution observation;path and input exploration;reproduction and validation,candidate analysis;execution observation;path and input exploration;reproduction and validation,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,"reproduction-, validation-, and repair-centered agent",feedback-driven fuzzing agent,reproducible validation,reproducible validation,benchmark ground truth / public material,benchmark ground truth / public material
released_67,U07,"NeuroLog: Reasoning You Can Audit -- Neuro-Symbolic Vulnerability Discovery via LLM Facts, Datalog, and SMT",candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,candidate-analysis system,"reproduction-, validation-, and repair-centered agent",reproducible validation,reproducible validation,author-reported external clue,benchmark ground truth / public material
released_67,U08,EvoRepair: Enhancing Vulnerability Repair Agents Through Experience-Based Self-Evolution,candidate analysis;execution observation;patch validation,candidate analysis;execution observation;patch validation,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,"reproduction-, validation-, and repair-centered agent",long-horizon pentest and CRS agent,reproducible validation,reproducible validation,benchmark ground truth / public material,benchmark ground truth / public material
released_67,U09,Quality-Assured Fuzz Harness Generation via the Four Principles Framework,execution observation;path and input exploration;reporting and audit,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;governance / human gates / disclosure control;tool routing / strategy routing;validation organization / evidence packaging,feedback-driven fuzzing agent,feedback-driven fuzzing agent,reproducible validation,reproducible validation,author-reported external clue,author-reported external clue
released_67,U10,ContraFix: Skill-Enhanced Contrastive Runtime Analysis for Vulnerability Repair,candidate analysis;execution observation;patch validation;path and input exploration,candidate analysis;execution observation;patch validation,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",reproducible validation,reproducible validation,benchmark ground truth / public material,benchmark ground truth / public material
released_67,U11,MemRepair: Hierarchical Memory for Agentic Repository-Level Vulnerability Repair,candidate analysis;execution observation;patch validation,candidate analysis;execution observation;patch validation,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,"reproduction-, validation-, and repair-centered agent",long-horizon pentest and CRS agent,reproducible validation,reproducible validation,benchmark ground truth / public material,benchmark ground truth / public material
released_67,U12,Veritas: A Semantically Grounded Agentic Framework for Memory Corruption Vulnerability Detection in Binaries,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,candidate-analysis system,"reproduction-, validation-, and repair-centered agent",reproducible validation,reproducible validation,author-reported external clue,author-reported external clue
released_67,U13,FuzzAgent: Multi-Agent System for Evolutionary Library Fuzzing,candidate analysis;execution observation;path and input exploration;reporting and audit,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;feedback interpretation / loop adjustment;governance / human gates / disclosure control;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;governance / human gates / disclosure control;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,feedback-driven fuzzing agent,feedback-driven fuzzing agent,runtime safety signal,runtime safety signal,author-reported external clue,author-reported external clue
released_67,U14,Agentic Fuzzing: Opportunities and Challenges,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;governance / human gates / disclosure control;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,feedback-driven fuzzing agent,feedback-driven fuzzing agent,externally traceable material,externally traceable material,publicly aligned external trace,publicly aligned external trace
released_67,U15,Root-Cause-Driven Automated Vulnerability Repair,candidate analysis;execution observation;patch validation;path and input exploration,candidate analysis;execution observation;patch validation;path and input exploration;reproduction and validation,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",reproducible validation,reproducible validation,benchmark ground truth / public material,benchmark ground truth / public material
released_67,U16,Generating Proof-of-Vulnerability Tests to Help Enhance the Security of Complex Software,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",reproducible validation,reproducible validation,benchmark ground truth / public material,author-reported external clue
released_67,U17,FunFuzz: An LLM-Powered Evolutionary Fuzzing Framework,execution observation;path and input exploration;reporting and audit;reproduction and validation,execution observation;path and input exploration;reporting and audit;reproduction and validation,failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,feedback-driven fuzzing agent,feedback-driven fuzzing agent,externally traceable material,externally traceable material,publicly aligned external trace,publicly aligned external trace
released_67,U18,APIOT: Autonomous Vulnerability Management Across Bare-Metal Industrial OT Networks,candidate analysis;execution observation;patch validation;path and input exploration;reporting and audit;reproduction and validation,candidate analysis;execution observation;patch validation;path and input exploration;reporting and audit;reproduction and validation,feedback interpretation / loop adjustment;governance / human gates / disclosure control;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;governance / human gates / disclosure control;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,benchmark ground truth / public material,no external trace reported
released_67,U21,Symbolic Execution Meets Multi-LLM Orchestration: Detecting Memory Vulnerabilities in Incomplete Rust CVE Snippets,candidate analysis;execution observation;path and input exploration,candidate analysis;execution observation;path and input exploration;reporting and audit,context aggregation / rule extraction;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;tool routing / strategy routing;validation organization / evidence packaging,candidate-analysis system,"reproduction-, validation-, and repair-centered agent",reproducible validation,controlled task completion,benchmark ground truth / public material,benchmark ground truth / public material
released_67,U22,Automation-Exploit: A Multi-Agent LLM Framework for Adaptive Offensive Security with Digital Twin-Based Risk-Mitigated Exploitation,candidate analysis;execution observation;path and input exploration;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,feedback interpretation / loop adjustment;governance / human gates / disclosure control;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;governance / human gates / disclosure control;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,no external trace reported,no external trace reported
released_67,U23,Towards Optimal Agentic Architectures for Offensive Security Tasks,candidate analysis;execution observation;path and input exploration;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,benchmark ground truth / public material,benchmark ground truth / public material
released_67,U25,V2E: Validating Smart Contract Vulnerabilities through Profit-driven Exploit Generation and Execution,candidate analysis;execution observation;path and input exploration;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",reproducible validation,reproducible validation,benchmark ground truth / public material,benchmark ground truth / public material
released_67,U26,COBALT-TLA: A Neuro-Symbolic Verification Loop for Cross-Chain Bridge Vulnerability Discovery,candidate analysis;execution observation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,candidate-analysis system,candidate-analysis system,runtime safety signal,controlled task completion,benchmark ground truth / public material,benchmark ground truth / public material
