matrix_id,title,disagreement_direction,first_assignment,second_assignment,boundary_basis
C16,Taint-style vulnerability detection and confirmation for node.js packages using LLM agent reasoning,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
C18,PentestAgent: incorporating LLM agents to automated penetration testing,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
C19,LIVA: a multi-agent LLM-assisted system for IoT vulnerability analysis,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
C20,FirmAgent: leveraging fuzzing to assist LLM agents with IoT firmware vulnerability discovery,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
C21,PANGOLIN: fuzzing multilingual IoT firmware with LLM-driven code analysis,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
C22,TransferFuzz-pro: LLM-driven code debugging for verifying propagated vulnerability,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
C23,Cybench: A Framework for Evaluating Cybersecurity Capabilities and Risks of Language Models,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
C24,BountyBench: Dollar Impact of AI Agent Attackers and Defenders on Real-World Cybersecurity Systems,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
C25,SEC-bench: Automated Benchmarking of LLM Agents on Real-World Software Security Tasks,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
C31,Contextualizing Sink Knowledge for Java Vulnerability Discovery,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
U01,RAVEN: Agentic RAG for Automated Vulnerability Repair,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
U21,Symbolic Execution Meets Multi-LLM Orchestration: Detecting Memory Vulnerabilities in Incomplete Rust CVE Snippets,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
U22,Automation-Exploit: A Multi-Agent LLM Framework for Adaptive Offensive Security with Digital Twin-Based Risk-Mitigated Exploitation,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
U23,Towards Optimal Agentic Architectures for Offensive Security Tasks,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
U25,V2E: Validating Smart Contract Vulnerabilities through Profit-driven Exploit Generation and Execution,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
U26,COBALT-TLA: A Neuro-Symbolic Verification Loop for Cross-Chain Bridge Vulnerability Discovery,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
U28,PoC-Adapt: Semantic-Aware Automated Vulnerability Reproduction with LLM Multi-Agents and Reinforcement Learning-Driven Adaptive Policy,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
U29,Guiding Symbolic Execution with Static Analysis and LLMs for Vulnerability Discovery,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
U32,STRIATUM-CTF: A Protocol-Driven Agentic Framework for General-Purpose CTF Solving,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
U34,Coverage-Guided Multi-Agent Harness Generation for Java Library Fuzzing,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
U36,FuzzySQL: Uncovering Hidden Vulnerabilities in DBMS Special Features with LLM-Driven Fuzzing,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
U38,A Dual-Loop Agent Framework for Automated Vulnerability Reproduction,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
U40,VulnResolver: A Hybrid Agent Framework for LLM-Based Automated Vulnerability Issue Resolution,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS0134,Agent That Debugs: Dynamic State-Guided Vulnerability Repair,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS0152,Agentic Vulnerability Reasoning on COTS Binaries,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS0254,Automated Penetration Testing with LLM Agents and Classical Planning,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS0257,Automated Vulnerability Validation and Verification: A Large Language Model Approach,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS0267,AutoPatch: Multi-Agent Framework for Patching Real-World CVE Vulnerabilities,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS0281,AWE: Adaptive Agents for Dynamic Web Penetration Testing,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS0389,CKG-LLM: LLM-Assisted Detection of Smart Contract Access Control Vulnerabilities Based on Knowledge Graphs,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS0509,Decoupling Reconnaissance and Exploitation: Measuring the Capability Boundaries of LLM-Based Web Penetration Testing,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS0538,Diffploit: Facilitating Cross-Version Exploit Migration for Open Source Library Vulnerabilities,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS0648,FalseCrashReducer: Mitigating False Positive Crashes in OSS-Fuzz-Gen Using Agentic AI,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS0650,FaultLine: Automated Proof-of-Vulnerability Generation Using LLM Agents,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS0684,From LLMs to Agents: A Comparative Evaluation of LLMs and LLM-based Agents in Security Patch Detection,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS0698,From Trace to Line: LLM Agent for Real-World OSS Vulnerability Localization,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS0734,GPTScan: Detecting Logic Vulnerabilities in Smart Contracts by Combining GPT with Program Analysis,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS0914,LLM-BSCVM: An LLM-Based Blockchain Smart Contract Vulnerability Management Framework,first_only,positive,negative,"Final-positive cases record an explicit reporting, disclosure, or evidence-packaging transition that the second assignment did not mark."
FMS0922,LLM-JDFuzz: A Large Language Model-Based Automated Java Deserialization Payload Generation Framework,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS0945,Locus: Agentic Predicate Synthesis for Directed Fuzzing,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS0969,May the Feedback Be with You! Unlocking the Power of Feedback-Driven Deep Learning Framework Fuzzing via LLMs,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS1034,Neuro-symbolic Static Analysis with LLM-generated Vulnerability Patterns,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS1055,"One Signature, Multiple Payments: Demystifying and Detecting Signature Replay Vulnerabilities in Smart Contracts",second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS1083,PenForge: On-the-Fly Expert Agent Construction for Automated Penetration Testing,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS1087,PentestEval: Benchmarking LLM-based Penetration Testing with Modular and Stage-Level Design,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS1088,PentestMCP: LLM and MCP Based Multi-Agent Framework for Automated Penetration Testing,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS1093,"PILOT: Command-Line Interface Fuzzing Via Path-Guided, Iterative Large Language Model Prompting",first_only,positive,negative,"Final-positive cases record an explicit reporting, disclosure, or evidence-packaging transition that the second assignment did not mark."
FMS1095,PoCEvolve: Generating Proof-of-Concept Exploits from Security Patches with Vulnerability-Aware Prompt Evolution,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS1096,PoCGen: Generating Proof-of-Concept Exploits for Vulnerabilities in Npm Packages,first_only,positive,negative,"Final-positive cases record an explicit reporting, disclosure, or evidence-packaging transition that the second assignment did not mark."
FMS1098,PoCo: Agentic Proof-of-Concept Exploit Generation for Smart Contracts,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS1135,QLCoder: A Query Synthesizer For Static Analysis of Security Vulnerabilities,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS1149,RapidPen: Fully Automated IP-to-Shell Penetration Testing with LLM-based Agents,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS1161,Red-MIRROR: Agentic LLM-based Autonomous Penetration Testing with Reflective Verification and Knowledge-augmented Interaction,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS1227,SAVANT: Vulnerability Detection in Application Dependencies through Semantic-Guided Reachability Analysis,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS1239,SEC-bench Pro: Can Language Models Solve Long-Horizon Software Security Tasks?,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS1338,Sifting the Noise: A Comparative Study of LLM Agents in Vulnerability False Positive Filtering,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS1492,"Towards Effective Offensive Security LLM Agents: Hyperparameter Tuning, LLM as a Judge, and a Lightweight CTF Benchmark",second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS1514,Training Language Model Agents to Find Vulnerabilities with CTF-Dojo,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS1586,VulnBot: Autonomous Penetration Testing for A Multi-Agent Collaborative Framework,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS1607,Well Begun is Half Done: Location-Aware and Trace-Guided Iterative Automated Vulnerability Repair,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS1635,xOffense: An Autonomous Multi-Agent Framework for Penetration Testing with Domain-Adapted Large Language Models,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS1639,ZERO-APT: A Closed-Loop Adversarial Framework for LLM-Driven Automated Penetration Testing under Intelligent Defense,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS1640,ZeroDayBench: Evaluating LLM Agents on Unseen Zero-Day Vulnerabilities for Cyberdefense,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS0494,CyberChainBench: Can AI Agents Secure Smart Contracts Against Real-World On-Chain Vulnerabilities?,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS0090,A Systematic Study on Generating Web Vulnerability Proof-of-Concepts Using Large Language Models,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS0297,Benchmarking LLMs and LLM-based Agents in Practical Vulnerability Detection for Code Repositories,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS0558,DREA: Decoupled Reasoning and Exploration Agents for Repository-Level Vulnerability Detection,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS0659,Fixing Security Vulnerabilities with AI in OSS-Fuzz,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS1041,Okara: Detection and Attribution of TLS Man-in-the-Middle Vulnerabilities in Android Apps with Foundation Models,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS1081,Pen-Strategist: A Reasoning Framework for Penetration Testing Strategy Formation and Analysis,first_only,positive,negative,"Final-positive cases record an explicit reporting, disclosure, or evidence-packaging transition that the second assignment did not mark."
FMS1334,ShadowProbe: Language-Extensible Detection of Hidden Algorithmic Complexity Vulnerabilities,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
FMS1592,Vulnerability-Triggering Test Case Generation from Third-Party Libraries,second_only,negative,positive,"Second-coder-positive cases generally treat generated reports, packaged findings, or disclosed results as reporting/audit coverage; the final coding requires an observable workflow transition that packages or routes the result."
