"sample_id","case_id","record_id","title","benchmark_cve_public_dataset_used","evidence_locator","evidence_excerpt","reviewer_reason","reviewer_confidence"
"FMRC-011","A038","FMS1017","Multi-Agent Penetration Testing AI for the Web","yes","PDF page 1, extracted text line 1","benchmark, MAPTA achieves 76.9% overall success with","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-012","A106","FMS0558","DREA: Decoupled Reasoning and Exploration Agents for Repository-Level Vulnerability Detection","yes","PDF page 1, extracted text line 1","repository-grounded benchmark of validated Python vulnerability-","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-013","A169","FMS0733","GoAT-X: A Graph of Auditing Thoughts for Securing Token Transactions in Cross-Chain Contracts","yes","PDF page 1, extracted text line 1","comprehensive benchmark covering all known cross-chain token","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-014","A046","FMS1279","Securing Smart Contract Languages with a Unified Agentic Framework for Vulnerability Repair in Solidity and Move","yes","PDF page 1, extracted text line 1","and Move smart contracts. Unlike traditional methods that rely solely on vast pre-training datasets,","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-015","A083","FMS0914","LLM-BSCVM: An LLM-Based Blockchain Smart Contract Vulnerability Management Framework","yes","PDF page 1, extracted text line 1","detection accuracy and F1 score exceeding 91% on benchmark","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-016","A190","CP253","Multi-Agent Taint Specification Extraction for Vulnerability Detection","yes","PDF page 1, extracted text line 1","Brito et al. [18] curated a dataset of 957 known vul-","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-017","A164","FMS0297","Benchmarking LLMs and LLM-based Agents in Practical Vulnerability Detection for Code Repositories","yes","PDF page 1, extracted text line 1","particularly on function-level benchmarks like","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-018","A071","CP080","Co-RedTeam: orchestrated security discovery and exploitation with LLM agents","yes","PDF page 1, extracted text line 1","learning from prior trajectories. Extensive evaluations on challenging security benchmarks demon-","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-019","A153","FMS0945","Locus: Agentic Predicate Synthesis for Directed Fuzzing","yes","PDF page 1, extracted text line 1","106]. For example, triggering CVE-2018-13785 in libpng requires a","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-020","A182","FMS1571","VEXAIoT: Autonomous IoT Vulnerability EXploitation using AI Agents","yes","PDF page 1, extracted text line 1","IoT devices have many known vulnerabilities that are diffi-","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-021","A174","FMS0109","Advanced Smart Contract Vulnerability Detection via LLM-Powered Multi-Agent Systems","yes","PDF page 1, extracted text line 1","SmartAudit was tested on three datasets: a benchmark for","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-022","A142","CP249","QRS: A Rule-Synthesizing Neuro-Symbolic Triad for Autonomous Vulnerability Discovery","yes","PDF page 1, extracted text line 1","than isolated snippets. In 20 historical CVEs in popular PyPI libraries, QRS achieves 90.6%","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-023","A089","CP082","Taint-style vulnerability detection and confirmation for node.js packages using LLM agent reasoning","yes","PDF page 1, extracted text line 1","public benchmarks, LLMVD.js confirms 84% of the vulnerabilities,","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-024","A032","CP132","SEC-bench: Automated Benchmarking of LLM Agents on Real-World Software Security Tasks","yes","PDF page 1, extracted text line 1","development lifecycle. However, existing benchmarks largely rely on synthetic","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-025","A039","CP251","Multi-Agent End-to-End Vulnerability Management for Mitigating Recurring Vulnerabilities","yes","PDF page 1, extracted text line 1","we construct a dataset containing 78 real-world patch-porting","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-026","A134","FMS0272","AutoPT: How Far Are We from the End2End Automated Web Penetration Testing?","yes","PDF page 1, extracted text line 1","end-to-end penetration testing benchmark using a real-world penetration testing environment to explore","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-027","A192","FMS0362","Can LLMs Patch Security Issues?","yes","PDF page 1, extracted text line 1","eration by introducing a large-scale dataset,","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-028","A093","FMS0650","FaultLine: Automated Proof-of-Vulnerability Generation Using LLM Agents","yes","PDF page 1, extracted text line 1","dataset of 100 known vulnerabilities in Java, C and C++ projects.","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-029","A136","FMS0734","GPTScan: Detecting Logic Vulnerabilities in Smart Contracts by Combining GPT with Program Analysis","yes","PDF page 1, extracted text line 1","static confirmation. Evaluation on diverse datasets with around 400","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-030","A158","FMS1093","PILOT: Command-Line Interface Fuzzing Via Path-Guided, Iterative Large Language Model Prompting","yes","PDF page 1, extracted text line 1","their developers with 33 being fixed and three assigned CVE","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-031","A117","FMS1063","Orion: Fuzzing Workflow Automation","yes","PDF page 1, extracted text line 1","sion. Across our benchmark suite, Orion reduces human effort by","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-032","A145","FMS1136","QLPro: Automated Code Vulnerability Discovery via LLM and Static Code Analysis Integration","yes","PDF page 1, extracted text line 1","For evaluation, we constructed a new dataset, JavaTest, com-","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-033","A063","FMS0651","Favia: Forensic Agent for Vulnerability-fix Identification and Analysis","yes","PDF page 1, extracted text line 1","Identifying vulnerability-fixing commits corresponding to disclosed CVEs is essential for","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-034","A069","FMS0747","HackSynth: LLM Agent and Evaluation Framework for Autonomous Penetration Testing","yes","PDF page 1, extracted text line 1","commands and process feedback iteratively. To benchmark","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-035","A085","CP014","UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report","yes","TXT paragraph 1, character offset 1697","benchmarks and production-scale contract datasets demonstrate that UniFuzz consistently delivers high code coverage and identifies a broad spectrum of vulnerabilities. Notably, UniFuzz achieves up to 90.99% code coverage and outp","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-036","A133","FMS0619","Evaluating the Effectiveness of Multi-Agent Large Language Models for Automated Vulnerable Code Repair","yes","PDF page 1, extracted text line 1","that benchmarks the capabilities of APR tools on real-","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-037","A006","CP066","Mut4All: fuzzing compilers via LLM-synthesized mutators learned from bug reports","yes","PDF page 1, extracted text line 1","language (e.g., GCC and Clang for C++). We benchmark Mut4All against a range of state-of-the-art","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-038","A076","FMS0676","From Capabilities to Performance: Evaluating Key Functional Properties of LLM Architectures in Penetration Testing","yes","PDF page 1, extracted text line 1","et al., 2022), they often rely on labeled datasets,","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-039","A051","FMS0479","CryptoFormalEval: Integrating LLMs and Formal Verification for Automated Cryptographic Protocol Vulnerability Detection","yes","PDF page 1, extracted text line 1","duce a benchmark to assess the ability of Large","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-040","A104","CP076","MALF: a multi-agent LLM framework for intelligent fuzzing of industrial control protocols","yes","PDF page 1, extracted text line 1","performance while contributing an open-source dataset for future","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-041","A147","CP071","ProtocolGuard: detecting protocol non-compliance bugs via LLM-guided static analysis and dynamic verification","yes","TXT paragraph 1, character offset 2707","CVE-2022- rules and code logic, and dynamically verify whether these bugs 46505 [8]) stemmed from flawed validation logic in its session can be triggered. To facilitate bug verification, ProtocolGuard resumption handling, r","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-042","A178","FMS1592","Vulnerability-Triggering Test Case Generation from Third-Party Libraries","yes","PDF page 1, extracted text line 1","While vulnerabilities disclosed through CVEs allow devel-","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-043","A156","FMS1081","Pen-Strategist: A Reasoning Framework for Penetration Testing Strategy Formation and Analysis","yes","PDF page 1, extracted text line 1","steps. First, we construct a reasoning dataset containing logical","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-044","A047","FMS0134","Agent That Debugs: Dynamic State-Guided Vulnerability Repair","yes","PDF page 1, extracted text line 1","formation [13], etc. According to statistics from CVE Details, the number of vulnerabilities has","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-045","A115","FMS0226","Artificial Intelligence as the New Hacker: Developing Agents for Offensive Security","yes","PDF page 1, extracted text line 1","memory retention. ReaperAI was tested on platforms including, Hack The Box,","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-046","A187","CP229","FunFuzz: An LLM-Powered Evolutionary Fuzzing Framework","yes","PDF page 1, extracted text line 1","leverages the same publicly available corpus to initialize its evo-","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-047","A020","FMS0269","AutoPenBench: Benchmarking Generative Agents for Penetration Testing","yes","PDF page 1, extracted text line 1","open benchmark for evaluating generative agents in automated penetration testing. We address the","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-048","A013","CP083","Synthesizing multi-agent harnesses for vulnerability discovery","yes","PDF page 1, extracted text line 1","public agent benchmarks, yet most harnesses are written by hand;","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-049","A091","CP216","Code-Augur: Agentic Vulnerability Detection via Specification Inference","yes","PDF page 1, extracted text line 1","they might be violated. Yet the CVE reports that result from","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-050","A102","FMS0782","How Well Do Large Language Models Serve as End-to-End Secure Code Agents for Python?","yes","PDF page 1, extracted text line 1","the SecurityEval benchmark. Meanwhile, we made several novel","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-051","A075","FMS0258","Automatic, Expressive, and Scalable Fuzzing with Stitching","yes","PDF page 1, extracted text line 1","33 benchmarks, where it achieved the highest code coverage","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-052","A111","CP025","Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection","yes","PDF page 1, extracted text line 1","Datasets. We construct two datasets to evaluate the per-","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-053","A081","CP094","PANGOLIN: fuzzing multilingual IoT firmware with LLM-driven code analysis","yes","TXT paragraph 1, character offset 2808","known vulnerabilities, i.e., 2.96X more than SOTA tool fuzzers to explore more code paths effectively, which typi- LABRADOR. Notably, 45 of these vulnerabilities were found cally rely on network traffic as initial seeds and leverage l","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-054","A107","FMS0401","Cochise: A Reference Harness for Autonomous Penetration Testing","yes","PDF page 1, extracted text line 1","provision of these rich datasets, capturing thousands of complex","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-055","A132","CP246","Coverage-Guided Multi-Agent Harness Generation for Java Library Fuzzing","yes","PDF page 1, extracted text line 1","improvement over OSS-Fuzz baselines and outperform Jazzer Auto-","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-056","A086","FMS0270","AutoPentest: Enhancing Vulnerability Management With Autonomous LLM Agents","yes","PDF page 1, extracted text line 1","capture-the-flag style Hack The Box (HTB) machines,","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-057","A184","CP250","A Dual-Loop Agent Framework for Automated Vulnerability Reproduction","yes","PDF page 1, extracted text line 1","Automated vulnerability reproduction from CVE descriptions requires generating executable Proof-of-Concept","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-058","A183","CP226","Agentic Fuzzing: Opportunities and Challenges","yes","PDF page 1, extracted text line 1","and being assigned two CVEs. AFuzz also found 19 bugs (including","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-059","A024","FMS0659","Fixing Security Vulnerabilities with AI in OSS-Fuzz","yes","PDF page 1, extracted text line 1","Fixing Security Vulnerabilities with Agentic AI in OSS-Fuzz","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
"FMRC-060","A197","FMS1233","SCGAgent: Recreating the Benefits of Reasoning Models for Secure Code Generation with Agentic Workflows","yes","PDF page 1, extracted text line 1","other is to fine-tune the model (e.g., on datasets containing","The supplied text explicitly names a benchmark, CVE/known-vulnerability corpus, or public dataset; this binary descriptor is separate from external traceability.","high"
