"case_id","matrix_id","system_alias","title","fang_label","zhao_label","independent_agreement","rong_final_label","final_label","final_mismatch_dimension","final_confidence","adjudicator_reason","evidence_locator","material_availability","fang_evidence_locator_status","zhao_evidence_locator_status","final_principal_output","final_external_traceability"
"F032","C22","TransferFuzz-Pro","TransferFuzz-pro: LLM-driven code debugging for verifying propagated vulnerability","indeterminate","aligned","no","aligned","aligned","none","high","The central result claim is supported by the directly reported evaluation evidence at the stated benchmark, dataset, or test setting. The decision does not extend the claim beyond that reported scope.","https://doi.org/10.1109/TSE.2025.3584774","partial_public_source","abstract_only","located","reproducible validation","no external trace reported"
"F033","C18","PentestAgent","PentestAgent: incorporating LLM agents to automated penetration testing","indeterminate","aligned","no","aligned","aligned","none","high","The central result claim is supported by the directly reported evaluation evidence at the stated benchmark, dataset, or test setting. The decision does not extend the claim beyond that reported scope.","https://doi.org/10.1145/3708821.3733882","partial_public_source","abstract_only","located","controlled task completion","benchmark ground truth / public material"
"F034","FMS0885","Let the Trial Begin","Let the Trial Begin: A Mock-Court Approach to Vulnerability Detection using LLM-Based Agents","indeterminate","aligned","no","aligned","aligned","none","high","The central result claim is supported by the directly reported evaluation evidence at the stated benchmark, dataset, or test setting. The decision does not extend the claim beyond that reported scope.","https://doi.org/10.1145/3744916.3773256","partial_public_source","abstract_only","located","candidate judgment","benchmark ground truth / public material"
"F035","FMS0925","LLM-SmartAudit","LLM-SmartAudit: Advanced Smart Contract Vulnerability Detection","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2410.09381","full_public_source","located","located","candidate judgment","benchmark ground truth / public material"
"F036","C21","PANGOLIN","PANGOLIN: fuzzing multilingual IoT firmware with LLM-driven code analysis","indeterminate","aligned","no","aligned","aligned","none","high","The central result claim is supported by the directly reported evaluation evidence at the stated benchmark, dataset, or test setting. The decision does not extend the claim beyond that reported scope.","https://www.usenix.org/conference/usenixsecurity26/presentation/jia","partial_public_source","abstract_only","located","candidate judgment","author-reported external clue"
"F037","C19","LIVA","LIVA: a multi-agent LLM-assisted system for IoT vulnerability analysis","indeterminate","aligned","no","aligned","aligned","none","high","The central result claim is supported by the directly reported evaluation evidence at the stated benchmark, dataset, or test setting. The decision does not extend the claim beyond that reported scope.","https://doi.org/10.1109/TDSC.2026.3665343","partial_public_source","abstract_only","located","candidate judgment","benchmark ground truth / public material"
"F038","FMS0850","Large Language Model assisted Hybrid Fuzzing","Large Language Model assisted Hybrid Fuzzing","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2412.15931","full_public_source","located","located","controlled task completion","no external trace reported"
"F039","C20","FirmAgent","FirmAgent: leveraging fuzzing to assist LLM agents with IoT firmware vulnerability discovery","indeterminate","aligned","no","aligned","aligned","none","high","The central result claim is supported by the directly reported evaluation evidence at the stated benchmark, dataset, or test setting. The decision does not extend the claim beyond that reported scope.","https://doi.org/10.14722/ndss.2026.231943","partial_public_source","abstract_only","located","reproducible validation","author-reported external clue"
"F040","FMS0922","LLM-JDFuzz","LLM-JDFuzz: A Large Language Model-Based Automated Java Deserialization Payload Generation Framework","indeterminate","aligned","no","aligned","aligned","none","high","The central result claim is supported by the directly reported evaluation evidence at the stated benchmark, dataset, or test setting. The decision does not extend the claim beyond that reported scope.","https://doi.org/10.3390/electronics15050954","partial_public_source","abstract_only","located","reproducible validation","benchmark ground truth / public material"
"F041","FMS1394","StealthBench","StealthBench: Measuring Operational Stealth in Autonomous Offensive-Security Agents","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2607.26314","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F042","C09","RFCAUDIT","RFCAudit: AI Agent for Auditing Protocol Implementations Against RFC Specifications","indeterminate","aligned","no","aligned","aligned","none","high","The central result claim is supported by the directly reported evaluation evidence at the stated benchmark, dataset, or test setting. The decision does not extend the claim beyond that reported scope.","https://ieeexplore.ieee.org/abstract/document/11334718","partial_public_source","abstract_only","located","candidate judgment","author-reported external clue"
"F043","FMS0134","Agent That Debugs","Agent That Debugs: Dynamic State-Guided Vulnerability Repair","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2504.07634","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F044","C12","NeTestLLM","NeTestLLM: automated network protocol testing with LLM agents","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2510.13248","full_public_source","located","located","candidate judgment","no external trace reported"
"F045","C08","BSFuzzer","BSFuzzer: context-aware semantic fuzzing for BLE logic flaw detection","indeterminate","aligned","no","aligned","aligned","none","high","The central result claim is supported by the directly reported evaluation evidence at the stated benchmark, dataset, or test setting. The decision does not extend the claim beyond that reported scope.","https://doi.org/10.14722/ndss.2026.240094","partial_public_source","abstract_only","located","candidate judgment","author-reported external clue"
"F046","C13","PBFuzz","PBFuzz: agentic directed fuzzing for PoV generation","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2512.04611","full_public_source","located","located","reproducible validation","author-reported external clue"
"F047","C10","VulAgent","VulAgent: a hypothesis validation-based multi-agent system for software vulnerability detection","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2509.11523","full_public_source","located","located","candidate judgment","benchmark ground truth / public material"
"F048","C29","DrillAgent","Execution-State-Aware LLM Reasoning for Automated Proof-of-Vulnerability Generation","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2602.13574","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F049","C11","MALF","MALF: a multi-agent LLM framework for intelligent fuzzing of industrial control protocols","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2510.02694","full_public_source","located","located","runtime safety signal","author-reported external clue"
"F050","C05","Mut4All","Mut4All: fuzzing compilers via LLM-synthesized mutators learned from bug reports","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2507.19275","full_public_source","located","located","runtime safety signal","author-reported external clue"
"F051","FMS0890","LibLMFuzz","LibLMFuzz: LLM-Augmented Fuzz Target Generation for Black-box Libraries","indeterminate","aligned","no","aligned","aligned","none","high","The central result claim is supported by the directly reported evaluation evidence at the stated benchmark, dataset, or test setting. The decision does not extend the claim beyond that reported scope.","https://doi.org/10.1109/cars67163.2025.11337309","partial_public_source","abstract_only","located","controlled task completion","benchmark ground truth / public material"
"F052","FMS0272","AutoPT","AutoPT: How Far Are We from the End2End Automated Web Penetration Testing?","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2411.01236","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F053","C28","FuzzingBrain V2","FuzzingBrain V2: A Multi-Agent LLM System for Automated Vulnerability Discovery and Reproduction","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2605.21779","full_public_source","located","located","runtime safety signal","author-reported external clue"
"F054","C16","LLMVD.js","Taint-style vulnerability detection and confirmation for node.js packages using LLM agent reasoning","aligned","overclaim","no","overclaim","overclaim","scope;external_confirmation","high","The central claim adds a material scope, novelty, external-confirmation, comparative, or generalization implication that is not established by the directly reported evidence. The reported result is retained, but the stronger implication is not.","https://arxiv.org/abs/2604.20179","full_public_source","located","located","reproducible validation","author-reported external clue"
"F055","C04","FuzzingBrain","All you need is a fuzzing brain: an LLM-powered system for automated vulnerability detection and patching","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2509.07225","full_public_source","located","located","reproducible validation","no external trace reported"
"F056","FMS0271","AutoPentester","AutoPentester: An LLM Agent-based Framework for Automated Pentesting","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2510.05605","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F057","C17","Multi-Agent Harnesses","Synthesizing multi-agent harnesses for vulnerability discovery","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2604.20801","full_public_source","located","located","candidate judgment","no external trace reported"
"F058","C07","ProtocolGuard","ProtocolGuard: detecting protocol non-compliance bugs via LLM-guided static analysis and dynamic verification","indeterminate","aligned","no","aligned","aligned","none","high","The central result claim is supported by the directly reported evaluation evidence at the stated benchmark, dataset, or test setting. The decision does not extend the claim beyond that reported scope.","https://doi.org/10.14722/ndss.2026.240521","partial_public_source","abstract_only","located","reproducible validation","author-reported external clue"
"F059","FMS0270","AutoPentest","AutoPentest: Enhancing Vulnerability Management With Autonomous LLM Agents","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2505.10321","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F060","C14","Co-RedTeam","Co-RedTeam: orchestrated security discovery and exploitation with LLM agents","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2602.02164","full_public_source","located","located","controlled task completion","no external trace reported"
"F061","C06","LLAMA","LLAMA: multi-feedback smart contract fuzzing framework with LLM-guided seed generation","indeterminate","aligned","no","aligned","aligned","none","high","The central result claim is supported by the directly reported evaluation evidence at the stated benchmark, dataset, or test setting. The decision does not extend the claim beyond that reported scope.","https://doi.org/10.1109/TIFS.2026.3666859","partial_public_source","abstract_only","located","runtime safety signal","no external trace reported"
"F062","C15","Real-world Pentest Agent Study","What makes a good LLM agent for real-world penetration testing?","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2602.17622","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F063","C01","UniFuzz","UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report","indeterminate","aligned","no","aligned","aligned","none","high","The central result claim is supported by the directly reported evaluation evidence at the stated benchmark, dataset, or test setting. The decision does not extend the claim beyond that reported scope.","https://doi.org/10.1109/VCRIS68011.2025.11250519","partial_public_source","abstract_only","located","runtime safety signal","no external trace reported"
"F064","C03","Multi-Agent Collaborative Smart Contract Fuzzing","Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2511.12164","full_public_source","located","located","runtime safety signal","no external trace reported"
"F065","C02","ReForge","ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis","indeterminate","aligned","no","aligned","aligned","none","high","The central result claim is supported by the directly reported evaluation evidence at the stated benchmark, dataset, or test setting. The decision does not extend the claim beyond that reported scope.","https://doi.org/10.1109/FMLDS67896.2025.00022","partial_public_source","abstract_only","located","reproducible validation","no external trace reported"
"F066","FMS1561","VCAO","VCAO: Verifier-Centered Agentic Orchestration for Strategic OS Vulnerability Discovery","aligned","aligned","yes","","aligned","none","not_reconciled","","http://arxiv.org/abs/2604.08291","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F067","FMS1514","Training Language Model Agents to Find Vulnerabilities with CTF-Dojo","Training Language Model Agents to Find Vulnerabilities with CTF-Dojo","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2508.18370","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F068","FMS0152","Agentic Vulnerability Reasoning on COTS Binaries","Agentic Vulnerability Reasoning on COTS Binaries","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2605.05000","full_public_source","located","located","reproducible validation","author-reported external clue"
"F069","FMS1509","Trace","Trace: Securing Smart Contract Repository Against Access Control Vulnerability","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2510.19254","full_public_source","located","located","candidate judgment","benchmark ground truth / public material"
"F070","FMS1586","VulnBot","VulnBot: Autonomous Penetration Testing for A Multi-Agent Collaborative Framework","aligned","overclaim","no","overclaim","overclaim","scope;external_confirmation","high","The central claim adds a material scope, novelty, external-confirmation, comparative, or generalization implication that is not established by the directly reported evidence. The reported result is retained, but the stronger implication is not.","https://arxiv.org/abs/2501.13411","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F071","FMS1635","xOffense","xOffense: An Autonomous Multi-Agent Framework for Penetration Testing with Domain-Adapted Large Language Models","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2509.13021","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F072","FMS1639","ZERO-APT","ZERO-APT: A Closed-Loop Adversarial Framework for LLM-Driven Automated Penetration Testing under Intelligent Defense","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2606.05567","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F073","FMS0747","HackSynth","HackSynth: LLM Agent and Evaluation Framework for Autonomous Penetration Testing","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2412.01778","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F074","FMS1640","ZeroDayBench","ZeroDayBench: Evaluating LLM Agents on Unseen Zero-Day Vulnerabilities for Cyberdefense","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2603.02297","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F075","FMS1530","TypePilot","TypePilot: Leveraging the Scala Type System for Secure LLM-generated Code","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2510.11151","full_public_source","located","located","candidate judgment","benchmark ground truth / public material"
"F076","FMS0752","HarnessAgent","HarnessAgent: Scaling Automatic Fuzzing Harness Construction with Tool-Augmented LLM Pipelines","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2512.03420","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F077","FMS0090","A Systematic Study on Generating Web Vulnerability Proof-of-Concepts Using Large","A Systematic Study on Generating Web Vulnerability Proof-of-Concepts Using Large Language Models","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2510.10148","full_public_source","located","located","reproducible validation","author-reported external clue"
"F078","FMS0753","Harnessing Large Language Models for Seed Generation in Greybox Fuzzing","Harnessing Large Language Models for Seed Generation in Greybox Fuzzing","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2411.18143","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F079","FMS0742","Guiding AI to Fix Its Own Flaws","Guiding AI to Fix Its Own Flaws: An Empirical Study on LLM-Driven Secure Code Generation","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2506.23034","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F080","FMS0741","Guided Reasoning in LLM-Driven Penetration Testing Using Structured Attack Trees","Guided Reasoning in LLM-Driven Penetration Testing Using Structured Attack Trees","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2509.07939","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F081","FMS1055","One Signature, Multiple Payments","One Signature, Multiple Payments: Demystifying and Detecting Signature Replay Vulnerabilities in Smart Contracts","indeterminate","aligned","no","aligned","aligned","none","high","The central result claim is supported by the directly reported evaluation evidence at the stated benchmark, dataset, or test setting. The decision does not extend the claim beyond that reported scope.","https://doi.org/10.1145/3744916.3773198","partial_public_source","abstract_only","located","candidate judgment","benchmark ground truth / public material"
"F082","FMS1041","Okara","Okara: Detection and Attribution of TLS Man-in-the-Middle Vulnerabilities in Android Apps with Foundation Models","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2601.22770","full_public_source","located","located","candidate judgment","benchmark ground truth / public material"
"F083","FMS1076","PATCHEVAL","PATCHEVAL: A New Benchmark for Evaluating LLMs on Patching Real-World Vulnerabilities","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2511.11019","full_public_source","located","located","reproducible validation","benchmark ground truth / public material"
"F084","FMS1024","Mystique","Mystique: Automated Vulnerability Patch Porting with Semantic and Syntactic-Enhanced LLM","indeterminate","aligned","no","aligned","aligned","none","high","The central result claim is supported by the directly reported evaluation evidence at the stated benchmark, dataset, or test setting. The decision does not extend the claim beyond that reported scope.","https://doi.org/10.1145/3715718","partial_public_source","abstract_only","located","reproducible validation","benchmark ground truth / public material"
"F085","FMS1087","PentestEval","PentestEval: Benchmarking LLM-based Penetration Testing with Modular and Stage-Level Design","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2512.14233","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F086","FMS1034","Neuro-symbolic Static Analysis with LLM-generated Vulnerability Patterns","Neuro-symbolic Static Analysis with LLM-generated Vulnerability Patterns","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2504.16057","full_public_source","located","located","candidate judgment","author-reported external clue"
"F087","FMS1083","PenForge","PenForge: On-the-Fly Expert Agent Construction for Automated Penetration Testing","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2601.06910","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F088","FMS1081","Pen-Strategist","Pen-Strategist: A Reasoning Framework for Penetration Testing Strategy Formation and Analysis","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2605.04499","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F089","FMS0677","From Controlled to the Wild","From Controlled to the Wild: Evaluation of Pentesting Agents for the Real-World","aligned","aligned","yes","","aligned","none","not_reconciled","","https://arxiv.org/abs/2605.10834","full_public_source","located","located","controlled task completion","benchmark ground truth / public material"
"F090","FMS0676","From Capabilities to Performance","From Capabilities to Performance: Evaluating Key Functional Properties of LLM Architectures in Penetration Testing","indeterminate","aligned","no","aligned","aligned","none","high","The central result claim is supported by the directly reported evaluation evidence at the stated benchmark, dataset, or test setting. The decision does not extend the claim beyond that reported scope.","https://doi.org/10.18653/v1/2025.emnlp-main.802","partial_public_source","abstract_only","located","controlled task completion","benchmark ground truth / public material"
"F091","FMS1088","PentestMCP","PentestMCP: LLM and MCP Based Multi-Agent Framework for Automated Penetration Testing","indeterminate","aligned","no","aligned","aligned","none","high","The central result claim is supported by the directly reported evaluation evidence at the stated benchmark, dataset, or test setting. The decision does not extend the claim beyond that reported scope.","https://doi.org/10.21203/rs.3.rs-7582841/v1","partial_public_source","abstract_only","located","controlled task completion","benchmark ground truth / public material"
