record_id,citation_key,title,authors,year,publication_status,venue_or_source,publisher,doi,arxiv_id,official_url,selected_source_id,selected_source_record_id,selection_basis,metadata_status
FMS0372,fms0372,Chai: Agentic Discovery of Cryptographic Misuse Vulnerabilities,Corban Villa; Sohee Kim; Austin Chu; Alon Shakevsky; Raluca Ada Popa,2026,preprint,arXiv (Cornell University),Cornell University,,,https://arxiv.org/abs/2606.26933,openalex,https://openalex.org/W7166399811,formal metadata preferred; otherwise best available public metadata,complete
FMS0376,fms0376,CHAINTRIX: A multi-pipeline LLM-augmented framework for automated smart-contract security auditing,Gabriela Dobrita; Simona-Vasilica Oprea; Adela Bara,2026,preprint,arXiv,,,2605.09350,https://arxiv.org/abs/2605.09350,arxiv,2605.09350,formal metadata preferred; otherwise best available public metadata,complete
FMS0389,fms0389,CKG-LLM: LLM-Assisted Detection of Smart Contract Access Control Vulnerabilities Based on Knowledge Graphs,Xiaoqi Li; Hailu Kuang; Wenkai Li; Zongwei Li; Shipeng Ye,2026,conference,Proceedings of the IEEE/ACM 48th International Conference on Software Engineering,ACM,10.1145/3786582.3786817,2512.06846,https://doi.org/10.1145/3786582.3786817,acm_crossref,10.1145/3786582.3786817,formal metadata preferred; otherwise best available public metadata,complete
FMS0401,fms0401,Cochise: A Reference Harness for Autonomous Penetration Testing,Andreas Happe; Jürgen Cito,2026,preprint,arXiv,,,2605.11671,https://arxiv.org/abs/2605.11671,arxiv,2605.11671,formal metadata preferred; otherwise best available public metadata,complete
FMS0412,fms0412,Codexity: Secure AI-assisted Code Generation,Sung Yong Kim; Zhiyu Fan; Yannic Noller; Abhik Roychoudhury,2024,preprint,arXiv,,,2405.03927,https://arxiv.org/abs/2405.03927,arxiv,2405.03927,formal metadata preferred; otherwise best available public metadata,complete
FMS0435,fms0435,Construction and Evaluation of LLM-based agents for Semi-Autonomous penetration testing,Masaya Kobayashi; Masane Fuchi; Amar Zanashir; Tomonori Yoneda; Tomohiro Takagi,2025,preprint,arXiv,,,2502.15506,https://arxiv.org/abs/2502.15506,arxiv,2502.15506,formal metadata preferred; otherwise best available public metadata,complete
FMS0443,fms0443,ContractTinker: LLM-Empowered Vulnerability Repair for Real-World Smart Contracts,Che Wang; Jiashuo Zhang; Jianbo Gao; Libin Xia; Zhi Guan; Zhong Chen,2024,conference,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,ACM,10.1145/3691620.3695349,2409.09661,https://doi.org/10.1145/3691620.3695349,acm_crossref,10.1145/3691620.3695349,formal metadata preferred; otherwise best available public metadata,complete
FMS0479,fms0479,CryptoFormalEval: Integrating LLMs and Formal Verification for Automated Cryptographic Protocol Vulnerability Detection,Cristian Curaba; Denis D'Ambrosi; Alessandro Minisini; Natalia Pérez-Campanero Antolín,2024,preprint,arXiv,,,2411.13627,https://arxiv.org/abs/2411.13627,arxiv,2411.13627,formal metadata preferred; otherwise best available public metadata,complete
FMS0488,fms0488,CVE-Bench: A Benchmark for AI Agents' Ability to Exploit Real-World Web Application Vulnerabilities,Yuxuan Zhu; Antony Kellermann; Dylan Bowman; Philip Li; Akul Gupta; Adarsh Danda; Richard Fang; Conner Jensen; Eric Ihli; Jason Benn; Jet Geronimo; Avi Dhir; Sudhit Rao; Kaicheng Yu; Twm Stone; Daniel Kang,2025,preprint,arXiv,,,2503.17332,https://arxiv.org/abs/2503.17332,arxiv,2503.17332,formal metadata preferred; otherwise best available public metadata,complete
FMS0489,fms0489,CVE-Bench: Benchmarking LLM-based Software Engineering Agent’s Ability to Repair Real-World CVE Vulnerabilities,Peiran Wang; Xiaogeng Liu; Chaowei Xiao,2025,conference,Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),Association for Computational Linguistics,10.18653/v1/2025.naacl-long.212,,https://aclanthology.org/2025.naacl-long.212/,openalex,https://openalex.org/W4411120547,formal metadata preferred; otherwise best available public metadata,complete
FMS0494,fms0494,CyberChainBench: Can AI Agents Secure Smart Contracts Against Real-World On-Chain Vulnerabilities?,Jintao Huang; Fengqing Jiang; Radha Poovendran; Zhiqiang Lin,2026,preprint,arXiv,,,2606.26216,https://arxiv.org/abs/2606.26216,arxiv,2606.26216,formal metadata preferred; otherwise best available public metadata,complete
FMS0500,fms0500,D-CIPHER: Dynamic Collaborative Intelligent Multi-Agent System with Planner and Heterogeneous Executors for Offensive Security,Meet Udeshi; Minghao Shao; Haoran Xi; Nanda Rani; Kimberly Milner; Venkata Sai Charan Putrevu; Brendan Dolan-Gavitt; Sandeep Kumar Shukla; Prashanth Krishnamurthy; Farshad Khorrami; Ramesh Karri; Muhammad Shafique,2025,preprint,arXiv,,,2502.10931,https://arxiv.org/abs/2502.10931,arxiv,2502.10931,formal metadata preferred; otherwise best available public metadata,complete
FMS0509,fms0509,Decoupling Reconnaissance and Exploitation: Measuring the Capability Boundaries of LLM-Based Web Penetration Testing,Liwei Yu; Shuo Li; Ming Zhou; Ge Chu; Yan Guo,2026,preprint,arXiv,,,2606.25332,https://arxiv.org/abs/2606.25332,arxiv,2606.25332,formal metadata preferred; otherwise best available public metadata,complete
FMS0533,fms0533,Detecting Vulnerability-Inducing Commits via Multi-Stage Reasoning with LLM-Based Agents,Liyou Chen; Hailong Sun; Xiang Gao; Yue Pan,2026,preprint,arXiv,,,2607.05772,https://arxiv.org/abs/2607.05772,arxiv,2607.05772,formal metadata preferred; otherwise best available public metadata,complete
FMS0538,fms0538,Diffploit: Facilitating Cross-Version Exploit Migration for Open Source Library Vulnerabilities,Zirui Chen; Zhipeng Xue; Jiayuan Zhou; Xing Hu; Xin Xia; Xiaohu Yang,2025,preprint,arXiv,,,2511.12950,https://arxiv.org/abs/2511.12950,arxiv,2511.12950,formal metadata preferred; otherwise best available public metadata,complete
FMS0541,fms0541,Directed Symbolic Execution for Vulnerability Discovery: An LLM-Guided Approach in KLEE,Lingfeng Chen; Tao Xiao; Masanari Kondo; Yasutaka Kamei,2026,preprint,arXiv (Cornell University),Cornell University,,2607.21676,https://arxiv.org/abs/2607.21676,openalex,https://openalex.org/W7171601873,formal metadata preferred; otherwise best available public metadata,complete
FMS0558,fms0558,DREA: Decoupled Reasoning and Exploration Agents for Repository-Level Vulnerability Detection,Mingyang Sun; Guozhu Meng,2026,preprint,arXiv,,,2607.13439,https://arxiv.org/abs/2607.13439,arxiv,2607.13439,formal metadata preferred; otherwise best available public metadata,complete
FMS0598,fms0598,Environment-Grounded Multi-Agent Workflow for Autonomous Penetration Testing,Michael Somma; Markus Großpointner; Paul Zabalegui; Eppu Heilimo; Branka Stojanović,2026,conference,2026 IEEE 12th International Conference on Network Softwarization (NetSoft),IEEE,10.1109/netsoft70012.2026.11603445,2603.24221,https://doi.org/10.1109/netsoft70012.2026.11603445,ieee_crossref,10.1109/netsoft70012.2026.11603445,formal metadata preferred; otherwise best available public metadata,complete
FMS0619,fms0619,Evaluating the Effectiveness of Multi-Agent Large Language Models for Automated Vulnerable Code Repair,Martin Kilgi; Hayretdin Bahsi,2026,conference,Proceedings of the 12th International Conference on Information Systems Security and Privacy,SCITEPRESS - Science and Technology Publications,10.5220/0014480400004061,,https://doi.org/10.5220/0014480400004061,crossref,10.5220/0014480400004061,formal metadata preferred; otherwise best available public metadata,complete
FMS0648,fms0648,FalseCrashReducer: Mitigating False Positive Crashes in OSS-Fuzz-Gen Using Agentic AI,Paschal C. Amusuo; Dongge Liu; Ricardo Andres Calvo Mendez; Jonathan Metzman; Oliver Chang; James C. Davis,2025,preprint,arXiv,,,2510.02185,https://arxiv.org/abs/2510.02185,arxiv,2510.02185,formal metadata preferred; otherwise best available public metadata,complete
FMS0650,fms0650,FaultLine: Automated Proof-of-Vulnerability Generation Using LLM Agents,Vikram Nitin; Baishakhi Ray; Roshanak Zilouchian Moghaddam,2025,preprint,arXiv,,,2507.15241,https://arxiv.org/abs/2507.15241,arxiv,2507.15241,formal metadata preferred; otherwise best available public metadata,complete
FMS0651,fms0651,Favia: Forensic Agent for Vulnerability-fix Identification and Analysis,André Storhaug; Jiamou Sun; Jingyue Li,2026,preprint,arXiv,,,2602.12500,https://arxiv.org/abs/2602.12500,arxiv,2602.12500,formal metadata preferred; otherwise best available public metadata,complete
FMS0659,fms0659,Fixing Security Vulnerabilities with AI in OSS-Fuzz,Yuntong Zhang; Jiawei Wang; Dominic Berzin; Martin Mirchev; Dongge Liu; Abhishek Arya; Oliver Chang; Abhik Roychoudhury,2024,preprint,arXiv,,,2411.03346,https://arxiv.org/abs/2411.03346,arxiv,2411.03346,formal metadata preferred; otherwise best available public metadata,complete
FMS0676,fms0676,From Capabilities to Performance: Evaluating Key Functional Properties of LLM Architectures in Penetration Testing,Lanxiao Huang; Daksh Dave; Tyler Cody; Peter A. Beling; Ming Jin,2025,conference,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,Association for Computational Linguistics,10.18653/v1/2025.emnlp-main.802,2509.14289,https://aclanthology.org/2025.emnlp-main.802/,openalex,https://openalex.org/W4416036408,formal metadata preferred; otherwise best available public metadata,complete
FMS0677,fms0677,From Controlled to the Wild: Evaluation of Pentesting Agents for the Real-World,Pedro Conde; Henrique Branquinho; Valerio Mazzone; Bruno Mendes; André Baptista; Nuno Moniz,2026,preprint,arXiv,,,2605.10834,https://arxiv.org/abs/2605.10834,arxiv,2605.10834,formal metadata preferred; otherwise best available public metadata,complete
FMS0684,fms0684,From LLMs to Agents: A Comparative Evaluation of LLMs and LLM-based Agents in Security Patch Detection,Junxiao Han; Zheng Yu; Lingfeng Bao; Jiakun Liu; Yao Wan; Jianwei Yin; Shuiguang Deng; Song Han,2025,preprint,arXiv,,,2511.08060,https://arxiv.org/abs/2511.08060,arxiv,2511.08060,formal metadata preferred; otherwise best available public metadata,complete
FMS0698,fms0698,From Trace to Line: LLM Agent for Real-World OSS Vulnerability Localization,Haoran Xi; Minghao Shao; Brendan Dolan-Gavitt; Muhammad Shafique; Ramesh Karri,2025,preprint,arXiv,,,2510.02389,https://arxiv.org/abs/2510.02389,arxiv,2510.02389,formal metadata preferred; otherwise best available public metadata,complete
FMS0718,fms0718,GapForge: Directed Compiler Fuzzing via Coverage-Gap Analysis,Mingxuan Zhu; Qingyuan Liang; Junjie Chen; Zhihong Xue; Dan Hao,2026,preprint,arXiv,,,2607.15762,https://arxiv.org/abs/2607.15762,arxiv,2607.15762,formal metadata preferred; otherwise best available public metadata,complete
FMS0733,fms0733,GoAT-X: A Graph of Auditing Thoughts for Securing Token Transactions in Cross-Chain Contracts,Zijun Feng; Yuming Feng; Yu Wang; Weizhe Zhang; Yuhong Nan; Yuang Liu; Zibin Zheng,2026,preprint,arXiv (Cornell University),Cornell University,,2604.24341,https://arxiv.org/abs/2604.24341,openalex,https://openalex.org/W7158423885,formal metadata preferred; otherwise best available public metadata,complete
FMS0734,fms0734,GPTScan: Detecting Logic Vulnerabilities in Smart Contracts by Combining GPT with Program Analysis,Yuqiang Sun; Daoyuan Wu; Yue Xue; Han Liu; Haijun Wang; Zhengzi Xu; Xiaofei Xie; Yang Liu,2023,preprint,arXiv,,10.1145/3597503.3639117,2308.03314,https://arxiv.org/abs/2308.03314,arxiv,2308.03314,formal metadata preferred; otherwise best available public metadata,complete
FMS0741,fms0741,Guided Reasoning in LLM-Driven Penetration Testing Using Structured Attack Trees,Katsuaki Nakano; Reza Fayyazi; Shanchieh Jay Yang; Michael Zuzak,2025,preprint,arXiv,,,2509.07939,https://arxiv.org/abs/2509.07939,arxiv,2509.07939,formal metadata preferred; otherwise best available public metadata,complete
FMS0742,fms0742,Guiding AI to Fix Its Own Flaws: An Empirical Study on LLM-Driven Secure Code Generation,Hao Yan; Swapneel Suhas Vaidya; Xiaokuan Zhang; Ziyu Yao,2025,preprint,arXiv,,,2506.23034,https://arxiv.org/abs/2506.23034,arxiv,2506.23034,formal metadata preferred; otherwise best available public metadata,complete
FMS0747,fms0747,HackSynth: LLM Agent and Evaluation Framework for Autonomous Penetration Testing,Lajos Muzsai; David Imolai; András Lukács,2024,preprint,arXiv,,,2412.01778,https://arxiv.org/abs/2412.01778,arxiv,2412.01778,formal metadata preferred; otherwise best available public metadata,complete
FMS0752,fms0752,HarnessAgent: Scaling Automatic Fuzzing Harness Construction with Tool-Augmented LLM Pipelines,Kang Yang; Yunhang Zhang; Zichuan Li; Guanhong Tao; Jun Xu; Xiaojing Liao,2025,preprint,arXiv,,,2512.03420,https://arxiv.org/abs/2512.03420,arxiv,2512.03420,formal metadata preferred; otherwise best available public metadata,complete
FMS0753,fms0753,Harnessing Large Language Models for Seed Generation in Greybox Fuzzing,Wenxuan Shi; Yunhang Zhang; Xinyu Xing; Jun Xu,2024,preprint,arXiv,,,2411.18143,https://arxiv.org/abs/2411.18143,arxiv,2411.18143,formal metadata preferred; otherwise best available public metadata,complete
FMS0768,fms0768,Hound: Relation-First Knowledge Graphs for Complex-System Reasoning in Security Audits,Bernhard Mueller,2025,preprint,arXiv,,,2510.09633,https://arxiv.org/abs/2510.09633,arxiv,2510.09633,formal metadata preferred; otherwise best available public metadata,complete
FMS0782,fms0782,How Well Do Large Language Models Serve as End-to-End Secure Code Agents for Python?,Jianian Gong; Nachuan Duan; Ziheng Tao; Zhaohui Gong; Yuan Yuan; Minlie Huang,2024,preprint,arXiv,,,2408.10495,https://arxiv.org/abs/2408.10495,arxiv,2408.10495,formal metadata preferred; otherwise best available public metadata,complete
FMS0800,fms0800,Improving LLM-Assisted Secure Code Generation through Retrieval-Augmented-Generation and Multi-Tool Feedback,Vidyut Sriram; Sawan Pandita; Achintya Lakshmanan; Aneesh Shamraj; Suman Saha,2026,preprint,arXiv,,,2601.00509,https://arxiv.org/abs/2601.00509,arxiv,2601.00509,formal metadata preferred; otherwise best available public metadata,complete
FMS0842,fms0842,Knowledge-Informed Self-Reflective Automated Penetration Testing Based on LLMs,Dai Hanzheng,2025,report/other,Spectrum Research Repository (Concordia University),Concordia University,,,https://orcid.org/0009-0004-1073-526X,openalex,https://openalex.org/W7166935774,formal metadata preferred; otherwise best available public metadata,complete
FMS0850,fms0850,Large Language Model assisted Hybrid Fuzzing,Ruijie Meng; Gregory J. Duck; Abhik Roychoudhury,2026,journal,IEEE Transactions on Software Engineering,Institute of Electrical and Electronics Engineers (IEEE),10.1109/tse.2026.3694408,2412.15931,https://doi.org/10.1109/tse.2026.3694408,ieee_crossref,10.1109/tse.2026.3694408,formal metadata preferred; otherwise best available public metadata,complete
FMS0885,fms0885,Let the Trial Begin: A Mock-Court Approach to Vulnerability Detection using LLM-Based Agents,Ratnadira Widyasari; Martin Weyssow; Ivana Clairine Irsan; Han Wei Ang; Frank Liauw; Eng Lieh Ouh; Lwin Khin Shar; Hong Jin Kang; David Lo,2025,preprint,arXiv,,10.1145/3744916.3773256,2505.10961,https://arxiv.org/abs/2505.10961,arxiv,2505.10961,formal metadata preferred; otherwise best available public metadata,complete
FMS0890,fms0890,LibLMFuzz: LLM-Augmented Fuzz Target Generation for Black-box Libraries,Ian Hardgrove; John D. Hastings,2025,conference,2025 Cyber Awareness and Research Symposium (CARS),IEEE,10.1109/cars67163.2025.11337309,2507.15058,https://doi.org/10.1109/cars67163.2025.11337309,ieee_crossref,10.1109/cars67163.2025.11337309,formal metadata preferred; otherwise best available public metadata,complete
FMS0904,fms0904,LLM Agents for Automated Web Vulnerability Reproduction: Are We There Yet?,Bin Liu; Yanjie Zhao; Guoai Xu; Haoyu Wang,2025,preprint,arXiv,,,2510.14700,https://arxiv.org/abs/2510.14700,arxiv,2510.14700,formal metadata preferred; otherwise best available public metadata,complete
FMS0913,fms0913,LLM-based Vulnerability Detection at Project Scale: An Empirical Study,Fengjie Li; Jiajun Jiang; Dongchi Chen; Yingfei Xiong,2026,preprint,arXiv (Cornell University),Cornell University,,2601.19239,http://arxiv.org/abs/2601.19239,openalex,https://openalex.org/W7126001648,formal metadata preferred; otherwise best available public metadata,complete
FMS0914,fms0914,LLM-BSCVM: An LLM-Based Blockchain Smart Contract Vulnerability Management Framework,Yanli Jin; Chunpei Li; Peng Fan; Peng Liu; Xianxian Li; Chen Liu; Wangjie Qiu,2025,preprint,arXiv,,,2505.17416,https://arxiv.org/abs/2505.17416,arxiv,2505.17416,formal metadata preferred; otherwise best available public metadata,complete
FMS0916,fms0916,LLM-Driven SAST-Genius: A Hybrid Static Analysis Framework for Comprehensive and Actionable Security,Vaibhav Agrawal; Kiarash Ahi,2025,preprint,arXiv,,,2509.15433,https://arxiv.org/abs/2509.15433,arxiv,2509.15433,formal metadata preferred; otherwise best available public metadata,complete
FMS0922,fms0922,LLM-JDFuzz: A Large Language Model-Based Automated Java Deserialization Payload Generation Framework,Dong Su; Tengfei Tu,2026,journal,Electronics,MDPI AG,10.3390/electronics15050954,,https://doi.org/10.3390/electronics15050954,crossref,10.3390/electronics15050954,formal metadata preferred; otherwise best available public metadata,complete
FMS0925,fms0925,LLM-SmartAudit: Advanced Smart Contract Vulnerability Detection,Zhiyuan Wei; Jing Sun; Zijiang Zhang; Xianhao Zhang; Meng Li; Zhe Hou,2024,preprint,arXiv,,,2410.09381,https://arxiv.org/abs/2410.09381,arxiv,2410.09381,formal metadata preferred; otherwise best available public metadata,complete
FMS0927,fms0927,LLM4CVE: Enabling Iterative Automated Vulnerability Repair with Large Language Models,Mohamad Fakih; Rahul Dharmaji; Halima Bouzidi; Gustavo Quiros Araya; Oluwatosin Ogundare; Mohammad Abdullah Al Faruque,2025,preprint,arXiv,,,2501.03446,https://arxiv.org/abs/2501.03446,arxiv,2501.03446,formal metadata preferred; otherwise best available public metadata,complete
FMS0933,fms0933,LLMs and Fuzzing in Tandem: A New Approach to Automatically Generating Weakest Preconditions,Daragh King; Vasileios Koutavas; Laura Kovacs,2025,preprint,arXiv,,,2507.05272,https://arxiv.org/abs/2507.05272,arxiv,2507.05272,formal metadata preferred; otherwise best available public metadata,complete
