"discovery_id","title","publication_dates","doi","arxiv_id","source_ids","screening_stage","final_analytical_layer","decision_reason","source_location","canonical_search_record_id","existing_canonical_study_id","counting_status","second_coder_required","second_coder_status","second_coder_eligibility","decision_provenance"
"FMS0058","A Survey of Attacks on Large Vision-Language Models: Resources, Advances, and Future Trends","2024-07-10","","2407.07403","arxiv","title_abstract","background_reference","Review or survey material.","title, abstract, and exported source metadata","FMS0058","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0059","A Survey of Fuzzing for ROS-Based Robotic Systems","2026-07-20","10.3390/app16147250","","openalex","title_abstract","excluded_near_neighbor","The title identifies a non-software target domain.","title, abstract, and exported source metadata","FMS0059","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0060","A Survey of Large Audio Language Models: Generalization, Trustworthiness, and Outlook","2026-05-18","","2605.20266","arxiv","title_abstract","background_reference","Review or survey material.","title, abstract, and exported source metadata","FMS0060","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0061","A Survey of LLM-based Automated Program Repair: Taxonomies, Design Paradigms, and Applications","2025-06-30","","2506.23749","arxiv","title_abstract","background_reference","Review or survey material.","title, abstract, and exported source metadata","FMS0061","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0062","A Survey of LLM-Driven AI Agent Communication: Protocols, Security Risks, and Defense Countermeasures","2025-06-24","","2506.19676","arxiv","title_abstract","background_reference","Review or survey material.","title, abstract, and exported source metadata","FMS0062","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0063","A Survey of LLM-Driven Penetration Testing: Taxonomy, Co-Evolution, and Open Challenges","2026-07-01","","2607.02605","arxiv; openalex","title_abstract","background_reference","Review or survey material.","title, abstract, and exported source metadata","FMS0063","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0064","A Survey of Operating System Kernel Fuzzing","2025-01-27","","2501.16165","openalex","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0064","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0065","A Survey of Recent Backdoor Attacks and Defenses in Large Language Models","2024-06-10","","2406.06852","arxiv","title_abstract","background_reference","Review or survey material.","title, abstract, and exported source metadata","FMS0065","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0066","A Survey of Safety and Trustworthiness of Large Language Models through the Lens of Verification and Validation","2023-05-19","","2305.11391","arxiv","title_abstract","background_reference","Review or survey material.","title, abstract, and exported source metadata","FMS0066","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0067","A Survey on Adversarial Machine Learning for Code Data: Realistic Threats, Countermeasures, and Interpretations","2024-11-12","","2411.07597","openalex","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0067","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0068","A Survey on Agentic Security: Applications, Threats and Defenses","2025-10-07","","2510.06445","arxiv; openalex","title_abstract","background_reference","Review or survey material.","title, abstract, and exported source metadata","FMS0068","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0069","A Survey on Autonomy-Induced Security Risks in Large Model-Based Agents","2025-06-30","","2506.23844","arxiv","title_abstract","background_reference","Review or survey material.","title, abstract, and exported source metadata","FMS0069","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0070","A Survey on Data Security in Large Language Models","2025-08-04","","2508.02312","arxiv","title_abstract","background_reference","Review or survey material.","title, abstract, and exported source metadata","FMS0070","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0071","A Survey on Failure Analysis and Fault Injection in AI Systems","2024-06-28","","2407.00125","arxiv","title_abstract","background_reference","Review or survey material.","title, abstract, and exported source metadata","FMS0071","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0072","A Survey on Large Language Model (LLM) Security and Privacy: The Good, the Bad, and the Ugly","2023-12-04","10.1016/j.hcc.2024.100211","2312.02003","arxiv; openalex","title_abstract","background_reference","Review or survey material.","title, abstract, and exported source metadata","FMS0072","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0073","A Survey on Large Language Models for Network Operations &amp; Management: Applications, Techniques, and Opportunities","2024-12-10","10.36227/techrxiv.173386065.57486944/v1","","openalex","title_abstract","version_reconciliation","Alternate source/title version of FMS0860; retained in the version crosswalk.","title, abstract, and exported source metadata","FMS0860","","alternate_version_not_counted","no","not_applicable","","reconciled_source_version"
"FMS0074","A survey on large language models for software engineering","2026-03-05","10.1007/s11432-025-4670-0","","openalex","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0074","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0075","A Survey on Long-Term Memory Security in LLM Agents: Attacks, Defenses, and Governance Across the Memory Lifecycle","2026-04-17","","2604.16548","arxiv","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0075","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0076","A survey on machine learning techniques applied to source code","2023-12-19","10.1016/j.jss.2023.111934","","openalex","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0076","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0077","A Survey on Point-of-Interest Recommendation: Models, Architectures, and Security","2024-10-03","","2410.02191","arxiv","title_abstract","background_reference","Review or survey material.","title, abstract, and exported source metadata","FMS0077","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0078","A Survey on Privacy Risks and Protection in Large Language Models","2025-05-04","","2505.01976","arxiv","title_abstract","background_reference","Review or survey material.","title, abstract, and exported source metadata","FMS0078","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0079","A Survey on the Development of Network Protocol Fuzzing Techniques","2023-07-01","10.3390/electronics12132904","","openalex","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0079","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0080","A Survey on the Safety and Security Threats of Computer-Using Agents: JARVIS or Ultron?","2025-05-16","","2505.10924","arxiv","title_abstract","background_reference","Review or survey material.","title, abstract, and exported source metadata","FMS0080","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0081","A Survey: Towards Privacy and Security in Mobile Large Language Models","2025-09-02","","2509.02411","arxiv","title_abstract","background_reference","Review or survey material.","title, abstract, and exported source metadata","FMS0081","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0082","A Systematic Classification of Vulnerabilities in MoveEVM Smart Contracts (MWC)","2025-05-25","","2505.19047","arxiv","title_abstract","background_reference","Adjacent mechanism or evaluation context was visible at title/abstract screening, but no retrieved full text was available for study-specific extended synthesis.","title, abstract, and exported source metadata","FMS0082","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0083","A Systematic Literature Review on Detecting Software Vulnerabilities with Large Language Models","2025-07-30; 2026-5-16","10.1145/3815425","2507.22659","acm_crossref; arxiv","title_abstract","background_reference","Review or survey material.","title, abstract, and exported source metadata","FMS0083","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0084","A Systematic Literature Review on Large Language Models for Automated Program Repair","2024-05-02","","2405.01466","arxiv; openalex","title_abstract","background_reference","Review or survey material.","title, abstract, and exported source metadata","FMS0084","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0085","A Systematic Literature Review on LLM Defenses Against Prompt Injection and Jailbreaking: Expanding NIST Taxonomy","2026-01-29","","2601.22240","arxiv","title_abstract","background_reference","Agent-system security or governance context; the target is not target software.","title, abstract, and exported source metadata","FMS0085","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0086","A systematic literature review on the impact of AI models on the security of code generation","2024-05-13","10.3389/fdata.2024.1386720","","openalex","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0086","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0087","A Systematic Review of Vulnerability Scanning Tools for Large Language Models (LLMs)","2025-12-11","10.21275/sr251207022056","","crossref","title_abstract","background_reference","Review or survey material.","title, abstract, and exported source metadata","FMS0087","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0088","A Systematic Security Evaluation of OpenClaw and Its Variants","2026-04-03","","2604.03131","arxiv","title_abstract","background_reference","The security target is an AI/agent system or generated-code ecosystem rather than an Agentic target-software mining workflow.","title, abstract, and exported source metadata","FMS0088","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0089","A Systematic Study of Code Obfuscation Against LLM-based Vulnerability Detection","2025-12-18","","2512.16538","arxiv","title_abstract","background_reference","The title and abstract indicate adjacent target-software relevance, but no retrieved full text was available for study-specific extended synthesis.","title, abstract, and exported source metadata","FMS0089","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0090","A Systematic Study on Generating Web Vulnerability Proof-of-Concepts Using Large Language Models","2025-10-11","","2510.10148","arxiv","full_text","study_level","Two execution validators return payload and path feedback to an adaptive prompting loop that iteratively revises generated web-vulnerability PoCs.","public full text pp. 1, 2; https://arxiv.org/pdf/2510.10148","FMS0090","","new_candidate_study","yes","complete","include_study_level","final_integrated_assignment"
"FMS0091","A Systematic Survey of Security Threats and Defenses in LLM-Based AI Agents: A Layered Attack Surface Framework","2026-04-25","","2604.23338","arxiv","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0091","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0092","A Tensor-Train Decomposition based Compression of LLMs on Group Vector Systolic Accelerator","2025-01-31","","2501.19135","arxiv","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0092","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
"FMS0093","A Validated Prompt Bank for Malicious Code Generation: Separating Executable Weapons from Security Knowledge in 1,554 Consensus-Labeled Prompts","2026-05-04","","2605.03179","arxiv","title_abstract","excluded_near_neighbor","No in-scope LLM and target-software security combination.","title, abstract, and exported source metadata","FMS0093","","new_candidate_study","no","not_applicable","","final_integrated_assignment"
