batch,discovery_id,title,first_eligibility,second_eligibility,eligibility_exact,jointly_included,first_shape,second_shape,first_evidence,second_evidence,first_trace,second_trace,first_lifecycle,second_lifecycle,first_capabilities,second_capabilities
main,FMS0288,Baselines Before Architecture: Evaluating Coding Agents for Autonomous Penetration Testing,include_study_level,include_study_level,true,true,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,benchmark ground truth / public material,benchmark ground truth / public material,execution observation;path and input exploration;reporting and audit,candidate analysis;execution observation;path and input exploration;reporting and audit,failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;governance / human gates / disclosure control;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0372,Chai: Agentic Discovery of Cryptographic Misuse Vulnerabilities,include_study_level,include_study_level,true,true,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",reproducible validation,externally traceable material,author-reported external clue,publicly aligned external trace,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,candidate analysis;execution observation;reporting and audit;reproduction and validation,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0389,CKG-LLM: LLM-Assisted Detection of Smart Contract Access Control Vulnerabilities Based on Knowledge Graphs,include_study_level,include_study_level,true,true,candidate-analysis system,candidate-analysis system,candidate judgment,candidate judgment,benchmark ground truth / public material,no external trace reported,candidate analysis;execution observation,candidate analysis;reporting and audit,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0401,Cochise: A Reference Harness for Autonomous Penetration Testing,include_study_level,include_study_level,true,true,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,benchmark ground truth / public material,no external trace reported,execution observation;path and input exploration;reporting and audit,candidate analysis;execution observation;path and input exploration;reporting and audit,failure reuse / strategy update;feedback interpretation / loop adjustment;governance / human gates / disclosure control;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0435,Construction and Evaluation of LLM-based agents for Semi-Autonomous penetration testing,include_study_level,include_study_level,true,true,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,benchmark ground truth / public material,no external trace reported,execution observation;path and input exploration;reporting and audit,candidate analysis;execution observation;path and input exploration;reporting and audit,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;feedback interpretation / loop adjustment;governance / human gates / disclosure control;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0489,CVE-Bench: Benchmarking LLM-based Software Engineering Agent’s Ability to Repair Real-World CVE Vulnerabilities,include_study_level,include_study_level,true,true,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",reproducible validation,reproducible validation,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;patch validation;reporting and audit,candidate analysis;execution observation;patch validation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0500,D-CIPHER: Dynamic Collaborative Intelligent Multi-Agent System with Planner and Heterogeneous Executors for Offensive Security,include_study_level,include_study_level,true,true,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,benchmark ground truth / public material,benchmark ground truth / public material,execution observation;path and input exploration;reporting and audit,candidate analysis;execution observation;path and input exploration;reporting and audit,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0509,Decoupling Reconnaissance and Exploitation: Measuring the Capability Boundaries of LLM-Based Web Penetration Testing,include_study_level,include_study_level,true,true,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;execution observation;path and input exploration;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0538,Diffploit: Facilitating Cross-Version Exploit Migration for Open Source Library Vulnerabilities,include_study_level,include_study_level,true,true,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",reproducible validation,reproducible validation,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;execution observation;reproduction and validation,candidate analysis;execution observation;patch validation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0541,Directed Symbolic Execution for Vulnerability Discovery: An LLM-Guided Approach in KLEE,include_study_level,include_study_level,true,true,feedback-driven fuzzing agent,feedback-driven fuzzing agent,reproducible validation,runtime safety signal,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;execution observation;path and input exploration;reproduction and validation,execution observation;path and input exploration,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing
main,FMS0598,Environment-Grounded Multi-Agent Workflow for Autonomous Penetration Testing,include_study_level,include_study_level,true,true,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,benchmark ground truth / public material,benchmark ground truth / public material,execution observation;path and input exploration;reporting and audit,candidate analysis;execution observation;path and input exploration;reporting and audit,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;governance / human gates / disclosure control;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;feedback interpretation / loop adjustment;governance / human gates / disclosure control;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0619,Evaluating the Effectiveness of Multi-Agent Large Language Models for Automated Vulnerable Code Repair,include_study_level,include_study_level,true,true,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",reproducible validation,reproducible validation,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;patch validation,candidate analysis;execution observation;patch validation;reproduction and validation,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0648,FalseCrashReducer: Mitigating False Positive Crashes in OSS-Fuzz-Gen Using Agentic AI,include_study_level,include_study_level,true,true,candidate-analysis system,"reproduction-, validation-, and repair-centered agent",candidate judgment,reproducible validation,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;execution observation;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0650,FaultLine: Automated Proof-of-Vulnerability Generation Using LLM Agents,include_study_level,include_study_level,true,true,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",reproducible validation,reproducible validation,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;execution observation;reproduction and validation,candidate analysis;execution observation;patch validation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0676,From Capabilities to Performance: Evaluating Key Functional Properties of LLM Architectures in Penetration Testing,include_study_level,include_study_level,true,true,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,benchmark ground truth / public material,benchmark ground truth / public material,execution observation;path and input exploration;reporting and audit,candidate analysis;execution observation;path and input exploration;reporting and audit,failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0684,From LLMs to Agents: A Comparative Evaluation of LLMs and LLM-based Agents in Security Patch Detection,include_study_level,include_study_level,true,true,candidate-analysis system,candidate-analysis system,candidate judgment,candidate judgment,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;execution observation,candidate analysis;reporting and audit,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;validation organization / evidence packaging
main,FMS0698,From Trace to Line: LLM Agent for Real-World OSS Vulnerability Localization,include_study_level,include_study_level,true,true,candidate-analysis system,candidate-analysis system,candidate judgment,candidate judgment,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;execution observation,candidate analysis;reporting and audit,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging
main,FMS0718,GapForge: Directed Compiler Fuzzing via Coverage-Gap Analysis,include_study_level,include_study_level,true,true,feedback-driven fuzzing agent,feedback-driven fuzzing agent,reproducible validation,runtime safety signal,benchmark ground truth / public material,no external trace reported,candidate analysis;execution observation;path and input exploration;reproduction and validation,candidate analysis;execution observation;path and input exploration,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing
main,FMS0733,GoAT-X: A Graph of Auditing Thoughts for Securing Token Transactions in Cross-Chain Contracts,include_study_level,include_study_level,true,true,candidate-analysis system,candidate-analysis system,candidate judgment,candidate judgment,author-reported external clue,author-reported external clue,candidate analysis;execution observation;reporting and audit,candidate analysis;reporting and audit,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0734,GPTScan: Detecting Logic Vulnerabilities in Smart Contracts by Combining GPT with Program Analysis,include_study_level,include_study_level,true,true,candidate-analysis system,candidate-analysis system,candidate judgment,candidate judgment,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;execution observation,candidate analysis;reporting and audit,context aggregation / rule extraction;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0741,Guided Reasoning in LLM-Driven Penetration Testing Using Structured Attack Trees,include_study_level,include_study_level,true,true,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,benchmark ground truth / public material,benchmark ground truth / public material,execution observation;path and input exploration;reporting and audit,candidate analysis;execution observation;path and input exploration;reporting and audit,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0747,HackSynth: LLM Agent and Evaluation Framework for Autonomous Penetration Testing,include_study_level,include_study_level,true,true,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,benchmark ground truth / public material,benchmark ground truth / public material,execution observation;path and input exploration;reporting and audit,candidate analysis;execution observation;path and input exploration;reporting and audit,failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0753,Harnessing Large Language Models for Seed Generation in Greybox Fuzzing,include_study_level,include_study_level,true,true,feedback-driven fuzzing agent,feedback-driven fuzzing agent,controlled task completion,controlled task completion,benchmark ground truth / public material,no external trace reported,execution observation;path and input exploration,candidate analysis;execution observation;path and input exploration,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing
main,FMS0768,Hound: Relation-First Knowledge Graphs for Complex-System Reasoning in Security Audits,include_study_level,include_study_level,true,true,candidate-analysis system,candidate-analysis system,candidate judgment,candidate judgment,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;reporting and audit,candidate analysis;reporting and audit,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;long-horizon state management;validation organization / evidence packaging
main,FMS0842,Knowledge-Informed Self-Reflective Automated Penetration Testing Based on LLMs,include_study_level,include_study_level,true,true,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,controlled task completion,controlled task completion,benchmark ground truth / public material,benchmark ground truth / public material,execution observation;path and input exploration;reporting and audit,candidate analysis;execution observation;path and input exploration;reporting and audit,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0850,Large Language Model assisted Hybrid Fuzzing,include_study_level,include_study_level,true,true,feedback-driven fuzzing agent,feedback-driven fuzzing agent,controlled task completion,controlled task completion,benchmark ground truth / public material,no external trace reported,execution observation;path and input exploration,execution observation;path and input exploration,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing
main,FMS0890,LibLMFuzz: LLM-Augmented Fuzz Target Generation for Black-box Libraries,include_study_level,include_study_level,true,true,feedback-driven fuzzing agent,feedback-driven fuzzing agent,controlled task completion,controlled task completion,benchmark ground truth / public material,no external trace reported,candidate analysis;execution observation;path and input exploration,execution observation;path and input exploration,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing
main,FMS0904,LLM Agents for Automated Web Vulnerability Reproduction: Are We There Yet?,include_study_level,include_study_level,true,true,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",reproducible validation,reproducible validation,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0914,LLM-BSCVM: An LLM-Based Blockchain Smart Contract Vulnerability Management Framework,include_study_level,include_study_level,true,true,candidate-analysis system,"reproduction-, validation-, and repair-centered agent",candidate judgment,candidate judgment,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;reporting and audit,candidate analysis;patch validation,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0922,LLM-JDFuzz: A Large Language Model-Based Automated Java Deserialization Payload Generation Framework,include_study_level,include_study_level,true,true,"reproduction-, validation-, and repair-centered agent",feedback-driven fuzzing agent,reproducible validation,reproducible validation,benchmark ground truth / public material,benchmark ground truth / public material,execution observation;path and input exploration;reproduction and validation,execution observation;path and input exploration;reporting and audit;reproduction and validation,failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0927,LLM4CVE: Enabling Iterative Automated Vulnerability Repair with Large Language Models,include_study_level,include_study_level,true,true,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",reproducible validation,reproducible validation,benchmark ground truth / public material,benchmark ground truth / public material,candidate analysis;patch validation,candidate analysis;execution observation;patch validation;path and input exploration;reproduction and validation,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging
main,FMS0933,LLMs and Fuzzing in Tandem: A New Approach to Automatically Generating Weakest Preconditions,include_study_level,include_study_level,true,true,candidate-analysis system,candidate-analysis system,controlled task completion,reproducible validation,benchmark ground truth / public material,no external trace reported,candidate analysis;execution observation;path and input exploration,candidate analysis;execution observation;reproduction and validation,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging
main,FMS0935,LLMs are All You Need? Improving Fuzz Testing for MOJO with Large Language Models,include_study_level,include_study_level,true,true,feedback-driven fuzzing agent,feedback-driven fuzzing agent,runtime safety signal,runtime safety signal,benchmark ground truth / public material,no external trace reported,execution observation;path and input exploration;reproduction and validation,execution observation;path and input exploration,failure reuse / strategy update;feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing
