core_id,system_alias,reference_key,core_type,lifecycle_coverage,traditional_primitives,agent_capabilities,strongest_evidence_output,external_audit_materials,main_claim_boundary,system_archetype,source_location,confidence,manual_review_required,notes
C11,MALF,malf2025,vulnerability-mining core,路径与输入探索; 执行观察与异常解释,industrial protocol fuzzing; real testbed; runtime protocol signals,长程编排与状态管理,运行时安全信号,作者报告的外部线索,三处 zero-day 与 CNVD 声明按原文来源限定方式记录；当前不把全部 zero-day 写成已公开确认。,反馈驱动型 fuzzing Agent; 多 Agent 编排,V4 PDF 1084 + artifact core_coding.csv,high_for_classification; source_limited_for_external_confirmation,no,Resolved by Codex from local V4 PDF text where available plus existing public artifact audit. Current compact manuscript uses conservative source-limited boundaries and does not rely on claim-level external confirmation.
C12,NeTestLLM,netestllm2025,vulnerability-mining core,路径与输入探索; 执行观察与异常解释,network protocol testing; generated test cases; protocol benchmark/history bug coverage,长程编排与状态管理,运行时安全信号,未报告,不能写成发现了41个新漏洞；41是历史FRRouting bug覆盖。,反馈驱动型 fuzzing Agent; 多 Agent 编排,data/core_coding.csv; current manuscript tables; final use should cite paper method/evaluation section when available,high,no,"Auto-filled from existing Core audit fields: task_category, a_level, e_level, external_evidence_profile, environment/external-confirmation notes. Manual review is limited to high-risk or source-limited claims."
C13,PBFuzz,zeng2025pbfuzz,vulnerability-mining core,路径与输入探索; 执行观察与异常解释; 复现与验证,directed fuzzing; PoV; Magma benchmark; replay-like validation,反馈解释与闭环调整; 验证组织与证据打包; 长程编排与状态管理; 失败归纳与策略更新,可复现验证,未报告,不要声称其发现真实新漏洞；应表述为PoV生成和已知漏洞触发。,验证优先型 PoC / PoV Agent; 持续优化,data/core_coding.csv; current manuscript tables; final use should cite paper method/evaluation section when available,high,no,"Auto-filled from existing Core audit fields: task_category, a_level, e_level, external_evidence_profile, environment/external-confirmation notes. Manual review is limited to high-risk or source-limited claims."
C14,Co-RedTeam,he2025coredteam,vulnerability-mining core,候选发现与优先级排序; 路径与输入探索; 执行观察与异常解释,cyber benchmark tasks; shell/browser/external tools,长程编排与状态管理,受控任务完成,未报告,不能声称该系统已被同行评审证明优于所有渗透测试Agent；不能把benchmark成功等同真实攻防全自动化。,自动渗透测试、CRS 与多 Agent 工作流,data/core_coding.csv; current manuscript tables; final use should cite paper method/evaluation section when available,high,no,"Auto-filled from existing Core audit fields: task_category, a_level, e_level, external_evidence_profile, environment/external-confirmation notes. Manual review is limited to high-risk or source-limited claims."
C15,Real-world Pentest Agent Study,deng2025excaliburPentest,vulnerability-mining core,候选发现与优先级排序; 路径与输入探索; 执行观察与异常解释,CTF/HTB/VulnHub/GOAD environments; shell/browser/external tools,长程编排与状态管理,受控任务完成,未报告,不能把靶场成功率写成真实企业网络渗透能力；不能忽视预印本状态。,自动渗透测试、CRS 与多 Agent 工作流,data/core_coding.csv; current manuscript tables; final use should cite paper method/evaluation section when available,high,no,"Auto-filled from existing Core audit fields: task_category, a_level, e_level, external_evidence_profile, environment/external-confirmation notes. Manual review is limited to high-risk or source-limited claims."
C16,LLMVD.js,ni2026llmvdjs,vulnerability-mining core,候选发现与优先级排序; 复现与验证,taint-style analysis; Node.js packages; PoC generation; exploit validation,反馈解释与闭环调整; 验证组织与证据打包,可复现验证,未报告,不能把36个validated exploits都写成已公开确认CVE；不能称其无需任何source-limited review。,验证优先型 PoC / PoV Agent,V4 PDF 1116 + artifact core_coding.csv,high_for_classification; source_limited_for_external_confirmation,no,Resolved by Codex from local V4 PDF text where available plus existing public artifact audit. Current compact manuscript uses conservative source-limited boundaries and does not rely on claim-level external confirmation.
C17,Multi-Agent Harnesses,liu2025agentflowHarnesses,vulnerability-mining core,路径与输入探索; 复现与验证; 报告、审计与披露,harness generation; fuzzing; Chrome campaign; PoC/config artifacts,长程编排与状态管理; 失败归纳与策略更新,可复现验证,未报告,Chrome zero-day 与 CVE 声明仅按论文报告记录；披露受限材料不转写为本文独立确认。,验证优先型 PoC / PoV Agent; 多 Agent 编排; 持续优化,V4 PDF 1121 + artifact core_coding.csv,high_for_classification; source_limited_for_external_confirmation,no,Resolved by Codex from local V4 PDF text where available plus existing public artifact audit. Current compact manuscript uses conservative source-limited boundaries and does not rely on claim-level external confirmation.
C18,PentestAgent,shen2025pentestagent,vulnerability-mining core,候选发现与优先级排序; 路径与输入探索; 执行观察与异常解释,VulHub/HTB tasks; shell/browser/external tools,长程编排与状态管理,受控任务完成,未报告,不能声称其解决真实世界开放环境渗透测试；需要区分已知漏洞利用与漏洞挖掘。,自动渗透测试、CRS 与多 Agent 工作流,data/core_coding.csv; current manuscript tables; final use should cite paper method/evaluation section when available,high,no,"Auto-filled from existing Core audit fields: task_category, a_level, e_level, external_evidence_profile, environment/external-confirmation notes. Manual review is limited to high-risk or source-limited claims."
C19,LIVA,yang2025liva,vulnerability-mining core,候选发现与优先级排序,taint-style analysis; IoT firmware samples; static/tool-assisted inspection,上下文聚合与规则提取; 工具选择与策略路由,候选判断,作者报告的外部线索,64 个未知漏洞与 39 个 CVE/CNVD 标识按原文来源限定记录；不声称全部未知漏洞均已外部确认。,工具增强型分析器,V4 PDF 1131 + artifact core_coding.csv,high_for_classification; source_limited_for_external_confirmation,no,Resolved by Codex from local V4 PDF text where available plus existing public artifact audit. Current compact manuscript uses conservative source-limited boundaries and does not rely on claim-level external confirmation.
C20,FirmAgent,firmagent2026,vulnerability-mining core,路径与输入探索; 执行观察与异常解释; 复现与验证,firmware rehosting/fuzzing; crash/replay; IoT firmware targets,反馈解释与闭环调整; 验证组织与证据打包,可复现验证,作者报告的外部线索,不能泛化为所有IoT固件或全系统环境均有效；需保留rehosting依赖与适用边界。,验证优先型 PoC / PoV Agent; 反馈驱动型 fuzzing Agent,data/core_coding.csv; current manuscript tables; final use should cite paper method/evaluation section when available,high,no,"Auto-filled from existing Core audit fields: task_category, a_level, e_level, external_evidence_profile, environment/external-confirmation notes. Manual review is limited to high-risk or source-limited claims."
C21,PANGOLIN,jia2026pangolin,vulnerability-mining core,路径与输入探索; 执行观察与异常解释,fuzzing; IoT devices; crash/sanitizer-like runtime signals,反馈解释与闭环调整; 验证组织与证据打包,运行时安全信号,作者报告的外部线索,不能在未核验前写成已正式USENIX出版；不能公开复述敏感payload细节。,反馈驱动型 fuzzing Agent,data/core_coding.csv; current manuscript tables; final use should cite paper method/evaluation section when available,high,no,"Auto-filled from existing Core audit fields: task_category, a_level, e_level, external_evidence_profile, environment/external-confirmation notes. Manual review is limited to high-risk or source-limited claims."
C22,TransferFuzz-Pro,li2025transferfuzzpro,vulnerability-mining core,复现与验证,PoC; vulnerability propagation validation; binary/software instances,反馈解释与闭环调整; 验证组织与证据打包,可复现验证,未报告,不能写成发现38个新漏洞；更准确是识别38个此前未报告的受影响二进制/软件实例。,验证优先型 PoC / PoV Agent,data/core_coding.csv; current manuscript tables; final use should cite paper method/evaluation section when available,high,no,"Auto-filled from existing Core audit fields: task_category, a_level, e_level, external_evidence_profile, environment/external-confirmation notes. Manual review is limited to high-risk or source-limited claims."
C23,Cybench,cybench2025,vulnerability-mining core,路径与输入探索; 执行观察与异常解释,cyber range/CTF tasks; benchmark environment,长程编排与状态管理,受控任务完成,未报告,不要把CTF成功率等同于真实生产环境漏洞发现率。,自动渗透测试、CRS 与多 Agent 工作流,data/core_coding.csv; current manuscript tables; final use should cite paper method/evaluation section when available,high,no,"Auto-filled from existing Core audit fields: task_category, a_level, e_level, external_evidence_profile, environment/external-confirmation notes. Manual review is limited to high-risk or source-limited claims."
C24,BountyBench,bountybench2025,vulnerability-mining core,候选发现与优先级排序; 复现与验证; 修复验证,bug bounty benchmark; detect/exploit/patch tasks; run logs,长程编排与状态管理,受控任务完成,benchmark ground truth / 公开材料,不要把其40个bounties推广为所有漏洞生态的总体分布。,自动渗透测试、CRS 与多 Agent 工作流,data/core_coding.csv; current manuscript tables; final use should cite paper method/evaluation section when available,high,no,"Auto-filled from existing Core audit fields: task_category, a_level, e_level, external_evidence_profile, environment/external-confirmation notes. Manual review is limited to high-risk or source-limited claims."
C25,SEC-bench,secbench2025,vulnerability-mining core,复现与验证; 修复验证,PoC generation; patch validation; CVE benchmark,反馈解释与闭环调整; 验证组织与证据打包,可复现验证,未报告,不要把SEC-bench扩展为覆盖全部漏洞类型或全部语言生态。,验证优先型 PoC / PoV Agent,data/core_coding.csv; current manuscript tables; final use should cite paper method/evaluation section when available,high,no,"Auto-filled from existing Core audit fields: task_category, a_level, e_level, external_evidence_profile, environment/external-confirmation notes. Manual review is limited to high-risk or source-limited claims."
C26,CyberGym,cybergym2025,vulnerability-mining core,路径与输入探索; 执行观察与异常解释; 复现与验证; 报告、审计与披露,PoC generation; vulnerability reproduction; OSS-Fuzz benchmark; open-ended discovery,反馈解释与闭环调整; 验证组织与证据打包; 长程编排与状态管理; 失败归纳与策略更新,可复现验证,benchmark ground truth / 公开材料,不要把20%左右成功率推广到非memory-safety或非OSS-Fuzz场景。,自动渗透测试、CRS 与多 Agent 工作流; 持续优化,V4 PDF 1523 + artifact core_coding.csv,high_for_classification; source_limited_for_external_confirmation,no,Resolved by Codex from local V4 PDF text where available plus existing public artifact audit. Current compact manuscript uses conservative source-limited boundaries and does not rely on claim-level external confirmation.
C27,AgentFuzz,liu2025agentfuzz,governance boundary case,报告、审计与披露,agent-app taint-style analysis; directed greybox fuzzing; governance risk evidence,长程编排与状态管理,治理风险,作者报告的外部线索,不要把AgentFuzz等同于通用软件漏洞挖掘；对象是LLM-based agent应用。,治理边界案例,V4 PDF 1218 + artifact core_coding.csv,high_for_classification; source_limited_for_external_confirmation,no,Resolved by Codex from local V4 PDF text where available plus existing public artifact audit. Current compact manuscript uses conservative source-limited boundaries and does not rely on claim-level external confirmation.
C28,FuzzingBrain V2,fuzzingbrainv2_2026,vulnerability-mining core,路径与输入探索; 执行观察与异常解释; 复现与验证; 修复验证; 报告、审计与披露,fuzzing; PoV; patch validation; CRS; OSS-Fuzz/AIxCC-style targets,长程编排与状态管理,可复现验证,作者报告的外部线索,仅按来源限定方式记录维护者确认、CVE 或真实漏洞声明；缺少逐漏洞 artifact、版本、环境与外部确认对齐时，不赋予声明级 E4c。,自动渗透测试、CRS 与多 Agent 工作流,V4 PDF 1581 + artifact literature_update_decisions.csv,high_for_classification; source_limited_for_external_confirmation,no,Resolved by Codex from local V4 PDF text where available plus existing public artifact audit. Current compact manuscript uses conservative source-limited boundaries and does not rely on claim-level external confirmation.
C29,DrillAgent,drillagent2026,vulnerability-mining core,复现与验证,PoV generation; SEC-bench; replay/verification task,反馈解释与闭环调整; 验证组织与证据打包,可复现验证,benchmark ground truth / 公开材料,SEC-bench ground truth 支撑 PoV/replay 讨论，但属于 benchmark 背景，不改变本文未确认声明级 E4c 的结论。,验证优先型 PoC / PoV Agent,V4 PDF 1674 + artifact literature_update_decisions.csv,high_for_classification; source_limited_for_external_confirmation,no,Resolved by Codex from local V4 PDF text where available plus existing public artifact audit. Current compact manuscript uses conservative source-limited boundaries and does not rely on claim-level external confirmation.
C30,OSS-CRS,chin2026osscrs,vulnerability-mining core,路径与输入探索; 执行观察与异常解释; 复现与验证; 报告、审计与披露,CRS; fuzzing; real OSS projects; source-limited unknown-bug claims,长程编排与状态管理,可复现验证,作者报告的外部线索,未知漏洞声明按原文来源限定方式记录；在缺少逐项外部确认链前，不赋予声明级 E4c。,自动渗透测试、CRS 与多 Agent 工作流,V4 PDF 1202 + artifact literature_update_decisions.csv,high_for_classification; source_limited_for_external_confirmation,no,Resolved by Codex from local V4 PDF text where available plus existing public artifact audit. Current compact manuscript uses conservative source-limited boundaries and does not rely on claim-level external confirmation.
C31,GONDAR,gondar2026,vulnerability-mining core,路径与输入探索; 执行观察与异常解释; 复现与验证,Java fuzzing; benchmark/OSS-CRS deployment context,长程编排与状态管理,可复现验证,作者报告的外部线索,zero-day 或外部确认线索按来源限定方式记录；当前仅作为 E4a 线索，不赋予声明级 E4c。,反馈驱动型 fuzzing Agent; 自动渗透测试、CRS 与多 Agent 工作流,artifact official-source records; no local GONDAR PDF located in V4 staging,medium_high_for_classification; no_local_pdf_text_for_gondar,no,Resolved by Codex from local V4 PDF text where available plus existing public artifact audit. Current compact manuscript uses conservative source-limited boundaries and does not rely on claim-level external confirmation.

