discovery_id,title,publication_dates,doi,arxiv_id,source_ids,access_status,assessment_status,ai_assisted_proposed_decision,ai_assisted_proposed_layer,decision_reason,source_location,version_status,version_target,second_coder_required,author_final_decision,author_final_reason,human_confirmation_status
FMS0166,AI-Driven Agentic Framework for Insider Threats Prevention and Detection in Secure Software Development Organizations: A Fuzzy AHP Approach,2026-03-04,10.21203/rs.3.rs-8756821/v1,,openalex,not_available,title_abstract_reviewed_ai_assisted,exclude_near_neighbor,excluded_near_neighbor,The record is outside target-software vulnerability discovery and validation or uses vulnerability in a non-software sense.,title/abstract and source metadata; https://doi.org/10.21203/rs.3.rs-8756821/v1,,,no,,,pending
FMS0205,Antaeus: Hunting Repository-Level Logic Vulnerabilities via Context-Grounded LLM Reasoning,2026-07-01,,2607.01138,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,extended_synthesis_candidate,extended_synthesis,"Repository-scale prioritization and comparative validation are relevant, but the available description does not establish adaptive tool or execution control by the LLM.",public full text pp. 1; https://arxiv.org/pdf/2607.01138,,,no,,,pending
FMS0206,Antiproof: Synthesizing Vulnerability Detectors and Proofs of Exploitability,2026-07-14,,2607.12316,arxiv; openalex,downloaded_and_text_extracted,full_text_reviewed,study_level_candidate,target_software_study,Antiproof uses LLM agents to refine static detectors from verifier feedback and generate executable PoV/PoE artifacts checked by deterministic oracles.,"public full text pp. 1, 2; https://arxiv.org/pdf/2607.12316",,,yes_after_author_inclusion,include_study_level,Full-text-supported study-level treatment confirmed by the project owner on 2026-08-14; retained in the 199-study coding matrix.,confirmed_by_project_owner_2026-08-14
FMS0209,APPATCH: Automated Adaptive Prompting Large Language Models for Real-World Software Vulnerability Patching,2024-08-24,,2408.13597,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,extended_synthesis_candidate,extended_synthesis,"APPATCH stages semantic slicing, exemplar selection, patch generation, and ensemble LLM validation, but follows a fixed orchestration without execution feedback changing a later tool-mediated action.","public full text pp. 2, 3; https://www.usenix.org/system/files/usenixsecurity25-nong.pdf",,,no,,,pending
FMS0212,APT-Agent: Automated Penetration Testing using Large Language Models,2026-05-24,,2605.24949,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,study_level_candidate,target_software_study,"Public full text shows an observable LLM-mediated change to a tool action, execution input, feedback interpretation, retained state, validation step, or reporting decision.",public full text pp. 1; https://arxiv.org/pdf/2605.24949,,,yes_after_author_inclusion,,,pending
FMS0214,ARACNE: An LLM-Based Autonomous Shell Pentesting Agent,2025-02-24,,2502.18528,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,study_level_candidate,target_software_study,"Public full text shows an observable LLM-mediated change to a tool action, execution input, feedback interpretation, retained state, validation step, or reporting decision.","public full text pp. 1, 2; https://arxiv.org/pdf/2502.18528",,,yes_after_author_inclusion,,,pending
FMS0219,Are Frontier LLMs Ready for Cybersecurity? Evidence for Vertical Foundation Models from Dual-Mode Vulnerability Benchmarks,2026-05-22,,2605.23243,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,study_level_candidate,target_software_study,"The black-box arm evaluates a shared-state Agentic Reasoning Graph with bounded tool execution, proof gates, and evidence-backed reporting on web targets.","public full text pp. 2, 1; https://arxiv.org/pdf/2605.23243",,,yes_after_author_inclusion,,,pending
FMS0226,Artificial Intelligence as the New Hacker: Developing Agents for Offensive Security,2024-05-09,,2406.07561,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,study_level_candidate,target_software_study,"Public full text shows an observable LLM-mediated change to a tool action, execution input, feedback interpretation, retained state, validation step, or reporting decision.","public full text pp. 4, 18, 6; https://arxiv.org/pdf/2406.07561",,,yes_after_author_inclusion,,,pending
FMS0230,ASEval: Automated Trajectory-Level Security Testing for Autonomous Agents,2026-05-21,,2605.22321,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,background_reference_candidate,background_reference,"The record supplies background on agent security, evaluation, traditional mechanisms, or governance rather than target-software Agentic vulnerability discovery or validation.",public full text pp. 1; https://arxiv.org/pdf/2605.22321,,,no,,,pending
FMS0233,Assertain: Automated Security Assertion Generation Using Large Language Models,2026-04-02,,2604.01583,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,extended_synthesis_candidate,extended_synthesis,"Assertain iterates LLM generation and self-reflection over RTL context, but the evaluated workflow does not feed formal-tool execution results back into a later LLM-controlled action.",public full text pp. 1; https://arxiv.org/pdf/2604.01583,,,no,,,pending
FMS0239,"ATLANTIS: AI-driven Threat Localization, Analysis, and Triage Intelligence System",2025-09-18,,2509.14589,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,study_level_candidate,target_software_study,"ATLANTIS combines LLM agents with static analysis, symbolic execution, directed fuzzing, PoV generation, patching, and fallback scheduling in an evaluated CRS.","public full text pp. 4, 3, 7, 5; https://arxiv.org/pdf/2509.14589",,,yes_after_author_inclusion,,,pending
FMS0253,Automated IoT Firmware Vulnerability Detection Using Large Language Models,2025-10-02; 2025-12-02; 2025-12-2,10.20944/preprints202510.0166.v1,,crossref; openalex,not_available,title_abstract_reviewed_ai_assisted,extended_synthesis_candidate,extended_synthesis,The visible workflow is a fixed EMBA-to-Ghidra-to-LLM pipeline; no LLM decision changes a later tool action or retained state.,title/abstract and source metadata; https://doi.org/10.20944/preprints202510.0166.v1; https://doi.org/10.21203/rs.3.rs-7742423/v1,,,no,,,pending
FMS0254,Automated Penetration Testing with LLM Agents and Classical Planning,2025-12-11,,2512.11143,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,study_level_candidate,target_software_study,"Public full text shows an observable LLM-mediated change to a tool action, execution input, feedback interpretation, retained state, validation step, or reporting decision.","public full text pp. 1, 4; https://arxiv.org/pdf/2512.11143",,,yes_after_author_inclusion,,,pending
FMS0257,Automated Vulnerability Validation and Verification: A Large Language Model Approach,2025-09-28,,2509.24037,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,study_level_candidate,target_software_study,"Public full text shows an observable LLM-mediated change to a tool action, execution input, feedback interpretation, retained state, validation step, or reporting decision.","public full text pp. 1, 2; https://arxiv.org/pdf/2509.24037",,,yes_after_author_inclusion,,,pending
FMS0258,"Automatic, Expressive, and Scalable Fuzzing with Stitching",2026-02-21,,2602.18689,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,study_level_candidate,target_software_study,"STITCH agents configure builds, refine specifications from compilation and test outcomes, triage crashes, and prepare minimized reproducers and reports.","public full text pp. 7, 1, 2; https://arxiv.org/pdf/2602.18689",,,yes_after_author_inclusion,,,pending
FMS0260,Automatic Web Vulnerability Validation with Knowledge-augmented LLM Agent,2026-5-11,10.1109/iicc69623.2026.11582010,,crossref; ieee_crossref,not_available,manual_full_text_review_needed,study_level_candidate,target_software_study,"Title/abstract indicates a potentially eligible Agentic target-software workflow, but public full text was not retrieved; do not count or code until full-text review is completed.",title/abstract and source metadata; https://doi.org/10.1109/iicc69623.2026.11582010,,,pending_full_text_and_author_inclusion,,,pending
FMS0263,Automating Security Audit Using Large Language Model based Agent: An Exploration Experiment,2025-05-15,,2505.10732,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,background_reference_candidate,background_reference,"The record supplies background on agent security, evaluation, traditional mechanisms, or governance rather than target-software Agentic vulnerability discovery or validation.","public full text pp. 1, 2, 3; https://arxiv.org/pdf/2505.10732",,,no,,,pending
FMS0266,Autonomous mechanistic discovery of colorectal cancer vulnerabilities via multi-scale AI swarms,2026-06-28,,2607.16262,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,exclude_near_neighbor,excluded_near_neighbor,The record is outside target-software vulnerability discovery and validation or uses vulnerability in a non-software sense.,"public full text pp. 1, 4, 2; https://arxiv.org/pdf/2607.16262",,,no,,,pending
FMS0267,AutoPatch: Multi-Agent Framework for Patching Real-World CVE Vulnerabilities,2025-05-07,,2505.04195,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,study_level_candidate,target_software_study,"Public full text shows an observable LLM-mediated change to a tool action, execution input, feedback interpretation, retained state, validation step, or reporting decision.","public full text pp. 1, 3, 2; https://arxiv.org/pdf/2505.04195",,,yes_after_author_inclusion,,,pending
FMS0269,AutoPenBench: Benchmarking Generative Agents for Penetration Testing,2024-10-04,,2410.03225,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,study_level_candidate,target_software_study,"Public full text shows an observable LLM-mediated change to a tool action, execution input, feedback interpretation, retained state, validation step, or reporting decision.","public full text pp. 2, 1; https://arxiv.org/pdf/2410.03225",,,yes_after_author_inclusion,,,pending
FMS0270,AutoPentest: Enhancing Vulnerability Management With Autonomous LLM Agents,2025-05-15,,2505.10321,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,study_level_candidate,target_software_study,"Public full text shows an observable LLM-mediated change to a tool action, execution input, feedback interpretation, retained state, validation step, or reporting decision.","public full text pp. 2, 1, 7, 6; https://arxiv.org/pdf/2505.10321",,,yes_after_author_inclusion,,,pending
FMS0271,AutoPentester: An LLM Agent-based Framework for Automated Pentesting,2025-10-07,,2510.05605,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,study_level_candidate,target_software_study,"Public full text shows an observable LLM-mediated change to a tool action, execution input, feedback interpretation, retained state, validation step, or reporting decision.","public full text pp. 2, 1; https://arxiv.org/pdf/2510.05605",,,yes_after_author_inclusion,,,pending
FMS0272,AutoPT: How Far Are We from the End2End Automated Web Penetration Testing?,2024-11-02,,2411.01236,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,study_level_candidate,target_software_study,"Public full text shows an observable LLM-mediated change to a tool action, execution input, feedback interpretation, retained state, validation step, or reporting decision.","public full text pp. 1, 2, 3; https://arxiv.org/pdf/2411.01236",,,yes_after_author_inclusion,,,pending
FMS0274,AutoSafeCoder: A Multi-Agent Framework for Securing LLM Code Generation through Static Analysis and Fuzz Testing,2024-09-16,,2409.10737,arxiv; openalex,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,extended_synthesis_candidate,extended_synthesis,"The study contributes an adjacent mechanism, benchmark, evaluation, or one-way LLM-assisted analysis, but does not establish the observable Agentic workflow control required for study-level coding.","public full text pp. 1, 2, 3; https://arxiv.org/pdf/2409.10737",,,no,,,pending
FMS0275,AutoSec-Agent: a fully autonomous and ethical multi-agent framework for scalable penetration testing using large language models,2026-7-30,10.1007/s40747-026-02447-5,,crossref; springer_crossref,not_available,manual_full_text_review_needed,study_level_candidate,target_software_study,"Title/abstract indicates a potentially eligible Agentic target-software workflow, but public full text was not retrieved; do not count or code until full-text review is completed.",title/abstract and source metadata; https://doi.org/10.1007/s40747-026-02447-5,,,pending_full_text_and_author_inclusion,,,pending
FMS0279,AutoVulnPHP: LLM-Powered Two-Stage PHP Vulnerability Detection and Automated Localization,2026-01-07,,2601.06177,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,extended_synthesis_candidate,extended_synthesis,The two-stage detector and LLM localization pipeline provides adjacent candidate-analysis evidence but does not establish an Agentic tool-feedback loop.,"public full text pp. 1, 3; https://arxiv.org/pdf/2601.06177",,,no,,,pending
FMS0280,"AVIATOR: Towards AI-Agentic Vulnerability Injection Workflow for High-Fidelity, Large-Scale Code Security Dataset",2025-08-28,,2508.20866,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,extended_synthesis_candidate,extended_synthesis,"The study contributes an adjacent mechanism, benchmark, evaluation, or one-way LLM-assisted analysis, but does not establish the observable Agentic workflow control required for study-level coding.","public full text pp. 1, 2; https://arxiv.org/pdf/2508.20866",,,no,,,pending
FMS0281,AWE: Adaptive Agents for Dynamic Web Penetration Testing,2026-03-01,10.14722/last-x.2026.23037,2603.00960,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,study_level_candidate,target_software_study,"Public full text shows an observable LLM-mediated change to a tool action, execution input, feedback interpretation, retained state, validation step, or reporting decision.","public full text pp. 2, 1; https://arxiv.org/pdf/2603.00960",,,yes_after_author_inclusion,,,pending
FMS0284,BACFuzz: Exposing the Silence on Broken Access Control Vulnerabilities in Web Applications,2025-07-21,,2507.15984,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,study_level_candidate,target_software_study,"Public full text shows an observable LLM-mediated change to a tool action, execution input, feedback interpretation, retained state, validation step, or reporting decision.","public full text pp. 1, 2; https://arxiv.org/pdf/2507.15984",,,yes_after_author_inclusion,,,pending
FMS0288,Baselines Before Architecture: Evaluating Coding Agents for Autonomous Penetration Testing,2026-07-13,,2607.13085,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,study_level_candidate,target_software_study,"Public full text shows an observable LLM-mediated change to a tool action, execution input, feedback interpretation, retained state, validation step, or reporting decision.",public full text pp. 1; https://arxiv.org/pdf/2607.13085,,,yes_after_author_inclusion,,,pending
FMS0297,Benchmarking LLMs and LLM-based Agents in Practical Vulnerability Detection for Code Repositories,2025-03-05,,2503.03586,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,study_level_candidate,target_software_study,"JitVul evaluates ReAct agents that request interprocedural context, observe retrieved code, and iteratively refine repository-level vulnerability judgments.","public full text pp. 1, 3, 5; https://arxiv.org/pdf/2503.03586",,,yes_after_author_inclusion,,,pending
FMS0307,Beyond Imprecise Distance Metrics: Trace-Guided Directed Greybox Fuzzing via LLM-Predicted Call Stacks,2025-10-27,,2510.23101,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,extended_synthesis_candidate,extended_synthesis,The LLM predicts target call stacks before directed fuzzing; runtime feedback remains inside the fuzzer and does not return to an LLM-controlled decision.,"public full text pp. 2, 1; https://arxiv.org/pdf/2510.23101",,,no,,,pending
FMS0327,Boosting Cybersecurity Vulnerability Scanning based on LLM-supported Static Application Security Testing,2024-09-24,,2409.15735,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,extended_synthesis_candidate,extended_synthesis,LSAST supplies retrieved vulnerability knowledge to an LLM-supported static scan in a fixed pipeline without observable adaptive tool or execution control.,"public full text pp. 1, 2; https://arxiv.org/pdf/2409.15735",,,no,,,pending
FMS0335,Bridging AI and Software Security: A Comparative Vulnerability Assessment of LLM Agent Deployment Paradigms,2025-07-08; 2025-7-24; 2026-6-01,10.1016/j.ins.2026.123231,2507.06323,arxiv; crossref; elsevier_crossref,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,background_reference_candidate,background_reference,"The record supplies background on agent security, evaluation, traditional mechanisms, or governance rather than target-software Agentic vulnerability discovery or validation.","public full text pp. 1, 7, 2; https://arxiv.org/pdf/2507.06323",,,no,,,pending
FMS0347,Bulkhead: Automated Semantic Detection and Remediation of Container Escape Vulnerabilities,2026-07-14,,2607.12723,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,study_level_candidate,target_software_study,"Bulkhead agents recover paths, generate PoCs, use validation results to guide patching, and formally check the resulting container-escape repairs.","public full text pp. 2, 1, 9; https://arxiv.org/pdf/2607.12723",,,yes_after_author_inclusion,,,pending
FMS0362,Can LLMs Patch Security Issues?,2023-11-13,,2312.00024,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,study_level_candidate,target_software_study,FDSP feeds compiler and Bandit findings back to the LLM so that later patch candidates respond to external tool results.,public full text pp. 1; https://arxiv.org/pdf/2312.00024,,,yes_after_author_inclusion,,,pending
FMS0364,Can Open-Source LLM Agents Replace Static Application Security Testing Tools? An Empirical Assessment,2026-06-10,,2606.11672,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,extended_synthesis_candidate,extended_synthesis,Snitch recursively applies a fixed prompt to repository files and is compared with Bandit; the evaluated agent does not control Bandit or adapt later actions from execution feedback.,public full text pp. 1; https://arxiv.org/pdf/2606.11672,,,no,,,pending
FMS0367,Causal Autoencoder-like Generation of Feedback Fuzzy Cognitive Maps with an LLM Agent,2025-12-3,10.1109/icmla66185.2025.00188,,ieee_crossref,not_available,title_abstract_reviewed_ai_assisted,exclude_near_neighbor,excluded_near_neighbor,The record is outside target-software vulnerability discovery and validation or uses vulnerability in a non-software sense.,title/abstract and source metadata; https://doi.org/10.1109/icmla66185.2025.00188,,,no,,,pending
FMS0372,Chai: Agentic Discovery of Cryptographic Misuse Vulnerabilities,2026-06-25,,,openalex,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,study_level_candidate,target_software_study,"Public full text shows an observable LLM-mediated change to a tool action, execution input, feedback interpretation, retained state, validation step, or reporting decision.","public full text pp. 2, 1; https://arxiv.org/pdf/2606.26933",,,yes_after_author_inclusion,,,pending
FMS0374,Chain-of-Thought Prompting of Large Language Models for Discovering and Fixing Software Vulnerabilities,2024-02-27,,2402.17230,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,extended_synthesis_candidate,extended_synthesis,"VSP applies structured chain-of-thought prompts to vulnerability identification, discovery, and patching without an observable Agent runtime or tool-feedback transition.",public full text pp. 1; https://arxiv.org/pdf/2402.17230,,,no,,,pending
FMS0376,CHAINTRIX: A multi-pipeline LLM-augmented framework for automated smart-contract security auditing,2026-05-10,,2605.09350,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,study_level_candidate,target_software_study,Chaintrix routes LLM-generated findings through deterministic structural checks and selected symbolic-execution or fuzz validation before reporting.,"public full text pp. 1, 13; https://arxiv.org/pdf/2605.09350",,,yes_after_author_inclusion,,,pending
FMS0384,Chiral Analysis of Smart Contracts: Detecting Vulnerabilities from Relational Inconsistencies Across Business Paths,2026-07-20,,2607.17987,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,extended_synthesis_candidate,extended_synthesis,"ChiralDetector combines path extraction, LLM semantic judgment, strict validation, and root-cause reporting in a staged pipeline, but validation does not change a later LLM-controlled action.","public full text pp. 1, 2; https://arxiv.org/pdf/2607.17987",,,no,,,pending
FMS0389,CKG-LLM: LLM-Assisted Detection of Smart Contract Access Control Vulnerabilities Based on Knowledge Graphs,2025-12-07,,2512.06846,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,study_level_candidate,target_software_study,The LLM produces executable graph queries and an auxiliary model refines query generation; full text shows an observable analysis-tool transition.,"public full text pp. 1, 3; https://arxiv.org/pdf/2512.06846",,,yes_after_author_inclusion,,,pending
FMS0401,Cochise: A Reference Harness for Autonomous Penetration Testing,2026-05-12,,2605.11671,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,study_level_candidate,target_software_study,"Public full text shows an observable LLM-mediated change to a tool action, execution input, feedback interpretation, retained state, validation step, or reporting decision.","public full text pp. 1, 2; https://arxiv.org/pdf/2605.11671",,,yes_after_author_inclusion,,,pending
FMS0410,CodeHacker: Automated Test Case Generation for Detecting Vulnerabilities in Competitive Programming Solutions,2026-02-23,,2602.20213,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,extended_synthesis_candidate,extended_synthesis,"CodeHacker supplies an adjacent iterative code-and-test generation mechanism, but its evaluated target is competitive-programming correctness rather than vulnerability mining.",public full text pp. 1; https://arxiv.org/pdf/2602.20213,,,no,,,pending
FMS0412,Codexity: Secure AI-assisted Code Generation,2024-05-07,,2405.03927,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,study_level_candidate,target_software_study,Codexity returns Infer or CppCheck findings to the LLM and iterates repair until the analyzer accepts the generated program or the attempt limit is reached.,public full text pp. 1; https://arxiv.org/pdf/2405.03927,,,yes_after_author_inclusion,,,pending
FMS0419,CommitShield: Tracking Vulnerability Introduction and Fix in Version Control Systems,2025-01-07,,2501.03626,arxiv,downloaded_and_text_extracted,full_text_reviewed_ai_assisted,extended_synthesis_candidate,extended_synthesis,CommitShield combines static-analysis output with LLM-generated descriptions and patch context in a fixed detector rather than an adaptive Agent-runtime loop.,"public full text pp. 2, 1, 7; https://arxiv.org/pdf/2501.03626",,,no,,,pending
