reference_key,title,current_source_type,doi_status,evidence,manual_action_required,notes
PE002,Codex Models,developer_documentation,doi_not_applicable_product_page,product_ecosystem_snapshot official_url=https://developers.openai.com/codex/models; access_date=2026-06-13,no,Model documentation; refresh before future manuscript revisions.
PE003,Codex Security,help_page,doi_not_applicable_product_page,product_ecosystem_snapshot official_url=https://help.openai.com/en/articles/20001107-codex-security; access_date=2026-06-13,no,Research-preview help page; not independent reproduction evidence.
PE004,Codex Security plugin,developer_documentation,doi_not_applicable_product_page,product_ecosystem_snapshot official_url=https://developers.openai.com/codex/security/plugin; access_date=2026-06-13,no,Plugin documentation; not a corpus/Core row.
PE005,Codex Security FAQ,developer_documentation,doi_not_applicable_product_page,product_ecosystem_snapshot official_url=https://developers.openai.com/codex/security/faq; access_date=2026-06-13,no,FAQ documentation; not a corpus/Core row.
PE006,Codex Security use cases,developer_documentation,doi_not_applicable_product_page,product_ecosystem_snapshot official_url=https://developers.openai.com/codex/use-cases/deep-security-scan; access_date=2026-06-13,no,Use-case documentation; not a corpus/Core row.
PE007,OpenAI Cyber Safety for Codex,developer_documentation,doi_not_applicable_product_page,product_ecosystem_snapshot official_url=https://developers.openai.com/codex/concepts/cyber-safety; access_date=2026-06-13,no,Safety/governance documentation; not a corpus/Core row.
PE008,Codex for Open Source / Codex OSS,developer_documentation,doi_not_applicable_product_page,product_ecosystem_snapshot official_url=https://developers.openai.com/codex/open-source; access_date=2026-06-13,no,OSS program documentation; not a corpus/Core row.
PE009,Claude Code,product_page,doi_not_applicable_product_page,product_ecosystem_snapshot official_url=https://claude.com/product/claude-code; access_date=2026-06-13,no,Product page; local Zotero search found no matching item.
PE010,Claude Code security controls,developer_documentation,doi_not_applicable_product_page,product_ecosystem_snapshot official_url=https://code.claude.com/docs/en/security; access_date=2026-06-15; redirect_checked_from=https://docs.anthropic.com/en/docs/claude-code/security,no,Security controls documentation; not a corpus/Core row.
PE011,Claude Code automated review / GitHub Actions,developer_documentation,doi_not_applicable_product_page,product_ecosystem_snapshot official_url=https://code.claude.com/docs/en/github-actions; access_date=2026-06-13,no,GitHub Actions integration documentation; not a corpus/Core row.
PE012,Claude Code Security,vendor_blog,doi_not_applicable_product_page,product_ecosystem_snapshot official_url=https://claude.com/blog/claude-security-public-beta; publication_date=2026-04-30; access_date=2026-06-13,no,Former product name in vendor announcement; not independent confirmation.
PE013,Claude Security,product_page,doi_not_applicable_product_page,product_ecosystem_snapshot official_url=https://claude.com/product/claude-security; access_date=2026-06-13,no,Product page; vendor material not independent reproduction evidence.
PE014,Claude Opus 4.8,model_page,doi_not_applicable_product_page,product_ecosystem_snapshot official_url=https://www.anthropic.com/claude/opus; publication_date=2026-05-28; access_date=2026-06-13,no,Model page; not a corpus/Core row.
PE015,Claude Mythos Preview / Mythos 5,model_page,doi_not_applicable_product_page,product_ecosystem_snapshot official_url=https://www.anthropic.com/claude/mythos; access_date=2026-06-13,no,Restricted-access model page; vendor material not independent confirmation.
PE016,Project Glasswing,vendor_announcement,doi_not_applicable_product_page,product_ecosystem_snapshot official_url=https://www.anthropic.com/glasswing; publication_date=2026-04-07; access_date=2026-06-13,no,Defensive cyber initiative announcement; not a corpus/Core row.
PE017,Anthropic Responsible Disclosure Policy,policy_page,doi_not_applicable_policy_page,product_ecosystem_snapshot official_url=https://www.anthropic.com/responsible-disclosure-policy; last_updated=2025-02-14; access_date=2026-06-13,no,Disclosure policy; not a corpus/Core row.
