review_order,matrix_id,record_id,system_alias,title,year,publication_status,review_scope,official_url,materials_to_review,final_lifecycle_coverage,lifecycle_review_status,final_cross_stage_capabilities,capability_review_status,final_primary_system_shape,shape_review_status,final_strongest_evidence_output,evidence_review_status,final_external_traceability,traceability_review_status,final_claim_boundary,claim_boundary_review_status,material_checked,decision_note,uncertainty_note,row_status
15,C15,CP081,Real-world Pentest Agent Study,What makes a good LLM agent for real-world penetration testing?,2025,preprint,target-software study,https://arxiv.org/abs/2602.17622,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,newly_code,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,revise,long-horizon pentest and CRS agent,newly_code,controlled task completion,confirm,benchmark ground truth / public material,revise,"The paper supports difficulty-aware attack-tree planning, tool execution, validation, and bounded penetration-test task completion across the evaluated benchmarks and authorized deployment study. It does not provide public item-level evidence of independently discovered real-world vulnerabilities.",newly_code,"Paper pp. 1–6 (failure analysis), pp. 6–9 (PentestGPTV2 design), and pp. 9–13 (evaluation, strategy case study and deployment).",Real-world Pentest Agent Study: observable workflow supports long-horizon pentest and CRS agent; strongest output is controlled task completion; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.,,complete
16,C16,CP082,LLMVD.js,Taint-style vulnerability detection and confirmation for node.js packages using LLM agent reasoning,2026,journal,target-software study,https://arxiv.org/abs/2604.20179,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,newly_code,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,revise,"reproduction-, validation-, and repair-centered agent",newly_code,reproducible validation,confirm,author-reported external clue,revise,"The paper supports package scanning, taint-style hypotheses, generated PoCs, and lightweight execution-oracle confirmation on benchmark and recent Node.js packages. Maintainer acknowledgments are reported, but the reviewed public material does not align the new cases to public item-level external records.",newly_code,"Paper pp. 1–5 (Abstract and pipeline), pp. 5–8 (system and PoC validation), pp. 8–12 (evaluation), and pp. 10–13 (new-package results/limitations).","LLMVD.js: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is reproducible validation; external trace is coded as author-reported external clue. Labels follow demonstrated actions and outputs rather than system naming.",,complete
17,C17,CP083,Multi-Agent Harnesses,Synthesizing multi-agent harnesses for vulnerability discovery,2025,journal,target-software study,https://arxiv.org/abs/2604.20801,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,newly_code,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,revise,long-horizon pentest and CRS agent,newly_code,externally traceable material,revise,publicly aligned external trace,revise,The paper supports feedback-driven synthesis of multi-agent harnesses and maps specific Chrome findings to public CVE identifiers and vendor reward-program confirmation. The external claim is limited to the individually listed findings and not to withheld or still-embargoed results.,newly_code,"Paper pp. 1–3 (Abstract and motivating harness), pp. 5–9 (typed DSL and outer loop), and pp. 9–12 (evaluation, Table 2 and vendor-confirmed CVEs).",Multi-Agent Harnesses: observable workflow supports long-horizon pentest and CRS agent; strongest output is externally traceable material; external trace is coded as publicly aligned external trace. Labels follow demonstrated actions and outputs rather than system naming.,,complete
18,C18,CP084,PentestAgent,PentestAgent: incorporating LLM agents to automated penetration testing,2025,conference,target-software study,urn:isbn:979-8-4007-1410-8,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,newly_code,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management,revise,long-horizon pentest and CRS agent,newly_code,controlled task completion,confirm,benchmark ground truth / public material,revise,"The paper supports multi-agent reconnaissance, exploit retrieval/adaptation, execution-error correction, and report generation on CVE-grounded vulnerable environments. These controlled completions do not establish newly discovered or publicly confirmed vulnerabilities.",newly_code,"Paper pp. 1–5 (Abstract/background), pp. 5–8 (system overview and agents), and pp. 8–12 (evaluation and limitations).",PentestAgent: observable workflow supports long-horizon pentest and CRS agent; strongest output is controlled task completion; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.,,complete
19,C19,CP085,LIVA,LIVA: a multi-agent LLM-assisted system for IoT vulnerability analysis,2025,journal,target-software study,https://doi.org/10.1109/TDSC.2026.3665343,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;reporting and audit,newly_code,context aggregation / rule extraction;tool routing / strategy routing,confirm,candidate-analysis system,newly_code,externally traceable material,revise,publicly aligned external trace,revise,The paper supports multi-agent static taint analysis of IoT firmware and maps specific device findings to listed CVE and CNVD identifiers. It does not establish runtime reproduction for every statically identified vulnerability.,newly_code,"Paper pp. 1–3 (Abstract and contributions), pp. 5–8 (source/sink and taint-analysis agents), pp. 8–13 (evaluation), and p. 13 (vendor/device-to-CVE/CNVD table).",LIVA: observable workflow supports candidate-analysis system; strongest output is externally traceable material; external trace is coded as publicly aligned external trace. Labels follow demonstrated actions and outputs rather than system naming.,,complete
20,C20,CP089,FirmAgent,FirmAgent: leveraging fuzzing to assist LLM agents with IoT firmware vulnerability discovery,2026,preprint,target-software study,https://doi.org/10.14722/ndss.2026.231943,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,newly_code,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,revise,"reproduction-, validation-, and repair-centered agent",newly_code,reproducible validation,confirm,author-reported external clue,confirm,"The paper supports fuzzing-assisted taint-path discovery and generated PoC test cases that directly confirm exploitable firmware findings in the evaluated emulation environments. Assigned-CVE counts are reported, but the public paper does not align individual new findings with their CVE records.",newly_code,"Paper pp. 1–5 (Abstract/motivation), pp. 5–9 (fuzzing, taint and PoC agents), pp. 9–12 (Tables IV–VI and evaluation), and p. 14 (disclosure).","FirmAgent: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is reproducible validation; external trace is coded as author-reported external clue. Labels follow demonstrated actions and outputs rather than system naming.",,complete
21,C21,CP094,PANGOLIN,PANGOLIN: fuzzing multilingual IoT firmware with LLM-driven code analysis,2026,preprint,target-software study,https://www.usenix.org/conference/usenixsecurity26/presentation/jia,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,newly_code,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,revise,feedback-driven fuzzing agent,newly_code,externally traceable material,revise,publicly aligned external trace,revise,"The paper supports response-corrected semantic fuzzing, directly executed PoCs, and specific device findings aligned with listed CVE/CNVD identifiers. The external claim is limited to the 31 individually identified cases rather than all 68 reported vulnerabilities.",newly_code,"Paper pp. 1–5 (Abstract and design), pp. 5–10 (specification generation/correction and fuzzing), pp. 10–14 (evaluation/disclosure), and Appendix C pp. 18–20 (IDs).",PANGOLIN: observable workflow supports feedback-driven fuzzing agent; strongest output is externally traceable material; external trace is coded as publicly aligned external trace. Labels follow demonstrated actions and outputs rather than system naming.,,complete
22,C22,CP095,TransferFuzz-Pro,TransferFuzz-pro: LLM-driven code debugging for verifying propagated vulnerability,2025,journal,target-software study,https://doi.org/10.1109/TSE.2025.3584774,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,newly_code,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,revise,"reproduction-, validation-, and repair-centered agent",newly_code,reproducible validation,confirm,benchmark ground truth / public material,revise,The paper supports automated debugging and PoC generation that validates propagation of 15 known CVE vulnerabilities into additional affected binaries and distributions. The CVE records supply the starting ground truth; the paper does not show that external records were updated to confirm every newly inferred affected instance.,newly_code,"Paper pp. 1–3 (Abstract/motivation), pp. 4–9 (LLM debugging and PoC workflow), and pp. 9–14 (RQ1–RQ5 and CVE-to-binary tables).","TransferFuzz-Pro: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is reproducible validation; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.",,complete
23,C23,CP130,Cybench,Cybench: A Framework for Evaluating Cybersecurity Capabilities and Risks of Language Models,2025,benchmark/system report,target-software study,https://proceedings.iclr.cc/paper_files/paper/2025/hash/3e9412a9c1d93810ef3ef7825115016b-Abstract-Conference.html,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,newly_code,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;long-horizon state management,revise,long-horizon pentest and CRS agent,newly_code,controlled task completion,confirm,benchmark ground truth / public material,revise,The paper supports tool-using agents completing and partially completing bounded CTF tasks with execution feedback and retained observations in released benchmark environments. Flag capture or benchmark scripts do not establish independent real-world vulnerability discovery.,newly_code,"Paper pp. 1–7 (Abstract, task framework and agent), pp. 7–11 (evaluation and reproducibility discussion), and task appendices (representative solution traces/scripts).",Cybench: observable workflow supports long-horizon pentest and CRS agent; strongest output is controlled task completion; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming. Final resolution: long-horizon pentest and CRS is primary because the evaluated agent performs multi-step tool use with retained observations across bounded CTF missions; flag capture remains controlled task completion rather than target-version vulnerability validation.,,complete
24,C24,CP131,BountyBench,BountyBench: Dollar Impact of AI Agent Attackers and Defenders on Real-World Cybersecurity Systems,2025,benchmark/system report,target-software study,https://bountybench.github.io/,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;patch validation;reporting and audit,newly_code,validation organization / evidence packaging;long-horizon state management,confirm,long-horizon pentest and CRS agent,newly_code,reproducible validation,confirm,benchmark ground truth / public material,revise,"BountyBench supports agent-produced detection reports, exploit scripts, and patches that are checked by runtime invariants on public-bounty-derived target snapshots. Success on those constructed tasks does not show that the evaluated agents independently earned or generated the original public bounties.",newly_code,"Paper pp. 1–3 (Abstract/framework), pp. 3–7 (Detect/Exploit/Patch evaluators), pp. 7–10 (agent evaluation), and public benchmark/run-log description.","BountyBench: observable workflow supports long-horizon pentest and CRS agent; strongest output is reproducible validation; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming. Final resolution: long-horizon pentest and CRS is primary because the benchmark evaluates agent work across Detect, Exploit, and Patch tasks; invariant-checked scripts and patches support reproducible validation without implying independent production of the original bounties.",,complete
25,C25,CP132,SEC-bench,SEC-bench: Automated Benchmarking of LLM Agents on Real-World Software Security Tasks,2025,benchmark/system report,target-software study,https://arxiv.org/abs/2506.11791,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,candidate analysis;path and input exploration;execution observation;reproduction and validation;patch validation;reporting and audit,newly_code,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management,revise,"reproduction-, validation-, and repair-centered agent",newly_code,reproducible validation,confirm,benchmark ground truth / public material,revise,"SEC-bench supports automatically constructed, isolated CVE environments with sanitizer-backed PoC checks and failing-before/passing-after patch evaluation for the released instances. These are benchmark reproductions of public vulnerabilities, not independent new disclosures by the evaluated agents.",newly_code,"Paper pp. 1–3 (Abstract and benchmark construction), pp. 3–6 (SECVerifier and task criteria), pp. 7–10 (agent evaluation), and released code/dataset URLs on p. 1.","SEC-bench: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is reproducible validation; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.",,complete
