review_order,matrix_id,record_id,system_alias,title,year,publication_status,review_scope,official_url,materials_to_review,final_lifecycle_coverage,lifecycle_review_status,final_cross_stage_capabilities,capability_review_status,final_primary_system_shape,shape_review_status,final_strongest_evidence_output,evidence_review_status,final_external_traceability,traceability_review_status,final_claim_boundary,claim_boundary_review_status,material_checked,decision_note,uncertainty_note,row_status
25,C25,CP132,SEC-bench,SEC-bench: Automated Benchmarking of LLM Agents on Real-World Software Security Tasks,2025,benchmark/system report,target-software study,https://arxiv.org/abs/2506.11791,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
26,C26,CP133,CyberGym,CyberGym: Evaluating AI Agents' Cybersecurity Capabilities with Real-World Vulnerabilities at Scale,2025,preprint,target-software study,https://www.cybergym.io/,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
27,C27,CP114,AgentFuzz,Make Agent Defeat Agent: Automatic Detection of Taint-Style Vulnerabilities in LLM-based Agents,2025,benchmark/system report,governance boundary case,https://www.usenix.org/conference/usenixsecurity25/presentation/liu-fengyu,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
28,C28,CP206,FuzzingBrain V2,FuzzingBrain V2: A Multi-Agent LLM System for Automated Vulnerability Discovery and Reproduction,2026,preprint,target-software study,https://arxiv.org/abs/2605.21779,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
29,C29,CP207,DrillAgent,Execution-State-Aware LLM Reasoning for Automated Proof-of-Vulnerability Generation,2026,preprint,target-software study,https://arxiv.org/abs/2602.13574,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
30,C30,CP208,OSS-CRS,OSS-CRS: Liberating AIxCC Cyber Reasoning Systems for Real-World Open-Source Security,2026,preprint,target-software study,https://arxiv.org/abs/2603.08566,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
31,C31,CP209,GONDAR,Contextualizing Sink Knowledge for Java Vulnerability Discovery,2026,preprint,target-software study,https://arxiv.org/abs/2604.01645,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
32,U01,CP213,RAVEN,RAVEN: Agentic RAG for Automated Vulnerability Repair,2026,preprint,target-software study,https://arxiv.org/abs/2606.22647,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
33,U02,CP214,Revelio,Revelio: Cost-Efficient Agentic Memory Safety Vulnerability Detection For Repository-Scale Codebases,2026,preprint,target-software study,https://arxiv.org/abs/2606.22263,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
34,U03,CP215,OpenAnt,"OpenAnt: LLM-Powered Vulnerability Discovery Through Code Decomposition, Adversarial Verification, and Dynamic Testing",2026,preprint,target-software study,https://arxiv.org/abs/2606.19149,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
35,U04,CP216,Code-Augur,Code-Augur: Agentic Vulnerability Detection via Specification Inference,2026,preprint,target-software study,https://arxiv.org/abs/2606.18619,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
36,U05,CP217,Transferable Self-Evolving Playbooks for Agentic Security Auditing,Transferable Self-Evolving Playbooks for Agentic Security Auditing,2026,preprint,target-software study,https://arxiv.org/abs/2606.16420,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
37,U06,CP218,DIG,DIG: Oracle-Guided Directed Input Generation for One-Day Vulnerabilities,2026,preprint,target-software study,https://arxiv.org/abs/2606.13037,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
38,U07,CP219,NeuroLog,"NeuroLog: Reasoning You Can Audit -- Neuro-Symbolic Vulnerability Discovery via LLM Facts, Datalog, and SMT",2026,preprint,target-software study,https://arxiv.org/abs/2606.00669,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
39,U08,CP220,EvoRepair,EvoRepair: Enhancing Vulnerability Repair Agents Through Experience-Based Self-Evolution,2026,preprint,target-software study,https://arxiv.org/abs/2605.30105,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
40,U09,CP221,Quality-Assured Fuzz Harness Generation via the Four Principles Framework,Quality-Assured Fuzz Harness Generation via the Four Principles Framework,2026,preprint,target-software study,https://arxiv.org/abs/2605.21824,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
41,U10,CP222,ContraFix,ContraFix: Skill-Enhanced Contrastive Runtime Analysis for Vulnerability Repair,2026,preprint,target-software study,https://arxiv.org/abs/2605.17450,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
42,U11,CP223,MemRepair,MemRepair: Hierarchical Memory for Agentic Repository-Level Vulnerability Repair,2026,preprint,target-software study,https://arxiv.org/abs/2605.17444,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
43,U12,CP224,Veritas,Veritas: A Semantically Grounded Agentic Framework for Memory Corruption Vulnerability Detection in Binaries,2026,preprint,target-software study,https://arxiv.org/abs/2605.15097,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
44,U13,CP225,FuzzAgent,FuzzAgent: Multi-Agent System for Evolutionary Library Fuzzing,2026,preprint,target-software study,https://arxiv.org/abs/2605.14431,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
45,U14,CP226,Agentic Fuzzing,Agentic Fuzzing: Opportunities and Challenges,2026,preprint,target-software study,https://arxiv.org/abs/2605.10074,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
46,U15,CP227,Root-Cause-Driven Automated Vulnerability Repair,Root-Cause-Driven Automated Vulnerability Repair,2026,preprint,target-software study,https://arxiv.org/abs/2605.04251,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
47,U16,CP228,Generating Proof-of-Vulnerability Tests to Help Enhance the Security of Complex,Generating Proof-of-Vulnerability Tests to Help Enhance the Security of Complex Software,2026,preprint,target-software study,https://arxiv.org/abs/2605.03956,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
48,U17,CP229,FunFuzz,FunFuzz: An LLM-Powered Evolutionary Fuzzing Framework,2026,preprint,target-software study,https://arxiv.org/abs/2605.02789,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
49,U18,CP230,APIOT,APIOT: Autonomous Vulnerability Management Across Bare-Metal Industrial OT Networks,2026,preprint,target-software study,https://arxiv.org/abs/2605.02346,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
50,U21,CP233,Symbolic Execution Meets Multi-LLM Orchestration,Symbolic Execution Meets Multi-LLM Orchestration: Detecting Memory Vulnerabilities in Incomplete Rust CVE Snippets,2026,preprint,target-software study,https://arxiv.org/abs/2605.00034,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
51,U22,CP234,Automation-Exploit,Automation-Exploit: A Multi-Agent LLM Framework for Adaptive Offensive Security with Digital Twin-Based Risk-Mitigated Exploitation,2026,preprint,target-software study,https://arxiv.org/abs/2604.22427,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
52,U23,CP235,Towards Optimal Agentic Architectures for Offensive Security Tasks,Towards Optimal Agentic Architectures for Offensive Security Tasks,2026,preprint,target-software study,https://arxiv.org/abs/2604.18718,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
53,U25,CP237,V2E,V2E: Validating Smart Contract Vulnerabilities through Profit-driven Exploit Generation and Execution,2026,preprint,target-software study,https://arxiv.org/abs/2604.13611,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
54,U26,CP238,COBALT-TLA,COBALT-TLA: A Neuro-Symbolic Verification Loop for Cross-Chain Bridge Vulnerability Discovery,2026,preprint,target-software study,https://arxiv.org/abs/2604.12172,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
55,U27,CP239,Argus,Argus: Reorchestrating Static Analysis via a Multi-Agent Ensemble for Full-Chain Security Vulnerability Detection,2026,preprint,target-software study,https://arxiv.org/abs/2604.06633,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
56,U28,CP240,PoC-Adapt,PoC-Adapt: Semantic-Aware Automated Vulnerability Reproduction with LLM Multi-Agents and Reinforcement Learning-Driven Adaptive Policy,2026,preprint,target-software study,https://arxiv.org/abs/2604.06618,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
57,U29,CP241,Guiding Symbolic Execution with Static Analysis and LLMs for Vulnerability Disco,Guiding Symbolic Execution with Static Analysis and LLMs for Vulnerability Discovery,2026,preprint,target-software study,https://arxiv.org/abs/2604.06506,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
58,U31,CP243,Fuzzing with Agents? Generators Are All You Need,Fuzzing with Agents? Generators Are All You Need,2026,preprint,target-software study,https://arxiv.org/abs/2604.01442,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
59,U32,CP244,STRIATUM-CTF,STRIATUM-CTF: A Protocol-Driven Agentic Framework for General-Purpose CTF Solving,2026,preprint,target-software study,https://arxiv.org/abs/2603.22577,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
60,U33,CP245,VulnAgent-R2,VulnAgent-R2: Evidence-Calibrated Multi-Agent Auditing for Repository-Level Vulnerability Detection,2026,preprint,target-software study,https://arxiv.org/abs/2603.13384,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
61,U34,CP246,Coverage-Guided Multi-Agent Harness Generation for Java Library Fuzzing,Coverage-Guided Multi-Agent Harness Generation for Java Library Fuzzing,2026,preprint,target-software study,https://arxiv.org/abs/2603.08616,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
62,U35,CP247,vEcho,vEcho: A Paradigm Shift from Vulnerability Verification to Proactive Discovery with Large Language Models,2026,preprint,target-software study,https://arxiv.org/abs/2603.01154,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
63,U36,CP248,FuzzySQL,FuzzySQL: Uncovering Hidden Vulnerabilities in DBMS Special Features with LLM-Driven Fuzzing,2026,preprint,target-software study,https://arxiv.org/abs/2602.19490,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
64,U37,CP249,QRS,QRS: A Rule-Synthesizing Neuro-Symbolic Triad for Autonomous Vulnerability Discovery,2026,preprint,target-software study,https://arxiv.org/abs/2602.09774,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
65,U38,CP250,A Dual-Loop Agent Framework for Automated Vulnerability Reproduction,A Dual-Loop Agent Framework for Automated Vulnerability Reproduction,2026,preprint,target-software study,https://arxiv.org/abs/2602.05721,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
66,U39,CP251,Multi-Agent End-to-End Vulnerability Management for Mitigating Recurring Vulnera,Multi-Agent End-to-End Vulnerability Management for Mitigating Recurring Vulnerabilities,2026,preprint,target-software study,https://arxiv.org/abs/2601.17762,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
67,U40,CP252,VulnResolver,VulnResolver: A Hybrid Agent Framework for LLM-Based Automated Vulnerability Issue Resolution,2026,preprint,target-software study,https://arxiv.org/abs/2601.13933,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
68,U41,CP253,Multi-Agent Taint Specification Extraction for Vulnerability Detection,Multi-Agent Taint Specification Extraction for Vulnerability Detection,2026,preprint,target-software study,https://arxiv.org/abs/2601.10865,Review the public paper and any public artifact/project page. Apply unified_second_coder_codebook.md; do not consult author-label or harmonization files.,,,,,,,,,,,,,,,,
