disagreement_id,record_id,cohort,title,field,field_type,coder_x_label,coder_y_label,evidence_status,evidence_location_lead,evidence_excerpt_lead,evidence_summary,codebook_rule,human_final_label,brief_reason,evidence_location_verified,unresolved,reviewer_initials,review_date,row_status,task_id,case_id,third_party_task_id,third_party_case_id,third_party_row_type,third_party_study_title,third_party_material_path,third_party_material_sha256,third_party_final_label,third_party_verified_evidence_locator,third_party_brief_reason,third_party_confidence,third_party_unresolved,third_party_reviewer_initials,third_party_review_date,third_party_original_final_label,decision_provenance
U29__primary_shape,U29,released_67,Guiding Symbolic Execution with Static Analysis and LLMs for Vulnerability Discovery,primary system shape,single-label,candidate-analysis system,"reproduction-, validation-, and repair-centered agent",source-linked lead,"https://arxiv.org/abs/2604.06506 | Paper pp. 1–8 (static/LLM/symbolic workflow and concrete replay), pp. 8–11 (evaluation, evidence package and disclosure boundary). | excerpt pages 1","[p.1] We present Static Analysis Informed and LLM-Orchestrated Symbolic Execution (Sailor), which automates symbolic execution harness construction by combining static analysis with LLM-based synthesis.Sailoroperates in three phases: (1) static analysis iden- tifies candidate vulnerable locations and generates vulnerability specifications; (2) an LLM uses vulnerability specifications and or- chestrates harness synthesis by iteratively refining drivers, stubs, and assertions against compiler and symbolic execution feedback; symbolic execution then detects vulnerabilities using the generated harness, and (3) concrete replay validates the symbolic execution results against the unmodified project sour",A source-linked excerpt and locator are supplied as review leads; the cited source and locator should be retained for auditability.,Choose the dominant locus and objective of agent control in the main evaluated contribution. Use the evaluation task and primary metrics to resolve ties; do not infer from agent count or system name.,"reproduction-, validation-, and repair-centered agent","论文将主要系统任务表述为“->size); // unchecked size rule: CWE-120 // memcpy with // unchecked length select fc where memcpy(fc) && !isBound(len) finding𝑓 𝑖 : ℓ: x86.c:2699 𝑑: CWE-120 𝜏:⟨ℓ⟩ 619 findings calls: memcpy, bfd_zalloc, bfd_put_32 ptrs: htab, plt bounds: size, len build: -Ibfd spec𝑖 =𝑓 𝑖 + { entry:𝑒= _late_size_() assert:𝑛≤ min(len(dst), len(src)) calls: memcpy, bfd_zalloc build: -Ibfd alloc: calloc(htab); symbolic: klee_make_ symbolic(&sz); g”。按主任务及主要评价对象，agent 控制的中心落在 reproduction-, validation-, and repair-centered agent，而不是由 agent 数量或系统名称推定。",p.2; papers/A043.pdf,no,OY,2026-08-24,ready,R2-092,A043,R2-092,A043,disagreement,Guiding Symbolic Execution with Static Analysis and LLMs for Vulnerability Discovery,papers/A043.pdf,0A3175095BBEB0FBE61A35450B5ECF2A1A1EC5BFECAC5FFD0912788927C4F28A,"reproduction-, validation-, and repair-centered agent",p.2; papers/A043.pdf,"论文将主要系统任务表述为“->size); // unchecked size rule: CWE-120 // memcpy with // unchecked length select fc where memcpy(fc) && !isBound(len) finding𝑓 𝑖 : ℓ: x86.c:2699 𝑑: CWE-120 𝜏:⟨ℓ⟩ 619 findings calls: memcpy, bfd_zalloc, bfd_put_32 ptrs: htab, plt bounds: size, len build: -Ibfd spec𝑖 =𝑓 𝑖 + { entry:𝑒= _late_size_() assert:𝑛≤ min(len(dst), len(src)) calls: memcpy, bfd_zalloc build: -Ibfd alloc: calloc(htab); symbolic: klee_make_ symbolic(&sz); g”。按主任务及主要评价对象，agent 控制的中心落在 reproduction-, validation-, and repair-centered agent，而不是由 agent 数量或系统名称推定。",high,no,OY,2026-08-24,,OY external rereview
FMS1095__lifecycle,FMS1095,final_multisource_132,PoCEvolve: Generating Proof-of-Concept Exploits from Security Patches with Vulnerability-Aware Prompt Evolution,lifecycle coverage,multi-label,candidate analysis;execution observation;reproduction and validation,candidate analysis;execution observation;patch validation;path and input exploration;reporting and audit;reproduction and validation,source-linked lead,https://arxiv.org/pdf/2607.22076 | role p.1; action p.2; feedback p.1; validation p.1; evaluation p.1,"P O CG EN, which combines LLMs with program analysis to Index Terms—Exploit Generation, Prompt Evolution generate exploits from vulnerability reports. P O CG EN out-",A source-linked excerpt and locator are supplied as review leads for auditability.,"Mark only observable lifecycle actions or outputs. Reporting and audit requires explicit packaging, routing, disclosure, or audit transition; a report name alone is insufficient.",candidate analysis; path and input exploration; execution observation; reproduction and validation,"candidate analysis: p.4“Exploit Generator After vulnerability analysis, the Exploit Generator produces candidate PoC exploits based on structured inputs provided by the analyzer.”；path and input exploration: p.12“Instead of crafting a fixed prompt by hand, the system uses feedback and prior outcomes to produce improved prompts dynami- cally.”；execution observation: p.5“We design eight dimensions for assessing the usefulness of vulnerability-related context: candidate vulnerable API, vul- nerability description, usage snippets, exploit skeleton, simi- lar exploits, taint-path snippets, debugger output, and code- coverage signals. For each criterion, the LLM assigns a score in the normalized range[0,1]and returns a concise justifi- cation.”；reproduction and validation: p.6“POCGENgets code coverage by driving Node’s V8 Inspector Profiler directly around each PoC’s execution in its validator. The scoring model evaluates whether these signals provide actionable guidance for revising the entry point, payload, or trigger condition [9], [35], [37]–[39].”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",p.4；p.5；p.6；p.12; papers/A141.pdf,no,OY,2026-08-24,ready,R2-094,A141,R2-094,A141,disagreement,PoCEvolve: Generating Proof-of-Concept Exploits from Security Patches with Vulnerability-Aware Prompt Evolution,papers/A141.pdf,9F4E322DD0CD75B9D88CE1115A1965DFE961954618A8B61012DF7C789114AA29,candidate analysis; path and input exploration; execution observation; reproduction and validation,p.4；p.5；p.6；p.12; papers/A141.pdf,"candidate analysis: p.4“Exploit Generator After vulnerability analysis, the Exploit Generator produces candidate PoC exploits based on structured inputs provided by the analyzer.”；path and input exploration: p.12“Instead of crafting a fixed prompt by hand, the system uses feedback and prior outcomes to produce improved prompts dynami- cally.”；execution observation: p.5“We design eight dimensions for assessing the usefulness of vulnerability-related context: candidate vulnerable API, vul- nerability description, usage snippets, exploit skeleton, simi- lar exploits, taint-path snippets, debugger output, and code- coverage signals. For each criterion, the LLM assigns a score in the normalized range[0,1]and returns a concise justifi- cation.”；reproduction and validation: p.6“POCGENgets code coverage by driving Node’s V8 Inspector Profiler directly around each PoC’s execution in its validator. The scoring model evaluates whether these signals provide actionable guidance for revising the entry point, payload, or trigger condition [9], [35], [37]–[39].”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",high,no,OY,2026-08-24,,OY external rereview
FMS1618__capability,FMS1618,final_multisource_132,When Fuzzing Meets Understanding: LLM-Driven Semantic Test Generation for RTL Verification,cross-stage capability,multi-label,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing,source-linked lead,https://arxiv.org/pdf/2607.10340 | role p.1; action p.1; feedback p.1; validation p.2; evaluation p.1,"The growing complexity of modern chips poses significant chal- scale designs. In contrast, coverage-guided fuzzing has gained trac- arXiv:2607.10340v1 [cs.AR] 11 Jul 2026 lenges to hardware verification. In recent years, coverage-guided tion as a scalable and effective methodology for hardware verifi- fuzzing has emerged as a promising approach for improving veri",A source-linked excerpt and locator are supplied as review leads for auditability.,Require an explicit cross-stage connection. Information must guide later action; feedback must alter later action; packaging must assemble prior outputs; governance must enforce an actual gate.,context aggregation / rule extraction; feedback interpretation / loop adjustment,"context aggregation / rule extraction: p.5“ChipFuzzer uses the retrieved testcase as a reference template and performs discrepancy analy- sis between the target path and the path exercised by the retrieved testcase. This analysis is guided by five explicit rules, enabling the LLM to identify the missing execution conditions in a structured manner.”；feedback interpretation / loop adjustment: p.5“It starts from the discrepancy anal- ysis used in the initial testcase generation and refines that anal- ysis according to the execution feedback returned by simulation. Guided by the updated discrepancy analysis, the LLM revises the existing testcase rather than regenerating it from scratch.”。引文分别说明前序信息/反馈如何改变后续检索、生成、验证、记忆或审查动作。",p.5; papers/A109.pdf,no,OY,2026-08-24,ready,R2-095,A109,R2-095,A109,disagreement,When Fuzzing Meets Understanding: LLM-Driven Semantic Test Generation for RTL Verification,papers/A109.pdf,0DCBB61278893B052D1A1C26822C3C0C42CED2A08FEC9D2012F302ADF70A7153,context aggregation / rule extraction; feedback interpretation / loop adjustment,p.5; papers/A109.pdf,"context aggregation / rule extraction: p.5“ChipFuzzer uses the retrieved testcase as a reference template and performs discrepancy analy- sis between the target path and the path exercised by the retrieved testcase. This analysis is guided by five explicit rules, enabling the LLM to identify the missing execution conditions in a structured manner.”；feedback interpretation / loop adjustment: p.5“It starts from the discrepancy anal- ysis used in the initial testcase generation and refines that anal- ysis according to the execution feedback returned by simulation. Guided by the updated discrepancy analysis, the LLM revises the existing testcase rather than regenerating it from scratch.”。引文分别说明前序信息/反馈如何改变后续检索、生成、验证、记忆或审查动作。",high,no,OY,2026-08-24,,OY external rereview
FMS1635__lifecycle,FMS1635,final_multisource_132,xOffense: An Autonomous Multi-Agent Framework for Penetration Testing with Domain-Adapted Large Language Models,lifecycle coverage,multi-label,candidate analysis;execution observation;path and input exploration;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit,source-linked lead,https://arxiv.org/pdf/2509.13021 | role p.1; action p.1; feedback p.1; validation p.1; evaluation p.1,"le workflows. The proposed system leverages a fine-tuned mid-scale open-source LLM to perform structured reasoning and decision-making, while decomposing the pentesting pipeline into special",A source-linked excerpt and locator are supplied as review leads for auditability.,"Mark only observable lifecycle actions or outputs. Reporting and audit requires explicit packaging, routing, disclosure, or audit transition; a report name alone is insufficient.",candidate analysis; execution observation,"candidate analysis: p.9“For example, reconnaissance outputs, such as open ports (such as 22, 80, and 443), service versions, and system finger- prints, are synthesized into a compact directive for the scanning phase, enabling targeted vulnerability detection with tools like Niktoorsqlmap.”；execution observation: p.11“In addition, long execution logs are sum- marized before being re-injected into context, which mitigates context dilution and helps maintain coherent decision-making over multi-step attack trajectories.”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",p.9；p.11; papers/A030.pdf,no,OY,2026-08-24,ready,R2-096,A030,R2-096,A030,disagreement,xOffense: An Autonomous Multi-Agent Framework for Penetration Testing with Domain-Adapted Large Language Models,papers/A030.pdf,45671B116F3F8FDF1D2A24C94C8A4264E26DE935EC680C80FC76279890F1EB14,candidate analysis; execution observation,p.9；p.11; papers/A030.pdf,"candidate analysis: p.9“For example, reconnaissance outputs, such as open ports (such as 22, 80, and 443), service versions, and system finger- prints, are synthesized into a compact directive for the scanning phase, enabling targeted vulnerability detection with tools like Niktoorsqlmap.”；execution observation: p.11“In addition, long execution logs are sum- marized before being re-injected into context, which mitigates context dilution and helps maintain coherent decision-making over multi-step attack trajectories.”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",high,no,OY,2026-08-24,,OY external rereview
C03__capability,C03,released_67,Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection,cross-stage capability,multi-label,long-horizon state management,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing,source-linked lead,"https://arxiv.org/abs/2511.12164 | Paper p. 1 (Abstract), pp. 3–7 (CRP/RCC methodology and agent team), and pp. 7–12 (evaluation and conclusion). | excerpt pages 7, 6","[p.7] As a result, in each iteration of the reflection loop,SmartFuzzrefines the transaction sequence based on environmental feedback, ensuring that both the global structure and the local elements are validated and progres- sively optimized to increase the likelihood of triggering vulnerabilities. [p.6] reflection loop, where the agent iteratively refines its output based on feedback from different step.",A source-linked excerpt and locator are supplied as review leads; the cited source and locator should be retained for auditability.,Require an explicit cross-stage connection. Information must guide later action; feedback must alter later action; packaging must assemble prior outputs; governance must enforce an actual gate.,context aggregation / rule extraction; failure reuse / strategy update,"context aggregation / rule extraction: p.5“No- tably, each agent in the collaborative team has the access to the program context module, which includes the source code of testing contracts, corresponding Application Binary Interface (ABI) files and SeedPool.”；failure reuse / strategy update: p.9“Notably, the number of vulnerabilities discovered peaks at the three reflection rounds, demonstrating that as the number of reflection rounds increases, the fuzzing process benefits from the accumulation of previously failed attempts. This process effectively guides the generation of more targeted transaction sequences, enabling the detection of vulnerabili- ties with more complex trigger”。引文分别说明前序信息/反馈如何改变后续检索、生成、验证、记忆或审查动作。",p.5；p.9; papers/A111.pdf,no,OY,2026-08-24,ready,R2-097,A111,R2-097,A111,disagreement,Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection,papers/A111.pdf,4BB833D9E8E92202CA0E350458E4F602F71BDDB0E4E2156FDABF6BFE89EE9EBB,context aggregation / rule extraction; failure reuse / strategy update,p.5；p.9; papers/A111.pdf,"context aggregation / rule extraction: p.5“No- tably, each agent in the collaborative team has the access to the program context module, which includes the source code of testing contracts, corresponding Application Binary Interface (ABI) files and SeedPool.”；failure reuse / strategy update: p.9“Notably, the number of vulnerabilities discovered peaks at the three reflection rounds, demonstrating that as the number of reflection rounds increases, the fuzzing process benefits from the accumulation of previously failed attempts. This process effectively guides the generation of more targeted transaction sequences, enabling the detection of vulnerabili- ties with more complex trigger”。引文分别说明前序信息/反馈如何改变后续检索、生成、验证、记忆或审查动作。",high,no,OY,2026-08-24,,OY external rereview
FMS1334__external_traceability,FMS1334,final_multisource_132,ShadowProbe: Language-Extensible Detection of Hidden Algorithmic Complexity Vulnerabilities,external traceability,single-label,benchmark ground truth / public material,publicly aligned external trace,source-linked lead,https://arxiv.org/pdf/2607.05474 | role p.1; action p.1; feedback p.2; validation p.1; evaluation p.1,Shadow Complexity. The fundamental barrier to scaling We evaluate ShadowProbe on the WISE benchmark and show that it consistently outperforms existing approaches in analysis these analyses is what we term shadow complexity: hidden efficiency. We further apply ShadowProbe to large scale software computational costs induced by library APIs (or languag,A source-linked excerpt and locator are supplied as review leads for auditability.,Code separately from principal output. Only item-level alignment between a concrete system result and a specific public external record qualifies as publicly aligned external trace.,no external trace reported,"论文相关事实为“ShadowProbe: Language-Extensible Detection of Hidden Algorithmic Complexity Vulnerabilities Yuanmin Xie∗1, Xiangfan Wu †‡1 , Wenhao Wu§‡, Lingyun Ying ‡, Puzhuo Liu ∗, Haipeng Qu †, Zhongyuan Chen †‡, Min Zhou ∗, Chengnian Sun ¶ ∗Tsinghua University †Ocean University of China ‡QI-ANXIN Technology Research Institute §Southeast University ¶University of Waterl”。本地论文未给出具体系统结果到公开记录、公开 PoC/trigger/replay 或公开 benchmark ground truth 的可定位对齐。","p.1, Abstract/Introduction; papers/A084.pdf",no,OY,2026-08-24,ready,R2-098,A084,R2-098,A084,disagreement,ShadowProbe: Language-Extensible Detection of Hidden Algorithmic Complexity Vulnerabilities,papers/A084.pdf,DC25A5C93CC33AF70AD6A2BE368E5B318F9A102432C0B538915706A14DE7D0B0,no external trace reported,"p.1, Abstract/Introduction; papers/A084.pdf","论文相关事实为“ShadowProbe: Language-Extensible Detection of Hidden Algorithmic Complexity Vulnerabilities Yuanmin Xie∗1, Xiangfan Wu †‡1 , Wenhao Wu§‡, Lingyun Ying ‡, Puzhuo Liu ∗, Haipeng Qu †, Zhongyuan Chen †‡, Min Zhou ∗, Chengnian Sun ¶ ∗Tsinghua University †Ocean University of China ‡QI-ANXIN Technology Research Institute §Southeast University ¶University of Waterl”。本地论文未给出具体系统结果到公开记录、公开 PoC/trigger/replay 或公开 benchmark ground truth 的可定位对齐。",medium,no,OY,2026-08-24,,OY external rereview
FMS0648__principal_evidence,FMS0648,final_multisource_132,FalseCrashReducer: Mitigating False Positive Crashes in OSS-Fuzz-Gen Using Agentic AI,principal reported evidence output,single-label,candidate judgment,reproducible validation,source-linked lead,https://arxiv.org/pdf/2510.02185 | role p.1; action p.1; feedback p.1; validation p.1; evaluation p.1,"tion efforts like OSS-Fuzz-Gen, as reporting false positive crashes well-structured and validated inputs. Existing solutions for detect- to maintainers impede trust in both the system and the team. ing these false positive crashes either rely on program analysis This paper presents two AI-driven strategies to reduce false techniques with high engi",A source-linked excerpt and locator are supplied as review leads for auditability.,Select the observable result most directly supporting the main finding. Benchmark ground truth or aggregate CVE counts do not automatically establish externally traceable material.,runtime safety signal,p.8 报告“Metric Value Number of crashes studied 20 Crashes occurred in non-analyzed function 12 Crashes occurred beyond scope of analyzed function 4 Crashes caused by incomplete constraints 3 Crashes caused by conflicting suggestions 1 Table 5: Percentage of crashes classified as “Program Errors” that were filtered out using context-based crash validation.”。主要结果以覆盖、崩溃、运行时违规或新 bug 等运行信号呈现。,p.8; papers/A150.pdf,no,OY,2026-08-24,ready,R2-099,A150,R2-099,A150,disagreement,FalseCrashReducer: Mitigating False Positive Crashes in OSS-Fuzz-Gen Using Agentic AI,papers/A150.pdf,F9C46EFF39E6687D5E3076EC9B1AE4E429035383DD266C40AFA7BB4FE51A4788,runtime safety signal,p.8; papers/A150.pdf,p.8 报告“Metric Value Number of crashes studied 20 Crashes occurred in non-analyzed function 12 Crashes occurred beyond scope of analyzed function 4 Crashes caused by incomplete constraints 3 Crashes caused by conflicting suggestions 1 Table 5: Percentage of crashes classified as “Program Errors” that were filtered out using context-based crash validation.”。主要结果以覆盖、崩溃、运行时违规或新 bug 等运行信号呈现。,high,no,OY,2026-08-24,,OY external rereview
FMS0500__capability,FMS0500,final_multisource_132,D-CIPHER: Dynamic Collaborative Intelligent Multi-Agent System with Planner and Heterogeneous Executors for Offensive Security,cross-stage capability,multi-label,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,source-linked lead,https://arxiv.org/pdf/2502.10931 | role p.1; action p.1; feedback p.1; evaluation p.1,"ative CTF solving. D-CIPHER integrates agents with distinct roles with dynamic feedback loops to enhance reasoning run command, create file, reverse engineer Server on complex tasks. It introduces the Planner-Executor agent system, consisting of a Planner agent for overall problem- Fig. 1. O",A source-linked excerpt and locator are supplied as review leads for auditability.,Require an explicit cross-stage connection. Information must guide later action; feedback must alter later action; packaging must assemble prior outputs; governance must enforce an actual gate.,tool routing / strategy routing,"tool routing / strategy routing: p.11“We propose two key innovations: first is the Planner-Executor system with the Planner agent to generate a plan and manage overall problem-solving, along with multiple Executor agents that focus on their assigned tasks; and, second is the the Auto- prompter agent that dynamically generates a prompt based on initial exploration to solve the challenge.”。引文分别说明前序信息/反馈如何改变后续检索、生成、验证、记忆或审查动作。",p.11; papers/A149.pdf,no,OY,2026-08-24,ready,R2-100,A149,R2-100,A149,disagreement,D-CIPHER: Dynamic Collaborative Intelligent Multi-Agent System with Planner and Heterogeneous Executors for Offensive Security,papers/A149.pdf,9669A220D6B0FCF37A3BDCD8EDA3DCEC5A70312C85A2DBF3F3206D8876DA7D24,tool routing / strategy routing,p.11; papers/A149.pdf,"tool routing / strategy routing: p.11“We propose two key innovations: first is the Planner-Executor system with the Planner agent to generate a plan and manage overall problem-solving, along with multiple Executor agents that focus on their assigned tasks; and, second is the the Auto- prompter agent that dynamically generates a prompt based on initial exploration to solve the challenge.”。引文分别说明前序信息/反馈如何改变后续检索、生成、验证、记忆或审查动作。",high,no,OY,2026-08-24,,OY external rereview
FMS1034__lifecycle,FMS1034,final_multisource_132,Neuro-symbolic Static Analysis with LLM-generated Vulnerability Patterns,lifecycle coverage,multi-label,candidate analysis;execution observation,candidate analysis;reporting and audit,source-linked lead,https://arxiv.org/pdf/2504.16057 | role p.1; action p.1; feedback p.2; validation p.1; evaluation p.1,Neuro-symbolic Static Analysis with LLM-generated Vulnerability Patterns,A source-linked excerpt and locator are supplied as review leads for auditability.,"Mark only observable lifecycle actions or outputs. Reporting and audit requires explicit packaging, routing, disclosure, or audit transition; a report name alone is insufficient.",candidate analysis; path and input exploration; execution observation; reproduction and validation,"candidate analysis: p.1“euro-symbolic Static Analysis with LLM-generated Vulnerability Patterns Penghui Li Columbia University New York, NY, USA pl2689@columbia.edu Songchen Yao Columbia University New York, NY, USA sy2743@columbia.edu Josef Sarfati Korich Columbia University New York, NY, USA jsk2266@columbia.edu Changhua Luo Wuhan University Wuhan, Hubei, China chluo2502@whu.edu.cn Jianjia Yu Johns Hopkins Uni”；path and input exploration: p.14“Constraint-guided directed greybox fuzzing. InProceedings of the 30th USENIX Security Symposium (Security).”；execution observation: p.5“MoCQ tracks intermediate program states along the query execution trace to enable fine-grained debugging. For example, in the prototype pollution query in Listing 1, after executing the block that identifies obj[""__proto__""] assignments (variable objProto), MoCQ captures concrete code locations as a 5”；reproduction and validation: p.8“We define an atomic operation—such as a specific API call, expres- sion type, or data flow—that is not recognized by expert-developed queries as a new pattern, and construct a minimal PoC vulnerability example to validate each new pattern.”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",p.1；p.5；p.8；p.14; papers/A058.pdf,no,OY,2026-08-24,ready,R2-101,A058,R2-101,A058,disagreement,Neuro-symbolic Static Analysis with LLM-generated Vulnerability Patterns,papers/A058.pdf,D1E3CA73689FD796C0522ED3EF9D03948E5B8E1EA86F5CA36393095F4BFE1F48,candidate analysis; path and input exploration; execution observation; reproduction and validation,p.1；p.5；p.8；p.14; papers/A058.pdf,"candidate analysis: p.1“euro-symbolic Static Analysis with LLM-generated Vulnerability Patterns Penghui Li Columbia University New York, NY, USA pl2689@columbia.edu Songchen Yao Columbia University New York, NY, USA sy2743@columbia.edu Josef Sarfati Korich Columbia University New York, NY, USA jsk2266@columbia.edu Changhua Luo Wuhan University Wuhan, Hubei, China chluo2502@whu.edu.cn Jianjia Yu Johns Hopkins Uni”；path and input exploration: p.14“Constraint-guided directed greybox fuzzing. InProceedings of the 30th USENIX Security Symposium (Security).”；execution observation: p.5“MoCQ tracks intermediate program states along the query execution trace to enable fine-grained debugging. For example, in the prototype pollution query in Listing 1, after executing the block that identifies obj[""__proto__""] assignments (variable objProto), MoCQ captures concrete code locations as a 5”；reproduction and validation: p.8“We define an atomic operation—such as a specific API call, expres- sion type, or data flow—that is not recognized by expert-developed queries as a new pattern, and construct a minimal PoC vulnerability example to validate each new pattern.”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",high,no,OY,2026-08-24,,OY external rereview
U39__principal_evidence,U39,released_67,Multi-Agent End-to-End Vulnerability Management for Mitigating Recurring Vulnerabilities,principal reported evidence output,single-label,controlled task completion,candidate judgment,source-linked lead,"https://arxiv.org/abs/2601.17762 | Paper pp. 1–7 (VKB and five-stage pipeline), pp. 7–11 (detection/repair evaluation and limitations). | excerpt pages 10, 1","[p.10] TABLE IV: The performance of various variants ofMA VM Approach Detection Phase Repair Phase TP FP FN Precision Recall F1-score TPC/TP Accuracy MA VM68214676.4%59.6%67.0% 51/68 (75.0%) 57.3% MA VM-c812233326.6%71.1%38.8% 54/81 (66.7%) 17.8% MA VM-v 69 32 45 68.3% 60.5% 64.2% 50/69 (72.5%) 49.5% v, and the variant without the confirmation component as MA VM-c. [p.1] On this dataset, MA VMsuccessfully detects and repairs 51 real vulnerabilities, outperforming baselines by 31.9%–45.2% in repair accuracy, which demonstrates its effectiveness.",A source-linked excerpt and locator are supplied as review leads; the cited source and locator should be retained for auditability.,Select the observable result most directly supporting the main finding. Benchmark ground truth or aggregate CVE counts do not automatically establish externally traceable material.,controlled task completion,"p.10 报告“Result and Analyses.As shown in Table IV,MA VMachieves the best performance in terms of Precision, F1-score, TPC/TP, and Repair Accuracy. Specifically, in the end-to-end task, MA VMexceedsMA VM-vandMA VM-cin repair accuracy by 7.8% and 39.5%, respectively.”。主要结果以受控任务的成功、修复、解决或完成指标呈现。",p.10; papers/A039.pdf,no,OY,2026-08-24,ready,R2-102,A039,R2-102,A039,disagreement,Multi-Agent End-to-End Vulnerability Management for Mitigating Recurring Vulnerabilities,papers/A039.pdf,252B433E16ADC4737130A60D139E0B4C8C76EECFD3B527BCD02C0C8312FE9AC0,controlled task completion,p.10; papers/A039.pdf,"p.10 报告“Result and Analyses.As shown in Table IV,MA VMachieves the best performance in terms of Precision, F1-score, TPC/TP, and Repair Accuracy. Specifically, in the end-to-end task, MA VMexceedsMA VM-vandMA VM-cin repair accuracy by 7.8% and 39.5%, respectively.”。主要结果以受控任务的成功、修复、解决或完成指标呈现。",high,no,OY,2026-08-24,,OY external rereview
FMS1161__lifecycle,FMS1161,final_multisource_132,Red-MIRROR: Agentic LLM-based Autonomous Penetration Testing with Reflective Verification and Knowledge-augmented Interaction,lifecycle coverage,multi-label,candidate analysis;execution observation;path and input exploration;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit,source-linked lead,https://arxiv.org/pdf/2603.27127 | role p.1; action p.2; feedback p.1; validation p.1; evaluation p.1,"f attack payloads and responses. This paper proposes Red-MIRROR, a novel multi-agent automated penetration testing system that introduces a tightly coupled memory–reflection backbone to explicitly govern inter-agent reasoning. By synthesizing Retrieval-Augmented Generation (RAG) for external knowledg",A source-linked excerpt and locator are supplied as review leads for auditability.,"Mark only observable lifecycle actions or outputs. Reporting and audit requires explicit packaging, routing, disclosure, or audit transition; a report name alone is insufficient.",candidate analysis; path and input exploration; execution observation; reproduction and validation,"candidate analysis: p.6“During the transition between reconnaissance and exploita- tion, this agent performs a critical Knowledge Transfer Analysis.”；path and input exploration: p.4“Through persistent structured memory and response-driven reflection, the system accumulates transformation evidence across attempts, gradually refining its internal hypothesis about the filtering rule.”；execution observation: p.17“Systems such as PentestAgent and AutoPT actively crawl publicly available PoC artifacts and permit the agent to directly inspect and execute them during exploitation.”；reproduction and validation: p.17“A key underlying factor is the difference in Proof-of-Concept (PoC) handling strategies. Systems such as PentestAgent and AutoPT actively crawl publicly available PoC artifacts and permit the agent to directly inspect and execute them during exploitation.”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",p.4；p.6；p.17; papers/A116.pdf,no,OY,2026-08-24,ready,R2-103,A116,R2-103,A116,disagreement,Red-MIRROR: Agentic LLM-based Autonomous Penetration Testing with Reflective Verification and Knowledge-augmented Interaction,papers/A116.pdf,6E129621CC208B31DB2F5F468120151153DEB3ED639798EA653EC2475DC8D2E0,candidate analysis; path and input exploration; execution observation; reproduction and validation,p.4；p.6；p.17; papers/A116.pdf,"candidate analysis: p.6“During the transition between reconnaissance and exploita- tion, this agent performs a critical Knowledge Transfer Analysis.”；path and input exploration: p.4“Through persistent structured memory and response-driven reflection, the system accumulates transformation evidence across attempts, gradually refining its internal hypothesis about the filtering rule.”；execution observation: p.17“Systems such as PentestAgent and AutoPT actively crawl publicly available PoC artifacts and permit the agent to directly inspect and execute them during exploitation.”；reproduction and validation: p.17“A key underlying factor is the difference in Proof-of-Concept (PoC) handling strategies. Systems such as PentestAgent and AutoPT actively crawl publicly available PoC artifacts and permit the agent to directly inspect and execute them during exploitation.”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",high,no,OY,2026-08-24,,OY external rereview
