matrix_id,record_id,system,citation_key,primary_shape,evaluation_setting,agent_mechanism,model_version_status,evaluation_scale_status,quantitative_result_status,quantitative_endpoint_type,quantitative_endpoint_audit_status,reported_result,baseline_status,validation_material_status,validation_material,runtime_status,cost_status,ablation_status,failure_reporting_status,source_location,extraction_note
C11,CP076,MALF,malf2025,feedback-driven fuzzing agent,Protocol or network-service analysis,aggregates code or rule context; routes tools or search strategy; interprets feedback and adjusts the next action; maintains cross-stage state.,reported,reported,reported,mixed_or_other_result,existing_source_location_retained,"MALF reports an 88–92% test-case pass rate, over 90% seed coverage, and three zero-day findings in its industrial testbed.",reported,reported,Study-specific validation material reported; see the source location.,reported,not located,reported,not located,"Paper pp. 1–10 (architecture/workflows), pp. 11–18 (evaluation), and pp. 18–19 (Table 5, CNVD-2024-16009 and Figure 13).; paper p. 5; paper p. 3; paper p. 4; paper p. 9; paper p. 16",Source-scoped extraction. Quantitative values retain each study's own unit; reporting-status fields are not performance scores.
C12,CP077,NeTestLLM,netestllm2025,feedback-driven fuzzing agent,Protocol or network-service analysis,aggregates code or rule context; routes tools or search strategy; interprets feedback and adjusts the next action; organizes validation material; maintains cross-stage state.,reported,reported,reported,mixed_or_other_result,existing_source_location_retained,Uses 41 historical FRRouting bugs as evaluation cases,reported,reported,Generated protocol tests and execution artifacts,reported,not located,reported,not located,"Paper pp. 1–3 (Abstract/workflow), pp. 4–8 (hierarchical understanding, generation and correction loops), and pp. 8–12 (evaluation and case study).; paper p. 8; Evaluation section; historical FRRouting bug evaluation set; paper p. 9; paper p. 11",Source-scoped extraction. Quantitative values retain each study's own unit; reporting-status fields are not performance scores.
C13,CP078,PBFuzz,zeng2025pbfuzz,"reproduction-, validation-, and repair-centered agent","Benchmark, cyber-range, or bounty-derived tasks",aggregates code or rule context; routes tools or search strategy; interprets feedback and adjusts the next action; organizes validation material; maintains cross-stage state; reuses failed attempts to update strategy.,reported,reported,reported,performance_and_result_yield,source_verified_2026-07-29,"PBFuzz triggered 57 of 129 Magma vulnerabilities, including 17 not triggered by the compared fuzzers, under a 30-minute per-target budget.",reported,reported,Study-specific validation material reported; see the source location.,reported,reported,reported,not located,Paper p. 1 (Abstract); evaluation results in Fig. 4.,"Source-level endpoint recheck. The result summary excludes table, figure, section, year, and parameter numerals that do not describe an evaluated outcome."
C14,CP080,Co-RedTeam,he2025coredteam,long-horizon pentest and CRS agent,"Benchmark, cyber-range, or bounty-derived tasks",aggregates code or rule context; routes tools or search strategy; interprets feedback and adjusts the next action; maintains cross-stage state.,reported,reported,reported,mixed_or_other_result,existing_source_location_retained,"Experimental results demonstrate that Co-RedTeam substantially outperforms prior approaches, achieving over 60% exploitation success and 20% detection accu- racy.",reported,reported,Study-specific validation material reported; see the source location.,not located,not located,reported,reported,"Paper pp. 1–3 (Abstract and contribution), pp. 4–8 (discovery/exploitation agents, feedback and memory), and pp. 8–13 (Tables 1–3, ablations and conclusion).; paper p. 9; paper p. 2; paper p. 3; paper p. 10; paper p. 7",Source-scoped extraction. Quantitative values retain each study's own unit; reporting-status fields are not performance scores.
C15,CP081,Real-world Pentest Agent Study,deng2025excaliburPentest,long-horizon pentest and CRS agent,Web or penetration-testing environment,aggregates code or rule context; routes tools or search strategy; maintains cross-stage state.,reported,reported,reported,performance_and_result_yield,source_verified_2026-07-29,PentestGPT V2 reports up to 91% task completion on the evaluated CTF benchmarks and compromises four of five multi-host networks.,reported,reported,Study-specific validation material reported; see the source location.,not located,reported,reported,reported,Paper p. 1 (Abstract); Sec. 5 evaluation.,"Source-level endpoint recheck. The result summary excludes table, figure, section, year, and parameter numerals that do not describe an evaluated outcome."
C16,CP082,LLMVD.js,ni2026llmvdjs,"reproduction-, validation-, and repair-centered agent",JavaScript or Node.js package analysis,aggregates code or rule context; interprets feedback and adjusts the next action; organizes validation material.,reported,reported,reported,mixed_or_other_result,existing_source_location_retained,Reports 36 validated exploits,reported,reported,Generated PoCs and execution oracles,reported,reported,not located,reported,"Paper pp. 1–5 (Abstract and pipeline), pp. 5–8 (system and PoC validation), pp. 8–12 (evaluation), and pp. 10–13 (new-package results/limitations).; paper p. 5; Evaluation/results section; validated exploit count; paper p. 2; paper p. 8; paper p. 6",Source-scoped extraction. Quantitative values retain each study's own unit; reporting-status fields are not performance scores.
C17,CP083,Multi-Agent Harnesses,liu2025agentflowHarnesses,"reproduction-, validation-, and repair-centered agent","Reproduction, validation, or repair evaluation",routes tools or search strategy; interprets feedback and adjusts the next action; organizes validation material; maintains cross-stage state; reuses failed attempts to update strategy.,reported,reported,reported,mixed_or_other_result,existing_source_location_retained,AgentFlow reaches 84.3% on 89 TerminalBench-2 tasks and reports ten previously unknown Chrome vulnerabilities.,reported,reported,Study-specific validation material reported; see the source location.,reported,not located,reported,not located,"Paper pp. 1–3 (Abstract and motivating harness), pp. 5–9 (typed DSL and outer loop), and pp. 9–12 (evaluation, Table 2 and vendor-confirmed CVEs).; paper p. 1; paper p. 2; paper p. 3; paper p. 9",Source-scoped extraction. Quantitative values retain each study's own unit; reporting-status fields are not performance scores.
C18,CP084,PentestAgent,shen2025pentestagent,long-horizon pentest and CRS agent,Web or penetration-testing environment,aggregates code or rule context; routes tools or search strategy; maintains cross-stage state.,reported,reported,reported,mixed_or_other_result,existing_source_location_retained,PentestAgent reports 74.2% overall task success and 70% exploitation-stage success in the evaluated penetration-testing tasks.,reported,reported,Study-specific validation material reported; see the source location.,reported,reported,reported,reported,"Paper pp. 1–5 (Abstract/background), pp. 5–8 (system overview and agents), and pp. 8–12 (evaluation and limitations).; paper p. 1; paper p. 5; paper p. 11; paper p. 9; paper p. 10",Source-scoped extraction. Quantitative values retain each study's own unit; reporting-status fields are not performance scores.
C19,CP085,LIVA,yang2025liva,candidate-analysis system,Binary or firmware analysis,aggregates code or rule context; routes tools or search strategy.,reported,reported,reported,mixed_or_other_result,existing_source_location_retained,LIVA reports 98.1% average recall and 64 previously unknown cross-component vulnerabilities on the evaluated firmware data.,reported,reported,Study-specific validation material reported; see the source location.,reported,reported,not located,not located,"Paper pp. 1–3 (Abstract and contributions), pp. 5–8 (source/sink and taint-analysis agents), pp. 8–13 (evaluation), and p. 13 (vendor/device-to-CVE/CNVD table).; paper p. 9; paper p. 1; paper p. 15; paper p. 12; paper p. 8",Source-scoped extraction. Quantitative values retain each study's own unit; reporting-status fields are not performance scores.
C20,CP089,FirmAgent,firmagent2026,"reproduction-, validation-, and repair-centered agent",Binary or firmware analysis,aggregates code or rule context; interprets feedback and adjusts the next action; organizes validation material.,reported,reported,reported,result_yield,source_verified_2026-07-29,"FirmAgent evaluates 14 IoT firmware images and reports 182 vulnerabilities at 91% precision, including 140 previously unknown cases and 17 assigned CVEs.",reported,reported,Study-specific validation material reported; see the source location.,reported,not located,reported,reported,Paper p. 1 (Abstract); evaluation tables on pp. 9–12.,"Source-level endpoint recheck. The result summary excludes table, figure, section, year, and parameter numerals that do not describe an evaluated outcome."
C21,CP094,PANGOLIN,jia2026pangolin,feedback-driven fuzzing agent,Binary or firmware analysis,aggregates code or rule context; interprets feedback and adjusts the next action; organizes validation material.,reported,reported,reported,result_yield,source_verified_2026-07-29,"PANGOLIN reports 68 previously unknown firmware vulnerabilities, including 45 reached through hidden interfaces and 31 with assigned vulnerability identifiers.",reported,reported,Study-specific validation material reported; see the source location.,reported,not located,reported,not located,Paper p. 1 (Abstract); evaluation and disclosure results on pp. 10–14.,"Source-level endpoint recheck. The result summary excludes table, figure, section, year, and parameter numerals that do not describe an evaluated outcome."
C22,CP095,TransferFuzz-Pro,li2025transferfuzzpro,"reproduction-, validation-, and repair-centered agent","Reproduction, validation, or repair evaluation",interprets feedback and adjusts the next action; organizes validation material.,reported,reported,reported,mixed_or_other_result,existing_source_location_retained,Reports 38 previously unreported affected binary/software instances,reported,reported,Transfer-based reproduction evidence,reported,not located,not located,reported,"Paper pp. 1–3 (Abstract/motivation), pp. 4–9 (LLM debugging and PoC workflow), and pp. 9–14 (RQ1–RQ5 and CVE-to-binary tables).; paper p. 9; Evaluation/results section; propagated-vulnerability verification results; paper p. 10",Source-scoped extraction. Quantitative values retain each study's own unit; reporting-status fields are not performance scores.
C23,CP130,Cybench,cybench2025,long-horizon pentest and CRS agent,"Benchmark, cyber-range, or bounty-derived tasks",routes tools or search strategy; interprets feedback and adjusts the next action; maintains cross-stage state.,reported,reported,reported,mixed_or_other_result,existing_source_location_retained,Cybench contains 40 CTF tasks; the best unguided and subtask-guided complete-task scores reported in the main comparison are each 17.5%.,reported,reported,Study-specific validation material reported; see the source location.,reported,not located,not located,reported,"Paper pp. 1–7 (Abstract, task framework and agent), pp. 7–11 (evaluation and reproducibility discussion), and task appendices (representative solution traces/scripts).; paper p. 1; paper p. 3; paper p. 2; paper p. 11; paper p. 42",Source-scoped extraction. Quantitative values retain each study's own unit; reporting-status fields are not performance scores.
C24,CP131,BountyBench,bountybench2025,long-horizon pentest and CRS agent,"Benchmark, cyber-range, or bounty-derived tasks",routes tools or search strategy; interprets feedback and adjusts the next action; organizes validation material; maintains cross-stage state.,reported,reported,reported,mixed_or_other_result,existing_source_location_retained,Uses 40 bounty tasks,reported,reported,Scoped benchmark tasks and task outcomes,reported,reported,not located,reported,"Paper pp. 1–3 (Abstract/framework), pp. 3–7 (Detect/Exploit/Patch evaluators), pp. 7–10 (agent evaluation), and public benchmark/run-log description.; paper p. 1; Benchmark construction/evaluation setup section; task count; paper p. 64; paper p. 6; paper p. 46",Source-scoped extraction. Quantitative values retain each study's own unit; reporting-status fields are not performance scores.
C25,CP132,SEC-bench,secbench2025,"reproduction-, validation-, and repair-centered agent","Benchmark, cyber-range, or bounty-derived tasks",routes tools or search strategy; interprets feedback and adjusts the next action; organizes validation material; maintains cross-stage state.,reported,reported,reported,mixed_or_other_result,existing_source_location_retained,"A comprehensive evaluation of state-of-the-art LLM code agents reveals significant performance gaps, achieving at most 18.0% success in PoC generation and 34.0% in vulnerability patching on our complete dataset.",reported,reported,Study-specific validation material reported; see the source location.,not located,not located,not located,reported,"Paper pp. 1–3 (Abstract and benchmark construction), pp. 3–6 (SECVerifier and task criteria), pp. 7–10 (agent evaluation), and released code/dataset URLs on p. 1.; paper p. 1; paper p. 2; paper p. 9",Source-scoped extraction. Quantitative values retain each study's own unit; reporting-status fields are not performance scores.
C26,CP133,CyberGym,cybergym2025,long-horizon pentest and CRS agent,"Level-1 PoC reproduction on 1,507 benchmark instances",interprets feedback and adjusts the next action; organizes validation material; maintains cross-stage state; reuses failed attempts to update strategy.,reported,reported,reported,mixed_or_other_result,existing_source_location_retained,OpenHands with Claude-Sonnet-4 achieved 17.9% success,reported,reported,Success required a sanitizer crash before patching and no sanitizer crash after patching,not located,reported,not located,reported,Paper pp. 1 and 6-7 (benchmark scale and evaluation); Section 3.2 (execution-based success definition); Figure 3 (17.9% result),Source-scoped extraction. Quantitative values retain each study's own unit; reporting-status fields are not performance scores.
C28,CP206,FuzzingBrain V2,fuzzingbrainv2_2026,long-horizon pentest and CRS agent,OSS or CRS-style task environment,aggregates code or rule context; routes tools or search strategy; interprets feedback and adjusts the next action; organizes validation material; maintains cross-stage state.,reported,reported,reported,mixed_or_other_result,existing_source_location_retained,FuzzingBrain V2 detects 36 of 40 AIxCC C/C++ vulnerabilities (90%) and reports evaluation across 19 OSS-Fuzz projects.,reported,reported,Study-specific validation material reported; see the source location.,reported,reported,reported,reported,"Paper pp. 1–3 (Abstract/system goals), pp. 3–8 (three-stage design and PoC pipeline), pp. 8–12 (evaluation), and pp. 12–13 (zero-day table/case study).; paper p. 3; paper p. 2; paper p. 1; paper p. 11; paper p. 8; paper p. 7",Source-scoped extraction. Quantitative values retain each study's own unit; reporting-status fields are not performance scores.
C29,CP207,DrillAgent,drillagent2026,"reproduction-, validation-, and repair-centered agent","Benchmark, cyber-range, or bounty-derived tasks",aggregates code or rule context; interprets feedback and adjusts the next action; organizes validation material.,reported,reported,reported,performance,source_verified_2026-07-29,"Under the fixed evaluation budget, DrillAgent solves up to 52.8% more CVE-based PoV tasks than the best reported LLM-agent baseline.",reported,reported,Study-specific validation material reported; see the source location.,reported,reported,reported,not located,Paper p. 1 (Abstract); SEC-bench evaluation on pp. 7–12.,"Source-level endpoint recheck. The result summary excludes table, figure, section, year, and parameter numerals that do not describe an evaluated outcome."
C30,CP208,OSS-CRS,chin2026osscrs,long-horizon pentest and CRS agent,OSS or CRS-style task environment,aggregates code or rule context; routes tools or search strategy; interprets feedback and adjusts the next action; organizes validation material; maintains cross-stage state.,reported,reported,reported,mixed_or_other_result,existing_source_location_retained,"OSS-CRS reports 10 previously unknown bugs, including 3 high-severity findings, across 8 OSS-Fuzz projects.",not located,reported,Study-specific validation material reported; see the source location.,not located,not located,not located,not located,"Paper pp. 1–4 (Abstract/motivation), pp. 4–7 (architecture and adapters), pp. 7–9 (porting/evaluation and disclosure outcomes), and p. 10 (conclusion/ethics).; paper p. 6; paper p. 9; paper p. 3; paper p. 2",Source-scoped extraction. Quantitative values retain each study's own unit; reporting-status fields are not performance scores.
C31,CP209,GONDAR,gondar2026,feedback-driven fuzzing agent,"Benchmark, cyber-range, or bounty-derived tasks",maintains cross-stage state.,reported,reported,reported,performance_and_result_yield,source_verified_2026-07-29,"On 54 vulnerabilities across 22 Java projects, GONDAR exploits 41 and reaches 46, compared with eight exploited and 26 reached by Jazzer.",reported,reported,Study-specific validation material reported; see the source location.,reported,reported,reported,reported,Paper p. 2 (Abstract continuation); evaluation on pp. 7–14.,"Source-level endpoint recheck. The result summary excludes table, figure, section, year, and parameter numerals that do not describe an evaluated outcome."
U01,CP213,RAVEN,update2026u01,candidate-analysis system,"Code, specification, or warning analysis",aggregates code or rule context; routes tools or search strategy; interprets feedback and adjusts the next action; organizes validation material.,not located,reported,reported,mixed_or_other_result,existing_source_location_retained,RAVEN repairs 72 of 83 Java vulnerabilities when correct and partial fixes are counted and 25 of 29 C vulnerabilities (86.94%).,reported,reported,Study-specific validation material reported; see the source location.,not located,reported,not located,not located,"Paper pp. 1–3 (Abstract/design motivation), pp. 3–7 (RAG/curator/repair-review loop), and pp. 7–11 (evaluation and conclusion).; paper p. 1; paper p. 2; paper p. 4; paper p. 9",Source-scoped extraction. Quantitative values retain each study's own unit; reporting-status fields are not performance scores.
U02,CP214,Revelio,update2026u02,"reproduction-, validation-, and repair-centered agent","Reproduction, validation, or repair evaluation",aggregates code or rule context; routes tools or search strategy; interprets feedback and adjusts the next action; organizes validation material.,reported,reported,reported,mixed_or_other_result,existing_source_location_retained,Reports 19 findings as previously unknown,reported,reported,Sanitizer-confirmed PoV generation and reporting material,not located,reported,reported,reported,"Paper pp. 1–6 (architecture), pp. 6–11 (evaluation), especially pp. 8–9 (finding table and CVE case study).; paper p. 7; Evaluation/results section; previously unknown finding count; paper p. 2; paper p. 19; paper p. 6",Source-scoped extraction. Quantitative values retain each study's own unit; reporting-status fields are not performance scores.
U03,CP215,OpenAnt,update2026u03,"reproduction-, validation-, and repair-centered agent","Reproduction, validation, or repair evaluation",aggregates code or rule context; routes tools or search strategy; interprets feedback and adjusts the next action; organizes validation material.,reported,reported,reported,performance_and_result_yield,source_verified_2026-07-29,OpenAnt identifies 190 vulnerability candidates across the evaluated repositories and dynamically reproduces 144 of them (75.8%).,reported,reported,Study-specific validation material reported; see the source location.,reported,reported,not located,reported,"Paper p. 8, Sec. 3.2 (real-world vulnerability discovery).","Source-level endpoint recheck. The result summary excludes table, figure, section, year, and parameter numerals that do not describe an evaluated outcome."
U04,CP216,Code-Augur,update2026u04,feedback-driven fuzzing agent,Fuzzing or input-exploration evaluation,aggregates code or rule context; interprets feedback and adjusts the next action; organizes validation material; reuses failed attempts to update strategy.,reported,reported,reported,mixed_or_other_result,existing_source_location_retained,"Code-Augur reports 22 new vulnerabilities in open-source projects, 16 fixed or confirmed by developers.",reported,reported,Study-specific validation material reported; see the source location.,not located,not located,not located,not located,"Paper pp. 1–8 (specification-first design and runtime falsification), pp. 8–12 (evaluation and public CVE mappings).; paper p. 1; paper p. 2; paper p. 4",Source-scoped extraction. Quantitative values retain each study's own unit; reporting-status fields are not performance scores.
U05,CP217,Transferable Self-Evolving Playbooks for Agentic Security Auditing,update2026u05,long-horizon pentest and CRS agent,"Benchmark, cyber-range, or bounty-derived tasks",routes tools or search strategy; interprets feedback and adjusts the next action; organizes validation material; maintains cross-stage state; reuses failed attempts to update strategy.,reported,reported,reported,mixed_or_other_result,existing_source_location_retained,EvoHunt evaluates 813 evolution cases and 371 held-out advisories; one evolved playbook raises end-to-end exploit success from 1.1% to 6.2%.,reported,reported,Study-specific validation material reported; see the source location.,reported,reported,not located,not located,"Paper pp. 1–7 (EvoHunt/playbook loop), pp. 7–13 (experiments/discussion), and p. 15 (published GHSA/CVE mappings).; paper p. 1; paper p. 5; paper p. 6; paper p. 9",Source-scoped extraction. Quantitative values retain each study's own unit; reporting-status fields are not performance scores.
U06,CP218,DIG,update2026u06,"reproduction-, validation-, and repair-centered agent","Benchmark, cyber-range, or bounty-derived tasks",aggregates code or rule context; routes tools or search strategy; interprets feedback and adjusts the next action; organizes validation material; maintains cross-stage state.,reported,reported,reported,performance_and_result_yield,source_verified_2026-07-29,"Across 138 real-world CVEs, DIG triggers 80 vulnerabilities versus 57 for the best reported baseline and uniquely triggers nine cases.",reported,reported,Study-specific validation material reported; see the source location.,reported,reported,reported,not located,Paper p. 1 (Abstract).,"Source-level endpoint recheck. The result summary excludes table, figure, section, year, and parameter numerals that do not describe an evaluated outcome."
U07,CP219,NeuroLog,update2026u07,candidate-analysis system,"Code, specification, or warning analysis",aggregates code or rule context; interprets feedback and adjusts the next action; organizes validation material.,reported,reported,reported,result_yield,source_verified_2026-07-29,NeuroLog rediscovers eight CVE-class issues and reports five new memory-safety findings whose fixes were accepted for merging.,reported,reported,Study-specific validation material reported; see the source location.,reported,reported,not located,not located,Paper p. 3 (contributions and evaluated findings).,"Source-level endpoint recheck. The result summary excludes table, figure, section, year, and parameter numerals that do not describe an evaluated outcome."
U08,CP220,EvoRepair,update2026u08,"reproduction-, validation-, and repair-centered agent","Benchmark, cyber-range, or bounty-derived tasks",aggregates code or rule context; interprets feedback and adjusts the next action; organizes validation material; maintains cross-stage state; reuses failed attempts to update strategy.,reported,reported,reported,mixed_or_other_result,existing_source_location_retained,"Results show that E VO R EPAIR achieves the best overall performance, reaching 93.47% on PATCHEVAL, 87.00% on SEC-bench, and 90.46% overall.",reported,reported,Study-specific validation material reported; see the source location.,not located,reported,reported,not located,"Paper pp. 1–9 (experience bank and repair loop), pp. 9–15 (benchmark evaluation and transfer).; paper p. 10; paper p. 1; paper p. 7; paper p. 13; paper p. 12",Source-scoped extraction. Quantitative values retain each study's own unit; reporting-status fields are not performance scores.
U09,CP221,Quality-Assured Fuzz Harness Generation via the Four Principles Framework,update2026u09,feedback-driven fuzzing agent,Fuzzing or input-exploration evaluation,aggregates code or rule context; routes tools or search strategy; interprets feedback and adjusts the next action; organizes validation material.,reported,reported,reported,result_yield,source_verified_2026-07-29,"Across 23 open-source projects, the harness-generation system submits 42 bug reports; 29 were fixed or confirmed upstream, including three CVEs, and two were rejected.",reported,reported,Study-specific validation material reported; see the source location.,not located,reported,reported,not located,Paper p. 1 (Abstract); evaluation on pp. 6–12.,"Source-level endpoint recheck. The result summary excludes table, figure, section, year, and parameter numerals that do not describe an evaluated outcome."
U10,CP222,ContraFix,update2026u10,"reproduction-, validation-, and repair-centered agent","Benchmark, cyber-range, or bounty-derived tasks",aggregates code or rule context; interprets feedback and adjusts the next action; organizes validation material; reuses failed attempts to update strategy.,reported,reported,reported,performance,source_verified_2026-07-29,ContraFix with GPT-5-mini reports a 92.0% resolution rate on SEC-Bench over three repeated runs and 73.8% on PatchEval.,reported,reported,Study-specific validation material reported; see the source location.,not located,reported,reported,not located,Paper p. 1 (Abstract); evaluation on pp. 5–9.,"Source-level endpoint recheck. The result summary excludes table, figure, section, year, and parameter numerals that do not describe an evaluated outcome."
U11,CP223,MemRepair,update2026u11,"reproduction-, validation-, and repair-centered agent","Benchmark, cyber-range, or bounty-derived tasks",aggregates code or rule context; interprets feedback and adjusts the next action; organizes validation material; maintains cross-stage state; reuses failed attempts to update strategy.,reported,reported,reported,performance,source_verified_2026-07-29,"MemRepair reports resolution rates of 58.0% on SEC-Bench, 58.2% on PatchEval, and 30.58% on the C/C++ benchmark.",reported,reported,Study-specific validation material reported; see the source location.,not located,reported,reported,reported,Paper p. 1 (Abstract); evaluation on pp. 5–10.,"Source-level endpoint recheck. The result summary excludes table, figure, section, year, and parameter numerals that do not describe an evaluated outcome."
