"discovery_id","first_decision","second_decision","consensus_decision","sample_role","calibration_excluded"
"FMS0171","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0645","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0231","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0825","RETAIN","RETAIN","RETAIN","formal_random_screening_sample","true"
"FMS0383","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1113","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1235","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0894","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1308","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1215","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0574","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0278","EXCLUDE","RETAIN","RETAIN","formal_random_screening_sample","true"
"FMS0401","RETAIN","RETAIN","RETAIN","formal_random_screening_sample","true"
"FMS0227","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1490","EXCLUDE","RETAIN","EXCLUDE","formal_random_screening_sample","true"
"FMS0295","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0214","RETAIN","RETAIN","RETAIN","formal_random_screening_sample","true"
"FMS0859","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0828","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0198","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1382","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0196","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1525","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1479","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0627","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0579","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0238","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0945","RETAIN","RETAIN","RETAIN","formal_random_screening_sample","true"
"FMS1209","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1413","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1222","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1010","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0599","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0640","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1492","RETAIN","RETAIN","RETAIN","formal_random_screening_sample","true"
"FMS1335","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0890","RETAIN","RETAIN","RETAIN","formal_random_screening_sample","true"
"FMS0823","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0904","RETAIN","RETAIN","RETAIN","formal_random_screening_sample","true"
"FMS0165","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0516","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0817","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0619","RETAIN","RETAIN","RETAIN","formal_random_screening_sample","true"
"FMS1481","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0753","RETAIN","RETAIN","RETAIN","formal_random_screening_sample","true"
"FMS0639","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1364","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0511","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0085","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0031","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1520","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0118","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0490","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1311","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0449","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0319","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1607","RETAIN","RETAIN","RETAIN","formal_random_screening_sample","true"
"FMS0548","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1101","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1276","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1245","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1009","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0820","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1320","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0326","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1036","EXCLUDE","RETAIN","RETAIN","formal_random_screening_sample","true"
"FMS0460","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0760","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1474","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0588","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1076","RETAIN","RETAIN","RETAIN","formal_random_screening_sample","true"
"FMS0282","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0909","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1177","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0411","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0546","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS1343","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0387","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0166","RETAIN","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0056","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0673","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0643","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0007","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0532","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0093","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0024","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0632","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
"FMS0692","EXCLUDE","EXCLUDE","EXCLUDE","formal_random_screening_sample","true"
