matrix_id,system,primitive_family,use_role,named_tools,source_location,role_assignment_basis,extraction_note
C05,Mut4All,runtime_oracle,both,compiler execution;unit-test feedback,"Paper pp. 1–7 (design and motivating issue mappings), pp. 14–20 (RQ1–RQ3, especially bug-hunting results), and pp. 22–24 (discussion/conclusion).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C05,Mut4All,patch_build_test,evaluation/support use,compiler execution;unit-test feedback,"Paper pp. 1–7 (design and motivating issue mappings), pp. 14–20 (RQ1–RQ3, especially bug-hunting results), and pp. 22–24 (discussion/conclusion).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C06,LLAMA,fuzzing_input_harness,evaluation/support use,smart-contract fuzzer;selective symbolic execution;bug oracles,"Paper pp. 1–4 (Abstract, motivation and assumptions), pp. 5–10 (seed validation, scheduler and hybrid fuzzing), and pp. 11–14 (evaluation).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C06,LLAMA,symbolic_constraint,evaluation/support use,smart-contract fuzzer;selective symbolic execution;bug oracles,"Paper pp. 1–4 (Abstract, motivation and assumptions), pp. 5–10 (seed validation, scheduler and hybrid fuzzing), and pp. 11–14 (evaluation).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C06,LLAMA,runtime_oracle,evaluation/support use,smart-contract fuzzer;selective symbolic execution;bug oracles,"Paper pp. 1–4 (Abstract, motivation and assumptions), pp. 5–10 (seed validation, scheduler and hybrid fuzzing), and pp. 11–14 (evaluation).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C07,ProtocolGuard,static_taint_specification,both,RFC rule extraction;static analysis;dynamic assertions,"Reviewed full text, p.1, 2, 3, 4, 5, 6, 7, 8",Explicit matches: Static Analysis; static analysis.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C07,ProtocolGuard,runtime_oracle,workflow-active use,RFC rule extraction;static analysis;dynamic assertions,"Reviewed full text, p.3",Explicit matches: sanitizer.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C08,BSFuzzer,static_taint_specification,both,specification extraction;BLE test execution;stateful oracle,"Paper pp. 1–5 (Abstract and design motivation), pp. 5–9 (semantic mutation workflow), pp. 8–14 (evaluation and case analysis), and p. 18 (Appendix B.2 findings table).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C08,BSFuzzer,fuzzing_input_harness,both,specification extraction;BLE test execution;stateful oracle,"Paper pp. 1–5 (Abstract and design motivation), pp. 5–9 (semantic mutation workflow), pp. 8–14 (evaluation and case analysis), and p. 18 (Appendix B.2 findings table).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C08,BSFuzzer,runtime_oracle,both,specification extraction;BLE test execution;stateful oracle,"Paper pp. 1–5 (Abstract and design motivation), pp. 5–9 (semantic mutation workflow), pp. 8–14 (evaluation and case analysis), and p. 18 (Appendix B.2 findings table).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C09,RFCAUDIT,static_taint_specification,evaluation/support use,RFC retrieval;static code analysis,"Paper pp. 1–3 (Abstract/overview), pp. 4–7 (indexing and detection agents), pp. 7–9 (Table II and evaluation), and pp. 10–11 (case studies/validity).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C10,VulAgent,static_taint_specification,workflow-active use,code analysis and hypothesis validation,"Paper pp. 1–2 (Abstract and paradigm), pp. 4–8 (agent workflow and report schema), pp. 9–16 (datasets, RQs and case study), and p. 17 (limitations).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C11,MALF,fuzzing_input_harness,both,protocol fuzzer;PLC execution feedback,"Paper pp. 1–10 (architecture/workflows), pp. 11–18 (evaluation), and pp. 18–19 (Table 5, CNVD-2024-16009 and Figure 13).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C11,MALF,runtime_oracle,both,protocol fuzzer;PLC execution feedback,"Paper pp. 1–10 (architecture/workflows), pp. 11–18 (evaluation), and pp. 18–19 (Table 5, CNVD-2024-16009 and Figure 13).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C12,NeTestLLM,fuzzing_input_harness,both,protocol test generation;test-result feedback,"Paper pp. 1–3 (Abstract/workflow), pp. 4–8 (hierarchical understanding, generation and correction loops), and pp. 8–12 (evaluation and case study).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C12,NeTestLLM,runtime_oracle,both,protocol test generation;test-result feedback,"Paper pp. 1–3 (Abstract/workflow), pp. 4–8 (hierarchical understanding, generation and correction loops), and pp. 8–12 (evaluation and case study).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C13,PBFuzz,fuzzing_input_harness,both,AFL++;libFuzzer;AddressSanitizer;PoV replay,"Paper pp. 1–6 (motivation, architecture and workflow state), pp. 6–10 (tools/implementation), and pp. 10–20 (evaluation, limitations and conclusion).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C13,PBFuzz,runtime_oracle,both,AFL++;libFuzzer;AddressSanitizer;PoV replay,"Paper pp. 1–6 (motivation, architecture and workflow state), pp. 6–10 (tools/implementation), and pp. 10–20 (evaluation, limitations and conclusion).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C13,PBFuzz,replay_poc_pov,both,AFL++;libFuzzer;AddressSanitizer;PoV replay,"Paper pp. 1–6 (motivation, architecture and workflow state), pp. 6–10 (tools/implementation), and pp. 10–20 (evaluation, limitations and conclusion).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C14,Co-RedTeam,runtime_oracle,workflow-active use,interactive target execution;exploit validation;reconnaissance tools,"Paper pp. 1–3 (Abstract and contribution), pp. 4–8 (discovery/exploitation agents, feedback and memory), and pp. 8–13 (Tables 1–3, ablations and conclusion).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C14,Co-RedTeam,replay_poc_pov,evaluation/support use,interactive target execution;exploit validation;reconnaissance tools,"Paper pp. 1–3 (Abstract and contribution), pp. 4–8 (discovery/exploitation agents, feedback and memory), and pp. 8–13 (Tables 1–3, ablations and conclusion).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C14,Co-RedTeam,recon_scan_pentest,workflow-active use,interactive target execution;exploit validation;reconnaissance tools,"Paper pp. 1–3 (Abstract and contribution), pp. 4–8 (discovery/exploitation agents, feedback and memory), and pp. 8–13 (Tables 1–3, ablations and conclusion).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C15,Real-world Pentest Agent Study,runtime_oracle,both,Nmap;Metasploit;interactive exploit execution,"Paper pp. 1–6 (failure analysis), pp. 6–9 (PentestGPTV2 design), and pp. 9–13 (evaluation, strategy case study and deployment).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C15,Real-world Pentest Agent Study,replay_poc_pov,evaluation/support use,Nmap;Metasploit;interactive exploit execution,"Paper pp. 1–6 (failure analysis), pp. 6–9 (PentestGPTV2 design), and pp. 9–13 (evaluation, strategy case study and deployment).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C15,Real-world Pentest Agent Study,recon_scan_pentest,both,Nmap;Metasploit;interactive exploit execution,"Paper pp. 1–6 (failure analysis), pp. 6–9 (PentestGPTV2 design), and pp. 9–13 (evaluation, strategy case study and deployment).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C16,LLMVD.js,static_taint_specification,both,taint-style analysis;package execution;PoC exploits,"Paper pp. 1–5 (Abstract and pipeline), pp. 5–8 (system and PoC validation), pp. 8–12 (evaluation), and pp. 10–13 (new-package results/limitations).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C16,LLMVD.js,runtime_oracle,both,taint-style analysis;package execution;PoC exploits,"Paper pp. 1–5 (Abstract and pipeline), pp. 5–8 (system and PoC validation), pp. 8–12 (evaluation), and pp. 10–13 (new-package results/limitations).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C16,LLMVD.js,replay_poc_pov,both,taint-style analysis;package execution;PoC exploits,"Paper pp. 1–5 (Abstract and pipeline), pp. 5–8 (system and PoC validation), pp. 8–12 (evaluation), and pp. 10–13 (new-package results/limitations).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C17,Multi-Agent Harnesses,fuzzing_input_harness,evaluation/support use,AFL++;sanitizers;generated harnesses and PoC inputs,"Paper pp. 1–3 (Abstract and motivating harness), pp. 5–9 (typed DSL and outer loop), and pp. 9–12 (evaluation, Table 2 and vendor-confirmed CVEs).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C17,Multi-Agent Harnesses,runtime_oracle,evaluation/support use,AFL++;sanitizers;generated harnesses and PoC inputs,"Paper pp. 1–3 (Abstract and motivating harness), pp. 5–9 (typed DSL and outer loop), and pp. 9–12 (evaluation, Table 2 and vendor-confirmed CVEs).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C17,Multi-Agent Harnesses,replay_poc_pov,evaluation/support use,AFL++;sanitizers;generated harnesses and PoC inputs,"Paper pp. 1–3 (Abstract and motivating harness), pp. 5–9 (typed DSL and outer loop), and pp. 9–12 (evaluation, Table 2 and vendor-confirmed CVEs).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C18,PentestAgent,runtime_oracle,evaluation/support use,Nmap;Metasploit;exploit execution,"Paper pp. 1–5 (Abstract/background), pp. 5–8 (system overview and agents), and pp. 8–12 (evaluation and limitations).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C18,PentestAgent,replay_poc_pov,evaluation/support use,Nmap;Metasploit;exploit execution,"Paper pp. 1–5 (Abstract/background), pp. 5–8 (system overview and agents), and pp. 8–12 (evaluation and limitations).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C18,PentestAgent,recon_scan_pentest,evaluation/support use,Nmap;Metasploit;exploit execution,"Paper pp. 1–5 (Abstract/background), pp. 5–8 (system overview and agents), and pp. 8–12 (evaluation and limitations).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C19,LIVA,static_taint_specification,evaluation/support use,binary taint and control-flow analysis,"Paper pp. 1–3 (Abstract and contributions), pp. 5–8 (source/sink and taint-analysis agents), pp. 8–13 (evaluation), and p. 13 (vendor/device-to-CVE/CNVD table).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C20,FirmAgent,static_taint_specification,evaluation/support use,taint propagation;firmware fuzzing;QEMU;PoC execution,"Paper pp. 1–5 (Abstract/motivation), pp. 5–9 (fuzzing, taint and PoC agents), pp. 9–12 (Tables IV–VI and evaluation), and p. 14 (disclosure).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C20,FirmAgent,fuzzing_input_harness,evaluation/support use,taint propagation;firmware fuzzing;QEMU;PoC execution,"Paper pp. 1–5 (Abstract/motivation), pp. 5–9 (fuzzing, taint and PoC agents), pp. 9–12 (Tables IV–VI and evaluation), and p. 14 (disclosure).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C20,FirmAgent,runtime_oracle,evaluation/support use,taint propagation;firmware fuzzing;QEMU;PoC execution,"Paper pp. 1–5 (Abstract/motivation), pp. 5–9 (fuzzing, taint and PoC agents), pp. 9–12 (Tables IV–VI and evaluation), and p. 14 (disclosure).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C20,FirmAgent,replay_poc_pov,evaluation/support use,taint propagation;firmware fuzzing;QEMU;PoC execution,"Paper pp. 1–5 (Abstract/motivation), pp. 5–9 (fuzzing, taint and PoC agents), pp. 9–12 (Tables IV–VI and evaluation), and p. 14 (disclosure).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C21,PANGOLIN,static_taint_specification,both,entry-map analysis;protocol fuzzing;PoC execution,"Reviewed full text, p.1, 4, 8, 11, 13, 14",Explicit matches: static analysis; data-flow analysis.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C21,PANGOLIN,fuzzing_input_harness,both,entry-map analysis;protocol fuzzing;PoC execution,"Reviewed full text, p.1, 2, 3, 4, 5, 8, 9, 10",Explicit matches: Fuzzing; fuzzing; AFL.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C21,PANGOLIN,runtime_oracle,evaluation/support use,entry-map analysis;protocol fuzzing;PoC execution,"Reviewed full text, p.14",Explicit matches: coverage feedback.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C21,PANGOLIN,replay_poc_pov,workflow-active use,entry-map analysis;protocol fuzzing;PoC execution,"Reviewed full text, p.6",Explicit matches: PoC.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C22,TransferFuzz-Pro,fuzzing_input_harness,evaluation/support use,directed fuzzing;Valgrind;GDB;PoC verification,"Paper pp. 1–3 (Abstract/motivation), pp. 4–9 (LLM debugging and PoC workflow), and pp. 9–14 (RQ1–RQ5 and CVE-to-binary tables).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C22,TransferFuzz-Pro,runtime_oracle,workflow-active use,directed fuzzing;Valgrind;GDB;PoC verification,"Paper pp. 1–3 (Abstract/motivation), pp. 4–9 (LLM debugging and PoC workflow), and pp. 9–14 (RQ1–RQ5 and CVE-to-binary tables).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C22,TransferFuzz-Pro,replay_poc_pov,workflow-active use,directed fuzzing;Valgrind;GDB;PoC verification,"Paper pp. 1–3 (Abstract/motivation), pp. 4–9 (LLM debugging and PoC workflow), and pp. 9–14 (RQ1–RQ5 and CVE-to-binary tables).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C23,Cybench,runtime_oracle,evaluation/support use,CTF tools;interactive task execution;flag validation,"Paper pp. 1–7 (Abstract, task framework and agent), pp. 7–11 (evaluation and reproducibility discussion), and task appendices (representative solution traces/scripts).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C23,Cybench,replay_poc_pov,evaluation/support use,CTF tools;interactive task execution;flag validation,"Paper pp. 1–7 (Abstract, task framework and agent), pp. 7–11 (evaluation and reproducibility discussion), and task appendices (representative solution traces/scripts).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C23,Cybench,recon_scan_pentest,both,CTF tools;interactive task execution;flag validation,"Reviewed full text, p.1, 10, 11",Explicit matches: penetration testing; Metasploit.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C24,BountyBench,runtime_oracle,evaluation/support use,sandboxed bounty targets;exploit execution;patch tests,"Paper pp. 1–3 (Abstract/framework), pp. 3–7 (Detect/Exploit/Patch evaluators), pp. 7–10 (agent evaluation), and public benchmark/run-log description.",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C24,BountyBench,replay_poc_pov,workflow-active use,sandboxed bounty targets;exploit execution;patch tests,"Reviewed full text, p.6",Explicit matches: reproduce the vulnerability.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C24,BountyBench,patch_build_test,evaluation/support use,sandboxed bounty targets;exploit execution;patch tests,"Paper pp. 1–3 (Abstract/framework), pp. 3–7 (Detect/Exploit/Patch evaluators), pp. 7–10 (agent evaluation), and public benchmark/run-log description.",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C24,BountyBench,recon_scan_pentest,evaluation/support use,sandboxed bounty targets;exploit execution;patch tests,"Paper pp. 1–3 (Abstract/framework), pp. 3–7 (Detect/Exploit/Patch evaluators), pp. 7–10 (agent evaluation), and public benchmark/run-log description.",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C25,SEC-bench,runtime_oracle,both,PoC execution;build and regression tests;patch validation,"Reviewed full text, p.3, 5, 7, 9, 10",Explicit matches: sanitizer.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C25,SEC-bench,replay_poc_pov,both,PoC execution;build and regression tests;patch validation,"Reviewed full text, p.1, 2, 3, 4, 5, 6, 7, 8",Explicit matches: proof-of-concept; PoC.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C25,SEC-bench,patch_build_test,workflow-active use,PoC execution;build and regression tests;patch validation,"Reviewed full text, p.2",Explicit matches: patch verification.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C26,CyberGym,runtime_oracle,evaluation/support use,sanitizers;containerized PoC execution,"Paper pp. 1–6 (Abstract, benchmark construction and PoC oracle), pp. 6–9 (evaluation and zero-day deployment), and Appendix E pp. 34–35 (incomplete-patch/zero-day analysis).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C26,CyberGym,replay_poc_pov,evaluation/support use,sanitizers;containerized PoC execution,"Paper pp. 1–6 (Abstract, benchmark construction and PoC oracle), pp. 6–9 (evaluation and zero-day deployment), and Appendix E pp. 34–35 (incomplete-patch/zero-day analysis).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C28,FuzzingBrain V2,static_taint_specification,both,static analysis;coverage-guided fuzzing;sanitizers;PoV and patch validation,"Reviewed full text, p.1, 3, 4, 5, 9, 11, 13",Explicit matches: static analysis; Static analysis; Static Analysis.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C28,FuzzingBrain V2,fuzzing_input_harness,both,static analysis;coverage-guided fuzzing;sanitizers;PoV and patch validation,"Reviewed full text, p.1, 2, 3, 4, 5, 6, 7, 8",Explicit matches: Fuzz; fuzzer; fuzzing; fuzz; AFL; libFuzzer.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C28,FuzzingBrain V2,runtime_oracle,both,static analysis;coverage-guided fuzzing;sanitizers;PoV and patch validation,"Reviewed full text, p.2, 3, 4, 5, 7, 8, 10, 11",Explicit matches: AddressSanitizer; ASan; MemorySanitizer; UBSan; sanitizer.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C28,FuzzingBrain V2,replay_poc_pov,both,static analysis;coverage-guided fuzzing;sanitizers;PoV and patch validation,"Reviewed full text, p.2, 3, 4, 5, 6, 7, 8, 9",Explicit matches: proof-of-concept; PoC.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C28,FuzzingBrain V2,patch_build_test,both,static analysis;coverage-guided fuzzing;sanitizers;PoV and patch validation,"Paper pp. 1–3 (Abstract/system goals), pp. 3–8 (three-stage design and PoC pipeline), pp. 8–12 (evaluation), and pp. 12–13 (zero-day table/case study).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C29,DrillAgent,static_taint_specification,evaluation/support use,code analysis;execution-state feedback;PoV execution,"Paper pp. 1–3 (Abstract/motivation), pp. 3–6 (DrillAgent design and agents), and pp. 7–12 (SEC-bench evaluation, ablations and limitations).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C29,DrillAgent,runtime_oracle,both,code analysis;execution-state feedback;PoV execution,"Paper pp. 1–3 (Abstract/motivation), pp. 3–6 (DrillAgent design and agents), and pp. 7–12 (SEC-bench evaluation, ablations and limitations).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C29,DrillAgent,replay_poc_pov,both,code analysis;execution-state feedback;PoV execution,"Paper pp. 1–3 (Abstract/motivation), pp. 3–6 (DrillAgent design and agents), and pp. 7–12 (SEC-bench evaluation, ablations and limitations).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C30,OSS-CRS,fuzzing_input_harness,both,OSS-Fuzz harnesses;sanitizers;PoV execution;patch testing,"Paper pp. 1–4 (Abstract/motivation), pp. 4–7 (architecture and adapters), pp. 7–9 (porting/evaluation and disclosure outcomes), and p. 10 (conclusion/ethics).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C30,OSS-CRS,runtime_oracle,both,OSS-Fuzz harnesses;sanitizers;PoV execution;patch testing,"Paper pp. 1–4 (Abstract/motivation), pp. 4–7 (architecture and adapters), pp. 7–9 (porting/evaluation and disclosure outcomes), and p. 10 (conclusion/ethics).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C30,OSS-CRS,replay_poc_pov,both,OSS-Fuzz harnesses;sanitizers;PoV execution;patch testing,"Paper pp. 1–4 (Abstract/motivation), pp. 4–7 (architecture and adapters), pp. 7–9 (porting/evaluation and disclosure outcomes), and p. 10 (conclusion/ethics).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C30,OSS-CRS,patch_build_test,evaluation/support use,OSS-Fuzz harnesses;sanitizers;PoV execution;patch testing,"Paper pp. 1–4 (Abstract/motivation), pp. 4–7 (architecture and adapters), pp. 7–9 (porting/evaluation and disclosure outcomes), and p. 10 (conclusion/ethics).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
C31,GONDAR,static_taint_specification,evaluation/support use,sink analysis;libFuzzer;execution logs;exploit synthesis,"Paper pp. 1–4 (Abstract/overview), pp. 4–7 (methodology and agents), pp. 7–14 (evaluation and industry validation), and pp. 15–17 (discussion/disclosure).",Role assigned from the cited workflow/evaluation passages and the coded lifecycle entry.,The role describes where the primitive is used; it does not imply dynamic agent selection.
