product_or_system,vendor,snapshot_date,model_or_version,public_capabilities,security_workflow,public_evidence_type,source_url,publication_or_update_date,access_date,manuscript_role,core_eligibility,evidence_caveat,external_traceability,update_required,notes
Claude Code automated review / GitHub Actions,Anthropic,2026-06-13,Claude Code Action v1.0; model configurable through claude_args,"PR/issue automation, @claude triggers, code-review workflows, custom prompts, plugin loading, CI/CD integration",Automated review and CI/CD integration surface for coding agents,Official Claude Code documentation,https://code.claude.com/docs/en/github-actions,No explicit page date,2026-06-13,Supporting,Not Core; integration documentation only,Automation examples are not empirical security-evaluation results,Official Anthropic documentation only,yes,"Recorded for productized workflow integration, not for Core statistics."
Claude Code Security,Anthropic,2026-06-13,Former name for Claude Security during limited research preview; public beta announcement uses Claude Security and Opus 4.7,Research-preview security scanning and targeted patch generation later folded into Claude Security public beta,Name-transition record for security product lineage,Official product announcement/blog,https://claude.com/blog/claude-security-public-beta,2026-04-30,2026-06-13,Supporting,Not Core; vendor announcement only,Hundreds-of-organizations preview claim is vendor-reported and not an independent reproduction,Official Anthropic blog; customer statements not treated as independent confirmation,yes,Local Zotero search returned no matching item.
Claude Security,Anthropic,2026-06-13,Public beta for Claude Enterprise; announcement says powered by Opus 4.7; product page says generally available models,"Codebase scanning, finding validation, confidence/severity explanation, reproduction guidance, targeted patch instructions, scheduled/targeted scans, export and webhooks, human approval",Security-specialized product workflow from scan to reviewable fix,Official product page; official product announcement,https://claude.com/product/claude-security,Product page has no explicit date; public beta announced 2026-04-30,2026-06-13,Emerging boundary case,Not Core in this manuscript version; vendor product material only,Effectiveness and false-positive claims require independent benchmark/artifact or external confirmation before analytic use,Official Anthropic/Claude pages; partner/customer statements separated from independent confirmation,yes,Local Zotero search returned no matching item.
Claude Opus 4.8,Anthropic,2026-06-13,claude-opus-4-8; announced 2026-05-28,"Premium model for serious coding, AI agents, long-running work, memory across sessions and multi-tool tasks",Model capability background for Claude Code and productized agent workflows,Official model page,https://www.anthropic.com/claude/opus,2026-05-28,2026-06-13,Background,Not Core; model page only,Model benchmark/customer claims are vendor material and not vulnerability-mining reproduction,Official Anthropic model page,yes,Included because requested and because default/product models change quickly.
Claude Mythos Preview / Mythos 5,Anthropic,2026-06-13,Mythos 5 page states access unavailable as of 2026-06-12; prior Mythos Preview/Project Glasswing began 2026-04-07,"Vendor-reported frontier cyber capability, restricted/vetted access, code-security analysis, dual-use safeguards and data-retention requirements",High-risk restricted-access model and product-ecosystem boundary material,Official model page; Project Glasswing announcement,https://www.anthropic.com/claude/mythos,2026-06-09 model update; 2026-06-12 availability update,2026-06-13,Emerging boundary case,Not Core; restricted-access model page and vendor claims only,Vendor-reported vulnerability counts and benchmark claims are not independent reproduction; no sensitive details included,Official Anthropic pages; individual vulnerability traces require separate public issue/advisory/CVE mapping,yes,Use only for boundary and governance discussion.
Project Glasswing,Anthropic,2026-06-13,Claude Mythos Preview partner initiative; later Mythos 5 updates mention expansion,"Vetted partners use Mythos Preview for defensive vulnerability detection, black-box testing, endpoint security and penetration testing of critical systems",Cross-industry defensive security initiative and disclosure-process discussion,Official Anthropic announcement,https://www.anthropic.com/glasswing,2026-04-07,2026-06-13,Emerging boundary case,Not Core; initiative announcement and vendor-reported results only,Partner and vulnerability-count claims should not be treated as independent reproduction without external traceability,Official Anthropic announcement; linked partner pages may be audited separately,yes,No exploit details recorded; only high-level workflow and governance boundary.
Anthropic Responsible Disclosure Policy,Anthropic,2026-06-13,Last updated 2025-02-14,"Defines reporting channel, scope, safe harbor, reproduction details expected and coordination expectations",Coordinated disclosure boundary material,Official policy page,https://www.anthropic.com/responsible-disclosure-policy,2025-02-14,2026-06-13,Supporting,Not Core; policy page only,Disclosure policy supports governance discussion but not product capability claims,Official Anthropic policy page,yes,Recorded because disclosure workflow is relevant to evidence-boundary and external-process discussion.
Mozilla Firefox security cooperation page,Mozilla/Anthropic,2026-06-13,NA,No reliable official Mozilla page located in this pass,Not added as evidence; only noted as an attempted official-source check,Excluded,NA,no official publication date captured,2026-06-13,Excluded,Not Core; no official source captured,Do not cite or count without an official Mozilla source URL,No public official source recorded,yes,Search was attempted for Mozilla/Firefox collaboration but no reliable official page was added.
Cursor,Anysphere,2026-06-13,Official product page / docs snapshot,"AI coding editor for codebase understanding, code generation, edits, terminal/development workflow support",General coding-agent substrate; may support security review when paired with tools and governance,Official product page / documentation,https://www.cursor.com/,No explicit page date,2026-06-29,Background,Not Core; product documentation only,Vendor/product material; not independently validated vulnerability-mining evidence,Official public page only,yes,Added for ecosystem balance; no security-performance claim is made.
Devin,Cognition,2026-06-13,Official product page / docs snapshot,"AI software-engineering agent for planning, code edits, tests and engineering tasks",General coding-agent substrate; security relevance depends on task setup and evidence package,Official product page / documentation,https://www.devin.ai/,No explicit page date,2026-06-29,Background,Not Core; product documentation only,Vendor/product material; not independently validated vulnerability-mining evidence,Official public page only,yes,Added for ecosystem balance; no security-performance claim is made.
Aider,Aider project,2026-06-13,Official documentation snapshot,"Open-source AI pair-programming tool for repository edits, git workflow and command-line coding assistance",General coding-agent substrate; security relevance depends on connected tools and human review,Official documentation / project page,https://aider.chat/,No explicit page date,2026-06-29,Background,Not Core; documentation only,Project documentation; not independently validated vulnerability-mining evidence,Official public documentation only,yes,Added for ecosystem balance; no security-performance claim is made.
OpenHands,All Hands AI / OpenHands project,2026-06-13,Official project page / docs snapshot,"Open-source software-development agent platform for code, terminal and repository tasks","General agent runtime substrate; security relevance depends on connected tools, permissions and evidence logging",Official project page / documentation,https://www.all-hands.dev/,No explicit page date,2026-06-29,Background,Not Core; product/project documentation only,Project/product material; not independently validated vulnerability-mining evidence,Official public page only,yes,Added for ecosystem balance; formerly related to OpenDevin/OpenHands ecosystem; no security-performance claim is made.
Windsurf,Cognition / Windsurf,2026-06-13,Official product page snapshot,AI coding environment / agentic coding workflow described in public product material,General coding-agent substrate; security relevance depends on tools and evidence package,Official product page / documentation,https://windsurf.com/,No explicit page date,2026-06-29,Background,Not Core; product documentation only,Vendor/product material; not independently validated vulnerability-mining evidence,Official public page only,yes,Added for ecosystem balance; no security-performance claim is made.
