record_id,canonical_title,system_alias,publication_status,venue,official_url,arxiv_id,doi,last_verified_date,note,citation_key
CP013,Bridging the gap between LLMs and structured program vulnerability analysis: an agent reasoning approach with first-order logic modeling,NA,verified_by_zotero,journalArticle,https://www.sciencedirect.com/science/article/abs/pii/S0957417425037212,NA,10.1016/j.eswa.2025.130105,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=BridgingGapLLMs2025; risk=publisher_landing_recorded; zotero_url=https://linkinghub.elsevier.com/retrieve/pii/S0957417425037212,
CP014,UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report,UniFuzz,verified_by_official_source,conferencePaper,urn:isbn:979-8-3315-6687-6,NA,10.1109/VCRIS68011.2025.11250519,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; publication_status_source: official URL/DOI metadata recorded; doi_filled_from_zotero_field: 10.1109/VCRIS68011.2025.11250519,
CP015,ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis,ReForge,verified_by_zotero,conferencePaper,urn:isbn:979-8-3315-5397-5,NA,10.1109/FMLDS67896.2025.00022,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=ReForgeCustomizableAIDriven2025; risk=publisher_landing_recorded; zotero_url=https://ieeexplore.ieee.org/document/11446522/,
CP016,Should we evaluate LLM based security analysis approaches on open source systems?,NA,verified_by_zotero,conferencePaper,urn:isbn:979-8-3503-5733-2,NA,10.1109/ASE63991.2025.00265,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=ShouldWeEvaluate2025; risk=publisher_landing_recorded; zotero_url=https://ieeexplore.ieee.org/document/11334389/,
CP017,Explaining software vulnerabilities with large language models,NA,verified_by_zotero,conferencePaper,urn:isbn:979-8-3315-8503-7,NA,10.1109/ASEW67777.2025.00045,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=ExplainingSoftwareVulnerabilities2025; risk=publisher_landing_recorded; zotero_url=https://ieeexplore.ieee.org/document/11334243/,
CP018,"An empirical evaluation of LLM-based approaches for code vulnerability detection: RAG, SFT, and dual-agent systems",NA,verified_by_zotero,conferencePaper,urn:isbn:979-8-3315-9948-5,NA,10.1109/CASCON66301.2025.00045,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=EmpiricalEvaluationLLMBased2025; risk=publisher_landing_recorded; zotero_url=https://ieeexplore.ieee.org/document/11344502/,
CP019,LEGEM: a scalable and adversarial-resilient framework for cross-platform IoT binary vulnerability detection,NA,verified_by_zotero,journalArticle,https://ieeexplore.ieee.org/abstract/document/11235936,NA,10.1109/JIOT.2025.3630683,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=LEGEMScalableAdversarialResilient2026; risk=publisher_landing_recorded; zotero_url=https://ieeexplore.ieee.org/document/11235936/,
CP020,Towards more accurate static analysis for taint-style bug detection in linux kernel,NA,verified_by_zotero,conferencePaper,https://www.cs.ucr.edu/~zhiyunq/pub/ase25_buglens.pdf,NA,10.1109/ASE63991.2025.00039,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=MoreAccurateStatic2025; risk=publisher_landing_recorded; zotero_url=https://ieeexplore.ieee.org/document/11334600/,
CP021,VerilogLAVD: LLM-aided rule generation for vulnerability detection in verilog,NA,preprint_or_arxiv_from_local_metadata,preprint,https://arxiv.org/abs/2508.13092,2508.13092,10.48550/ARXIV.2508.13092,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_arxiv_doi; key=VerilogLAVDLLMAidedRule2026; risk=arxiv_doi_check_version; zotero_url=https://arxiv.org/abs/2508.13092,
CP022,Real-world code vulnerability detection framework: from data preprocessing to multi-feature fusion detection,NA,verified_by_zotero,journalArticle,https://ieeexplore.ieee.org/abstract/document/11134102,NA,10.1109/TDSC.2025.3601228,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=RealWorldCodeVulnerability2025; risk=publisher_landing_recorded; zotero_url=https://ieeexplore.ieee.org/document/11134102/,
CP023,Examining the feasibility and influencing factors of large language models in source code security analysis,NA,verified_by_official_source,thesis,https://stars.library.ucf.edu/etd2024/340/,NA,NA,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; publication_status_source: official URL/DOI metadata recorded,
CP024,HyFuzz: a hybrid AI-enhanced vulnerability detection framework,NA,verified_by_zotero,conferencePaper,urn:isbn:979-8-3315-9788-7,NA,10.1109/RTSI64020.2025.11212261,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=HyFuzzHybridAIEnhanced2025; risk=publisher_landing_recorded; zotero_url=https://ieeexplore.ieee.org/document/11212261/,
CP025,Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection,Multi-Agent Collaborative Smart Contract Fuzzing,preprint_or_arxiv_from_local_metadata,preprint,https://arxiv.org/abs/2511.12164,2511.12164,10.48550/arXiv.2511.12164,2026-05-30,bib_match=chen2025smartfuzz; metadata_source=local_bibtex; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_arxiv_doi; key=MultiAgentCollaborativeFuzzing2025; risk=arxiv_doi_check_version; zotero_url=https://arxiv.org/abs/2511.12164,
CP026,Advancing binary code similarity detection via context-content fusion and LLM verification,NA,project_or_benchmark_page_from_local_metadata,conferencePaper,https://gentlecp.github.io/pdfs/Co2FuLL_ASE_2025.pdf,NA,10.1109/ASE63991.2025.00033,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=AdvancingBinaryCode2025; risk=publisher_landing_recorded; zotero_url=https://ieeexplore.ieee.org/document/11334248/,
CP027,Exploring static taint analysis in LLMs:a dynamic benchmarking framework for measurement and enhancement,NA,project_or_benchmark_page_from_local_metadata,conferencePaper,https://yuanxzhang.github.io/paper/LLMTaint-ase25.pdf,NA,10.1109/ASE63991.2025.00082,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=ExploringStaticTaint2025; risk=publisher_landing_recorded; zotero_url=https://ieeexplore.ieee.org/document/11334601/,
CP028,LOSVER: line-level modifiability signal-guided vulnerability detection and classification,NA,verified_by_zotero,conferencePaper,https://ieeexplore.ieee.org/abstract/document/11334430,NA,10.1109/ASE63991.2025.00092,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=LOSVERLineLevelModifiability2025; risk=publisher_landing_recorded; zotero_url=https://ieeexplore.ieee.org/document/11334430/,
CP029,LLM-assisted security vulnerability analysis for educational websites: risk identification via LLM-EduAttackGraph,NA,verified_by_zotero,journalArticle,https://ieeexplore.ieee.org/abstract/document/11258892,NA,10.1109/JIOT.2025.3631562,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=LLMAssistedSecurityVulnerability2025; risk=publisher_landing_recorded; zotero_url=https://ieeexplore.ieee.org/document/11258892/,
CP030,A novel approach for software vulnerability detection based on ensemble learning model,NA,verified_by_zotero,journalArticle,https://www.sciencedirect.com/science/article/abs/pii/S0045790625007918,NA,10.1016/j.compeleceng.2025.110848,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=NovelApproachSoftware2025; risk=publisher_landing_recorded; zotero_url=https://linkinghub.elsevier.com/retrieve/pii/S0045790625007918,
CP031,"Source code vulnerability detection with LLMs: a systematic evaluation of fine-tuning, and multimodal fusion of code text and software metrics",NA,preprint_or_arxiv_from_local_metadata,preprint,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5782211,NA,10.2139/ssrn.5782211,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=SourceCodeVulnerability2025; risk=publisher_landing_recorded; zotero_url=https://www.ssrn.com/abstract=5782211,
CP032,LLMs as firmware experts: a runtime-grown tree-of-agents framework,NA,preprint_or_arxiv_from_local_metadata,preprint,https://arxiv.org/abs/2511.18438,2511.18438,10.48550/ARXIV.2511.18438,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_arxiv_doi; key=LLMsFirmwareExperts2025; risk=arxiv_doi_check_version; zotero_url=https://arxiv.org/abs/2511.18438,
CP033,Large language model based smart contract auditing with LLMBugScanner,NA,preprint_or_arxiv_from_local_metadata,preprint,https://arxiv.org/abs/2512.02069,2512.02069,10.48550/ARXIV.2512.02069,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_arxiv_doi; key=LargeLanguageModel2025; risk=arxiv_doi_check_version; zotero_url=https://arxiv.org/abs/2512.02069,
CP034,Large language models cannot reliably detect vulnerabilities in JavaScript: the first systematic benchmark and evaluation,NA,preprint_or_arxiv_from_local_metadata,preprint,https://arxiv.org/abs/2512.01255,2512.01255,10.48550/ARXIV.2512.01255,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_arxiv_doi; key=LargeLanguageModels2025; risk=arxiv_doi_check_version; zotero_url=https://arxiv.org/abs/2512.01255,
CP035,Enhancing static vulnerability alert validation using large language models,NA,preprint_or_arxiv_from_local_metadata,preprint,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5845441,NA,10.2139/ssrn.5845441,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=EnhancingStaticVulnerability2025; risk=publisher_landing_recorded; zotero_url=https://www.ssrn.com/abstract=5845441,
CP036,BF-WeakWeb-2025: a novel dataset and LLM benchmark for web vulnerability detection in Burkina Faso,NA,verified_by_zotero,conferencePaper,https://ieeexplore.ieee.org/abstract/document/11288830,NA,10.1109/CommNet68224.2025.11288830,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=BFWeakWeb2025NovelDataset2025; risk=publisher_landing_recorded; zotero_url=https://ieeexplore.ieee.org/document/11288830/,
CP037,Research on AIGC-based vulnerability detection and repair systems,NA,verified_by_zotero,conferencePaper,urn:isbn:979-8-3315-5652-5,NA,10.1109/ITCEM68692.2025.00031,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=ResearchAIGCBasedVulnerability2025; risk=publisher_landing_recorded; zotero_url=https://ieeexplore.ieee.org/document/11454999/,
CP038,Software vulnerability detection based on LLM,NA,verified_by_zotero,conferencePaper,urn:isbn:979-8-3315-1355-9,NA,10.1109/IMCEC66174.2025.11331753,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=SoftwareVulnerabilityDetection2025; risk=publisher_landing_recorded; zotero_url=https://ieeexplore.ieee.org/document/11331753/,
CP039,Performance of open-source large language models in smart contract vulnerability detection,NA,verified_by_zotero,conferencePaper,urn:isbn:979-8-3315-3806-4,NA,10.1109/ICBCTIS66509.2025.11387384,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=PerformanceOpenSourceLarge2025; risk=publisher_landing_recorded; zotero_url=https://ieeexplore.ieee.org/document/11387384/,
CP040,DeepDesc: integrating retrieval-augmented generation with large language models for smart contract vulnerability detection,NA,verified_by_zotero,journalArticle,https://link.springer.com/article/10.1007/s10664-025-10770-7,NA,10.1007/s10664-025-10770-7,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=DeepDescIntegratingRetrievalaugmented2025; risk=publisher_landing_recorded; zotero_url=https://link.springer.com/10.1007/s10664-025-10770-7,
CP041,Fine-tuning a vulnerability-specific large language model for a hybrid software vulnerability detection method,NA,verified_by_zotero,journalArticle,https://www.sciencedirect.com/science/article/abs/pii/S0952197625034414,NA,10.1016/j.engappai.2025.113410,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=FinetuningVulnerabilityspecificLarge2025; risk=publisher_landing_recorded; zotero_url=https://linkinghub.elsevier.com/retrieve/pii/S0952197625034414,
CP042,"Enhancing python code security: a comparison of machine learning, ChatGPT, and static analysis methods",NA,verified_by_zotero,conferencePaper,urn:isbn:978-1-6654-5756-9,NA,10.1109/ICECER65523.2025.11401125,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=EnhancingPythonCode2025; risk=publisher_landing_recorded; zotero_url=https://ieeexplore.ieee.org/document/11401125/,
CP043,Beyond prompting: the role of phrasing tasks in vulnerability prediction for java,NA,verified_by_zotero,journalArticle,https://link.springer.com/article/10.1186/s42400-025-00476-0,NA,10.1186/s42400-025-00476-0,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=PromptingRolePhrasing2025; risk=publisher_landing_recorded; zotero_url=https://cybersecurity.springeropen.com/articles/10.1186/s42400-025-00476-0,
CP044,A vulnerability detection scheme for smart contracts based on large language models and deep learning techniques,NA,verified_by_zotero,journalArticle,https://openurl.ebsco.com/EPDB%3Agcd%3A11%3A7778651/detailv2?sid=ebsco%3Aplink%3Ascholar&id=ebsco%3Agcd%3A190869272&crl=c&link_origin=scholar.google.com,NA,10.6688/JISE.202601_42(1).0008,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=VulnerabilityDetectionScheme2026; risk=publisher_landing_recorded; zotero_url=https://openurl.ebsco.com/EPDB%3Agcd%3A11%3A7778651/detailv2?sid=ebsco%3Aplink%3Ascholar&id=ebsco%3Agcd%3A190869272&crl=c&link_origin=scholar.google.com,
CP045,Leveraging LLM agents for autonomous web penetration testing targeting SQL injection vulnerability,NA,verified_by_zotero,conferencePaper,urn:isbn:979-8-3315-9447-3,NA,10.1109/BigData66926.2025.11402114,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=LeveragingLLMAgents2025; risk=publisher_landing_recorded; zotero_url=https://ieeexplore.ieee.org/document/11402114/,
CP046,Trust-calibrated multi-stage large language model pipeline for vulnerability assessment in DevSecOps workflows,NA,verified_by_zotero,conferencePaper,urn:isbn:979-8-3315-4536-9,NA,10.1109/ACSACW69556.2025.00074,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=TrustCalibratedMultiStageLarge2025; risk=publisher_landing_recorded; zotero_url=https://ieeexplore.ieee.org/document/11417999/,
CP047,A benchmark dataset for code-level vulnerability detection and analysis,NA,verified_by_zotero,conferencePaper,https://ieeexplore.ieee.org/abstract/document/11402559,NA,10.1109/BigData66926.2025.11402559,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=BenchmarkDatasetCodeLevel2025; risk=publisher_landing_recorded; zotero_url=https://ieeexplore.ieee.org/document/11402559/,
CP048,A survey on the role of LLMs in AI-based software development: augmentation and latent risks,NA,verified_by_zotero,conferencePaper,https://ieeexplore.ieee.org/abstract/document/11401846,NA,10.1109/BigData66926.2025.11401846,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=SurveyRoleLLMs2025; risk=publisher_landing_recorded; zotero_url=https://ieeexplore.ieee.org/document/11401846/,
CP049,LLM-based vulnerability detection in decompiled binary code for automated reverse engineering,NA,verified_by_zotero,conferencePaper,https://link.springer.com/chapter/10.1007/978-3-032-22062-2_6,NA,10.1007/978-3-032-22062-2_6,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=LLMBasedVulnerabilityDetection2026; risk=publisher_landing_recorded; zotero_url=https://link.springer.com/10.1007/978-3-032-22062-2_6,
CP050,Unified artificial intelligence and formal reasoning approach to software security,NA,verified_by_zotero,conferencePaper,urn:isbn:979-8-3315-5664-8,NA,10.1109/ICMNWC66779.2025.11354207,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=UnifiedArtificialIntelligence2025; risk=publisher_landing_recorded; zotero_url=https://ieeexplore.ieee.org/document/11354207/,
CP051,Generalizable secure code generation framework for robust software development practices,NA,verified_by_zotero,conferencePaper,https://ieeexplore.ieee.org/abstract/document/11354349,NA,10.1109/ICMNWC66779.2025.11354349,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=GeneralizableSecureCode2025; risk=publisher_landing_recorded; zotero_url=https://ieeexplore.ieee.org/document/11354349/,
CP052,From lab to reality: a practical evaluation of deep learning models and LLMs for vulnerability detection,NA,preprint_or_arxiv_from_local_metadata,preprint,https://arxiv.org/abs/2512.10485,2512.10485,10.48550/ARXIV.2512.10485,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_arxiv_doi; key=LabRealityPractical2025; risk=arxiv_doi_check_version; zotero_url=https://arxiv.org/abs/2512.10485,
CP053,Research status and analysis of LLM-based methods for code audit,NA,verified_by_zotero,conferencePaper,urn:isbn:979-8-3315-6825-2,NA,10.1109/ICICSE66971.2025.11429962,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=ResearchStatusAnalysis2005; risk=publisher_landing_recorded; zotero_url=https://ieeexplore.ieee.org/document/11429962/,
CP054,LLM-guided initial seed selection for black-box IoT fuzzing to enhance vulnerability detection,NA,verified_by_zotero,conferencePaper,urn:isbn:979-8-3315-9143-4,NA,10.1109/ComComAp68359.2025.11353192,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=LLMGuidedInitialSeed2025; risk=publisher_landing_recorded; zotero_url=https://ieeexplore.ieee.org/document/11353192/,
CP055,Poster: boosting inter-procedural vulnerability detection via retrieval-augmented generation,NA,verified_by_zotero,conferencePaper,urn:isbn:979-8-3315-4901-5,NA,10.1109/ICPADS67057.2025.11323228,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=PosterBoostingInterProcedural2025; risk=publisher_landing_recorded; zotero_url=https://ieeexplore.ieee.org/document/11323228/,
CP056,The impact of prompt language and representation on LLM reasoning: a multilingual empirical study,NA,verified_by_zotero,journalArticle,https://ieeexplore.ieee.org/abstract/document/11318327,NA,10.1109/ACCESS.2025.3649535,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=ImpactPromptLanguage2025; risk=publisher_landing_recorded; zotero_url=https://ieeexplore.ieee.org/document/11318327/,
CP057,A comprehensive assessment of OpenAI’s large language models for detecting vulnerabilities in source code,NA,verified_by_zotero,journalArticle,https://www.sciencedirect.com/science/article/pii/S1877050926001080,NA,10.1016/j.procs.2026.01.107,2026-05-30,metadata_status: no exact local Zotero title match; doi_status: no DOI recorded in the local source; last_verified_date records the metadata audit date; zotero_doi_merge: zotero_exact_title_doi; key=ComprehensiveAssessmentOpenAIs2026; risk=publisher_landing_recorded; zotero_url=https://linkinghub.elsevier.com/retrieve/pii/S1877050926001080,
