matrix_id,record_id,coding_round,field,original_label,current_codebook_candidate_label,change_required,evidence_basis,source_location,uncertainty,author_review_status,final_harmonized_label
C04,CP061,initial_frozen_round,lifecycle_coverage,path and input exploration;execution observation;reproduction and validation;patch validation;reporting and audit,path and input exploration;execution observation;reproduction and validation;patch validation;reporting and audit,no,Existing label already uses the current controlled vocabulary.,data/v13_core_synthesis_matrix.csv:C04; data/core_coding.csv:C04,none,not_required,path and input exploration;execution observation;reproduction and validation;patch validation;reporting and audit
C04,CP061,initial_frozen_round,primary_system_shape,long-horizon pentest and CRS agent;iterative optimization overlay,long-horizon pentest and CRS agent,schema_normalization,schema normalization; no primary-shape meaning changed,data/v13_core_synthesis_matrix.csv:C04; data/core_coding.csv:C04,none,not_required_schema_normalization,long-horizon pentest and CRS agent
C04,CP061,initial_frozen_round,overlay_tags,long-horizon pentest and CRS agent;iterative optimization overlay,iterative optimization;failure-memory reuse,schema_normalization,Explicit overlay text and controlled capability labels were separated from the primary shape.,data/v13_core_synthesis_matrix.csv:C04; data/core_coding.csv:C04,none,not_required_schema_normalization,iterative optimization;failure-memory reuse
C04,CP061,initial_frozen_round,cross_stage_capabilities,feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,no,Legacy textual-reflection label removed from the formal controlled field and retained in legacy_notes.,data/v13_core_synthesis_matrix.csv:C04; data/core_coding.csv:C04,none,not_required,feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update
C04,CP061,initial_frozen_round,strongest_evidence_output,reproducible validation,reproducible validation,no,Preserved from the field-specific independently checked coding result.,data/v13_core_synthesis_matrix.csv:C04; data/core_coding.csv:C04,none,not_required,reproducible validation
C04,CP061,initial_frozen_round,external_traceability,no external trace reported,no external trace reported,no,Preserved from the field-specific independently checked coding result.,data/v13_core_synthesis_matrix.csv:C04; data/core_coding.csv:C04,none,not_required,no external trace reported
C05,CP066,initial_frozen_round,lifecycle_coverage,path and input exploration;execution observation,path and input exploration;execution observation,no,Existing label already uses the current controlled vocabulary.,data/v13_core_synthesis_matrix.csv:C05; data/core_coding.csv:C05,none,not_required,path and input exploration;execution observation
C05,CP066,initial_frozen_round,primary_system_shape,feedback-driven fuzzing agent,feedback-driven fuzzing agent,schema_normalization,schema normalization; no primary-shape meaning changed,data/v13_core_synthesis_matrix.csv:C05; data/core_coding.csv:C05,none,not_required_schema_normalization,feedback-driven fuzzing agent
C05,CP066,initial_frozen_round,overlay_tags,feedback-driven fuzzing agent,,schema_normalization,Explicit overlay text and controlled capability labels were separated from the primary shape.,data/v13_core_synthesis_matrix.csv:C05; data/core_coding.csv:C05,none,not_required_schema_normalization,
C05,CP066,initial_frozen_round,cross_stage_capabilities,feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,yes,系统由三个专门LLM agent组成，分别负责从bug报告抽取mutation idea、合成mutator实现，并依据单元测试反馈修正mutator。,data/v13_core_synthesis_matrix.csv:C05; data/core_coding.csv:C05,medium; secondary capability inferred from an explicit frozen workflow note,author_confirmed_2026-07-16,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging
C05,CP066,initial_frozen_round,strongest_evidence_output,runtime safety signal,runtime safety signal,no,Preserved from the field-specific independently checked coding result.,data/v13_core_synthesis_matrix.csv:C05; data/core_coding.csv:C05,none,not_required,runtime safety signal
C05,CP066,initial_frozen_round,external_traceability,no external trace reported,no external trace reported,no,Preserved from the field-specific independently checked coding result.,data/v13_core_synthesis_matrix.csv:C05; data/core_coding.csv:C05,none,not_required,no external trace reported
C06,CP068,initial_frozen_round,lifecycle_coverage,path and input exploration;execution observation,path and input exploration;execution observation,no,Existing label already uses the current controlled vocabulary.,data/v13_core_synthesis_matrix.csv:C06; data/core_coding.csv:C06,none,not_required,path and input exploration;execution observation
C06,CP068,initial_frozen_round,primary_system_shape,feedback-driven fuzzing agent,feedback-driven fuzzing agent,schema_normalization,schema normalization; no primary-shape meaning changed,data/v13_core_synthesis_matrix.csv:C06; data/core_coding.csv:C06,none,not_required_schema_normalization,feedback-driven fuzzing agent
C06,CP068,initial_frozen_round,overlay_tags,feedback-driven fuzzing agent,,schema_normalization,Explicit overlay text and controlled capability labels were separated from the primary shape.,data/v13_core_synthesis_matrix.csv:C06; data/core_coding.csv:C06,none,not_required_schema_normalization,
C06,CP068,initial_frozen_round,cross_stage_capabilities,feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,yes,LLAMA使用层次化prompt生成上下文感知多交易seed，并在coverage stagnation时异步调用LLM进行semantic reseeding。,data/v13_core_synthesis_matrix.csv:C06; data/core_coding.csv:C06,medium; secondary capability inferred from an explicit frozen workflow note,author_confirmed_2026-07-16,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging
C06,CP068,initial_frozen_round,strongest_evidence_output,runtime safety signal,runtime safety signal,no,Preserved from the field-specific independently checked coding result.,data/v13_core_synthesis_matrix.csv:C06; data/core_coding.csv:C06,none,not_required,runtime safety signal
C06,CP068,initial_frozen_round,external_traceability,no external trace reported,no external trace reported,no,Preserved from the field-specific independently checked coding result.,data/v13_core_synthesis_matrix.csv:C06; data/core_coding.csv:C06,none,not_required,no external trace reported
C07,CP071,initial_frozen_round,lifecycle_coverage,candidate analysis;execution observation;reproduction and validation,candidate analysis;execution observation;reproduction and validation,no,Existing label already uses the current controlled vocabulary.,data/v13_core_synthesis_matrix.csv:C07; data/core_coding.csv:C07,none,not_required,candidate analysis;execution observation;reproduction and validation
C07,CP071,initial_frozen_round,primary_system_shape,candidate-analysis system;PoC/PoV validation agent,candidate-analysis system,schema_normalization,explicit primary-shape resolution from the frozen system-archetype note,data/v13_core_synthesis_matrix.csv:C07; data/core_coding.csv:C07,none,not_required_schema_normalization,candidate-analysis system
C07,CP071,initial_frozen_round,overlay_tags,candidate-analysis system;PoC/PoV validation agent,,schema_normalization,Explicit overlay text and controlled capability labels were separated from the primary shape.,data/v13_core_synthesis_matrix.csv:C07; data/core_coding.csv:C07,none,not_required_schema_normalization,
C07,CP071,initial_frozen_round,cross_stage_capabilities,feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,yes,LLM参与规则相关变量识别、切片标准生成、不一致检测、assertion生成和测试输入脚本生成；更像工具增强式agent流程。,data/v13_core_synthesis_matrix.csv:C07; data/core_coding.csv:C07,medium; secondary capability inferred from an explicit frozen workflow note,author_confirmed_2026-07-16,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging
C07,CP071,initial_frozen_round,strongest_evidence_output,reproducible validation,reproducible validation,no,Preserved from the field-specific independently checked coding result.,data/v13_core_synthesis_matrix.csv:C07; data/core_coding.csv:C07,none,not_required,reproducible validation
C07,CP071,initial_frozen_round,external_traceability,author-reported external clue,author-reported external clue,no,Preserved from the field-specific independently checked coding result.,data/v13_core_synthesis_matrix.csv:C07; data/core_coding.csv:C07,none,not_required,author-reported external clue
C08,CP072,initial_frozen_round,lifecycle_coverage,path and input exploration;execution observation,candidate analysis;path and input exploration;execution observation,yes,LLM agent解析规范中的文本、图和上下文以抽取状态机与包语义，并用于验证实际响应是否偏离预期行为。,data/v13_core_synthesis_matrix.csv:C08; data/core_coding.csv:C08,medium; secondary stage inferred from an explicit frozen workflow note,author_confirmed_2026-07-16,candidate analysis;path and input exploration;execution observation
C08,CP072,initial_frozen_round,primary_system_shape,feedback-driven fuzzing agent,feedback-driven fuzzing agent,schema_normalization,schema normalization; no primary-shape meaning changed,data/v13_core_synthesis_matrix.csv:C08; data/core_coding.csv:C08,none,not_required_schema_normalization,feedback-driven fuzzing agent
C08,CP072,initial_frozen_round,overlay_tags,feedback-driven fuzzing agent,,schema_normalization,Explicit overlay text and controlled capability labels were separated from the primary shape.,data/v13_core_synthesis_matrix.csv:C08; data/core_coding.csv:C08,none,not_required_schema_normalization,
C08,CP072,initial_frozen_round,cross_stage_capabilities,feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,yes,LLM agent解析规范中的文本、图和上下文以抽取状态机与包语义，并用于验证实际响应是否偏离预期行为。,data/v13_core_synthesis_matrix.csv:C08; data/core_coding.csv:C08,medium; secondary capability inferred from an explicit frozen workflow note,author_confirmed_2026-07-16,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging
C08,CP072,initial_frozen_round,strongest_evidence_output,runtime safety signal,runtime safety signal,no,Preserved from the field-specific independently checked coding result.,data/v13_core_synthesis_matrix.csv:C08; data/core_coding.csv:C08,none,not_required,runtime safety signal
C08,CP072,initial_frozen_round,external_traceability,author-reported external clue,author-reported external clue,no,Preserved from the field-specific independently checked coding result.,data/v13_core_synthesis_matrix.csv:C08; data/core_coding.csv:C08,none,not_required,author-reported external clue
C09,CP102,initial_frozen_round,lifecycle_coverage,candidate analysis,candidate analysis,no,Existing label already uses the current controlled vocabulary.,data/v13_core_synthesis_matrix.csv:C09; data/core_coding.csv:C09,none,not_required,candidate analysis
C09,CP102,initial_frozen_round,primary_system_shape,candidate-analysis system,candidate-analysis system,schema_normalization,schema normalization; no primary-shape meaning changed,data/v13_core_synthesis_matrix.csv:C09; data/core_coding.csv:C09,none,not_required_schema_normalization,candidate-analysis system
C09,CP102,initial_frozen_round,overlay_tags,candidate-analysis system,,schema_normalization,Explicit overlay text and controlled capability labels were separated from the primary shape.,data/v13_core_synthesis_matrix.csv:C09; data/core_coding.csv:C09,none,not_required_schema_normalization,
C09,CP102,initial_frozen_round,cross_stage_capabilities,context aggregation / rule extraction;tool routing / strategy routing,context aggregation / rule extraction;tool routing / strategy routing,no,Legacy textual-reflection label removed from the formal controlled field and retained in legacy_notes.,data/v13_core_synthesis_matrix.csv:C09; data/core_coding.csv:C09,none,not_required,context aggregation / rule extraction;tool routing / strategy routing
C09,CP102,initial_frozen_round,strongest_evidence_output,candidate judgment,candidate judgment,no,Preserved from the field-specific independently checked coding result.,data/v13_core_synthesis_matrix.csv:C09; data/core_coding.csv:C09,none,not_required,candidate judgment
C09,CP102,initial_frozen_round,external_traceability,author-reported external clue,author-reported external clue,no,Preserved from the field-specific independently checked coding result.,data/v13_core_synthesis_matrix.csv:C09; data/core_coding.csv:C09,none,not_required,author-reported external clue
C10,CP075,initial_frozen_round,lifecycle_coverage,candidate analysis,candidate analysis,no,Existing label already uses the current controlled vocabulary.,data/v13_core_synthesis_matrix.csv:C10; data/core_coding.csv:C10,none,not_required,candidate analysis
C10,CP075,initial_frozen_round,primary_system_shape,candidate-analysis system,candidate-analysis system,schema_normalization,schema normalization; no primary-shape meaning changed,data/v13_core_synthesis_matrix.csv:C10; data/core_coding.csv:C10,none,not_required_schema_normalization,candidate-analysis system
C10,CP075,initial_frozen_round,overlay_tags,candidate-analysis system,,schema_normalization,Explicit overlay text and controlled capability labels were separated from the primary shape.,data/v13_core_synthesis_matrix.csv:C10; data/core_coding.csv:C10,none,not_required_schema_normalization,
C10,CP075,initial_frozen_round,cross_stage_capabilities,role discussion / textual reflection;context aggregation / rule extraction;tool routing / strategy routing,context aggregation / rule extraction;tool routing / strategy routing,yes,Legacy textual-reflection label removed from the formal controlled field and retained in legacy_notes.,data/v13_core_synthesis_matrix.csv:C10; data/core_coding.csv:C10,none,not_required_schema_normalization,context aggregation / rule extraction;tool routing / strategy routing
C10,CP075,initial_frozen_round,strongest_evidence_output,candidate judgment,candidate judgment,no,Preserved from the field-specific independently checked coding result.,data/v13_core_synthesis_matrix.csv:C10; data/core_coding.csv:C10,none,not_required,candidate judgment
C10,CP075,initial_frozen_round,external_traceability,no external trace reported,no external trace reported,no,Preserved from the field-specific independently checked coding result.,data/v13_core_synthesis_matrix.csv:C10; data/core_coding.csv:C10,none,not_required,no external trace reported
C11,CP076,initial_frozen_round,lifecycle_coverage,path and input exploration;execution observation,path and input exploration;execution observation,no,Existing label already uses the current controlled vocabulary.,data/v13_core_synthesis_matrix.csv:C11; data/core_coding.csv:C11,none,not_required,path and input exploration;execution observation
C11,CP076,initial_frozen_round,primary_system_shape,feedback-driven fuzzing agent;multi-agent orchestration overlay,feedback-driven fuzzing agent,schema_normalization,schema normalization; no primary-shape meaning changed,data/v13_core_synthesis_matrix.csv:C11; data/core_coding.csv:C11,none,not_required_schema_normalization,feedback-driven fuzzing agent
C11,CP076,initial_frozen_round,overlay_tags,feedback-driven fuzzing agent;multi-agent orchestration overlay,multi-agent orchestration,schema_normalization,Explicit overlay text and controlled capability labels were separated from the primary shape.,data/v13_core_synthesis_matrix.csv:C11; data/core_coding.csv:C11,none,not_required_schema_normalization,multi-agent orchestration
C11,CP076,initial_frozen_round,cross_stage_capabilities,long-horizon state management,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;long-horizon state management,yes,多Agent分别负责协议分析、种子生成、变异、反馈分析和实时优化，并结合RAG和QLoRA提升协议一致性。,data/v13_core_synthesis_matrix.csv:C11; data/core_coding.csv:C11,medium; secondary capability inferred from an explicit frozen workflow note,author_confirmed_2026-07-16,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;long-horizon state management
C11,CP076,initial_frozen_round,strongest_evidence_output,runtime safety signal,runtime safety signal,no,Preserved from the field-specific independently checked coding result.,data/v13_core_synthesis_matrix.csv:C11; data/core_coding.csv:C11,none,not_required,runtime safety signal
C11,CP076,initial_frozen_round,external_traceability,author-reported external clue,author-reported external clue,no,Preserved from the field-specific independently checked coding result.,data/v13_core_synthesis_matrix.csv:C11; data/core_coding.csv:C11,none,not_required,author-reported external clue
C12,CP077,initial_frozen_round,lifecycle_coverage,path and input exploration;execution observation,path and input exploration;execution observation;reporting and audit,yes,包含高层协议理解Agent、低层建模Agent、生成Agent、任务专用子Agent、fault corrector、summarizer、orchestrator等。,data/v13_core_synthesis_matrix.csv:C12; data/core_coding.csv:C12,medium; secondary stage inferred from an explicit frozen workflow note,author_confirmed_2026-07-16,path and input exploration;execution observation;reporting and audit
C12,CP077,initial_frozen_round,primary_system_shape,feedback-driven fuzzing agent;multi-agent orchestration overlay,feedback-driven fuzzing agent,schema_normalization,schema normalization; no primary-shape meaning changed,data/v13_core_synthesis_matrix.csv:C12; data/core_coding.csv:C12,none,not_required_schema_normalization,feedback-driven fuzzing agent
C12,CP077,initial_frozen_round,overlay_tags,feedback-driven fuzzing agent;multi-agent orchestration overlay,multi-agent orchestration,schema_normalization,Explicit overlay text and controlled capability labels were separated from the primary shape.,data/v13_core_synthesis_matrix.csv:C12; data/core_coding.csv:C12,none,not_required_schema_normalization,multi-agent orchestration
C12,CP077,initial_frozen_round,cross_stage_capabilities,long-horizon state management,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management,yes,包含高层协议理解Agent、低层建模Agent、生成Agent、任务专用子Agent、fault corrector、summarizer、orchestrator等。,data/v13_core_synthesis_matrix.csv:C12; data/core_coding.csv:C12,medium; secondary capability inferred from an explicit frozen workflow note,author_confirmed_2026-07-16,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management
C12,CP077,initial_frozen_round,strongest_evidence_output,runtime safety signal,runtime safety signal,no,Preserved from the field-specific independently checked coding result.,data/v13_core_synthesis_matrix.csv:C12; data/core_coding.csv:C12,none,not_required,runtime safety signal
C12,CP077,initial_frozen_round,external_traceability,no external trace reported,no external trace reported,no,Preserved from the field-specific independently checked coding result.,data/v13_core_synthesis_matrix.csv:C12; data/core_coding.csv:C12,none,not_required,no external trace reported
C13,CP078,initial_frozen_round,lifecycle_coverage,path and input exploration;execution observation;reproduction and validation,candidate analysis;path and input exploration;execution observation;reproduction and validation,yes,agent执行代码分析、计划、工具编排、自我反思、记忆管理和反馈驱动修正。,data/v13_core_synthesis_matrix.csv:C13; data/core_coding.csv:C13,medium; secondary stage inferred from an explicit frozen workflow note,author_confirmed_2026-07-16,candidate analysis;path and input exploration;execution observation;reproduction and validation
C13,CP078,initial_frozen_round,primary_system_shape,PoC/PoV validation agent;iterative optimization overlay,"reproduction-, validation-, and repair-centered agent",schema_normalization,schema normalization; no primary-shape meaning changed,data/v13_core_synthesis_matrix.csv:C13; data/core_coding.csv:C13,none,not_required_schema_normalization,"reproduction-, validation-, and repair-centered agent"
C13,CP078,initial_frozen_round,overlay_tags,PoC/PoV validation agent;iterative optimization overlay,iterative optimization;failure-memory reuse,schema_normalization,Explicit overlay text and controlled capability labels were separated from the primary shape.,data/v13_core_synthesis_matrix.csv:C13; data/core_coding.csv:C13,none,not_required_schema_normalization,iterative optimization;failure-memory reuse
C13,CP078,initial_frozen_round,cross_stage_capabilities,feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,yes,agent执行代码分析、计划、工具编排、自我反思、记忆管理和反馈驱动修正。,data/v13_core_synthesis_matrix.csv:C13; data/core_coding.csv:C13,medium; secondary capability inferred from an explicit frozen workflow note,author_confirmed_2026-07-16,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update
C13,CP078,initial_frozen_round,strongest_evidence_output,reproducible validation,reproducible validation,no,Preserved from the field-specific independently checked coding result.,data/v13_core_synthesis_matrix.csv:C13; data/core_coding.csv:C13,none,not_required,reproducible validation
C13,CP078,initial_frozen_round,external_traceability,no external trace reported,no external trace reported,no,Preserved from the field-specific independently checked coding result.,data/v13_core_synthesis_matrix.csv:C13; data/core_coding.csv:C13,none,not_required,no external trace reported
C14,CP080,initial_frozen_round,lifecycle_coverage,candidate analysis;path and input exploration;execution observation,candidate analysis;path and input exploration;execution observation,no,Existing label already uses the current controlled vocabulary.,data/v13_core_synthesis_matrix.csv:C14; data/core_coding.csv:C14,none,not_required,candidate analysis;path and input exploration;execution observation
C14,CP080,initial_frozen_round,primary_system_shape,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,schema_normalization,schema normalization; no primary-shape meaning changed,data/v13_core_synthesis_matrix.csv:C14; data/core_coding.csv:C14,none,not_required_schema_normalization,long-horizon pentest and CRS agent
C14,CP080,initial_frozen_round,overlay_tags,long-horizon pentest and CRS agent,,schema_normalization,Explicit overlay text and controlled capability labels were separated from the primary shape.,data/v13_core_synthesis_matrix.csv:C14; data/core_coding.csv:C14,none,not_required_schema_normalization,
C14,CP080,initial_frozen_round,cross_stage_capabilities,long-horizon state management,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;long-horizon state management,yes,明确包含orchestrator、Analysis/Critique、Planner/Execution/Evaluation等多Agent角色，并使用长期记忆和迭代推理。,data/v13_core_synthesis_matrix.csv:C14; data/core_coding.csv:C14,medium; secondary capability inferred from an explicit frozen workflow note,author_confirmed_2026-07-16,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;long-horizon state management
C14,CP080,initial_frozen_round,strongest_evidence_output,controlled task completion,controlled task completion,no,Preserved from the field-specific independently checked coding result.,data/v13_core_synthesis_matrix.csv:C14; data/core_coding.csv:C14,none,not_required,controlled task completion
C14,CP080,initial_frozen_round,external_traceability,no external trace reported,no external trace reported,no,Preserved from the field-specific independently checked coding result.,data/v13_core_synthesis_matrix.csv:C14; data/core_coding.csv:C14,none,not_required,no external trace reported
C15,CP081,initial_frozen_round,lifecycle_coverage,candidate analysis;path and input exploration;execution observation,candidate analysis;path and input exploration;execution observation,no,Existing label already uses the current controlled vocabulary.,data/v13_core_synthesis_matrix.csv:C15; data/core_coding.csv:C15,none,not_required,candidate analysis;path and input exploration;execution observation
C15,CP081,initial_frozen_round,primary_system_shape,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,schema_normalization,schema normalization; no primary-shape meaning changed,data/v13_core_synthesis_matrix.csv:C15; data/core_coding.csv:C15,none,not_required_schema_normalization,long-horizon pentest and CRS agent
C15,CP081,initial_frozen_round,overlay_tags,long-horizon pentest and CRS agent,,schema_normalization,Explicit overlay text and controlled capability labels were separated from the primary shape.,data/v13_core_synthesis_matrix.csv:C15; data/core_coding.csv:C15,none,not_required_schema_normalization,
C15,CP081,initial_frozen_round,cross_stage_capabilities,long-horizon state management,context aggregation / rule extraction;tool routing / strategy routing;long-horizon state management,yes,讨论规划、状态管理、任务难度估计、攻击树搜索、记忆和工具层，是Agent能力设计论文。,data/v13_core_synthesis_matrix.csv:C15; data/core_coding.csv:C15,medium; secondary capability inferred from an explicit frozen workflow note,author_confirmed_2026-07-16,context aggregation / rule extraction;tool routing / strategy routing;long-horizon state management
C15,CP081,initial_frozen_round,strongest_evidence_output,controlled task completion,controlled task completion,no,Preserved from the field-specific independently checked coding result.,data/v13_core_synthesis_matrix.csv:C15; data/core_coding.csv:C15,none,not_required,controlled task completion
C15,CP081,initial_frozen_round,external_traceability,no external trace reported,no external trace reported,no,Preserved from the field-specific independently checked coding result.,data/v13_core_synthesis_matrix.csv:C15; data/core_coding.csv:C15,none,not_required,no external trace reported
C16,CP082,initial_frozen_round,lifecycle_coverage,candidate analysis;reproduction and validation,candidate analysis;execution observation;reproduction and validation,yes,LLMVD.js是multi-stage agent pipeline，可扫描代码、提出漏洞、生成PoC exploit，并通过lightweight execution oracle验证。,data/v13_core_synthesis_matrix.csv:C16; data/core_coding.csv:C16,medium; secondary stage inferred from an explicit frozen workflow note,author_confirmed_2026-07-16,candidate analysis;execution observation;reproduction and validation
C16,CP082,initial_frozen_round,primary_system_shape,PoC/PoV validation agent,"reproduction-, validation-, and repair-centered agent",schema_normalization,schema normalization; no primary-shape meaning changed,data/v13_core_synthesis_matrix.csv:C16; data/core_coding.csv:C16,none,not_required_schema_normalization,"reproduction-, validation-, and repair-centered agent"
