matrix_id,record_id,canonical_study_id,system_alias,title,analytical_role,coding_round,lifecycle_coverage,system_shape,agentic_capabilities,strongest_evidence_output,external_traceability,claim_boundary,claim_boundary_original,coding_status,reliability_scope,official_url
C11,CP076,CS_CP076,MALF,MALF: a multi-agent LLM framework for intelligent fuzzing of industrial control protocols,target_software_study,initial_frozen_round,path and input exploration;execution observation,feedback-driven fuzzing agent;multi-agent orchestration overlay,long-horizon state management,runtime safety signal,author-reported external clue,Author-reported zero-day and CNVD statements are recorded as source-limited traces.,三处 zero-day 与 CNVD 声明按原文来源限定方式记录；当前不把全部 zero-day 写成已公开确认。,frozen_initial_round,"frozen-label checks: strongest evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://arxiv.org/abs/2510.02694
C12,CP077,CS_CP077,NeTestLLM,NeTestLLM: automated network protocol testing with LLM agents,target_software_study,initial_frozen_round,path and input exploration;execution observation,feedback-driven fuzzing agent;multi-agent orchestration overlay,long-horizon state management,runtime safety signal,no external trace reported,Test generation and execution artifacts support protocol-testing evidence.,不能写成发现了41个新漏洞；41是历史FRRouting bug覆盖。,frozen_initial_round,"frozen-label checks: strongest evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://arxiv.org/abs/2510.13248
C13,CP078,CS_CP078,PBFuzz,PBFuzz: agentic directed fuzzing for PoV generation,target_software_study,initial_frozen_round,path and input exploration;execution observation;reproduction and validation,PoC/PoV validation agent;iterative optimization overlay,feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,reproducible validation,no external trace reported,PoV inputs and benchmark validation support known-vulnerability triggering.,不要声称其发现真实新漏洞；应表述为PoV生成和已知漏洞触发。,frozen_initial_round,"frozen-label checks: strongest evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://arxiv.org/abs/2512.04611
C14,CP080,CS_CP080,Co-RedTeam,Co-RedTeam: orchestrated security discovery and exploitation with LLM agents,target_software_study,initial_frozen_round,candidate analysis;path and input exploration;execution observation,long-horizon pentest and CRS agent,long-horizon state management,controlled task completion,no external trace reported,Benchmark success supports bounded security-task performance.,不能声称该系统已被同行评审证明优于所有渗透测试Agent；不能把benchmark成功等同真实攻防全自动化。,frozen_initial_round,"frozen-label checks: strongest evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://arxiv.org/abs/2602.02164
C15,CP081,CS_CP081,Real-world Pentest Agent Study,What makes a good LLM agent for real-world penetration testing?,target_software_study,initial_frozen_round,candidate analysis;path and input exploration;execution observation,long-horizon pentest and CRS agent,long-horizon state management,controlled task completion,no external trace reported,Cyber-range and CTF results support task success under scoped environments.,不能把靶场成功率写成真实企业网络渗透能力；不能忽视预印本状态。,frozen_initial_round,"frozen-label checks: strongest evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://arxiv.org/abs/2602.17622
C16,CP082,CS_CP082,LLMVD.js,Taint-style vulnerability detection and confirmation for node.js packages using LLM agent reasoning,target_software_study,initial_frozen_round,candidate analysis;reproduction and validation,PoC/PoV validation agent,feedback interpretation / loop adjustment;validation organization / evidence packaging,reproducible validation,no external trace reported,Generated PoCs and execution oracles support validated exploit evidence.,不能把36个validated exploits都写成已公开确认CVE；不能称其无需任何source-limited review。,frozen_initial_round,"frozen-label checks: strongest evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://arxiv.org/abs/2604.20179
C17,CP083,CS_CP083,Multi-Agent Harnesses,Synthesizing multi-agent harnesses for vulnerability discovery,target_software_study,initial_frozen_round,path and input exploration;reproduction and validation;reporting and audit,PoC/PoV validation agent;multi-agent orchestration overlay;iterative optimization overlay,long-horizon state management;failure reuse / strategy update,reproducible validation,no external trace reported,Generated harnesses connect agents to executable vulnerability discovery material.,Chrome zero-day 与 CVE 声明仅按论文报告记录；披露受限材料不转写为本文独立确认。,frozen_initial_round,"frozen-label checks: strongest evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://arxiv.org/abs/2604.20801
C18,CP084,CS_CP084,PentestAgent,PentestAgent: incorporating LLM agents to automated penetration testing,target_software_study,initial_frozen_round,candidate analysis;path and input exploration;execution observation,long-horizon pentest and CRS agent,long-horizon state management,controlled task completion,no external trace reported,Evidence centers on benchmark completion and workflow efficiency.,不能声称其解决真实世界开放环境渗透测试；需要区分已知漏洞利用与漏洞挖掘。,frozen_initial_round,"frozen-label checks: strongest evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",urn:isbn:979-8-4007-1410-8
C19,CP085,CS_CP085,LIVA,LIVA: a multi-agent LLM-assisted system for IoT vulnerability analysis,target_software_study,initial_frozen_round,candidate analysis,candidate-analysis system,context aggregation / rule extraction;tool routing / strategy routing,candidate judgment,author-reported external clue,Author-reported unknown-vulnerability and CVE/CNVD statements are recorded as source-limited external traces.,64 个未知漏洞与 39 个 CVE/CNVD 标识按原文来源限定记录；不声称全部未知漏洞均已外部确认。,frozen_initial_round,"frozen-label checks: strongest evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://doi.org/10.1109/TDSC.2026.3665343
C20,CP089,CS_CP089,FirmAgent,FirmAgent: leveraging fuzzing to assist LLM agents with IoT firmware vulnerability discovery,target_software_study,initial_frozen_round,path and input exploration;execution observation;reproduction and validation,PoC/PoV validation agent;feedback-driven fuzzing agent,feedback interpretation / loop adjustment;validation organization / evidence packaging,reproducible validation,author-reported external clue,Fuzzing-assisted taint and PoC workflows support firmware validation.,不能泛化为所有IoT固件或全系统环境均有效；需保留rehosting依赖与适用边界。,frozen_initial_round,"frozen-label checks: strongest evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://doi.org/10.14722/ndss.2026.231943
C21,CP094,CS_CP094,PANGOLIN,PANGOLIN: fuzzing multilingual IoT firmware with LLM-driven code analysis,target_software_study,initial_frozen_round,path and input exploration;execution observation,feedback-driven fuzzing agent,feedback interpretation / loop adjustment;validation organization / evidence packaging,runtime safety signal,author-reported external clue,Firmware execution signals are the main public evidence output.,Formal publication status is verified; new-discovery and vendor-confirmation claims remain author-reported; sensitive payload details remain outside the public artifact.,frozen_initial_round,"frozen-label checks: strongest evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://www.usenix.org/conference/usenixsecurity26/presentation/jia
C22,CP095,CS_CP095,TransferFuzz-Pro,TransferFuzz-pro: LLM-driven code debugging for verifying propagated vulnerability,target_software_study,initial_frozen_round,reproduction and validation,PoC/PoV validation agent,feedback interpretation / loop adjustment;validation organization / evidence packaging,reproducible validation,no external trace reported,Transfer-based reproduction identifies affected binary or software instances.,不能写成发现38个新漏洞；更准确是识别38个此前未报告的受影响二进制/软件实例。,frozen_initial_round,"frozen-label checks: strongest evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://doi.org/10.1109/TSE.2025.3584774
C23,CP130,CS_CP130,Cybench,Cybench: A Framework for Evaluating Cybersecurity Capabilities and Risks of Language Models,target_software_study,initial_frozen_round,path and input exploration;execution observation,long-horizon pentest and CRS agent,long-horizon state management,controlled task completion,no external trace reported,Supports cyber-task success rates under benchmark conditions.,不要把CTF成功率等同于真实生产环境漏洞发现率。,frozen_initial_round,"frozen-label checks: strongest evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://proceedings.iclr.cc/paper_files/paper/2025/hash/3e9412a9c1d93810ef3ef7825115016b-Abstract-Conference.html
C24,CP131,CS_CP131,BountyBench,BountyBench: Dollar Impact of AI Agent Attackers and Defenders on Real-World Cybersecurity Systems,target_software_study,initial_frozen_round,candidate analysis;reproduction and validation;patch validation,long-horizon pentest and CRS agent,long-horizon state management,controlled task completion,benchmark ground truth / public material,Bounty-derived tasks provide realistic task background and scoped evaluation.,不要把其40个bounties推广为所有漏洞生态的总体分布。,frozen_initial_round,"frozen-label checks: strongest evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://bountybench.github.io/
C25,CP132,CS_CP132,SEC-bench,SEC-bench: Automated Benchmarking of LLM Agents on Real-World Software Security Tasks,target_software_study,initial_frozen_round,reproduction and validation;patch validation,PoC/PoV validation agent,feedback interpretation / loop adjustment;validation organization / evidence packaging,reproducible validation,no external trace reported,"Benchmark artifacts support PoC, patch, and repair-oriented evaluation.",不要把SEC-bench扩展为覆盖全部漏洞类型或全部语言生态。,frozen_initial_round,"frozen-label checks: strongest evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://arxiv.org/abs/2506.11791
C26,CP133,CS_CP133,CyberGym,CyberGym: Evaluating AI Agents' Cybersecurity Capabilities with Real-World Vulnerabilities at Scale,target_software_study,initial_frozen_round,path and input exploration;execution observation;reproduction and validation;reporting and audit,long-horizon pentest and CRS agent;iterative optimization overlay,feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,reproducible validation,benchmark ground truth / public material,Generated tasks and artifacts connect cyber-range goals to replayable material.,不要把20%左右成功率推广到非memory-safety或非OSS-Fuzz场景。,frozen_initial_round,"frozen-label checks: strongest evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://www.cybergym.io/
C27,CP114,CS_CP114,AgentFuzz,Make Agent Defeat Agent: Automatic Detection of Taint-Style Vulnerabilities in LLM-based Agents,governance_boundary_case,initial_frozen_round,reporting and audit,governance boundary case,long-horizon state management,governance boundary case,author-reported external clue,Governance boundary case; retained to analyze risks introduced by high-privilege Agentic systems.,不要把AgentFuzz等同于通用软件漏洞挖掘；对象是LLM-based agent应用。,frozen_initial_round,"frozen-label checks: strongest evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://www.usenix.org/conference/usenixsecurity25/presentation/liu-fengyu
C28,CP206,CS_CP206,FuzzingBrain V2,FuzzingBrain V2: A Multi-Agent LLM System for Automated Vulnerability Discovery and Reproduction,target_software_study,initial_frozen_round,path and input exploration;execution observation;reproduction and validation;patch validation;reporting and audit,long-horizon pentest and CRS agent,long-horizon state management,reproducible validation,author-reported external clue,PoV and patch-validation material remains the main evidence output.,仅按来源限定方式记录维护者确认、CVE 或真实漏洞声明；缺少逐漏洞 artifact、版本、环境与外部确认对齐时，不赋予声明级 E4c。,frozen_initial_round,"frozen-label checks: strongest evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://arxiv.org/abs/2605.21779
C29,CP207,CS_CP207,DrillAgent,Execution-State-Aware LLM Reasoning for Automated Proof-of-Vulnerability Generation,target_software_study,initial_frozen_round,reproduction and validation,PoC/PoV validation agent,feedback interpretation / loop adjustment;validation organization / evidence packaging,reproducible validation,benchmark ground truth / public material,SEC-bench ground truth supports PoV and replay analysis.,SEC-bench ground truth 支撑 PoV/replay 讨论，但属于 benchmark 背景，不改变本文未确认声明级 E4c 的结论。,frozen_initial_round,"frozen-label checks: strongest evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://arxiv.org/abs/2602.13574
C30,CP208,CS_CP208,OSS-CRS,OSS-CRS: Liberating AIxCC Cyber Reasoning Systems for Real-World Open-Source Security,target_software_study,initial_frozen_round,path and input exploration;execution observation;reproduction and validation;reporting and audit,long-horizon pentest and CRS agent,long-horizon state management,reproducible validation,author-reported external clue,"CRS outputs are read through PoV, replay, and versioned artifact material.",未知漏洞声明按原文来源限定方式记录；在缺少逐项外部确认链前，不赋予声明级 E4c。,frozen_initial_round,"frozen-label checks: strongest evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://arxiv.org/abs/2603.08566
C31,CP209,CS_CP209,GONDAR,Contextualizing Sink Knowledge for Java Vulnerability Discovery,target_software_study,initial_frozen_round,path and input exploration;execution observation;reproduction and validation,feedback-driven fuzzing agent;long-horizon pentest and CRS agent,long-horizon state management,reproducible validation,author-reported external clue,Author-reported zero-day and confirmation traces are treated as source-linked audit material.,zero-day 或外部确认线索按来源限定方式记录；当前仅作为 E4a 线索，不赋予声明级 E4c。,frozen_initial_round,"frozen-label checks: strongest evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://arxiv.org/abs/2604.01645
U01,CP213,CS_CP213,RAVEN,RAVEN: Agentic RAG for Automated Vulnerability Repair,target_software_study,submission_update_20260715,candidate analysis;patch validation,candidate-analysis system,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,controlled task completion,benchmark ground truth / public material,The public material supports benchmark-scoped generation and model/static-analysis assessment of candidate repairs for known CVEs; it does not establish independently replayed functional or security repair.,The public material supports benchmark-scoped generation and model/static-analysis assessment of candidate repairs for known CVEs; it does not establish independently replayed functional or security repair.,author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2606.22647
U02,CP214,CS_CP214,Revelio,Revelio: Cost-Efficient Agentic Memory Safety Vulnerability Detection For Repository-Scale Codebases,target_software_study,submission_update_20260715,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,PoC/PoV validation agent,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,reproducible validation,author-reported external clue,The system publicly supports deterministic sanitizer-confirmed PoV generation and reporting on benchmark and production projects; claims that 19 findings were previously unknown remain author-reported without item-level public external alignment reviewed here.,The system publicly supports deterministic sanitizer-confirmed PoV generation and reporting on benchmark and production projects; claims that 19 findings were previously unknown remain author-reported without item-level public external alignment reviewed here.,author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2606.22263
U03,CP215,CS_CP215,OpenAnt,"OpenAnt: LLM-Powered Vulnerability Discovery Through Code Decomposition, Adversarial Verification, and Dynamic Testing",target_software_study,submission_update_20260715,candidate analysis;path and input exploration;execution observation;reproduction and validation,PoC/PoV validation agent,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,runtime safety signal,author-reported external clue,The public paper and code support closed-loop candidate analysis followed by sandboxed runtime confirmation signals; they do not expose durable per-finding replay packages or public external records for the claimed new vulnerabilities.,The public paper and code support closed-loop candidate analysis followed by sandboxed runtime confirmation signals; they do not expose durable per-finding replay packages or public external records for the claimed new vulnerabilities.,author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2606.19149
U04,CP216,CS_CP216,Code-Augur,Code-Augur: Agentic Vulnerability Detection via Specification Inference,target_software_study,submission_update_20260715,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,feedback-driven fuzzing agent,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging;failure reuse / strategy update,externally traceable material,publicly aligned external trace,The reviewed public material supports invariant-guided discovery with reproducible PoVs and item-level external traces for at least specifically identified findings; aggregate counts should not be generalized to every reported case.,The reviewed public material supports invariant-guided discovery with reproducible PoVs and item-level external traces for at least specifically identified findings; aggregate counts should not be generalized to every reported case.,author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2606.18619
U05,CP217,CS_CP217,Transferable Self-Evolving Playbooks for Agentic Security Auditing,Transferable Self-Evolving Playbooks for Agentic Security Auditing,target_software_study,submission_update_20260715,candidate analysis;reporting and audit,long-horizon pentest and CRS agent,tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,controlled task completion,benchmark ground truth / public material,"The public material supports improved completion of controlled security-audit tasks from an evolved, transferable playbook; it does not by itself establish independent discovery and external confirmation of new vulnerabilities.","The public material supports improved completion of controlled security-audit tasks from an evolved, transferable playbook; it does not by itself establish independent discovery and external confirmation of new vulnerabilities.",author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2606.16420
U06,CP218,CS_CP218,DIG,DIG: Oracle-Guided Directed Input Generation for One-Day Vulnerabilities,target_software_study,submission_update_20260715,candidate analysis;path and input exploration;execution observation;reproduction and validation,PoC/PoV validation agent,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management,reproducible validation,benchmark ground truth / public material,The material supports reproducible PoC generation for patched one-day vulnerabilities in Magma and sanitizer-confirmed triggers; claims about six new vulnerabilities lack item-level public external alignment in the reviewed evidence.,The material supports reproducible PoC generation for patched one-day vulnerabilities in Magma and sanitizer-confirmed triggers; claims about six new vulnerabilities lack item-level public external alignment in the reviewed evidence.,author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2606.13037
U07,CP219,CS_CP219,NeuroLog,"NeuroLog: Reasoning You Can Audit -- Neuro-Symbolic Vulnerability Discovery via LLM Facts, Datalog, and SMT",target_software_study,submission_update_20260715,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,candidate-analysis system,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,reproducible validation,author-reported external clue,The public evidence supports auditable static-to-SMT chains and ASan-confirmed reproduction for reported known-vulnerability cases; it does not support treating every static match as a newly discovered vulnerability.,The public evidence supports auditable static-to-SMT chains and ASan-confirmed reproduction for reported known-vulnerability cases; it does not support treating every static match as a newly discovered vulnerability.,author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2606.00669
U08,CP220,CS_CP220,EvoRepair,EvoRepair: Enhancing Vulnerability Repair Agents Through Experience-Based Self-Evolution,target_software_study,submission_update_20260715,candidate analysis;execution observation;patch validation,PoC/PoV validation agent,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,reproducible validation,benchmark ground truth / public material,"The material supports benchmark-scoped, executable validation of experience-guided repairs across PATCHEVAL, SEC-bench, and VUL4J; it does not establish deployment or external confirmation of new vulnerability fixes.","The material supports benchmark-scoped, executable validation of experience-guided repairs across PATCHEVAL, SEC-bench, and VUL4J; it does not establish deployment or external confirmation of new vulnerability fixes.",author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2605.30105
U09,CP221,CS_CP221,Quality-Assured Fuzz Harness Generation via the Four Principles Framework,Quality-Assured Fuzz Harness Generation via the Four Principles Framework,target_software_study,submission_update_20260715,path and input exploration;execution observation;reporting and audit,feedback-driven fuzzing agent,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,reproducible validation,author-reported external clue,"The public evidence supports quality-audited harness generation, runtime bug signals, and externally traceable upstream repair or adoption for a subset of findings; embargoed cases and aggregate counts are not independently auditable.","The public evidence supports quality-audited harness generation, runtime bug signals, and externally traceable upstream repair or adoption for a subset of findings; embargoed cases and aggregate counts are not independently auditable.",author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2605.21824
U10,CP222,CS_CP222,ContraFix,ContraFix: Skill-Enhanced Contrastive Runtime Analysis for Vulnerability Repair,target_software_study,submission_update_20260715,candidate analysis;path and input exploration;execution observation;patch validation,PoC/PoV validation agent,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging;failure reuse / strategy update,reproducible validation,benchmark ground truth / public material,The reviewed evidence supports executable benchmark validation of contrastive-runtime-guided repairs; it does not establish external maintainer acceptance or real-world deployment of generated patches.,The reviewed evidence supports executable benchmark validation of contrastive-runtime-guided repairs; it does not establish external maintainer acceptance or real-world deployment of generated patches.,author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2605.17450
U11,CP223,CS_CP223,MemRepair,MemRepair: Hierarchical Memory for Agentic Repository-Level Vulnerability Repair,target_software_study,submission_update_20260715,candidate analysis;execution observation;patch validation,PoC/PoV validation agent,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,reproducible validation,benchmark ground truth / public material,"The public material supports benchmark-scoped, feedback-driven repair with retained trajectories and executable validation artifacts; it does not show external maintainer confirmation of generated fixes.","The public material supports benchmark-scoped, feedback-driven repair with retained trajectories and executable validation artifacts; it does not show external maintainer confirmation of generated fixes.",author_confirmed_adjudicated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2605.17444
