matrix_id,record_id,canonical_study_id,system_alias,title,analytical_role,coding_round,lifecycle_coverage,strongest_evidence_output,external_traceability,claim_boundary,claim_boundary_original,coding_status,reliability_scope,official_url,primary_system_shape,overlay_tags,cross_stage_capabilities,harmonization_status,legacy_notes
C11,CP076,CS_CP076,MALF,MALF: a multi-agent LLM framework for intelligent fuzzing of industrial control protocols,target_software_study,initial_frozen_round,candidate analysis; path and input exploration; execution observation; reproduction and validation,runtime safety signal,author-reported external clue,Supported claim and conditions: The paper supports multi-agent protocol fuzzing with anomaly triage and maps a specific newly found PLC denial-of-service result to CNVD-2024-16009. Stronger-claim boundary: Stronger claims about the other zero-days would require equally specific public external records and replay alignment.,三处 zero-day 与 CNVD 声明按原文来源限定方式记录；当前不把全部 zero-day 写成已公开确认。,external_rereview_integrated,"frozen-label checks: principal reported evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://arxiv.org/abs/2510.02694,feedback-driven fuzzing agent,multi-agent orchestration,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;long-horizon state management,adjudicated_after_independent_double_coding_and_external_rereview,
C12,CP077,CS_CP077,NeTestLLM,NeTestLLM: automated network protocol testing with LLM agents,target_software_study,initial_frozen_round,candidate analysis; path and input exploration; execution observation; reporting and audit,candidate judgment,no external trace reported,"Supported claim and conditions: The paper supports an end-to-end multi-agent protocol-testing workflow that converts specifications into executable tester scripts, analyzes runtime logs, and covers historical FRRouting bugs under the evaluated conditions. Stronger-claim boundary: It does not establish independent discovery and public external confirmation of new vulnerabilities.",不能写成发现了41个新漏洞；41是历史FRRouting bug覆盖。,external_rereview_integrated,"frozen-label checks: principal reported evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://arxiv.org/abs/2510.13248,"reproduction-, validation-, and repair-centered agent",multi-agent orchestration,feedback interpretation / loop adjustment,adjudicated_after_independent_double_coding_and_external_rereview,
C13,CP078,CS_CP078,PBFuzz,PBFuzz: agentic directed fuzzing for PoV generation,target_software_study,initial_frozen_round,candidate analysis; path and input exploration; execution observation; reproduction and validation,reproducible validation,author-reported external clue,"Supported claim and conditions: The paper supports iterative code reasoning, debugger-grounded refinement, and PoV inputs that trigger vulnerabilities in the Magma and additional evaluated benchmark targets. Stronger-claim boundary: The results reproduce known ground-truth cases and do not establish independent external vulnerability disclosures.",不要声称其发现真实新漏洞；应表述为PoV生成和已知漏洞触发。,external_rereview_integrated,"frozen-label checks: principal reported evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://arxiv.org/abs/2512.04611,"reproduction-, validation-, and repair-centered agent",iterative optimization;failure-memory reuse,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,adjudicated_after_independent_double_coding_and_external_rereview,
C14,CP080,CS_CP080,Co-RedTeam,Co-RedTeam: orchestrated security discovery and exploitation with LLM agents,target_software_study,initial_frozen_round,candidate analysis; execution observation; reproduction and validation; reporting and audit,controlled task completion,no external trace reported,"Supported claim and conditions: The study supports execution-grounded, memory-assisted multi-agent discovery and exploitation with improved success on Cybench, BountyBench, and CyberGym. Stronger-claim boundary: Those bounded benchmark completions do not establish independently disclosed real-world vulnerabilities.",不能声称该系统已被同行评审证明优于所有渗透测试Agent；不能把benchmark成功等同真实攻防全自动化。,external_rereview_integrated,"frozen-label checks: principal reported evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://arxiv.org/abs/2602.02164,long-horizon pentest and CRS agent,,tool routing / strategy routing; feedback interpretation / loop adjustment; validation organization / evidence packaging; long-horizon state management,adjudicated_after_independent_double_coding_and_external_rereview,
C15,CP081,CS_CP081,Real-world Pentest Agent Study,What makes a good LLM agent for real-world penetration testing?,target_software_study,initial_frozen_round,candidate analysis; execution observation,controlled task completion,benchmark ground truth / public material,"Supported claim and conditions: The paper supports difficulty-aware attack-tree planning, tool execution, validation, and bounded penetration-test task completion across the evaluated benchmarks and authorized deployment study. Stronger-claim boundary: It does not provide public item-level evidence of independently discovered real-world vulnerabilities.",不能把靶场成功率写成真实企业网络渗透能力；不能忽视预印本状态。,external_rereview_integrated,"frozen-label checks: principal reported evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://arxiv.org/abs/2602.17622,long-horizon pentest and CRS agent,,tool routing / strategy routing,adjudicated_after_independent_double_coding_and_external_rereview,
C16,CP082,CS_CP082,LLMVD.js,Taint-style vulnerability detection and confirmation for node.js packages using LLM agent reasoning,target_software_study,initial_frozen_round,candidate analysis; reproduction and validation,reproducible validation,author-reported external clue,"Supported claim and conditions: The paper supports package scanning, taint-style hypotheses, generated PoCs, and lightweight execution-oracle confirmation on benchmark and recent Node.js packages. Stronger-claim boundary: Maintainer acknowledgments are reported, but the reviewed public material does not align the new cases to public item-level external records.",不能把36个validated exploits都写成已公开确认CVE；不能称其无需任何source-limited review。,external_rereview_integrated,"frozen-label checks: principal reported evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://arxiv.org/abs/2604.20179,"reproduction-, validation-, and repair-centered agent",,failure reuse / strategy update,adjudicated_after_independent_double_coding_and_external_rereview,
C17,CP083,CS_CP083,Multi-Agent Harnesses,Synthesizing multi-agent harnesses for vulnerability discovery,target_software_study,initial_frozen_round,path and input exploration; execution observation,candidate judgment,no external trace reported,Supported claim and conditions: The paper supports feedback-driven synthesis of multi-agent harnesses and maps specific Chrome findings to public CVE identifiers and vendor reward-program confirmation. Stronger-claim boundary: The external claim is limited to the individually listed findings and not to withheld or still-embargoed results.,Chrome zero-day 与 CVE 声明仅按论文报告记录；披露受限材料不转写为本文独立确认。,external_rereview_integrated,"frozen-label checks: principal reported evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://arxiv.org/abs/2604.20801,long-horizon pentest and CRS agent,multi-agent orchestration;iterative optimization;failure-memory reuse,tool routing / strategy routing; feedback interpretation / loop adjustment,adjudicated_after_independent_double_coding_and_external_rereview,
C18,CP084,CS_CP084,PentestAgent,PentestAgent: incorporating LLM agents to automated penetration testing,target_software_study,initial_frozen_round,no qualifying label observed,controlled task completion,benchmark ground truth / public material,"Supported claim and conditions: The paper supports multi-agent reconnaissance, exploit retrieval/adaptation, execution-error correction, and report generation on CVE-grounded vulnerable environments. Stronger-claim boundary: These controlled completions do not establish newly discovered or publicly confirmed vulnerabilities.",不能声称其解决真实世界开放环境渗透测试；需要区分已知漏洞利用与漏洞挖掘。,external_rereview_integrated,"frozen-label checks: principal reported evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",urn:isbn:979-8-4007-1410-8,long-horizon pentest and CRS agent,,no qualifying label observed,adjudicated_after_independent_double_coding_and_external_rereview,
C19,CP085,CS_CP085,LIVA,LIVA: a multi-agent LLM-assisted system for IoT vulnerability analysis,target_software_study,initial_frozen_round,candidate analysis,candidate judgment,benchmark ground truth / public material,Supported claim and conditions: The paper supports multi-agent static taint analysis of IoT firmware and maps specific device findings to listed CVE and CNVD identifiers. Stronger-claim boundary: It does not establish runtime reproduction for every statically identified vulnerability.,64 个未知漏洞与 39 个 CVE/CNVD 标识按原文来源限定记录；不声称全部未知漏洞均已外部确认。,external_rereview_integrated,"frozen-label checks: principal reported evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://doi.org/10.1109/TDSC.2026.3665343,candidate-analysis system,,context aggregation / rule extraction;tool routing / strategy routing,adjudicated_after_independent_double_coding_and_external_rereview,
C20,CP089,CS_CP089,FirmAgent,FirmAgent: leveraging fuzzing to assist LLM agents with IoT firmware vulnerability discovery,target_software_study,initial_frozen_round,candidate analysis; path and input exploration; reproduction and validation,reproducible validation,author-reported external clue,"Supported claim and conditions: The paper supports fuzzing-assisted taint-path discovery and generated PoC test cases that directly confirm exploitable firmware findings in the evaluated emulation environments. Stronger-claim boundary: Assigned-CVE counts are reported, but the public paper does not align individual new findings with their CVE records.",不能泛化为所有IoT固件或全系统环境均有效；需保留rehosting依赖与适用边界。,external_rereview_integrated,"frozen-label checks: principal reported evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://doi.org/10.14722/ndss.2026.231943,"reproduction-, validation-, and repair-centered agent",,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,adjudicated_after_independent_double_coding_and_external_rereview,
C21,CP094,CS_CP094,PANGOLIN,PANGOLIN: fuzzing multilingual IoT firmware with LLM-driven code analysis,target_software_study,initial_frozen_round,candidate analysis,candidate judgment,author-reported external clue,"Supported claim and conditions: The paper supports response-corrected semantic fuzzing, directly executed PoCs, and specific device findings aligned with listed CVE/CNVD identifiers. Stronger-claim boundary: The external claim is limited to the 31 individually identified cases rather than all 68 reported vulnerabilities.",Formal publication status is verified; new-discovery and vendor-confirmation claims remain author-reported; sensitive payload details remain outside the public artifact.,external_rereview_integrated,"frozen-label checks: principal reported evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://www.usenix.org/conference/usenixsecurity26/presentation/jia,feedback-driven fuzzing agent,,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,adjudicated_after_independent_double_coding_and_external_rereview,
C22,CP095,CS_CP095,TransferFuzz-Pro,TransferFuzz-pro: LLM-driven code debugging for verifying propagated vulnerability,target_software_study,initial_frozen_round,path and input exploration; reproduction and validation,reproducible validation,no external trace reported,Supported claim and conditions: The paper supports automated debugging and PoC generation that validates propagation of 15 known CVE vulnerabilities into additional affected binaries and distributions. Stronger-claim boundary: The CVE records supply the starting ground truth; the paper does not show that external records were updated to confirm every newly inferred affected instance.,不能写成发现38个新漏洞；更准确是识别38个此前未报告的受影响二进制/软件实例。,external_rereview_integrated,"frozen-label checks: principal reported evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://doi.org/10.1109/TSE.2025.3584774,"reproduction-, validation-, and repair-centered agent",,no qualifying label observed,adjudicated_after_independent_double_coding_and_external_rereview,
C23,CP130,CS_CP130,Cybench,Cybench: A Framework for Evaluating Cybersecurity Capabilities and Risks of Language Models,target_software_study,initial_frozen_round,candidate analysis,controlled task completion,no external trace reported,Supported claim and conditions: The paper supports tool-using agents completing and partially completing bounded CTF tasks with execution feedback and retained observations in released benchmark environments. Stronger-claim boundary: Flag capture or benchmark scripts do not establish independent real-world vulnerability discovery.,不要把CTF成功率等同于真实生产环境漏洞发现率。,external_rereview_integrated,"frozen-label checks: principal reported evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://proceedings.iclr.cc/paper_files/paper/2025/hash/3e9412a9c1d93810ef3ef7825115016b-Abstract-Conference.html,long-horizon pentest and CRS agent,,no qualifying label observed,adjudicated_after_independent_double_coding_and_external_rereview,
C24,CP131,CS_CP131,BountyBench,BountyBench: Dollar Impact of AI Agent Attackers and Defenders on Real-World Cybersecurity Systems,target_software_study,initial_frozen_round,candidate analysis,candidate judgment,benchmark ground truth / public material,"Supported claim and conditions: BountyBench supports agent-produced detection reports, exploit scripts, and patches that are checked by runtime invariants on public-bounty-derived target snapshots. Stronger-claim boundary: Success on those constructed tasks does not show that the evaluated agents independently earned or generated the original public bounties.",不要把其40个bounties推广为所有漏洞生态的总体分布。,external_rereview_integrated,"frozen-label checks: principal reported evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://bountybench.github.io/,long-horizon pentest and CRS agent,,no qualifying label observed,adjudicated_after_independent_double_coding_and_external_rereview,
C25,CP132,CS_CP132,SEC-bench,SEC-bench: Automated Benchmarking of LLM Agents on Real-World Software Security Tasks,target_software_study,initial_frozen_round,candidate analysis; path and input exploration; reproduction and validation; patch validation,reproducible validation,author-reported external clue,"Supported claim and conditions: SEC-bench supports automatically constructed, isolated CVE environments with sanitizer-backed PoC checks and failing-before/passing-after patch evaluation for the released instances. Stronger-claim boundary: These are benchmark reproductions of public vulnerabilities, not independent new disclosures by the evaluated agents.",不要把SEC-bench扩展为覆盖全部漏洞类型或全部语言生态。,external_rereview_integrated,"frozen-label checks: principal reported evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://arxiv.org/abs/2506.11791,"reproduction-, validation-, and repair-centered agent",,validation organization / evidence packaging,adjudicated_after_independent_double_coding_and_external_rereview,
C26,CP133,CS_CP133,CyberGym,CyberGym: Evaluating AI Agents' Cybersecurity Capabilities with Real-World Vulnerabilities at Scale,target_software_study,initial_frozen_round,candidate analysis; reproduction and validation; patch validation,reproducible validation,author-reported external clue,"Supported claim and conditions: CyberGym supports agent-generated PoCs that reproduce public vulnerabilities through pre-/post-patch sanitizer checks and also reports zero-days and incomplete patches found during deployment. Stronger-claim boundary: CVE assignments and maintainer fixes are reported in aggregate, while the public paper withholds item-level alignment for the new findings.",不要把20%左右成功率推广到非memory-safety或非OSS-Fuzz场景。,external_rereview_integrated,"frozen-label checks: principal reported evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://www.cybergym.io/,"reproduction-, validation-, and repair-centered agent",iterative optimization;failure-memory reuse,no qualifying label observed,adjudicated_after_independent_double_coding_and_external_rereview,
C28,CP206,CS_CP206,FuzzingBrain V2,FuzzingBrain V2: A Multi-Agent LLM System for Automated Vulnerability Discovery and Reproduction,target_software_study,initial_frozen_round,candidate analysis; execution observation; reproduction and validation; reporting and audit,runtime safety signal,author-reported external clue,"Supported claim and conditions: The paper supports OSS-Fuzz-grounded discovery and fuzzer-reproducible PoCs, and maps specific maintainer-fixed findings to public identifiers such as CVE-2026-23874. Stronger-claim boundary: Claims about the remaining acknowledged or pending findings should not be treated as equally public item-level traces.",仅按来源限定方式记录维护者确认、CVE 或真实漏洞声明；缺少逐漏洞 artifact、版本、环境与外部确认对齐时，不赋予声明级 E4c。,external_rereview_integrated,"frozen-label checks: principal reported evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://arxiv.org/abs/2605.21779,"reproduction-, validation-, and repair-centered agent",,context aggregation / rule extraction,adjudicated_after_independent_double_coding_and_external_rereview,
C29,CP207,CS_CP207,DrillAgent,Execution-State-Aware LLM Reasoning for Automated Proof-of-Vulnerability Generation,target_software_study,initial_frozen_round,candidate analysis; path and input exploration; execution observation; reproduction and validation,reproducible validation,benchmark ground truth / public material,Supported claim and conditions: The paper supports execution-state-aware hypothesis refinement and PoV generation that resolves sanitizer crashes for SEC-bench CVE tasks. Stronger-claim boundary: The demonstrated results reproduce public benchmark vulnerabilities and do not establish independent new external findings.,SEC-bench ground truth 支撑 PoV/replay 讨论，但属于 benchmark 背景，不改变本文未确认声明级 E4c 的结论。,external_rereview_integrated,"frozen-label checks: principal reported evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://arxiv.org/abs/2602.13574,"reproduction-, validation-, and repair-centered agent",,context aggregation / rule extraction; feedback interpretation / loop adjustment,adjudicated_after_independent_double_coding_and_external_rereview,
C30,CP208,CS_CP208,OSS-CRS,OSS-CRS: Liberating AIxCC Cyber Reasoning Systems for Real-World Open-Source Security,target_software_study,initial_frozen_round,candidate analysis; path and input exploration; execution observation; reproduction and validation; patch validation,reproducible validation,author-reported external clue,"Supported claim and conditions: The paper supports a locally deployable CRS framework that runs AIxCC-derived discovery, PoV, patch, and validation techniques on OSS-Fuzz projects and reports ten new bugs. Stronger-claim boundary: Upstream fixes and confirmations are reported, but the reviewed paper does not publicly align each finding with a specific external issue or advisory.",未知漏洞声明按原文来源限定方式记录；在缺少逐项外部确认链前，不赋予声明级 E4c。,external_rereview_integrated,"frozen-label checks: principal reported evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://arxiv.org/abs/2603.08566,long-horizon pentest and CRS agent,,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management,adjudicated_after_independent_double_coding_and_external_rereview,
C31,CP209,CS_CP209,GONDAR,Contextualizing Sink Knowledge for Java Vulnerability Discovery,target_software_study,initial_frozen_round,candidate analysis; path and input exploration; execution observation; reproduction and validation,reproducible validation,author-reported external clue,"Supported claim and conditions: The paper supports sink-centric candidate filtering, coverage-guided exploration, runtime feedback exchange, and PoC synthesis on real Java benchmarks. Stronger-claim boundary: A maintainer-confirmed new finding is anonymized, so the public material does not supply item-level external alignment for that result.",zero-day 或外部确认线索按来源限定方式记录；当前仅作为 E4a 线索，不赋予声明级 E4c。,external_rereview_integrated,"frozen-label checks: principal reported evidence output, cross-stage capability, and external traceability; harmonized lifecycle/capability/shape labels are author-confirmed descriptive recodings",https://arxiv.org/abs/2604.01645,feedback-driven fuzzing agent,,context aggregation / rule extraction; feedback interpretation / loop adjustment,adjudicated_after_independent_double_coding_and_external_rereview,
U01,CP213,CS_CP213,RAVEN,RAVEN: Agentic RAG for Automated Vulnerability Repair,target_software_study,submission_update_20260715,patch validation,controlled task completion,benchmark ground truth / public material,Supported claim and conditions: Public materials support agentic patch generation and controlled static/reviewer-based checking against known fixes. Stronger-claim boundary: they do not establish independently executable vulnerability remediation or externally confirmed new findings.,The public material supports benchmark-scoped generation and model/static-analysis assessment of candidate repairs for known CVEs; it does not establish independently replayed functional or security repair.,external_rereview_integrated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2606.22647,"reproduction-, validation-, and repair-centered agent",,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,adjudicated_after_independent_double_coding_and_external_rereview,
U02,CP214,CS_CP214,Revelio,Revelio: Cost-Efficient Agentic Memory Safety Vulnerability Detection For Repository-Scale Codebases,target_software_study,submission_update_20260715,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,reproducible validation,no external trace reported,"Supported claim and conditions: The public paper supports repository-scale hypothesis triage, sanitizer-confirmed PoVs, and specific newly found vulnerabilities mapped to public CVE identifiers and maintainer fixes. Stronger-claim boundary: The externally traceable claim is limited to the individually listed findings rather than every candidate or aggregate result.",The system publicly supports deterministic sanitizer-confirmed PoV generation and reporting on benchmark and production projects; claims that 19 findings were previously unknown remain author-reported without item-level public external alignment reviewed here.,external_rereview_integrated,pre-adjudication field-specific blind checks; final labels author-confirmed,https://arxiv.org/abs/2606.22263,"reproduction-, validation-, and repair-centered agent",,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,adjudicated_after_independent_double_coding_and_external_rereview,
