matrix_id,system,title,target_domain,primary_system_shape,principal_reported_evidence_output,publication_year,source_location,extraction_basis,extraction_scope
C11,MALF,MALF: a multi-agent LLM framework for intelligent fuzzing of industrial control protocols,"firmware, embedded, IoT, or OT",feedback-driven fuzzing agent,runtime safety signal,2025,"Paper pp. 1–10 (architecture/workflows), pp. 11–18 (evaluation), and pp. 18–19 (Table 5, CNVD-2024-16009 and Figure 13).",Matched target-domain cue using pattern: firmware|embedded|internet of things|\biot\b|industrial control|\bics\b|\bot\b|plc|bluetooth|\bble\b|rtos,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
C12,NeTestLLM,NeTestLLM: automated network protocol testing with LLM agents,protocol and networked service,"reproduction-, validation-, and repair-centered agent",candidate judgment,2025,"Paper pp. 1–3 (Abstract/workflow), pp. 4–8 (hierarchical understanding, generation and correction loops), and pp. 8–12 (evaluation and case study).",Matched target-domain cue using pattern: protocol|\brfc\b|network|routing|dns|tcp|udp|5g|wi-?fi|modbus|mqtt,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
C13,PBFuzz,PBFuzz: agentic directed fuzzing for PoV generation,mixed or general software targets,"reproduction-, validation-, and repair-centered agent",reproducible validation,2025,"Paper pp. 1–6 (motivation, architecture and workflow state), pp. 6–10 (tools/implementation), and pp. 10–20 (evaluation, limitations and conclusion).",No more specific target-domain cue was located in the title or claim-boundary note.,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
C14,Co-RedTeam,Co-RedTeam: orchestrated security discovery and exploitation with LLM agents,mixed or general software targets,long-horizon pentest and CRS agent,controlled task completion,2025,"Paper pp. 1–3 (Abstract and contribution), pp. 4–8 (discovery/exploitation agents, feedback and memory), and pp. 8–13 (Tables 1–3, ablations and conclusion).",No more specific target-domain cue was located in the title or claim-boundary note.,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
C15,Real-world Pentest Agent Study,What makes a good LLM agent for real-world penetration testing?,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2025,"Paper pp. 1–6 (failure analysis), pp. 6–9 (PentestGPTV2 design), and pp. 9–13 (evaluation, strategy case study and deployment).",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
C16,LLMVD.js,Taint-style vulnerability detection and confirmation for node.js packages using LLM agent reasoning,"repository, package, or source code","reproduction-, validation-, and repair-centered agent",reproducible validation,2026,"Paper pp. 1–5 (Abstract and pipeline), pp. 5–8 (system and PoC validation), pp. 8–12 (evaluation), and pp. 10–13 (new-package results/limitations).",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
C17,Multi-Agent Harnesses,Synthesizing multi-agent harnesses for vulnerability discovery,mixed or general software targets,long-horizon pentest and CRS agent,candidate judgment,2025,"Paper pp. 1–3 (Abstract and motivating harness), pp. 5–9 (typed DSL and outer loop), and pp. 9–12 (evaluation, Table 2 and vendor-confirmed CVEs).",No more specific target-domain cue was located in the title or claim-boundary note.,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
C18,PentestAgent,PentestAgent: incorporating LLM agents to automated penetration testing,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2025,"Paper pp. 1–5 (Abstract/background), pp. 5–8 (system overview and agents), and pp. 8–12 (evaluation and limitations).",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
C19,LIVA,LIVA: a multi-agent LLM-assisted system for IoT vulnerability analysis,"firmware, embedded, IoT, or OT",candidate-analysis system,candidate judgment,2025,"Paper pp. 1–3 (Abstract and contributions), pp. 5–8 (source/sink and taint-analysis agents), pp. 8–13 (evaluation), and p. 13 (vendor/device-to-CVE/CNVD table).",Matched target-domain cue using pattern: firmware|embedded|internet of things|\biot\b|industrial control|\bics\b|\bot\b|plc|bluetooth|\bble\b|rtos,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
C20,FirmAgent,FirmAgent: leveraging fuzzing to assist LLM agents with IoT firmware vulnerability discovery,"firmware, embedded, IoT, or OT","reproduction-, validation-, and repair-centered agent",reproducible validation,2026,"Paper pp. 1–5 (Abstract/motivation), pp. 5–9 (fuzzing, taint and PoC agents), pp. 9–12 (Tables IV–VI and evaluation), and p. 14 (disclosure).",Matched target-domain cue using pattern: firmware|embedded|internet of things|\biot\b|industrial control|\bics\b|\bot\b|plc|bluetooth|\bble\b|rtos,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
C21,PANGOLIN,PANGOLIN: fuzzing multilingual IoT firmware with LLM-driven code analysis,"firmware, embedded, IoT, or OT",feedback-driven fuzzing agent,candidate judgment,2026,"Paper pp. 1–5 (Abstract and design), pp. 5–10 (specification generation/correction and fuzzing), pp. 10–14 (evaluation/disclosure), and Appendix C pp. 18–20 (IDs).",Matched target-domain cue using pattern: firmware|embedded|internet of things|\biot\b|industrial control|\bics\b|\bot\b|plc|bluetooth|\bble\b|rtos,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
C22,TransferFuzz-Pro,TransferFuzz-pro: LLM-driven code debugging for verifying propagated vulnerability,mixed or general software targets,"reproduction-, validation-, and repair-centered agent",reproducible validation,2025,"Paper pp. 1–3 (Abstract/motivation), pp. 4–9 (LLM debugging and PoC workflow), and pp. 9–14 (RQ1–RQ5 and CVE-to-binary tables).",No more specific target-domain cue was located in the title or claim-boundary note.,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
C23,Cybench,Cybench: A Framework for Evaluating Cybersecurity Capabilities and Risks of Language Models,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2025,"Paper pp. 1–7 (Abstract, task framework and agent), pp. 7–11 (evaluation and reproducibility discussion), and task appendices (representative solution traces/scripts).",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
C24,BountyBench,BountyBench: Dollar Impact of AI Agent Attackers and Defenders on Real-World Cybersecurity Systems,"web application, API, or database",long-horizon pentest and CRS agent,candidate judgment,2025,"Paper pp. 1–3 (Abstract/framework), pp. 3–7 (Detect/Exploit/Patch evaluators), pp. 7–10 (agent evaluation), and public benchmark/run-log description.",Matched target-domain cue using pattern: web application|website|http|rest api|web api|database|\bsql\b|browser|server-side|web server,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
C25,SEC-bench,SEC-bench: Automated Benchmarking of LLM Agents on Real-World Software Security Tasks,"native binary, compiler, or operating system","reproduction-, validation-, and repair-centered agent",reproducible validation,2025,"Paper pp. 1–3 (Abstract and benchmark construction), pp. 3–6 (SECVerifier and task criteria), pp. 7–10 (agent evaluation), and released code/dataset URLs on p. 1.",Matched target-domain cue using pattern: binary|c/c\+\+|memory safety|kernel|compiler|executable|native code|operating system,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
C26,CyberGym,CyberGym: Evaluating AI Agents' Cybersecurity Capabilities with Real-World Vulnerabilities at Scale,mixed or general software targets,"reproduction-, validation-, and repair-centered agent",reproducible validation,2025,"Paper pp. 1–6 (Abstract, benchmark construction and PoC oracle), pp. 6–9 (evaluation and zero-day deployment), and Appendix E pp. 34–35 (incomplete-patch/zero-day analysis).",No more specific target-domain cue was located in the title or claim-boundary note.,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
C28,FuzzingBrain V2,FuzzingBrain V2: A Multi-Agent LLM System for Automated Vulnerability Discovery and Reproduction,"native binary, compiler, or operating system","reproduction-, validation-, and repair-centered agent",runtime safety signal,2026,"Paper pp. 1–3 (Abstract/system goals), pp. 3–8 (three-stage design and PoC pipeline), pp. 8–12 (evaluation), and pp. 12–13 (zero-day table/case study).",Matched target-domain cue using pattern: binary|c/c\+\+|memory safety|kernel|compiler|executable|native code|operating system,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
C29,DrillAgent,Execution-State-Aware LLM Reasoning for Automated Proof-of-Vulnerability Generation,mixed or general software targets,"reproduction-, validation-, and repair-centered agent",reproducible validation,2026,"Paper pp. 1–3 (Abstract/motivation), pp. 3–6 (DrillAgent design and agents), and pp. 7–12 (SEC-bench evaluation, ablations and limitations).",No more specific target-domain cue was located in the title or claim-boundary note.,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
C30,OSS-CRS,OSS-CRS: Liberating AIxCC Cyber Reasoning Systems for Real-World Open-Source Security,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,reproducible validation,2026,"Paper pp. 1–4 (Abstract/motivation), pp. 4–7 (architecture and adapters), pp. 7–9 (porting/evaluation and disclosure outcomes), and p. 10 (conclusion/ethics).",Matched target-domain cue using pattern: cyber range|capture the flag|\bctf\b|penetration test|pentest|cyber reasoning system|\bcrs\b|bug bounty|red team,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
C31,GONDAR,Contextualizing Sink Knowledge for Java Vulnerability Discovery,"repository, package, or source code",feedback-driven fuzzing agent,reproducible validation,2026,"Paper pp. 1–4 (Abstract/overview), pp. 4–7 (methodology and agents), pp. 7–14 (evaluation and industry validation), and pp. 15–17 (discussion/disclosure).",Matched target-domain cue using pattern: repository|source code|codebase|package|npm|java|python|software project|program repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U01,RAVEN,RAVEN: Agentic RAG for Automated Vulnerability Repair,"repository, package, or source code","reproduction-, validation-, and repair-centered agent",controlled task completion,2026,"Paper pp. 1–3 (Abstract/design motivation), pp. 3–7 (RAG/curator/repair-review loop), and pp. 7–11 (evaluation and conclusion).",Matched the existing source-located target-domain audit: repository-level vulnerability repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U02,Revelio,Revelio: Cost-Efficient Agentic Memory Safety Vulnerability Detection For Repository-Scale Codebases,"repository, package, or source code","reproduction-, validation-, and repair-centered agent",reproducible validation,2026,"Paper pp. 1–6 (architecture), pp. 6–11 (evaluation), especially pp. 8–9 (finding table and CVE case study).",Matched the existing source-located target-domain audit: repository-scale memory-safety analysis,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U03,OpenAnt,"OpenAnt: LLM-Powered Vulnerability Discovery Through Code Decomposition, Adversarial Verification, and Dynamic Testing","repository, package, or source code","reproduction-, validation-, and repair-centered agent",reproducible validation,2026,"Paper pp. 1–6 (architecture and dynamic verification), pp. 6–10 (evaluation/results), and pp. 13–14 (limitations/conclusion).",Matched the existing source-located target-domain audit: repository-level vulnerability discovery,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U04,Code-Augur,Code-Augur: Agentic Vulnerability Detection via Specification Inference,mixed or general software targets,feedback-driven fuzzing agent,runtime safety signal,2026,"Paper pp. 1–8 (specification-first design and runtime falsification), pp. 8–12 (evaluation and public CVE mappings).",No more specific target-domain cue was located in the title or claim-boundary note.,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U05,Transferable Self-Evolving Playbooks for Agentic Security Auditing,Transferable Self-Evolving Playbooks for Agentic Security Auditing,mixed or general software targets,long-horizon pentest and CRS agent,candidate judgment,2026,"Paper pp. 1–7 (EvoHunt/playbook loop), pp. 7–13 (experiments/discussion), and p. 15 (published GHSA/CVE mappings).",No more specific target-domain cue was located in the title or claim-boundary note.,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U06,DIG,DIG: Oracle-Guided Directed Input Generation for One-Day Vulnerabilities,mixed or general software targets,feedback-driven fuzzing agent,reproducible validation,2026,"Paper pp. 1–8 (oracle-guided design), pp. 8–13 (Magma CVE evaluation and new-finding study), and pp. 13–14 (limitations/disclosure).",No more specific target-domain cue was located in the title or claim-boundary note.,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U07,NeuroLog,"NeuroLog: Reasoning You Can Audit -- Neuro-Symbolic Vulnerability Discovery via LLM Facts, Datalog, and SMT",mixed or general software targets,candidate-analysis system,reproducible validation,2026,"Paper pp. 1–7 (neuro-symbolic pipeline), pp. 14–17 (evaluation and CVE rediscovery), and pp. 20–23 (discussion/conclusion).",No more specific target-domain cue was located in the title or claim-boundary note.,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U08,EvoRepair,EvoRepair: Enhancing Vulnerability Repair Agents Through Experience-Based Self-Evolution,"repository, package, or source code","reproduction-, validation-, and repair-centered agent",reproducible validation,2026,"Paper pp. 1–9 (experience bank and repair loop), pp. 9–15 (benchmark evaluation and transfer).",Matched the existing source-located target-domain audit: repository-level vulnerability repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U09,Quality-Assured Fuzz Harness Generation via the Four Principles Framework,Quality-Assured Fuzz Harness Generation via the Four Principles Framework,mixed or general software targets,feedback-driven fuzzing agent,reproducible validation,2026,"Paper pp. 1–6 (Four Principles and generate-check-fix loop), pp. 6–12 (RQ1–RQ5), and p. 14 (ethics/release boundary).",No more specific target-domain cue was located in the title or claim-boundary note.,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U10,ContraFix,ContraFix: Skill-Enhanced Contrastive Runtime Analysis for Vulnerability Repair,"native binary, compiler, or operating system","reproduction-, validation-, and repair-centered agent",reproducible validation,2026,"Paper pp. 1–5 (contrastive runtime repair design), pp. 5–9 (PatchEval evaluation), and pp. 9–10 (discussion/conclusion).",Matched target-domain cue using pattern: binary|c/c\+\+|memory safety|kernel|compiler|executable|native code|operating system,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U11,MemRepair,MemRepair: Hierarchical Memory for Agentic Repository-Level Vulnerability Repair,"repository, package, or source code","reproduction-, validation-, and repair-centered agent",reproducible validation,2026,"Paper pp. 1–5 (hierarchical memory/refinement loop), pp. 5–10 (evaluation, cases and conclusion).",Matched the existing source-located target-domain audit: repository-level vulnerability repair,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U12,Veritas,Veritas: A Semantically Grounded Agentic Framework for Memory Corruption Vulnerability Detection in Binaries,"native binary, compiler, or operating system","reproduction-, validation-, and repair-centered agent",reproducible validation,2026,"Paper pp. 1–6 (Slicer/Discover/Validator), pp. 6–10 (runtime-oracle evaluation and limitations).",Matched the existing source-located target-domain audit: binary memory-corruption discovery,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U13,FuzzAgent,FuzzAgent: Multi-Agent System for Evolutionary Library Fuzzing,mixed or general software targets,feedback-driven fuzzing agent,runtime safety signal,2026,"Paper pp. 1–8 (full fuzzing lifecycle and sandboxed tools), pp. 8–14 (evaluation, crash reports and disclosure controls).",No more specific target-domain cue was located in the title or claim-boundary note.,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U14,Agentic Fuzzing,Agentic Fuzzing: Opportunities and Challenges,mixed or general software targets,feedback-driven fuzzing agent,externally traceable material,2026,"Paper pp. 1–7 (AFuzz pipeline), pp. 7–12 (evaluation, Table 1/issue mappings and discussion).",No more specific target-domain cue was located in the title or claim-boundary note.,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U15,Root-Cause-Driven Automated Vulnerability Repair,Root-Cause-Driven Automated Vulnerability Repair,mixed or general software targets,"reproduction-, validation-, and repair-centered agent",reproducible validation,2026,"Paper pp. 1–6 (root-cause repair design), pp. 6–12 (patching/comprehensiveness/quality evaluation), and p. 13 (conclusion).",No more specific target-domain cue was located in the title or claim-boundary note.,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U16,Generating Proof-of-Vulnerability Tests to Help Enhance the Security of Complex,Generating Proof-of-Vulnerability Tests to Help Enhance the Security of Complex Software,"native binary, compiler, or operating system","reproduction-, validation-, and repair-centered agent",reproducible validation,2026,"Paper pp. 1–5 (PoVSmith workflow), pp. 5–10 (evaluation and PR/CVE-request outcomes).",Matched target-domain cue using pattern: binary|c/c\+\+|memory safety|kernel|compiler|executable|native code|operating system,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U17,FunFuzz,FunFuzz: An LLM-Powered Evolutionary Fuzzing Framework,"native binary, compiler, or operating system",feedback-driven fuzzing agent,reproducible validation,2026,"Paper pp. 1–5 (multi-island fuzzing), pp. 5–12 (evaluation and upstream issue classification), and p. 13 (artifact/disclosure).",Matched the existing source-located target-domain audit: compiler fuzzing,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U18,APIOT,APIOT: Autonomous Vulnerability Management Across Bare-Metal Industrial OT Networks,"firmware, embedded, IoT, or OT",long-horizon pentest and CRS agent,controlled task completion,2026,"Paper pp. 1–7 (APIOT mission cycle and controls), pp. 7–16 (290-run evaluation and patch verification), and pp. 16–17 (limitations/tools).",Matched the existing source-located target-domain audit: industrial OT vulnerability management,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U21,Symbolic Execution Meets Multi-LLM Orchestration,Symbolic Execution Meets Multi-LLM Orchestration: Detecting Memory Vulnerabilities in Incomplete Rust CVE Snippets,mixed or general software targets,candidate-analysis system,controlled task completion,2026,"Paper pp. 1–6 (four-agent/KLEE pipeline), pp. 6–10 (evaluation, graph artifacts and limitations).",No more specific target-domain cue was located in the title or claim-boundary note.,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U22,Automation-Exploit,Automation-Exploit: A Multi-Agent LLM Framework for Adaptive Offensive Security with Digital Twin-Based Risk-Mitigated Exploitation,mixed or general software targets,long-horizon pentest and CRS agent,controlled task completion,2026,"Paper pp. 1–14 (adaptive safety architecture and digital twin), pp. 14–22 (scenario evaluation and reproducibility).",No more specific target-domain cue was located in the title or claim-boundary note.,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U23,Towards Optimal Agentic Architectures for Offensive Security Tasks,Towards Optimal Agentic Architectures for Offensive Security Tasks,mixed or general software targets,long-horizon pentest and CRS agent,controlled task completion,2026,"Paper pp. 1–6 (architecture families and validator), pp. 6–9 (600-run results), and appendices pp. 15–17 (prompts/PoC validation).",No more specific target-domain cue was located in the title or claim-boundary note.,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U25,V2E,V2E: Validating Smart Contract Vulnerabilities through Profit-driven Exploit Generation and Execution,smart contract and blockchain,"reproduction-, validation-, and repair-centered agent",reproducible validation,2026,"Paper pp. 1–9 (V2E design/workflow), pp. 12–20 (execution-based validation evaluation and case study).",Matched target-domain cue using pattern: smart contract|solidity|ethereum|blockchain|web3|defi|evm,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U26,COBALT-TLA,COBALT-TLA: A Neuro-Symbolic Verification Loop for Cross-Chain Bridge Vulnerability Discovery,mixed or general software targets,candidate-analysis system,candidate judgment,2026,"Paper pp. 1–4 (neuro-symbolic TLC loop, three targets and counterexample results).",No more specific target-domain cue was located in the title or claim-boundary note.,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U27,Argus,Argus: Reorchestrating Static Analysis via a Multi-Agent Ensemble for Full-Chain Security Vulnerability Detection,"repository, package, or source code",candidate-analysis system,candidate judgment,2026,"Paper pp. 1–6 (Argus pipeline/PoC reasoning/reporting), pp. 6–8 (evaluation and static-only limitation).",Matched the existing source-located target-domain audit: repository-level static and semantic vulnerability analysis,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U28,PoC-Adapt,PoC-Adapt: Semantic-Aware Automated Vulnerability Reproduction with LLM Multi-Agents and Reinforcement Learning-Driven Adaptive Policy,mixed or general software targets,"reproduction-, validation-, and repair-centered agent",reproducible validation,2026,"Paper pp. 1–10 (semantic oracle and adaptive policy), pp. 10–15 (PoC verification results and limitations).",No more specific target-domain cue was located in the title or claim-boundary note.,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U29,Guiding Symbolic Execution with Static Analysis and LLMs for Vulnerability Disco,Guiding Symbolic Execution with Static Analysis and LLMs for Vulnerability Discovery,mixed or general software targets,"reproduction-, validation-, and repair-centered agent",reproducible validation,2026,"Paper pp. 1–8 (static/LLM/symbolic workflow and concrete replay), pp. 8–11 (evaluation, evidence package and disclosure boundary).",No more specific target-domain cue was located in the title or claim-boundary note.,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U31,Fuzzing with Agents? Generators Are All You Need,Fuzzing with Agents? Generators Are All You Need,mixed or general software targets,feedback-driven fuzzing agent,controlled task completion,2026,"Paper pp. 1–5 (Gentoo generator loop), pp. 5–10 (coverage experiments), and pp. 10–12 (discussion/conclusion).",No more specific target-domain cue was located in the title or claim-boundary note.,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U32,STRIATUM-CTF,STRIATUM-CTF: A Protocol-Driven Agentic Framework for General-Purpose CTF Solving,"cyber range, CTF, or penetration testing",long-horizon pentest and CRS agent,controlled task completion,2026,"Paper pp. 1–5 (MCP architecture, validation and scoped execution), pp. 5–8 (CTF workflow/results).",Matched the existing source-located target-domain audit: CTF and offensive-security task solving,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U33,VulnAgent-R2,VulnAgent-R2: Evidence-Calibrated Multi-Agent Auditing for Repository-Level Vulnerability Detection,"repository, package, or source code",candidate-analysis system,runtime safety signal,2026,"Paper pp. 1–6 (evidence-calibrated architecture), pp. 6–11 (benchmark/dynamic-verification evaluation and limitations).",Matched the existing source-located target-domain audit: repository-level vulnerability detection,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U34,Coverage-Guided Multi-Agent Harness Generation for Java Library Fuzzing,Coverage-Guided Multi-Agent Harness Generation for Java Library Fuzzing,"repository, package, or source code",feedback-driven fuzzing agent,runtime safety signal,2026,"Paper pp. 1–5 (five-agent harness workflow), pp. 5–8 (coverage-guided evaluation and conclusion).",Matched the existing source-located target-domain audit: Java library fuzz-harness generation,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U35,vEcho,vEcho: A Paradigm Shift from Vulnerability Verification to Proactive Discovery with Large Language Models,"repository, package, or source code",candidate-analysis system,candidate judgment,2026,"Paper pp. 1–6 (memory/tool design), pp. 6–11 (benchmark and zero-day case study), pp. 11–13 (limitations/disclosure).",Matched the existing source-located target-domain audit: repository-level SAST augmentation,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U36,FuzzySQL,FuzzySQL: Uncovering Hidden Vulnerabilities in DBMS Special Features with LLM-Driven Fuzzing,mixed or general software targets,feedback-driven fuzzing agent,reproducible validation,2026,"Paper pp. 1–14 (stateful fuzzing/error repair), pp. 14–22 (evaluation/cases), and p. 28 (disclosure-status appendix).",No more specific target-domain cue was located in the title or claim-boundary note.,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
U37,QRS,QRS: A Rule-Synthesizing Neuro-Symbolic Triad for Autonomous Vulnerability Discovery,"repository, package, or source code",candidate-analysis system,externally traceable material,2026,"Paper pp. 1–8 (QRS triad and validation), pp. 8–17 (historical/new-CVE evaluation), and CVE tables/appendices.",Matched the existing source-located target-domain audit: Python package vulnerability discovery,Author-audited descriptive target type; not a core coding field or prevalence taxonomy.
