matrix_id,record_id,system_alias,field,author_harmonized_label,coder2_final_label,row_jaccard,material_checked,coder2_decision_note,coder2_uncertainty_note,adjudication_status,adjudicated_label,adjudication_note
C12,CP077,NeTestLLM,lifecycle_coverage,path and input exploration;execution observation;reporting and audit,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,0.600,"Paper pp. 1–3 (Abstract/workflow), pp. 4–8 (hierarchical understanding, generation and correction loops), and pp. 8–12 (evaluation and case study).","NeTestLLM: observable workflow supports long-horizon pentest and CRS agent; strongest output is controlled task completion; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming. Final resolution: long-horizon pentest and CRS is primary because the central evaluated contribution is coordination from specification understanding through test generation, executable artifacts, runtime-log analysis, and corrective loops.",,not_planned,,
C13,CP078,PBFuzz,lifecycle_coverage,candidate analysis;path and input exploration;execution observation;reproduction and validation,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,0.800,"Paper pp. 1–6 (motivation, architecture and workflow state), pp. 6–10 (tools/implementation), and pp. 10–20 (evaluation, limitations and conclusion).","PBFuzz: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is reproducible validation; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.",,not_planned,,
C14,CP080,Co-RedTeam,lifecycle_coverage,candidate analysis;path and input exploration;execution observation,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,0.600,"Paper pp. 1–3 (Abstract and contribution), pp. 4–8 (discovery/exploitation agents, feedback and memory), and pp. 8–13 (Tables 1–3, ablations and conclusion).",Co-RedTeam: observable workflow supports long-horizon pentest and CRS agent; strongest output is controlled task completion; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.,,not_planned,,
C15,CP081,Real-world Pentest Agent Study,lifecycle_coverage,candidate analysis;path and input exploration;execution observation,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,0.600,"Paper pp. 1–6 (failure analysis), pp. 6–9 (PentestGPTV2 design), and pp. 9–13 (evaluation, strategy case study and deployment).",Real-world Pentest Agent Study: observable workflow supports long-horizon pentest and CRS agent; strongest output is controlled task completion; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.,,not_planned,,
C16,CP082,LLMVD.js,lifecycle_coverage,candidate analysis;execution observation;reproduction and validation,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,0.600,"Paper pp. 1–5 (Abstract and pipeline), pp. 5–8 (system and PoC validation), pp. 8–12 (evaluation), and pp. 10–13 (new-package results/limitations).","LLMVD.js: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is reproducible validation; external trace is coded as author-reported external clue. Labels follow demonstrated actions and outputs rather than system naming.",,not_planned,,
C17,CP083,Multi-Agent Harnesses,lifecycle_coverage,path and input exploration;execution observation;reproduction and validation;reporting and audit,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,0.800,"Paper pp. 1–3 (Abstract and motivating harness), pp. 5–9 (typed DSL and outer loop), and pp. 9–12 (evaluation, Table 2 and vendor-confirmed CVEs).",Multi-Agent Harnesses: observable workflow supports long-horizon pentest and CRS agent; strongest output is externally traceable material; external trace is coded as publicly aligned external trace. Labels follow demonstrated actions and outputs rather than system naming.,,not_planned,,
C18,CP084,PentestAgent,lifecycle_coverage,candidate analysis;path and input exploration;execution observation,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,0.600,"Paper pp. 1–5 (Abstract/background), pp. 5–8 (system overview and agents), and pp. 8–12 (evaluation and limitations).",PentestAgent: observable workflow supports long-horizon pentest and CRS agent; strongest output is controlled task completion; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.,,not_planned,,
C19,CP085,LIVA,lifecycle_coverage,candidate analysis,candidate analysis;reporting and audit,0.500,"Paper pp. 1–3 (Abstract and contributions), pp. 5–8 (source/sink and taint-analysis agents), pp. 8–13 (evaluation), and p. 13 (vendor/device-to-CVE/CNVD table).",LIVA: observable workflow supports candidate-analysis system; strongest output is externally traceable material; external trace is coded as publicly aligned external trace. Labels follow demonstrated actions and outputs rather than system naming.,,not_planned,,
C20,CP089,FirmAgent,lifecycle_coverage,candidate analysis;path and input exploration;execution observation;reproduction and validation,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,0.800,"Paper pp. 1–5 (Abstract/motivation), pp. 5–9 (fuzzing, taint and PoC agents), pp. 9–12 (Tables IV–VI and evaluation), and p. 14 (disclosure).","FirmAgent: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is reproducible validation; external trace is coded as author-reported external clue. Labels follow demonstrated actions and outputs rather than system naming.",,not_planned,,
C21,CP094,PANGOLIN,lifecycle_coverage,candidate analysis;path and input exploration;execution observation,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,0.600,"Paper pp. 1–5 (Abstract and design), pp. 5–10 (specification generation/correction and fuzzing), pp. 10–14 (evaluation/disclosure), and Appendix C pp. 18–20 (IDs).",PANGOLIN: observable workflow supports feedback-driven fuzzing agent; strongest output is externally traceable material; external trace is coded as publicly aligned external trace. Labels follow demonstrated actions and outputs rather than system naming.,,not_planned,,
C22,CP095,TransferFuzz-Pro,lifecycle_coverage,execution observation;reproduction and validation,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,0.400,"Paper pp. 1–3 (Abstract/motivation), pp. 4–9 (LLM debugging and PoC workflow), and pp. 9–14 (RQ1–RQ5 and CVE-to-binary tables).","TransferFuzz-Pro: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is reproducible validation; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.",,not_planned,,
C23,CP130,Cybench,lifecycle_coverage,path and input exploration;execution observation,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,0.400,"Paper pp. 1–7 (Abstract, task framework and agent), pp. 7–11 (evaluation and reproducibility discussion), and task appendices (representative solution traces/scripts).",Cybench: observable workflow supports long-horizon pentest and CRS agent; strongest output is controlled task completion; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming. Final resolution: long-horizon pentest and CRS is primary because the evaluated agent performs multi-step tool use with retained observations across bounded CTF missions; flag capture remains controlled task completion rather than target-version vulnerability validation.,,not_planned,,
C24,CP131,BountyBench,lifecycle_coverage,candidate analysis;execution observation;reproduction and validation;patch validation,candidate analysis;path and input exploration;execution observation;reproduction and validation;patch validation;reporting and audit,0.667,"Paper pp. 1–3 (Abstract/framework), pp. 3–7 (Detect/Exploit/Patch evaluators), pp. 7–10 (agent evaluation), and public benchmark/run-log description.","BountyBench: observable workflow supports long-horizon pentest and CRS agent; strongest output is reproducible validation; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming. Final resolution: long-horizon pentest and CRS is primary because the benchmark evaluates agent work across Detect, Exploit, and Patch tasks; invariant-checked scripts and patches support reproducible validation without implying independent production of the original bounties.",,not_planned,,
C25,CP132,SEC-bench,lifecycle_coverage,reproduction and validation;patch validation,candidate analysis;path and input exploration;execution observation;reproduction and validation;patch validation;reporting and audit,0.333,"Paper pp. 1–3 (Abstract and benchmark construction), pp. 3–6 (SECVerifier and task criteria), pp. 7–10 (agent evaluation), and released code/dataset URLs on p. 1.","SEC-bench: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is reproducible validation; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.",,not_planned,,
C26,CP133,CyberGym,lifecycle_coverage,path and input exploration;execution observation;reproduction and validation;reporting and audit,candidate analysis;path and input exploration;execution observation;reproduction and validation;patch validation;reporting and audit,0.667,"Paper pp. 1–6 (Abstract, benchmark construction and PoC oracle), pp. 6–9 (evaluation and zero-day deployment), and Appendix E pp. 34–35 (incomplete-patch/zero-day analysis).","CyberGym: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is reproducible validation; external trace is coded as author-reported external clue. Labels follow demonstrated actions and outputs rather than system naming.",,not_planned,,
C28,CP206,FuzzingBrain V2,lifecycle_coverage,candidate analysis;path and input exploration;execution observation;reproduction and validation;patch validation;reporting and audit,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,0.833,"Paper pp. 1–3 (Abstract/system goals), pp. 3–8 (three-stage design and PoC pipeline), pp. 8–12 (evaluation), and pp. 12–13 (zero-day table/case study).","FuzzingBrain V2: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is externally traceable material; external trace is coded as publicly aligned external trace. Labels follow demonstrated actions and outputs rather than system naming.",,not_planned,,
C29,CP207,DrillAgent,lifecycle_coverage,execution observation;reproduction and validation,candidate analysis;path and input exploration;execution observation;reproduction and validation,0.500,"Paper pp. 1–3 (Abstract/motivation), pp. 3–6 (DrillAgent design and agents), and pp. 7–12 (SEC-bench evaluation, ablations and limitations).","DrillAgent: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is reproducible validation; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.",,not_planned,,
C30,CP208,OSS-CRS,lifecycle_coverage,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,candidate analysis;path and input exploration;execution observation;reproduction and validation;patch validation;reporting and audit,0.833,"Paper pp. 1–4 (Abstract/motivation), pp. 4–7 (architecture and adapters), pp. 7–9 (porting/evaluation and disclosure outcomes), and p. 10 (conclusion/ethics).",OSS-CRS: observable workflow supports long-horizon pentest and CRS agent; strongest output is reproducible validation; external trace is coded as author-reported external clue. Labels follow demonstrated actions and outputs rather than system naming.,,not_planned,,
C31,CP209,GONDAR,lifecycle_coverage,path and input exploration;execution observation;reproduction and validation,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,0.600,"Paper pp. 1–4 (Abstract/overview), pp. 4–7 (methodology and agents), pp. 7–14 (evaluation and industry validation), and pp. 15–17 (discussion/disclosure).","GONDAR: observable workflow supports feedback-driven fuzzing agent; strongest output is reproducible validation; external trace is coded as author-reported external clue. Labels follow demonstrated actions and outputs rather than system naming. Final resolution: feedback-driven fuzzing is primary because coverage-guided exploration, seed exchange, and runtime feedback organize the system; PoC synthesis is the validation output of that fuzzing loop.",,not_planned,,
U01,CP213,RAVEN,lifecycle_coverage,candidate analysis;patch validation,candidate analysis;patch validation;reporting and audit,0.667,"Paper pp. 1–3 (Abstract/design motivation), pp. 3–7 (RAG/curator/repair-review loop), and pp. 7–11 (evaluation and conclusion).","RAVEN: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is controlled task completion; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming. Final resolution: reproduction-, validation-, and repair-centered is primary because patch generation and review are the dominant evaluated outputs; retrieval and iteration support repair rather than define a separate long-horizon mission.",,not_planned,,
U05,CP217,Transferable Self-Evolving Playbooks for Agentic Security Auditing,lifecycle_coverage,candidate analysis;reporting and audit,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,0.400,"Paper pp. 1–7 (EvoHunt/playbook loop), pp. 7–13 (experiments/discussion), and p. 15 (published GHSA/CVE mappings).",Transferable Self-Evolving Playbooks for Agentic Security Auditing: observable workflow supports long-horizon pentest and CRS agent; strongest output is externally traceable material; external trace is coded as publicly aligned external trace. Labels follow demonstrated actions and outputs rather than system naming.,,not_planned,,
U09,CP221,Quality-Assured Fuzz Harness Generation via the Four Principles Framework,lifecycle_coverage,path and input exploration;execution observation;reporting and audit,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,0.600,"Paper pp. 1–6 (Four Principles and generate-check-fix loop), pp. 6–12 (RQ1–RQ5), and p. 14 (ethics/release boundary).",Quality-Assured Fuzz Harness Generation via the Four Principles Framework: observable workflow supports feedback-driven fuzzing agent; strongest output is reproducible validation; external trace is coded as author-reported external clue. Labels follow demonstrated actions and outputs rather than system naming. Final resolution: feedback-driven fuzzing is primary because harness generation is governed by a generate-check-fix loop and subsequent fuzzing feedback; Security Boundary Respect and controlled upstream handling are implemented governance mechanisms.,,not_planned,,
U10,CP222,ContraFix,lifecycle_coverage,candidate analysis;path and input exploration;execution observation;patch validation,candidate analysis;execution observation;patch validation,0.750,"Paper pp. 1–5 (contrastive runtime repair design), pp. 5–9 (PatchEval evaluation), and pp. 9–10 (discussion/conclusion).","ContraFix: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is reproducible validation; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.",,not_planned,,
U13,CP225,FuzzAgent,lifecycle_coverage,candidate analysis;path and input exploration;execution observation;reporting and audit,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,0.800,"Paper pp. 1–8 (full fuzzing lifecycle and sandboxed tools), pp. 8–14 (evaluation, crash reports and disclosure controls).",FuzzAgent: observable workflow supports feedback-driven fuzzing agent; strongest output is runtime safety signal; external trace is coded as author-reported external clue. Labels follow demonstrated actions and outputs rather than system naming. Final resolution: feedback-driven fuzzing is primary because successive campaigns evolve from coverage and crash feedback; filesystem/tool isolation and restricted disclosure access are implemented governance controls.,,not_planned,,
U15,CP227,Root-Cause-Driven Automated Vulnerability Repair,lifecycle_coverage,candidate analysis;path and input exploration;execution observation;patch validation,candidate analysis;path and input exploration;execution observation;reproduction and validation;patch validation,0.800,"Paper pp. 1–6 (root-cause repair design), pp. 6–12 (patching/comprehensiveness/quality evaluation), and p. 13 (conclusion).","Root-Cause-Driven Automated Vulnerability Repair: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is reproducible validation; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming. Final resolution: reproduction-, validation-, and repair-centered is primary because the evaluated endpoint is a root-cause patch checked through replay, regression, and fuzz validation; tracing steps support that repair endpoint.",,not_planned,,
U21,CP233,Symbolic Execution Meets Multi-LLM Orchestration,lifecycle_coverage,candidate analysis;path and input exploration;execution observation,candidate analysis;path and input exploration;execution observation;reporting and audit,0.750,"Paper pp. 1–6 (four-agent/KLEE pipeline), pp. 6–10 (evaluation, graph artifacts and limitations).","Symbolic Execution Meets Multi-LLM Orchestration: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is controlled task completion; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.",,not_planned,,
U22,CP234,Automation-Exploit,lifecycle_coverage,candidate analysis;path and input exploration;execution observation;reproduction and validation,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,0.800,"Paper pp. 1–14 (adaptive safety architecture and digital twin), pp. 14–22 (scenario evaluation and reproducibility).",Automation-Exploit: observable workflow supports long-horizon pentest and CRS agent; strongest output is controlled task completion; external trace is coded as no external trace reported. Labels follow demonstrated actions and outputs rather than system naming.,,not_planned,,
U23,CP235,Towards Optimal Agentic Architectures for Offensive Security Tasks,lifecycle_coverage,candidate analysis;path and input exploration;execution observation;reproduction and validation,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,0.800,"Paper pp. 1–6 (architecture families and validator), pp. 6–9 (600-run results), and appendices pp. 15–17 (prompts/PoC validation).",Towards Optimal Agentic Architectures for Offensive Security Tasks: observable workflow supports long-horizon pentest and CRS agent; strongest output is controlled task completion; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.,,not_planned,,
U25,CP237,V2E,lifecycle_coverage,candidate analysis;path and input exploration;execution observation;reproduction and validation,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,0.800,"Paper pp. 1–9 (V2E design/workflow), pp. 12–20 (execution-based validation evaluation and case study).","V2E: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is reproducible validation; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.",,not_planned,,
U26,CP238,COBALT-TLA,lifecycle_coverage,candidate analysis;execution observation,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,0.400,"Paper pp. 1–4 (neuro-symbolic TLC loop, three targets and counterexample results).",COBALT-TLA: observable workflow supports candidate-analysis system; strongest output is controlled task completion; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.,,not_planned,,
U28,CP240,PoC-Adapt,lifecycle_coverage,candidate analysis;path and input exploration;execution observation;reproduction and validation,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,0.800,"Paper pp. 1–10 (semantic oracle and adaptive policy), pp. 10–15 (PoC verification results and limitations).","PoC-Adapt: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is reproducible validation; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.",,not_planned,,
U29,CP241,Guiding Symbolic Execution with Static Analysis and LLMs for Vulnerability Disco,lifecycle_coverage,candidate analysis;path and input exploration;execution observation;reproduction and validation,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,0.800,"Paper pp. 1–8 (static/LLM/symbolic workflow and concrete replay), pp. 8–11 (evaluation, evidence package and disclosure boundary).","Guiding Symbolic Execution with Static Analysis and LLMs for Vulnerability Disco: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is reproducible validation; external trace is coded as author-reported external clue. Labels follow demonstrated actions and outputs rather than system naming.",,not_planned,,
U32,CP244,STRIATUM-CTF,lifecycle_coverage,candidate analysis;path and input exploration;execution observation;reproduction and validation,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,0.800,"Paper pp. 1–5 (MCP architecture, validation and scoped execution), pp. 5–8 (CTF workflow/results).",STRIATUM-CTF: observable workflow supports long-horizon pentest and CRS agent; strongest output is controlled task completion; external trace is coded as no external trace reported. Labels follow demonstrated actions and outputs rather than system naming.,,not_planned,,
U33,CP245,VulnAgent-R2,lifecycle_coverage,candidate analysis;execution observation;reproduction and validation;reporting and audit,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,0.800,"Paper pp. 1–6 (evidence-calibrated architecture), pp. 6–11 (benchmark/dynamic-verification evaluation and limitations).",VulnAgent-R2: observable workflow supports candidate-analysis system; strongest output is runtime safety signal; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.,,not_planned,,
U34,CP246,Coverage-Guided Multi-Agent Harness Generation for Java Library Fuzzing,lifecycle_coverage,path and input exploration;execution observation,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,0.400,"Paper pp. 1–5 (five-agent harness workflow), pp. 5–8 (coverage-guided evaluation and conclusion).",Coverage-Guided Multi-Agent Harness Generation for Java Library Fuzzing: observable workflow supports feedback-driven fuzzing agent; strongest output is runtime safety signal; external trace is coded as author-reported external clue. Labels follow demonstrated actions and outputs rather than system naming.,,not_planned,,
U36,CP248,FuzzySQL,lifecycle_coverage,path and input exploration;execution observation;reproduction and validation,path and input exploration;execution observation;reproduction and validation;reporting and audit,0.750,"Paper pp. 1–14 (stateful fuzzing/error repair), pp. 14–22 (evaluation/cases), and p. 28 (disclosure-status appendix).",FuzzySQL: observable workflow supports feedback-driven fuzzing agent; strongest output is reproducible validation; external trace is coded as author-reported external clue. Labels follow demonstrated actions and outputs rather than system naming.,,not_planned,,
U37,CP249,QRS,lifecycle_coverage,candidate analysis;path and input exploration;reproduction and validation;reporting and audit,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,0.800,"Paper pp. 1–8 (QRS triad and validation), pp. 8–17 (historical/new-CVE evaluation), and CVE tables/appendices.",QRS: observable workflow supports candidate-analysis system; strongest output is externally traceable material; external trace is coded as publicly aligned external trace. Labels follow demonstrated actions and outputs rather than system naming.,,not_planned,,
U38,CP250,A Dual-Loop Agent Framework for Automated Vulnerability Reproduction,lifecycle_coverage,candidate analysis;path and input exploration;execution observation;reproduction and validation,candidate analysis;path and input exploration;execution observation;reproduction and validation;reporting and audit,0.800,"Paper pp. 1–10 (dual-loop reproduction architecture), pp. 10–18 (617-case evaluation and discussion).","A Dual-Loop Agent Framework for Automated Vulnerability Reproduction: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is reproducible validation; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.",,not_planned,,
U40,CP252,VulnResolver,lifecycle_coverage,candidate analysis;execution observation;reproduction and validation;patch validation,candidate analysis;execution observation;reproduction and validation;patch validation;reporting and audit,0.800,"Paper pp. 1–7 (hybrid issue-resolution workflow), pp. 7–13 (SEC-bench evaluation and conclusion).","VulnResolver: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is reproducible validation; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming. Final resolution: reproduction-, validation-, and repair-centered is primary because vulnerability issue resolution, patch generation, PoC re-execution, and safety-property validation are the dominant evaluated workflow and output.",,not_planned,,
C01,CP014,UniFuzz,cross_stage_capabilities,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,feedback interpretation / loop adjustment;validation organization / evidence packaging,0.500,"Paper pp. 1–3 (Abstract, architecture/workflow) and pp. 4–6 (evaluation, Fig. 2 and vulnerability/coverage results).",UniFuzz: observable workflow supports feedback-driven fuzzing agent; strongest output is runtime safety signal; external trace is coded as no external trace reported. Labels follow demonstrated actions and outputs rather than system naming.,,not_planned,,
C02,CP015,ReForge,cross_stage_capabilities,tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging,feedback interpretation / loop adjustment;validation organization / evidence packaging,0.667,"Paper pp. 1–3 (pipeline and feedback loop), pp. 4–5 (evaluation and Listings 1–2), and p. 6 (conclusion).","ReForge: observable workflow supports reproduction-, validation-, and repair-centered agent; strongest output is reproducible validation; external trace is coded as benchmark ground truth / public material. Labels follow demonstrated actions and outputs rather than system naming.",,not_planned,,
C03,CP025,Multi-Agent Collaborative Smart Contract Fuzzing,cross_stage_capabilities,long-horizon state management,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;long-horizon state management;failure reuse / strategy update,0.200,"Paper p. 1 (Abstract), pp. 3–7 (CRP/RCC methodology and agent team), and pp. 7–12 (evaluation and conclusion).",Multi-Agent Collaborative Smart Contract Fuzzing: observable workflow supports feedback-driven fuzzing agent; strongest output is runtime safety signal; external trace is coded as no external trace reported. Labels follow demonstrated actions and outputs rather than system naming.,,not_planned,,
