record_id,matrix_id,title,field,coder_x_label,coder_y_label,final_label,resolution_type,brief_reason,evidence_location,unresolved,reviewer_initials,review_date,disagreement_id
C03,C03,Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection,lifecycle coverage,execution observation;path and input exploration,candidate analysis;execution observation;path and input exploration,path and input exploration;execution observation,coder_x_selected,The cited source supports the selected label path and input exploration;execution observation; only observable workflow actions or outputs were retained.,"https://arxiv.org/abs/2511.12164 | Paper p. 1 (Abstract), pp. 3–7 (CRP/RCC methodology and agent team), and pp. 7–12 (evaluation and conclusion). | excerpt pages 5, 11",no,TR,2026-08-12,C03__lifecycle
C03,C03,Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection,cross-stage capability,long-horizon state management,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing,long-horizon state management,coder_x_selected,"The cited source supports the selected label long-horizon state management; each retained label requires an explicit connection that guides later action, feedback, packaging, or a gate.","https://arxiv.org/abs/2511.12164 | Paper p. 1 (Abstract), pp. 3–7 (CRP/RCC methodology and agent team), and pp. 7–12 (evaluation and conclusion). | excerpt pages 7, 6",no,TR,2026-08-12,C03__capability
C03,C03,Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection,primary system shape,feedback-driven fuzzing agent,feedback-driven fuzzing agent,feedback-driven fuzzing agent,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C03,C03,Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection,principal reported evidence output,runtime safety signal,runtime safety signal,runtime safety signal,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C03,C03,Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection,external traceability,no external trace reported,no external trace reported,no external trace reported,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C04,C04,All you need is a fuzzing brain: an LLM-powered system for automated vulnerability detection and patching,lifecycle coverage,execution observation;patch validation;path and input exploration;reporting and audit;reproduction and validation,candidate analysis;execution observation;patch validation;path and input exploration;reporting and audit;reproduction and validation,path and input exploration;execution observation;reproduction and validation;patch validation;reporting and audit,coder_x_selected,The cited source supports the selected label path and input exploration;execution observation;reproduction and validation;patch validation;reporting and audit; only observable workflow actions or outputs were retained.,"https://arxiv.org/abs/2509.07225 | Paper pp. 1–2 (Abstract and AIxCC task model), pp. 2–10 (architecture, detection/PoV/patch workflows), and pp. 10–13 (evaluation). | excerpt pages 7",no,TR,2026-08-12,C04__lifecycle
C04,C04,All you need is a fuzzing brain: an LLM-powered system for automated vulnerability detection and patching,cross-stage capability,failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,coder_x_selected,"The cited source supports the selected label feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update; each retained label requires an explicit connection that guides later action, feedback, packaging, or a gate.","https://arxiv.org/abs/2509.07225 | Paper pp. 1–2 (Abstract and AIxCC task model), pp. 2–10 (architecture, detection/PoV/patch workflows), and pp. 10–13 (evaluation). | excerpt pages 8, 10",no,TR,2026-08-12,C04__capability
C04,C04,All you need is a fuzzing brain: an LLM-powered system for automated vulnerability detection and patching,primary system shape,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,long-horizon pentest and CRS agent,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C04,C04,All you need is a fuzzing brain: an LLM-powered system for automated vulnerability detection and patching,principal reported evidence output,reproducible validation,reproducible validation,reproducible validation,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C04,C04,All you need is a fuzzing brain: an LLM-powered system for automated vulnerability detection and patching,external traceability,no external trace reported,no external trace reported,no external trace reported,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C05,C05,Mut4All: fuzzing compilers via LLM-synthesized mutators learned from bug reports,lifecycle coverage,execution observation;path and input exploration,execution observation;path and input exploration;reporting and audit;reproduction and validation,path and input exploration;execution observation,coder_x_selected,The cited source supports the selected label path and input exploration;execution observation; only observable workflow actions or outputs were retained.,"https://arxiv.org/abs/2507.19275 | Paper pp. 1–7 (design and motivating issue mappings), pp. 14–20 (RQ1–RQ3, especially bug-hunting results), and pp. 22–24 (discussion/conclusion). | excerpt pages 1",no,TR,2026-08-12,C05__lifecycle
C05,C05,Mut4All: fuzzing compilers via LLM-synthesized mutators learned from bug reports,cross-stage capability,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C05,C05,Mut4All: fuzzing compilers via LLM-synthesized mutators learned from bug reports,primary system shape,feedback-driven fuzzing agent,feedback-driven fuzzing agent,feedback-driven fuzzing agent,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C05,C05,Mut4All: fuzzing compilers via LLM-synthesized mutators learned from bug reports,principal reported evidence output,runtime safety signal,externally traceable material,runtime safety signal,coder_x_selected,The cited source supports the selected label runtime safety signal as the main observable result reported for the study.,"https://arxiv.org/abs/2507.19275 | Paper pp. 1–7 (design and motivating issue mappings), pp. 14–20 (RQ1–RQ3, especially bug-hunting results), and pp. 22–24 (discussion/conclusion). | excerpt pages 2, 4",no,TR,2026-08-12,C05__principal_evidence
C05,C05,Mut4All: fuzzing compilers via LLM-synthesized mutators learned from bug reports,external traceability,no external trace reported,publicly aligned external trace,no external trace reported,coder_x_selected,The cited source supports the selected label no external trace reported under the codebook's item-level public-record alignment criterion.,"https://arxiv.org/abs/2507.19275 | Paper pp. 1–7 (design and motivating issue mappings), pp. 14–20 (RQ1–RQ3, especially bug-hunting results), and pp. 22–24 (discussion/conclusion). | excerpt pages 7, 18",no,TR,2026-08-12,C05__external_traceability
C06,C06,LLAMA: multi-feedback smart contract fuzzing framework with LLM-guided seed generation,lifecycle coverage,execution observation;path and input exploration,execution observation;path and input exploration,path and input exploration;execution observation,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C06,C06,LLAMA: multi-feedback smart contract fuzzing framework with LLM-guided seed generation,cross-stage capability,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;tool routing / strategy routing,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,coder_x_selected,"The cited source supports the selected label context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging; each retained label requires an explicit connection that guides later action, feedback, packaging, or a gate.","https://doi.org/10.1109/TIFS.2026.3666859 | Paper pp. 1–4 (Abstract, motivation and assumptions), pp. 5–10 (seed validation, scheduler and hybrid fuzzing), and pp. 11–14 (evaluation). | excerpt pages 8",no,TR,2026-08-12,C06__capability
C06,C06,LLAMA: multi-feedback smart contract fuzzing framework with LLM-guided seed generation,primary system shape,feedback-driven fuzzing agent,feedback-driven fuzzing agent,feedback-driven fuzzing agent,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C06,C06,LLAMA: multi-feedback smart contract fuzzing framework with LLM-guided seed generation,principal reported evidence output,runtime safety signal,runtime safety signal,runtime safety signal,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C06,C06,LLAMA: multi-feedback smart contract fuzzing framework with LLM-guided seed generation,external traceability,no external trace reported,no external trace reported,no external trace reported,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C07,C07,ProtocolGuard: detecting protocol non-compliance bugs via LLM-guided static analysis and dynamic verification,lifecycle coverage,candidate analysis;execution observation;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,candidate analysis;execution observation;reproduction and validation,coder_x_selected,The cited source supports the selected label candidate analysis;execution observation;reproduction and validation; only observable workflow actions or outputs were retained.,"https://doi.org/10.14722/ndss.2026.240521 | Paper pp. 1–3 (Abstract/problem), pp. 4–8 (rule extraction, slicing and dynamic verification), pp. 8–10 (case studies), and pp. 13–18 (disclosure/appendix). | excerpt pages 13",no,TR,2026-08-12,C07__lifecycle
C07,C07,ProtocolGuard: detecting protocol non-compliance bugs via LLM-guided static analysis and dynamic verification,cross-stage capability,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C07,C07,ProtocolGuard: detecting protocol non-compliance bugs via LLM-guided static analysis and dynamic verification,primary system shape,candidate-analysis system,candidate-analysis system,candidate-analysis system,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C07,C07,ProtocolGuard: detecting protocol non-compliance bugs via LLM-guided static analysis and dynamic verification,principal reported evidence output,reproducible validation,reproducible validation,reproducible validation,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C07,C07,ProtocolGuard: detecting protocol non-compliance bugs via LLM-guided static analysis and dynamic verification,external traceability,author-reported external clue,author-reported external clue,author-reported external clue,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C08,C08,BSFuzzer: context-aware semantic fuzzing for BLE logic flaw detection,lifecycle coverage,candidate analysis;execution observation;path and input exploration,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,candidate analysis;path and input exploration;execution observation,coder_x_selected,The cited source supports the selected label candidate analysis;path and input exploration;execution observation; only observable workflow actions or outputs were retained.,"https://doi.org/10.14722/ndss.2026.240094 | Paper pp. 1–5 (Abstract and design motivation), pp. 5–9 (semantic mutation workflow), pp. 8–14 (evaluation and case analysis), and p. 18 (Appendix B.2 findings table). | excerpt pages 11",no,TR,2026-08-12,C08__lifecycle
C08,C08,BSFuzzer: context-aware semantic fuzzing for BLE logic flaw detection,cross-stage capability,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,context aggregation / rule extraction;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,coder_x_selected,"The cited source supports the selected label context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging; each retained label requires an explicit connection that guides later action, feedback, packaging, or a gate.","https://doi.org/10.14722/ndss.2026.240094 | Paper pp. 1–5 (Abstract and design motivation), pp. 5–9 (semantic mutation workflow), pp. 8–14 (evaluation and case analysis), and p. 18 (Appendix B.2 findings table). | excerpt pages 9, 10",no,TR,2026-08-12,C08__capability
C08,C08,BSFuzzer: context-aware semantic fuzzing for BLE logic flaw detection,primary system shape,feedback-driven fuzzing agent,feedback-driven fuzzing agent,feedback-driven fuzzing agent,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C08,C08,BSFuzzer: context-aware semantic fuzzing for BLE logic flaw detection,principal reported evidence output,runtime safety signal,reproducible validation,runtime safety signal,coder_x_selected,The cited source supports the selected label runtime safety signal as the main observable result reported for the study.,"https://doi.org/10.14722/ndss.2026.240094 | Paper pp. 1–5 (Abstract and design motivation), pp. 5–9 (semantic mutation workflow), pp. 8–14 (evaluation and case analysis), and p. 18 (Appendix B.2 findings table). | excerpt pages 1",no,TR,2026-08-12,C08__principal_evidence
C08,C08,BSFuzzer: context-aware semantic fuzzing for BLE logic flaw detection,external traceability,author-reported external clue,author-reported external clue,author-reported external clue,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C09,C09,RFCAudit: AI Agent for Auditing Protocol Implementations Against RFC Specifications,lifecycle coverage,candidate analysis,candidate analysis;reporting and audit,candidate analysis,coder_x_selected,The cited source supports the selected label candidate analysis; only observable workflow actions or outputs were retained.,"https://ieeexplore.ieee.org/abstract/document/11334718 | Paper pp. 1–3 (Abstract/overview), pp. 4–7 (indexing and detection agents), pp. 7–9 (Table II and evaluation), and pp. 10–11 (case studies/validity). | excerpt pages 1",no,TR,2026-08-12,C09__lifecycle
C09,C09,RFCAudit: AI Agent for Auditing Protocol Implementations Against RFC Specifications,cross-stage capability,context aggregation / rule extraction;tool routing / strategy routing,context aggregation / rule extraction;tool routing / strategy routing,context aggregation / rule extraction;tool routing / strategy routing,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C09,C09,RFCAudit: AI Agent for Auditing Protocol Implementations Against RFC Specifications,primary system shape,candidate-analysis system,candidate-analysis system,candidate-analysis system,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C09,C09,RFCAudit: AI Agent for Auditing Protocol Implementations Against RFC Specifications,principal reported evidence output,candidate judgment,candidate judgment,candidate judgment,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C09,C09,RFCAudit: AI Agent for Auditing Protocol Implementations Against RFC Specifications,external traceability,author-reported external clue,author-reported external clue,author-reported external clue,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C10,C10,VulAgent: a hypothesis validation-based multi-agent system for software vulnerability detection,lifecycle coverage,candidate analysis,candidate analysis;reporting and audit,candidate analysis,coder_x_selected,The cited source supports the selected label candidate analysis; only observable workflow actions or outputs were retained.,"https://arxiv.org/abs/2509.11523 | Paper pp. 1–2 (Abstract and paradigm), pp. 4–8 (agent workflow and report schema), pp. 9–16 (datasets, RQs and case study), and p. 17 (limitations). | excerpt pages 5, 1",no,TR,2026-08-12,C10__lifecycle
C10,C10,VulAgent: a hypothesis validation-based multi-agent system for software vulnerability detection,cross-stage capability,context aggregation / rule extraction;tool routing / strategy routing,context aggregation / rule extraction;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;tool routing / strategy routing,coder_x_selected,"The cited source supports the selected label context aggregation / rule extraction;tool routing / strategy routing; each retained label requires an explicit connection that guides later action, feedback, packaging, or a gate.","https://arxiv.org/abs/2509.11523 | Paper pp. 1–2 (Abstract and paradigm), pp. 4–8 (agent workflow and report schema), pp. 9–16 (datasets, RQs and case study), and p. 17 (limitations). | excerpt pages 1, 4",no,TR,2026-08-12,C10__capability
C10,C10,VulAgent: a hypothesis validation-based multi-agent system for software vulnerability detection,primary system shape,candidate-analysis system,candidate-analysis system,candidate-analysis system,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C10,C10,VulAgent: a hypothesis validation-based multi-agent system for software vulnerability detection,principal reported evidence output,candidate judgment,candidate judgment,candidate judgment,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C10,C10,VulAgent: a hypothesis validation-based multi-agent system for software vulnerability detection,external traceability,no external trace reported,benchmark ground truth / public material,no external trace reported,coder_x_selected,The cited source supports the selected label no external trace reported under the codebook's item-level public-record alignment criterion.,"https://arxiv.org/abs/2509.11523 | Paper pp. 1–2 (Abstract and paradigm), pp. 4–8 (agent workflow and report schema), pp. 9–16 (datasets, RQs and case study), and p. 17 (limitations). | excerpt pages 9, 17",no,TR,2026-08-12,C10__external_traceability
C11,C11,MALF: a multi-agent LLM framework for intelligent fuzzing of industrial control protocols,lifecycle coverage,execution observation;path and input exploration,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,path and input exploration;execution observation,coder_x_selected,The cited source supports the selected label path and input exploration;execution observation; only observable workflow actions or outputs were retained.,"https://arxiv.org/abs/2510.02694 | Paper pp. 1–10 (architecture/workflows), pp. 11–18 (evaluation), and pp. 18–19 (Table 5, CNVD-2024-16009 and Figure 13). | excerpt pages 4, 1",no,TR,2026-08-12,C11__lifecycle
C11,C11,MALF: a multi-agent LLM framework for intelligent fuzzing of industrial control protocols,cross-stage capability,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;long-horizon state management,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C11,C11,MALF: a multi-agent LLM framework for intelligent fuzzing of industrial control protocols,primary system shape,feedback-driven fuzzing agent,feedback-driven fuzzing agent,feedback-driven fuzzing agent,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C11,C11,MALF: a multi-agent LLM framework for intelligent fuzzing of industrial control protocols,principal reported evidence output,runtime safety signal,externally traceable material,runtime safety signal,coder_x_selected,The cited source supports the selected label runtime safety signal as the main observable result reported for the study.,"https://arxiv.org/abs/2510.02694 | Paper pp. 1–10 (architecture/workflows), pp. 11–18 (evaluation), and pp. 18–19 (Table 5, CNVD-2024-16009 and Figure 13). | excerpt pages 5, 19",no,TR,2026-08-12,C11__principal_evidence
C11,C11,MALF: a multi-agent LLM framework for intelligent fuzzing of industrial control protocols,external traceability,author-reported external clue,publicly aligned external trace,author-reported external clue,coder_x_selected,The cited source supports the selected label author-reported external clue under the codebook's item-level public-record alignment criterion.,"https://arxiv.org/abs/2510.02694 | Paper pp. 1–10 (architecture/workflows), pp. 11–18 (evaluation), and pp. 18–19 (Table 5, CNVD-2024-16009 and Figure 13). | excerpt pages 5, 18",no,TR,2026-08-12,C11__external_traceability
C12,C12,NeTestLLM: automated network protocol testing with LLM agents,lifecycle coverage,execution observation;path and input exploration;reporting and audit,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,path and input exploration;execution observation;reporting and audit,coder_x_selected,The cited source supports the selected label path and input exploration;execution observation;reporting and audit; only observable workflow actions or outputs were retained.,"https://arxiv.org/abs/2510.13248 | Paper pp. 1–3 (Abstract/workflow), pp. 4–8 (hierarchical understanding, generation and correction loops), and pp. 8–12 (evaluation and case study). | excerpt pages 6, 1",no,TR,2026-08-12,C12__lifecycle
C12,C12,NeTestLLM: automated network protocol testing with LLM agents,cross-stage capability,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management,coder_x_selected,"The cited source supports the selected label context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management; each retained label requires an explicit connection that guides later action, feedback, packaging, or a gate.","https://arxiv.org/abs/2510.13248 | Paper pp. 1–3 (Abstract/workflow), pp. 4–8 (hierarchical understanding, generation and correction loops), and pp. 8–12 (evaluation and case study). | excerpt pages 8, 1",no,TR,2026-08-12,C12__capability
C12,C12,NeTestLLM: automated network protocol testing with LLM agents,primary system shape,feedback-driven fuzzing agent,long-horizon pentest and CRS agent,feedback-driven fuzzing agent,coder_x_selected,The cited source supports the selected label feedback-driven fuzzing agent as the dominant evaluated locus and objective of agent control.,"https://arxiv.org/abs/2510.13248 | Paper pp. 1–3 (Abstract/workflow), pp. 4–8 (hierarchical understanding, generation and correction loops), and pp. 8–12 (evaluation and case study). | excerpt pages 6, 12",no,TR,2026-08-12,C12__primary_shape
C12,C12,NeTestLLM: automated network protocol testing with LLM agents,principal reported evidence output,runtime safety signal,controlled task completion,runtime safety signal,coder_x_selected,The cited source supports the selected label runtime safety signal as the main observable result reported for the study.,"https://arxiv.org/abs/2510.13248 | Paper pp. 1–3 (Abstract/workflow), pp. 4–8 (hierarchical understanding, generation and correction loops), and pp. 8–12 (evaluation and case study). | excerpt pages 1, 2",no,TR,2026-08-12,C12__principal_evidence
C12,C12,NeTestLLM: automated network protocol testing with LLM agents,external traceability,no external trace reported,benchmark ground truth / public material,no external trace reported,coder_x_selected,The cited source supports the selected label no external trace reported under the codebook's item-level public-record alignment criterion.,"https://arxiv.org/abs/2510.13248 | Paper pp. 1–3 (Abstract/workflow), pp. 4–8 (hierarchical understanding, generation and correction loops), and pp. 8–12 (evaluation and case study). | excerpt pages 2, 1",no,TR,2026-08-12,C12__external_traceability
C13,C13,PBFuzz: agentic directed fuzzing for PoV generation,lifecycle coverage,candidate analysis;execution observation;path and input exploration;reproduction and validation,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,candidate analysis;path and input exploration;execution observation;reproduction and validation,coder_x_selected,The cited source supports the selected label candidate analysis;path and input exploration;execution observation;reproduction and validation; only observable workflow actions or outputs were retained.,"https://arxiv.org/abs/2512.04611 | Paper pp. 1–6 (motivation, architecture and workflow state), pp. 6–10 (tools/implementation), and pp. 10–20 (evaluation, limitations and conclusion). | excerpt pages 3, 5",no,TR,2026-08-12,C13__lifecycle
C13,C13,PBFuzz: agentic directed fuzzing for PoV generation,cross-stage capability,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,context aggregation / rule extraction;tool routing / strategy routing;feedback interpretation / loop adjustment;validation organization / evidence packaging;long-horizon state management;failure reuse / strategy update,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C13,C13,PBFuzz: agentic directed fuzzing for PoV generation,primary system shape,"reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent","reproduction-, validation-, and repair-centered agent",agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C13,C13,PBFuzz: agentic directed fuzzing for PoV generation,principal reported evidence output,reproducible validation,reproducible validation,reproducible validation,agreed_assignment,Independent assignments agreed; no adjudication was required.,,no,,,
C13,C13,PBFuzz: agentic directed fuzzing for PoV generation,external traceability,no external trace reported,benchmark ground truth / public material,no external trace reported,coder_x_selected,The cited source supports the selected label no external trace reported under the codebook's item-level public-record alignment criterion.,"https://arxiv.org/abs/2512.04611 | Paper pp. 1–6 (motivation, architecture and workflow state), pp. 6–10 (tools/implementation), and pp. 10–20 (evaluation, limitations and conclusion). | excerpt pages 1, 5",no,TR,2026-08-12,C13__external_traceability
C14,C14,Co-RedTeam: orchestrated security discovery and exploitation with LLM agents,lifecycle coverage,candidate analysis;execution observation;path and input exploration,candidate analysis;execution observation;path and input exploration;reporting and audit;reproduction and validation,candidate analysis;path and input exploration;execution observation,coder_x_selected,The cited source supports the selected label candidate analysis;path and input exploration;execution observation; only observable workflow actions or outputs were retained.,"https://arxiv.org/abs/2602.02164 | Paper pp. 1–3 (Abstract and contribution), pp. 4–8 (discovery/exploitation agents, feedback and memory), and pp. 8–13 (Tables 1–3, ablations and conclusion). | excerpt pages 3, 5",no,TR,2026-08-12,C14__lifecycle
