core_id,record_id,system_alias,title,publication_status,boundary_role,materials_to_review,coder2_cross_stage_capability_label,coder2_capability_decision_reason,coder2_capability_uncertainty_note,coder2_external_traceability_label,coder2_external_traceability_decision_reason,coder2_external_traceability_uncertainty_note
C11,CP076,MALF,MALF: a multi-agent LLM framework for intelligent fuzzing of industrial control protocols,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP076 / title: MALF: a multi-agent LLM framework for intelligent fuzzing of industrial control protocols. Use the capability definitions in Table 4 / codebook and the external-audit-material definitions to code cross-stage capability labels and external traceability. Do not consult original labels or adjudication files before independent coding.,,,,,,
C12,CP077,NeTestLLM,NeTestLLM: automated network protocol testing with LLM agents,arXiv preprint,standard_core_entry,Review the public paper and any public artifact or project materials for record CP077 / title: NeTestLLM: automated network protocol testing with LLM agents. Use the capability definitions in Table 4 / codebook and the external-audit-material definitions to code cross-stage capability labels and external traceability. Do not consult original labels or adjudication files before independent coding.,,,,,,
C13,CP078,PBFuzz,PBFuzz: agentic directed fuzzing for PoV generation,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP078 / title: PBFuzz: agentic directed fuzzing for PoV generation. Use the capability definitions in Table 4 / codebook and the external-audit-material definitions to code cross-stage capability labels and external traceability. Do not consult original labels or adjudication files before independent coding.,,,,,,
C14,CP080,Co-RedTeam,Co-RedTeam: orchestrated security discovery and exploitation with LLM agents,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP080 / title: Co-RedTeam: orchestrated security discovery and exploitation with LLM agents. Use the capability definitions in Table 4 / codebook and the external-audit-material definitions to code cross-stage capability labels and external traceability. Do not consult original labels or adjudication files before independent coding.,,,,,,
C15,CP081,Real-world Pentest Agent Study,What makes a good LLM agent for real-world penetration testing?,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP081 / title: What makes a good LLM agent for real-world penetration testing?. Use the capability definitions in Table 4 / codebook and the external-audit-material definitions to code cross-stage capability labels and external traceability. Do not consult original labels or adjudication files before independent coding.,,,,,,
C16,CP082,LLMVD.js,Taint-style vulnerability detection and confirmation for node.js packages using LLM agent reasoning,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP082 / title: Taint-style vulnerability detection and confirmation for node.js packages using LLM agent reasoning. Use the capability definitions in Table 4 / codebook and the external-audit-material definitions to code cross-stage capability labels and external traceability. Do not consult original labels or adjudication files before independent coding.,,,,,,
C17,CP083,Multi-Agent Harnesses,Synthesizing multi-agent harnesses for vulnerability discovery,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP083 / title: Synthesizing multi-agent harnesses for vulnerability discovery. Use the capability definitions in Table 4 / codebook and the external-audit-material definitions to code cross-stage capability labels and external traceability. Do not consult original labels or adjudication files before independent coding.,,,,,,
C18,CP084,PentestAgent,PentestAgent: incorporating LLM agents to automated penetration testing,not_publicly_available,standard_core_entry,Review the public paper and any public artifact or project materials for record CP084 / title: PentestAgent: incorporating LLM agents to automated penetration testing. Use the capability definitions in Table 4 / codebook and the external-audit-material definitions to code cross-stage capability labels and external traceability. Do not consult original labels or adjudication files before independent coding.,,,,,,
C19,CP085,LIVA,LIVA: a multi-agent LLM-assisted system for IoT vulnerability analysis,not_publicly_available,standard_core_entry,Review the public paper and any public artifact or project materials for record CP085 / title: LIVA: a multi-agent LLM-assisted system for IoT vulnerability analysis. Use the capability definitions in Table 4 / codebook and the external-audit-material definitions to code cross-stage capability labels and external traceability. Do not consult original labels or adjudication files before independent coding.,,,,,,
C20,CP089,FirmAgent,FirmAgent: leveraging fuzzing to assist LLM agents with IoT firmware vulnerability discovery,not_publicly_available,standard_core_entry,Review the public paper and any public artifact or project materials for record CP089 / title: FirmAgent: leveraging fuzzing to assist LLM agents with IoT firmware vulnerability discovery. Use the capability definitions in Table 4 / codebook and the external-audit-material definitions to code cross-stage capability labels and external traceability. Do not consult original labels or adjudication files before independent coding.,,,,,,
C21,CP094,PANGOLIN,PANGOLIN: fuzzing multilingual IoT firmware with LLM-driven code analysis,not_publicly_available,standard_core_entry,Review the public paper and any public artifact or project materials for record CP094 / title: PANGOLIN: fuzzing multilingual IoT firmware with LLM-driven code analysis. Use the capability definitions in Table 4 / codebook and the external-audit-material definitions to code cross-stage capability labels and external traceability. Do not consult original labels or adjudication files before independent coding.,,,,,,
C22,CP095,TransferFuzz-Pro,TransferFuzz-pro: LLM-driven code debugging for verifying propagated vulnerability,journal article,standard_core_entry,Review the public paper and any public artifact or project materials for record CP095 / title: TransferFuzz-pro: LLM-driven code debugging for verifying propagated vulnerability. Use the capability definitions in Table 4 / codebook and the external-audit-material definitions to code cross-stage capability labels and external traceability. Do not consult original labels or adjudication files before independent coding.,,,,,,
C23,CP130,Cybench,Cybench: A Framework for Evaluating Cybersecurity Capabilities and Risks of Language Models,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP130 / title: Cybench: A Framework for Evaluating Cybersecurity Capabilities and Risks of Language Models. Use the capability definitions in Table 4 / codebook and the external-audit-material definitions to code cross-stage capability labels and external traceability. Do not consult original labels or adjudication files before independent coding.,,,,,,
C24,CP131,BountyBench,BountyBench: Dollar Impact of AI Agent Attackers and Defenders on Real-World Cybersecurity Systems,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP131 / title: BountyBench: Dollar Impact of AI Agent Attackers and Defenders on Real-World Cybersecurity Systems. Use the capability definitions in Table 4 / codebook and the external-audit-material definitions to code cross-stage capability labels and external traceability. Do not consult original labels or adjudication files before independent coding.,,,,,,
C25,CP132,SEC-bench,SEC-bench: Automated Benchmarking of LLM Agents on Real-World Software Security Tasks,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP132 / title: SEC-bench: Automated Benchmarking of LLM Agents on Real-World Software Security Tasks. Use the capability definitions in Table 4 / codebook and the external-audit-material definitions to code cross-stage capability labels and external traceability. Do not consult original labels or adjudication files before independent coding.,,,,,,
C26,CP133,CyberGym,CyberGym: Evaluating AI Agents' Cybersecurity Capabilities with Real-World Vulnerabilities at Scale,preprint/project page,standard_core_entry,Review the public paper and any public artifact or project materials for record CP133 / title: CyberGym: Evaluating AI Agents' Cybersecurity Capabilities with Real-World Vulnerabilities at Scale. Use the capability definitions in Table 4 / codebook and the external-audit-material definitions to code cross-stage capability labels and external traceability. Do not consult original labels or adjudication files before independent coding.,,,,,,
C27,GB001,AgentFuzz,Make Agent Defeat Agent: Automatic Detection of Taint-Style Vulnerabilities in LLM-Based Agents,peer_reviewed,governance_boundary_case,Review the public USENIX Security 2025 paper and public Open Science artifact for GB001 / AgentFuzz. C27 is included as a governance boundary case rather than the target-software vulnerability-evidence main line. Use the capability definitions in Table 4 / codebook and the external-audit-material definitions to code cross-stage capability labels and external traceability. Do not consult original labels or adjudication files before independent coding.,,,,,,
C28,CP206,FuzzingBrain V2,FuzzingBrain V2: A Multi-Agent LLM System for Automated Vulnerability Discovery and Reproduction,verified_by_official_source,standard_core_entry,Review the public paper and any public artifact or project materials for record CP206 / title: FuzzingBrain V2: A Multi-Agent LLM System for Automated Vulnerability Discovery and Reproduction. Use the capability definitions in Table 4 / codebook and the external-audit-material definitions to code cross-stage capability labels and external traceability. Do not consult original labels or adjudication files before independent coding.,,,,,,
C29,CP207,DrillAgent,Execution-State-Aware LLM Reasoning for Automated Proof-of-Vulnerability Generation,verified_by_official_source,standard_core_entry,Review the public paper and any public artifact or project materials for record CP207 / title: Execution-State-Aware LLM Reasoning for Automated Proof-of-Vulnerability Generation. Use the capability definitions in Table 4 / codebook and the external-audit-material definitions to code cross-stage capability labels and external traceability. Do not consult original labels or adjudication files before independent coding.,,,,,,
C30,CP208,OSS-CRS,OSS-CRS: Liberating AIxCC Cyber Reasoning Systems for Real-World Open-Source Security,verified_by_official_source,standard_core_entry,Review the public paper and any public artifact or project materials for record CP208 / title: OSS-CRS: Liberating AIxCC Cyber Reasoning Systems for Real-World Open-Source Security. Use the capability definitions in Table 4 / codebook and the external-audit-material definitions to code cross-stage capability labels and external traceability. Do not consult original labels or adjudication files before independent coding.,,,,,,
C31,CP209,GONDAR,Contextualizing Sink Knowledge for Java Vulnerability Discovery,verified_by_official_source,standard_core_entry,Review the public paper and any public artifact or project materials for record CP209 / title: Contextualizing Sink Knowledge for Java Vulnerability Discovery. Use the capability definitions in Table 4 / codebook and the external-audit-material definitions to code cross-stage capability labels and external traceability. Do not consult original labels or adjudication files before independent coding.,,,,,,
