matrix_id,system,principal_reported_evidence_output,public_implementation_located,environment_or_build_instructions,trigger_replay_poc_pov_artifact,execution_trace_or_log,patch_artifact,source_location,evidence_note,audit_scope
C11,MALF,runtime safety signal,located,not located,not located,not located,not located,"Paper pp. 1–10 (architecture/workflows), pp. 11–18 (evaluation), and pp. 18–19 (Table 5, CNVD-2024-16009 and Figure 13).",论文称Data available on request；public metadata status recorded; ,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
C12,NeTestLLM,candidate judgment,located,not located,not located,not located,not located,"Paper pp. 1–3 (Abstract/workflow), pp. 4–8 (hierarchical understanding, generation and correction loops), and pp. 8–12 (evaluation and case study).",public metadata status recorded; ,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
C13,PBFuzz,reproducible validation,located,not located,not located,not located,not located,"Paper pp. 1–6 (motivation, architecture and workflow state), pp. 6–10 (tools/implementation), and pp. 10–20 (evaluation, limitations and conclusion).",public metadata status recorded; 全文含workflow和prompt模板。,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
C14,Co-RedTeam,controlled task completion,located,not located,not located,not located,not located,"Paper pp. 1–3 (Abstract and contribution), pp. 4–8 (discovery/exploitation agents, feedback and memory), and pp. 8–13 (Tables 1–3, ablations and conclusion).",public metadata status recorded; ,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
C15,Real-world Pentest Agent Study,controlled task completion,located,not located,not located,not located,not located,"Paper pp. 1–6 (failure analysis), pp. 6–9 (PentestGPTV2 design), and pp. 9–13 (evaluation, strategy case study and deployment).",public metadata status recorded; ,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
C16,LLMVD.js,reproducible validation,located,not located,not located,not located,not located,"Paper pp. 1–5 (Abstract and pipeline), pp. 5–8 (system and PoC validation), pp. 8–12 (evaluation), and pp. 10–13 (new-package results/limitations).",public metadata status recorded; 敏感PoC可能不公开。,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
C17,Multi-Agent Harnesses,candidate judgment,located,not located,not located,not located,not located,"Paper pp. 1–3 (Abstract and motivating harness), pp. 5–9 (typed DSL and outer loop), and pp. 9–12 (evaluation, Table 2 and vendor-confirmed CVEs).",论文声明开源https://github.com/berabuddies/agentflow；Chrome PoC/配置因披露限制不公开。,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
C18,PentestAgent,controlled task completion,located,not located,not located,not located,not located,"Paper pp. 1–5 (Abstract/background), pp. 5–8 (system overview and agents), and pp. 8–12 (evaluation and limitations).",论文给出GitHub仓库：https://github.com/nbshenxm/pentest-agent；public metadata status recorded; ,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
C19,LIVA,candidate judgment,located,not located,not located,not located,not located,"Paper pp. 1–3 (Abstract and contributions), pp. 5–8 (source/sink and taint-analysis agents), pp. 8–13 (evaluation), and p. 13 (vendor/device-to-CVE/CNVD table).",论文声明公开https://github.com/RingBDStack/LIVA；public metadata status recorded; ,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
C20,FirmAgent,reproducible validation,located,not located,not located,not located,not located,"Paper pp. 1–5 (Abstract/motivation), pp. 5–9 (fuzzing, taint and PoC agents), pp. 9–12 (Tables IV–VI and evaluation), and p. 14 (disclosure).",public metadata status recorded; ,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
C21,PANGOLIN,candidate judgment,located,not located,located,not located,not located,"Paper pp. 1–5 (Abstract and design), pp. 5–10 (specification generation/correction and fuzzing), pp. 10–14 (evaluation/disclosure), and Appendix C pp. 18–20 (IDs).",论文声明Open Science DOI:10.6084/m9.figshare.30904379；另有GitHub链接https://github.com/vul337/PANGOLIN.git，public metadata status recorded; ,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
C22,TransferFuzz-Pro,reproducible validation,located,not located,not located,not located,not located,"Paper pp. 1–3 (Abstract/motivation), pp. 4–9 (LLM debugging and PoC workflow), and pp. 9–14 (RQ1–RQ5 and CVE-to-binary tables).",public metadata status recorded; ,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
C23,Cybench,controlled task completion,located,located,not located,located,not located,"Paper pp. 1–7 (Abstract, task framework and agent), pp. 7–11 (evaluation and reproducibility discussion), and task appendices (representative solution traces/scripts).",可得；论文声明code/data公开于cybench.github.io。,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
C24,BountyBench,candidate judgment,located,not located,not located,located,located,"Paper pp. 1–3 (Abstract/framework), pp. 3–7 (Detect/Exploit/Patch evaluators), pp. 7–10 (agent evaluation), and public benchmark/run-log description.",可得；论文声明code和run logs在bountybench.github.io。,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
C25,SEC-bench,reproducible validation,located,not located,located,not located,located,"Paper pp. 1–3 (Abstract and benchmark construction), pp. 3–6 (SECVerifier and task criteria), pp. 7–10 (agent evaluation), and released code/dataset URLs on p. 1.",可得；论文给出GitHub、HuggingFace dataset和leaderboard。,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
C26,CyberGym,reproducible validation,located,not located,not located,not located,not located,"Paper pp. 1–6 (Abstract, benchmark construction and PoC oracle), pp. 6–9 (evaluation and zero-day deployment), and Appendix E pp. 34–35 (incomplete-patch/zero-day analysis).",项目页可追溯；specific artifact status not assigned in public metadata; public metadata status recorded; ,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
C28,FuzzingBrain V2,runtime safety signal,located,not located,located,not located,not located,"Paper pp. 1–3 (Abstract/system goals), pp. 3–8 (three-stage design and PoC pipeline), pp. 8–12 (evaluation), and pp. 12–13 (zero-day table/case study).",arXiv PDF/HTML/source available; project artifact not assigned from current public metadata.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
C29,DrillAgent,reproducible validation,located,not located,not located,not located,not located,"Paper pp. 1–3 (Abstract/motivation), pp. 3–6 (DrillAgent design and agents), and pp. 7–12 (SEC-bench evaluation, ablations and limitations).",not assigned from current public metadata.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
C30,OSS-CRS,reproducible validation,located,not located,not located,not located,not located,"Paper pp. 1–4 (Abstract/motivation), pp. 4–7 (architecture and adapters), pp. 7–9 (porting/evaluation and disclosure outcomes), and p. 10 (conclusion/ethics).",project page linked from arXiv; public availability recorded at source level.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
C31,GONDAR,reproducible validation,located,not located,not located,not located,not located,"Paper pp. 1–4 (Abstract/overview), pp. 4–7 (methodology and agents), pp. 7–14 (evaluation and industry validation), and pp. 15–17 (discussion/disclosure).",arXiv landing page and PDF/source available; no separate public artifact assigned in this release.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U01,RAVEN,controlled task completion,not located,not located,not located,not located,not located,"Paper pp. 1–3 (Abstract/design motivation), pp. 3–7 (RAG/curator/repair-review loop), and pp. 7–11 (evaluation and conclusion).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U02,Revelio,reproducible validation,not located,not located,not located,not located,not located,"Paper pp. 1–6 (architecture), pp. 6–11 (evaluation), especially pp. 8–9 (finding table and CVE case study).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U03,OpenAnt,reproducible validation,not located,not located,not located,not located,not located,"Paper pp. 1–6 (architecture and dynamic verification), pp. 6–10 (evaluation/results), and pp. 13–14 (limitations/conclusion).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U04,Code-Augur,runtime safety signal,not located,not located,not located,not located,not located,"Paper pp. 1–8 (specification-first design and runtime falsification), pp. 8–12 (evaluation and public CVE mappings).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U05,Transferable Self-Evolving Playbooks for Agentic Security Auditing,candidate judgment,not located,not located,not located,not located,not located,"Paper pp. 1–7 (EvoHunt/playbook loop), pp. 7–13 (experiments/discussion), and p. 15 (published GHSA/CVE mappings).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U06,DIG,reproducible validation,not located,not located,not located,not located,not located,"Paper pp. 1–8 (oracle-guided design), pp. 8–13 (Magma CVE evaluation and new-finding study), and pp. 13–14 (limitations/disclosure).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U07,NeuroLog,reproducible validation,not located,not located,not located,not located,not located,"Paper pp. 1–7 (neuro-symbolic pipeline), pp. 14–17 (evaluation and CVE rediscovery), and pp. 20–23 (discussion/conclusion).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U08,EvoRepair,reproducible validation,not located,not located,not located,not located,not located,"Paper pp. 1–9 (experience bank and repair loop), pp. 9–15 (benchmark evaluation and transfer).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U09,Quality-Assured Fuzz Harness Generation via the Four Principles Framework,reproducible validation,not located,not located,not located,not located,not located,"Paper pp. 1–6 (Four Principles and generate-check-fix loop), pp. 6–12 (RQ1–RQ5), and p. 14 (ethics/release boundary).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U10,ContraFix,reproducible validation,not located,not located,not located,not located,not located,"Paper pp. 1–5 (contrastive runtime repair design), pp. 5–9 (PatchEval evaluation), and pp. 9–10 (discussion/conclusion).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U11,MemRepair,reproducible validation,not located,not located,not located,not located,not located,"Paper pp. 1–5 (hierarchical memory/refinement loop), pp. 5–10 (evaluation, cases and conclusion).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U12,Veritas,reproducible validation,not located,not located,not located,not located,not located,"Paper pp. 1–6 (Slicer/Discover/Validator), pp. 6–10 (runtime-oracle evaluation and limitations).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U13,FuzzAgent,runtime safety signal,not located,not located,not located,not located,not located,"Paper pp. 1–8 (full fuzzing lifecycle and sandboxed tools), pp. 8–14 (evaluation, crash reports and disclosure controls).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U14,Agentic Fuzzing,externally traceable material,not located,not located,not located,not located,not located,"Paper pp. 1–7 (AFuzz pipeline), pp. 7–12 (evaluation, Table 1/issue mappings and discussion).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U15,Root-Cause-Driven Automated Vulnerability Repair,reproducible validation,not located,not located,not located,not located,not located,"Paper pp. 1–6 (root-cause repair design), pp. 6–12 (patching/comprehensiveness/quality evaluation), and p. 13 (conclusion).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U16,Generating Proof-of-Vulnerability Tests to Help Enhance the Security of Complex,reproducible validation,not located,not located,not located,not located,not located,"Paper pp. 1–5 (PoVSmith workflow), pp. 5–10 (evaluation and PR/CVE-request outcomes).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U17,FunFuzz,externally traceable material,not located,not located,not located,not located,not located,"Paper pp. 1–5 (multi-island fuzzing), pp. 5–12 (evaluation and upstream issue classification), and p. 13 (artifact/disclosure).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U18,APIOT,controlled task completion,not located,not located,not located,not located,not located,"Paper pp. 1–7 (APIOT mission cycle and controls), pp. 7–16 (290-run evaluation and patch verification), and pp. 16–17 (limitations/tools).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U21,Symbolic Execution Meets Multi-LLM Orchestration,controlled task completion,not located,not located,not located,not located,not located,"Paper pp. 1–6 (four-agent/KLEE pipeline), pp. 6–10 (evaluation, graph artifacts and limitations).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U22,Automation-Exploit,controlled task completion,not located,not located,not located,not located,not located,"Paper pp. 1–14 (adaptive safety architecture and digital twin), pp. 14–22 (scenario evaluation and reproducibility).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U23,Towards Optimal Agentic Architectures for Offensive Security Tasks,controlled task completion,not located,not located,not located,not located,not located,"Paper pp. 1–6 (architecture families and validator), pp. 6–9 (600-run results), and appendices pp. 15–17 (prompts/PoC validation).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U25,V2E,reproducible validation,not located,not located,not located,not located,not located,"Paper pp. 1–9 (V2E design/workflow), pp. 12–20 (execution-based validation evaluation and case study).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U26,COBALT-TLA,candidate judgment,not located,not located,not located,not located,not located,"Paper pp. 1–4 (neuro-symbolic TLC loop, three targets and counterexample results).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U27,Argus,candidate judgment,not located,not located,not located,not located,not located,"Paper pp. 1–6 (Argus pipeline/PoC reasoning/reporting), pp. 6–8 (evaluation and static-only limitation).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U28,PoC-Adapt,reproducible validation,not located,not located,not located,not located,not located,"Paper pp. 1–10 (semantic oracle and adaptive policy), pp. 10–15 (PoC verification results and limitations).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U29,Guiding Symbolic Execution with Static Analysis and LLMs for Vulnerability Disco,reproducible validation,not located,not located,not located,not located,not located,"Paper pp. 1–8 (static/LLM/symbolic workflow and concrete replay), pp. 8–11 (evaluation, evidence package and disclosure boundary).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U31,Fuzzing with Agents? Generators Are All You Need,controlled task completion,not located,not located,not located,not located,not located,"Paper pp. 1–5 (Gentoo generator loop), pp. 5–10 (coverage experiments), and pp. 10–12 (discussion/conclusion).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U32,STRIATUM-CTF,controlled task completion,not located,not located,not located,not located,not located,"Paper pp. 1–5 (MCP architecture, validation and scoped execution), pp. 5–8 (CTF workflow/results).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U33,VulnAgent-R2,runtime safety signal,not located,not located,not located,not located,not located,"Paper pp. 1–6 (evidence-calibrated architecture), pp. 6–11 (benchmark/dynamic-verification evaluation and limitations).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U34,Coverage-Guided Multi-Agent Harness Generation for Java Library Fuzzing,runtime safety signal,not located,not located,not located,not located,not located,"Paper pp. 1–5 (five-agent harness workflow), pp. 5–8 (coverage-guided evaluation and conclusion).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U35,vEcho,candidate judgment,not located,not located,not located,not located,not located,"Paper pp. 1–6 (memory/tool design), pp. 6–11 (benchmark and zero-day case study), pp. 11–13 (limitations/disclosure).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U36,FuzzySQL,reproducible validation,not located,not located,not located,not located,not located,"Paper pp. 1–14 (stateful fuzzing/error repair), pp. 14–22 (evaluation/cases), and p. 28 (disclosure-status appendix).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U37,QRS,externally traceable material,not located,not located,not located,not located,not located,"Paper pp. 1–8 (QRS triad and validation), pp. 8–17 (historical/new-CVE evaluation), and CVE tables/appendices.",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U38,A Dual-Loop Agent Framework for Automated Vulnerability Reproduction,reproducible validation,not located,not located,not located,not located,not located,"Paper pp. 1–10 (dual-loop reproduction architecture), pp. 10–18 (617-case evaluation and discussion).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U39,Multi-Agent End-to-End Vulnerability Management for Mitigating Recurring Vulnera,controlled task completion,not located,not located,not located,not located,not located,"Paper pp. 1–7 (VKB and five-stage pipeline), pp. 7–11 (detection/repair evaluation and limitations).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U40,VulnResolver,reproducible validation,not located,not located,not located,not located,not located,"Paper pp. 1–7 (hybrid issue-resolution workflow), pp. 7–13 (SEC-bench evaluation and conclusion).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
U41,Multi-Agent Taint Specification Extraction for Vulnerability Detection,candidate judgment,not located,not located,not located,not located,not located,"Paper pp. 1–10 (SemTaint architecture), pp. 10–14 (evaluation and unknown-vulnerability/disclosure boundary).",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0090,A Systematic Study on Generating Web Vulnerability Proof-of-Concepts Using Large,reproducible validation,not located,not located,not located,not located,not located,"Public full text: Sections 3-5, adaptive-feedback design, validator definitions, and the 100-CVE evaluation.",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0100,ACFIX,reproducible validation,not located,not located,not located,not located,not located,"Public full text: Sections IV-V, generator-validator loop, patch-validation procedure, Table II, and exploit-script evaluation.",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0105,Adaptive Plan-Execute Framework for Smart Contract Security Auditing,candidate judgment,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2505.15242,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0109,Advanced Smart Contract Vulnerability Detection via LLM-Powered Multi-Agent Syst,candidate judgment,not located,not located,not located,not located,not located,public full text; https://daoyuan14.github.io/papers/TSE25_LLM-SmartAudit.pdf,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0120,AEGIS,candidate judgment,located,not located,not located,not located,not located,"Reviewed full text, p. 2",https://github.com/secureai4code/Aegis.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0134,Agent That Debugs,reproducible validation,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2504.07634,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0152,Agentic Vulnerability Reasoning on COTS Binaries,reproducible validation,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2605.05000,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0206,Antiproof,candidate judgment,not located,not located,not located,not located,not located,Public full text: Fig. 3; Sections 3.1-3.3; Algorithm 1; Section 5 and Table 4; ethics discussion.,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0212,APT-Agent,controlled task completion,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2605.24949,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0214,ARACNE,controlled task completion,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2502.18528,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0219,Are Frontier LLMs Ready for Cybersecurity? Evidence for Vertical Foundation Mode,candidate judgment,not located,not located,not located,not located,not located,"Public full text and extracted mechanism/evaluation locations: p. 2, p. 1",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0226,Artificial Intelligence as the New Hacker,controlled task completion,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2406.07561,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0239,ATLANTIS,reproducible validation,located,not located,located,located,located,"Reviewed full text, p. 146",https://github.com/Team-,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0254,Automated Penetration Testing with LLM Agents and Classical Planning,controlled task completion,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2512.11143,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0257,Automated Vulnerability Validation and Verification,reproducible validation,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2509.24037,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0258,"Automatic, Expressive, and Scalable Fuzzing with Stitching",externally traceable material,located,located,not located,not located,not located,"Reviewed full text, p. 15",https://github.com/hgarrereyn/STITCH.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0267,AutoPatch,candidate judgment,located,not located,not located,not located,not located,"Reviewed full text, p. 8",https://github.com/ai-llm-research/autopatch.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0269,AutoPenBench,controlled task completion,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2410.03225,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0270,AutoPentest,controlled task completion,located,not located,located,not located,not located,"Reviewed full text, p. 2",https://github.com/JuliusHenke/autopentest,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0271,AutoPentester,controlled task completion,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2510.05605,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0272,AutoPT,controlled task completion,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2411.01236,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0281,AWE,controlled task completion,located,not located,located,not located,not located,"Reviewed full text, p. 1",https://github.com/stuxlabs/AWE,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0284,BACFuzz,candidate judgment,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2507.15984,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0288,Baselines Before Architecture,controlled task completion,located,not located,located,not located,located,"Reviewed full text, p. 9",https://github.com/xbow-engineering/validation-benchmarks,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0297,Benchmarking LLMs and LLM-based Agents in Practical Vulnerability Detection for ,candidate judgment,not located,not located,not located,not located,not located,"Public full text: Sections 2-4, JitVul construction, ReAct context tools, benchmark definition, and evaluation.",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0347,Bulkhead,reproducible validation,not located,not located,not located,not located,not located,"Public full text and extracted mechanism/evaluation locations: p. 2, p. 1, p. 9",No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0362,Can LLMs Patch Security Issues?,reproducible validation,located,not located,not located,not located,not located,"Reviewed full text, p. 1",https://github.com/Kamel773/,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0372,Chai,reproducible validation,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2606.26933,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0376,CHAINTRIX,candidate judgment,located,not located,located,not located,not located,"Reviewed full text, p. 17",https://github.com/gabrieladobritaene/chtx,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
FMS0389,CKG-LLM,candidate judgment,not located,not located,not located,not located,not located,public full text; https://arxiv.org/pdf/2512.06846,No explicit public implementation indicator was located in the reviewed material.,Located in reviewed public material; no artifact was executed or reproduced for this extraction.
