record_id,field,row_status,task_id,case_id,third_party_task_id,third_party_case_id,third_party_row_type,third_party_final_label,third_party_verified_evidence_locator,third_party_brief_reason,third_party_confidence,third_party_unresolved,third_party_reviewer_initials,third_party_review_date,reviewer_initials,review_date,qc_hidden_reference_label,qc_matches_hidden_reference
FMS0885,primary system shape,qc_agreement,R2-129,A194,R2-129,A194,qc_agreement,"reproduction-, validation-, and repair-centered agent",p.8; papers/A194.pdf,"论文将主要系统任务表述为“Instruction-tuned P-C↑ P-V↓ P-B↓ P-R↓ None 81 179 125 50 Security researcher(SR) 54 153 187 41 Code author(CA) 52 39 314 30 Moderator(M) 96 154 134 51 Review board(RB) 72 133 183 47 SR + CA 34 40 331 30 SR + CA + M 32 37 338 28 SR + CA + M + RB 45 46 305 39 thereview boardclassifies the issue as partially valid with low sever- ity (which is below the vulnerability threshold), opting to monitor rather than patch, thereby filteri”。按主任务及主要评价对象，agent 控制的中心落在 reproduction-, validation-, and repair-centered agent，而不是由 agent 数量或系统名称推定。",high,no,OY,2026-08-24,OY,2026-08-24,candidate-analysis system,False
U35,principal reported evidence output,qc_agreement,R2-136,A189,R2-136,A189,qc_agreement,candidate judgment,p.8; papers/A189.pdf,"p.8 报告“Performance is evaluated using Detection Rate (↑), Avg FDR (↓), and Avg F1 Score (↑). Method #Detected(/10)Detection Rate(%)Avg FDR(%)Avg F1 Score vEcho+ GPT-4.1 6 60 52.94 0.420 DeepSeek-R1-0528 5(↓1)50(↓10)62.53(↑9.59)0.417(↓0.003) GLM-4.5 6(= 0)60(= 0)70.97(↑18.03)0.325(↓0.095) Qwen3 30B 4(↓2)40(↓20)89.47(↑36.53)0.191(↓0.229) Qwen3 8B 6(= 0)60(= 0)86.96(↑34.02)0.222(↓0.198) Analysis and Selection.The results, presented in Ta”。主要结果是检测、分类或定位候选的判断指标。",high,no,OY,2026-08-24,OY,2026-08-24,candidate judgment,True
FMS0885,external traceability,qc_agreement,R2-147,A194,R2-147,A194,qc_agreement,author-reported external clue,p.10; papers/A194.pdf,"论文相关事实为“We manually inspected the flagged vulnerabilities, attempted exploit generation, and reported confirmed issues to the respective maintainers if the vulnerable code was used in the project (i.e., not dead code).”。这是作者报告的披露/确认线索，但未同时提供读者可逐项定位的 trigger、replay、PoC 或公开记录链接。",medium,no,OY,2026-08-24,OY,2026-08-24,benchmark ground truth / public material,False
U35,external traceability,qc_agreement,R2-148,A189,R2-148,A189,qc_agreement,author-reported external clue,p.13; papers/A189.pdf,论文相关事实为“All 0-day vulnerabilities discovered during this research were responsibly disclosed to the respective project maintainers following standard Co- ordinated Vulnerability Disclosure (CVD) protocols (Section 5.2).”。这是作者报告的披露/确认线索，但未同时提供读者可逐项定位的 trigger、replay、PoC 或公开记录链接。,medium,no,OY,2026-08-24,OY,2026-08-24,author-reported external clue,True
U17,cross-stage capability,qc_agreement,R2-150,A187,R2-150,A187,qc_agreement,no qualifying label observed,p.11; papers/A187.pdf,"论文描述的相关流程为“As shown in Table 8, distinct GNU Compilers Variant G++ΔGCCΔ Baseline 243974 – 237623 – +Fail 252051 +8077 205721 -31902 +Used 243035 -939 221532 -16091 +Time 249220 +5246 245252 +7629 +Score 269907 +25933 243921 +6298 +Global 257523 +13549 252726 +15103 +Zero 272498 +28524 226472 -11151 +Filter 264239 +20265 246648 +9025 LLVM Compilers Variant Clang++ΔClangΔ Baseline 653402 – 535340 – +Fail 687770 +34368 568795 +33455 +Used 68”。全文未定位到可核查的“前序信息或反馈 -> 后续动作改变”链条，故不把多模块并列或普通人工评估计为 cross-stage capability。",medium,no,OY,2026-08-24,OY,2026-08-24,failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,False
U17,principal reported evidence output,qc_agreement,R2-158,A187,R2-158,A187,qc_agreement,runtime safety signal,p.6; papers/A187.pdf,"p.6 报告“When we report whether a bug is “not fixed in trunk”, we reproduce crashes on a pinned trunk snapshot to keep results reproducible.”。主要结果以覆盖、崩溃、运行时违规或新 bug 等运行信号呈现。",high,no,OY,2026-08-24,OY,2026-08-24,externally traceable material,False
FMS0533,lifecycle coverage,qc_agreement,R2-173,A193,R2-173,A193,qc_agreement,candidate analysis; reporting and audit,p.1；p.2; papers/A193.pdf,"candidate analysis: p.1“In this paper, we proposeVIC-RAGENT, an LLM-based multi- agent framework for effective and explainable vulnerability detection. VIC-RAGENTleverages multiple specialized agents to provide comple- mentary perspectives, including structural analysis, intent understand- ing, and vulnerability inspection.”；reporting and audit: p.2“When a vulnerability is confirmed, aDocument Specialistagent generates a security report that is stored in the knowledge base, enabling future analyzes to leverage historical vulnerability cases.”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",high,no,OY,2026-08-24,OY,2026-08-24,candidate analysis;reporting and audit,True
FMS0362,external traceability,qc_agreement,R2-183,A192,R2-183,A192,qc_agreement,no external trace reported,"p.1, Abstract/Introduction; papers/A192.pdf","论文相关事实为“Can LLMs Patch Security Issues? Kamel Alrashedy, Abdullah Aljasser, Pradyumna Tambwekar, Matthew Gombolay Georgia Institute of Technology, GA, USA {kalrashedy3,aaljasser3,ptambwekar3}@gatech.edu {matthew.gombolay}@cc.gatech.edu Abstract Large Language Models (LLMs) have shown impressive proficiency in code generation. Un- fortunately, these models share a we”。本地论文未给出具体系统结果到公开记录、公开 PoC/trigger/replay 或公开 benchmark ground truth 的可定位对齐。",medium,no,OY,2026-08-24,OY,2026-08-24,benchmark ground truth / public material,False
U41,primary system shape,qc_agreement,R2-203,A190,R2-203,A190,qc_agreement,"reproduction-, validation-, and repair-centered agent",p.12; papers/A190.pdf,"论文将主要系统任务表述为“ABLE 1: Validation Dataset Results ID CWE Found Alerts FP Method Ruleset GHSA-3crj-w4f5-gwh4 CWE-74✓2 0 TICR 3 GHSA-5ff8-jcf9-fw62 CWE-79✓1 0 TICR 2 GHSA-8j8c-7jfh-h6hx CWE-94✓1 0 EXH 2 GHSA-cqjg-whmm-8gv6 CWE-400 x 11 4 TICR 4 GHSA-f4hq-453j-p95f CWE-601✓1 0 TICR 2 GHSA-hpr5-wp7c-hh5q∗ CWE-79✓5 0 TICR 4 GHSA-jv35-xqg7-f92r CWE-915✓5 2 TICR 2 GHSA-r4m5-47cq-6qg8 CWE-918✓1 0 TICR 2 GHSA-x67x-98x7-wv26 CWE-78✓1 0 TICR 3 GHSA-xqh8”。按主任务及主要评价对象，agent 控制的中心落在 reproduction-, validation-, and repair-centered agent，而不是由 agent 数量或系统名称推定。",high,no,OY,2026-08-24,OY,2026-08-24,candidate-analysis system,False
FMS1573,principal reported evidence output,qc_agreement,R2-206,A199,R2-206,A199,qc_agreement,candidate judgment,p.6; papers/A199.pdf,"p.6 报告“This structure encourages the model to reason through tool selection and sink-reaching argument construction before producing the request, which is particularly important in our setting because successful exploitation depends on interaction-level plausibility and parameter-level precision [32]. Rather than committing to a single seed immediately, VIPER-MCP executes all four initial candidates once, scores them via Phase III, an”。主要结果是检测、分类或定位候选的判断指标。",high,no,OY,2026-08-24,OY,2026-08-24,reproducible validation,False
U41,principal reported evidence output,qc_agreement,R2-212,A190,R2-212,A190,qc_agreement,candidate judgment,p.13; papers/A190.pdf,p.13 报告“ABLE 3: Evaluation Rulesets for Ablation Study Ruleset Sources/Sinks Call Graph Barriers R1 Base (CodeQL) Base Enabled R2 Base (CodeQL) Enhanced Enabled R3 Custom (SemTaint) Base Enabled R4 Custom (SemTaint) Enhanced Enabled R5 Combined Base Enabled R6 Combined Enhanced Enabled R7 Combined Enhanced Disabled TABLE 4: True Positives by Ruleset Group GroupR 1 R2 R3 R4 R5 R6 R7 Total Percentage (%) Just source/sink - - 81 - 0 - - 8”。主要结果是检测、分类或定位候选的判断指标。,high,no,OY,2026-08-24,OY,2026-08-24,candidate judgment,True
U35,lifecycle coverage,qc_agreement,R2-251,A189,R2-251,A189,qc_agreement,candidate analysis,p.3; papers/A189.pdf,"candidate analysis: p.3“For instance, research on SV-TrustEval-C [25] indicates that current LLMs rely more on pattern matching than genuine logical reasoning in vulnerability analysis. Concurrently, other studies have demonstrated that providing LLMs with richer context (e.g., data-flow and control-flow) significantly enhances their de- tection performance [26] [27] [28].”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",high,no,OY,2026-08-24,OY,2026-08-24,candidate analysis;reporting and audit,False
U35,cross-stage capability,qc_agreement,R2-270,A189,R2-270,A189,qc_agreement,no qualifying label observed,p.12; papers/A189.pdf,"论文描述的相关流程为“Conclusion Addressing the fundamental deficiencies of existing LLM-assisted vulnerability analysis methods—which are passive, stateless, and confined to isolated contexts—this paper introduces vEcho, a novel agent framework. Unlike SOTA methods such as IRIS, which aim to optimize the SAST process, vEcho achieves a paradigm shift.”。全文未定位到可核查的“前序信息或反馈 -> 后续动作改变”链条，故不把多模块并列或普通人工评估计为 cross-stage capability。",medium,no,OY,2026-08-24,OY,2026-08-24,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,False
FMS0239,lifecycle coverage,qc_agreement,R2-272,A191,R2-272,A191,qc_agreement,candidate analysis; path and input exploration; execution observation,p.15；p.29；p.32; papers/A191.pdf,"candidate analysis: p.15“The system’s effectiveness emerged from complementary specialization where each component addressed distinct vulnerability patterns across diverse program characteristics (detailed analysis in Appendix A).”；path and input exploration: p.32“This framework represents a collaborative effort between the ATLANTIS -C and ATLANTIS -Java teams, designed to address the limitations of traditional mutation strategies through intelligent, context-aware seed generation.”；execution observation: p.29“We implement this monitoring through a custom Java agent instrumentation called CodeMarkerInstrumentation, which we integrated into our version of Jazzer (Atl-Jazzer).”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",high,no,OY,2026-08-24,OY,2026-08-24,candidate analysis;execution observation;patch validation;path and input exploration;reporting and audit;reproduction and validation,False
U41,cross-stage capability,qc_agreement,R2-277,A190,R2-277,A190,qc_agreement,context aggregation / rule extraction,p.2; papers/A190.pdf,"context aggregation / rule extraction: p.2“The resulting taint specification (sources, sinks, and call edges) is provided to the SAST tool to complete the vulnerability analysis.”。引文分别说明前序信息/反馈如何改变后续检索、生成、验证、记忆或审查动作。",high,no,OY,2026-08-24,OY,2026-08-24,context aggregation / rule extraction;feedback interpretation / loop adjustment;tool routing / strategy routing;validation organization / evidence packaging,False
FMS1316,cross-stage capability,qc_agreement,R2-279,A198,R2-279,A198,qc_agreement,context aggregation / rule extraction; feedback interpretation / loop adjustment,p.5；p.6; papers/A198.pdf,"context aggregation / rule extraction: p.5“Rather than returning raw matches with fixed surrounding lines, the tool applies context-aware retrieval rules: • Function match: If a match occurs inside a function body, the tool returns the complete function source code, giving the agent full visibility into how the matched symbol is used.”；feedback interpretation / loop adjustment: p.6“The loop terminates early if the target crashes on a generated seed; otherwise, the execution feedback (sanitizer output, exit code, and stderr) is passed back to the seed generation agent, which uses it to revise the script for the next round.”。引文分别说明前序信息/反馈如何改变后续检索、生成、验证、记忆或审查动作。",high,no,OY,2026-08-24,OY,2026-08-24,context aggregation / rule extraction;feedback interpretation / loop adjustment;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,False
FMS0362,lifecycle coverage,qc_agreement,R2-288,A192,R2-288,A192,qc_agreement,candidate analysis,p.3; papers/A192.pdf,"candidate analysis: p.3“3 Our Approach Our approach, FDSP, both identifies and resolves vulnerabilities in code generated by an LLM.”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",high,no,OY,2026-08-24,OY,2026-08-24,candidate analysis;patch validation,False
FMS0239,primary system shape,qc_agreement,R2-289,A191,R2-289,A191,qc_agreement,candidate-analysis system,p.16; papers/A191.pdf,"论文将主要系统任务表述为“LM-Augmented Mutator Ensembler Bullseye Directed Fuzzer Custom Format Fuzzer Harness Builder Task SchedulerCorpus Selector Harness Reachability Controller Module LibAFL AFL++ libFuzzer Fuzzer Manager Worker Module … Worker Module … Harness Deep Generator Agents Deep Generator Engine Deep Generator Fuzzer Scripts Seeds Seeds Crash Collector Seeds Collector Tasks, Initial Corpus, Analysis Results, … Corpus POV Potential POV Seeds”。按主任务及主要评价对象，agent 控制的中心落在 candidate-analysis system，而不是由 agent 数量或系统名称推定。",high,no,OY,2026-08-24,OY,2026-08-24,long-horizon pentest and CRS agent,False
U35,primary system shape,qc_agreement,R2-291,A189,R2-291,A189,qc_agreement,candidate-analysis system,p.12; papers/A189.pdf,"论文将主要系统任务表述为“By equipping its core LLM with a comprehensive developer tool suite and an innovative Cognitive Memory Module, vEcho successfully transforms the LLM from a passive classifier into a virtual security expert. This expert is capable of simulating human specialists and performing project-level context-aware deep audits.”。按主任务及主要评价对象，agent 控制的中心落在 candidate-analysis system，而不是由 agent 数量或系统名称推定。",high,no,OY,2026-08-24,OY,2026-08-24,candidate-analysis system,True
FMS1316,external traceability,qc_agreement,R2-292,A198,R2-292,A198,qc_agreement,benchmark ground truth / public material,p.15; papers/A198.pdf,"论文相关事实为“eedSmith: LLM-Driven Seed Synthesis for Directed Fuzzing Conference acronym ’XX, June 03–05, 2018, Woodstock, NY a curated benchmark of known vulnerabilities, no new bugs have been uncovered and, thus, no vulnerability disclosure was neces- sary.”。材料明确使用或发布公开 benchmark/dataset 作为可核查基础，但没有把系统新发现逐项对齐到公开外部记录。",high,no,OY,2026-08-24,OY,2026-08-24,benchmark ground truth / public material,True
U27,lifecycle coverage,qc_agreement,R2-310,A188,R2-310,A188,qc_agreement,candidate analysis; execution observation; reporting and audit,p.1；p.4；p.6; papers/A188.pdf,"candidate analysis: p.1“rgus: Reorchestrating Static Analysis via a Multi-Agent Ensemble for Full-Chain Security Vulnerability Detection Zi Liang1*, Qipeng Xie2*, Jun He3†, Bohuan Xue3, Weizheng Wang1,Yuandao Cai 2,Fei Luo 4,Boxian Zhang 3,Haibo Hu 1†,Kaishun Wu 2 1The Hong Kong Polytechnic University, 2HKUST 3SF Express, 4 Great Bay University Correspondence:hejun@sf-express.com haibo.hu@polyu.edu.hk Abstract R”；execution observation: p.4“All information shown in this figure is derived from actual execution results of Argus. Definition 3.2 (Vulnerability Detection) Given a source node vso ∈ V so and a sink node vsi ∈ V si, a vulnerability in S is defined as a reachable data flow from vso to vsi, denoted as F (vso,vsi) S .”；reporting and audit: p.6“Fol- lowing this analysis, we generate an illustrated hop- by-hop breakdown of the data flow.iii) Document Export, in which all data flow results, verification outcomes, and a structured vulnerability report are exported for final human expert review.”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",high,no,OY,2026-08-24,OY,2026-08-24,candidate analysis;reporting and audit,False
FMS0362,cross-stage capability,qc_agreement,R2-322,A192,R2-322,A192,qc_agreement,feedback interpretation / loop adjustment,p.2; papers/A192.pdf,"feedback interpretation / loop adjustment: p.2“Additionally, a similar technique called Self-Debugging (Chen et al., 2023) enables code generation models to debug initially gener- ated code using feedback from the same LLM, unit test results, or compiler error messages. The feed- back from the LLM explains the code line-by-line, which is then used to refine the generated code.”。引文分别说明前序信息/反馈如何改变后续检索、生成、验证、记忆或审查动作。",high,no,OY,2026-08-24,OY,2026-08-24,context aggregation / rule extraction;feedback interpretation / loop adjustment;validation organization / evidence packaging,False
FMS0239,principal reported evidence output,qc_agreement,R2-325,A191,R2-325,A191,qc_agreement,reproducible validation,p.8; papers/A191.pdf,"p.8 报告“In both modes, teams began with bug discovery by providing a bug-triggering input, known as Proof-of-Vulnerability (PoV), using the provided fuzzing harnesses.”。主要结果是可执行的复现、PoC 或触发验证，而不是单纯候选判断。",high,no,OY,2026-08-24,OY,2026-08-24,reproducible validation,True
U41,lifecycle coverage,qc_agreement,R2-344,A190,R2-344,A190,qc_agreement,candidate analysis; reproduction and validation,p.10；p.13; papers/A190.pdf,"candidate analysis: p.10“For each candidate, the agent traces taint flow from call sites, through external libraries to determine taint semantics.”；reproduction and validation: p.13“We consider a vulnerability detected by SemTaint novel if: (1) there does not exist a GHSA or CVE that documents the vulnerability for the affected package ver- sion, (2) CodeQL’s baseline (R1) cannot discover it, and (3) we can create a proof-of-concept (PoC) to demonstrate its exploitability. Results. At the time of archiving, we completed end-to- end validation on 10 packages within ou”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",high,no,OY,2026-08-24,OY,2026-08-24,candidate analysis;reporting and audit,False
FMS1573,cross-stage capability,qc_agreement,R2-349,A199,R2-349,A199,qc_agreement,no qualifying label observed,p.12; papers/A199.pdf,"论文描述的相关流程为“RQ4 (LLM Combination Comparison) We investigate how the choice of LLM backend affects the fuzzing pipeline. VIPER-MCP employs two categories of LLM roles: (1) theSurrogate Agent, which directly interacts with the MCP server to execute prompts and invoke tools; and (2) theAnalytical LLMs, which operate without contacting the target server and comprise four roles:Prompt Generator, Mutation Scheduler,Strategy Optimizer, andExploit”。全文未定位到可核查的“前序信息或反馈 -> 后续动作改变”链条，故不把多模块并列或普通人工评估计为 cross-stage capability。",medium,no,OY,2026-08-24,OY,2026-08-24,context aggregation / rule extraction;failure reuse / strategy update;feedback interpretation / loop adjustment;governance / human gates / disclosure control;long-horizon state management;tool routing / strategy routing;validation organization / evidence packaging,False
FMS0362,primary system shape,qc_agreement,R2-355,A192,R2-355,A192,qc_agreement,"reproduction-, validation-, and repair-centered agent",p.1; papers/A192.pdf,"论文将主要系统任务表述为“an LLMs Patch Security Issues? Kamel Alrashedy, Abdullah Aljasser, Pradyumna Tambwekar, Matthew Gombolay Georgia Institute of Technology, GA, USA {kalrashedy3,aaljasser3,ptambwekar3}@gatech.edu {matthew.gombolay}@cc.gatech.edu Abstract Large Language Models (LLMs) have shown impressive proficiency in code generation.”。按主任务及主要评价对象，agent 控制的中心落在 reproduction-, validation-, and repair-centered agent，而不是由 agent 数量或系统名称推定。",high,no,OY,2026-08-24,OY,2026-08-24,"reproduction-, validation-, and repair-centered agent",True
U27,external traceability,qc_agreement,R2-356,A188,R2-356,A188,qc_agreement,author-reported external clue,p.1; papers/A188.pdf,"论文相关事实为“were disclosed, marking a sharp rise from the pre- vious year and signaling a rapidly expanding attack surface (CVE Program Report).”。这是作者报告的披露/确认线索，但未同时提供读者可逐项定位的 trigger、replay、PoC 或公开记录链接。",medium,no,OY,2026-08-24,OY,2026-08-24,author-reported external clue,True
FMS0885,lifecycle coverage,qc_agreement,R2-366,A194,R2-366,A194,qc_agreement,candidate analysis,p.1; papers/A194.pdf,"candidate analysis: p.1“et the Trial Begin: A Mock-Court Approach to Vulnerability Detection using LLM-Based Agents Ratnadira Widyasari♦, Martin Weyssow♦, Ivana Clairine Irsan♦, Han Wei Ang♠, Frank Liauw♠ Eng Lieh Ouh♦, Lwin Khin Shar ♦, Hong Jin Kang♣, and David Lo♦ ♦School of Computing and Information Systems, Singapore Management University, Singapore ♠GovTech, Singapore ♣School of Computer Science, Universit”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",high,no,OY,2026-08-24,OY,2026-08-24,candidate analysis;reporting and audit,False
U17,lifecycle coverage,qc_agreement,R2-372,A187,R2-372,A187,qc_agreement,path and input exploration; execution observation; reproduction and validation,p.3；p.10；p.13; papers/A187.pdf,"path and input exploration: p.3“In addition to thedistilled prompt, our system introduces a second prompt layer to promote diversity across islands.”；execution observation: p.10“Figure 5 reports the set overlap of unique GCC failures (as defined by our crash-fingerprinting pipeline in Section 4.4.1).FunFuzz contributes a substantial fraction of failures that are not observed in the Fuzz4All or Kitten runs under the same budget, indicating that the corresponding inputs exercise failure modes that are not consistently reached by the baselines in our setting.”；reproduction and validation: p.13“Where disclosure permits, we include ag- gregated experimental outputs needed to reproduce the reported numbers (e.g., coverage summaries and deduplicated failure fin- gerprints), and we maintain a mapping from confirmed failures to upstream issue IDs.”。这些均是系统实际执行的动作；未将作者或维护者的后续行为计入。",high,no,OY,2026-08-24,OY,2026-08-24,execution observation;path and input exploration;reporting and audit;reproduction and validation,False
U17,external traceability,qc_agreement,R2-376,A187,R2-376,A187,qc_agreement,author-reported external clue,p.13; papers/A187.pdf,"论文相关事实为“Where disclosure permits, we include ag- gregated experimental outputs needed to reproduce the reported numbers (e.g., coverage summaries and deduplicated failure fin- gerprints), and we maintain a mapping from confirmed failures to upstream issue IDs.”。这是作者报告的披露/确认线索，但未同时提供读者可逐项定位的 trigger、replay、PoC 或公开记录链接。",medium,no,OY,2026-08-24,OY,2026-08-24,publicly aligned external trace,False
U27,primary system shape,qc_agreement,R2-378,A188,R2-378,A188,qc_agreement,"reproduction-, validation-, and repair-centered agent",p.6; papers/A188.pdf,"论文将主要系统任务表述为“• Review.At the end of the data flow analysis, we employ a dedicated LLM agent to audit the cor- rectness of candidate vulnerabilities through three sequential steps:i) End-to-End Reachability Anal- ysis, in which the LLM is prompted to determine whether control flow structures (e.g., if/else, switch), exception handling (e.g., try/catch), or data validation mechanisms interrupt or alter the original data flow to the sink.ii) H”。按主任务及主要评价对象，agent 控制的中心落在 reproduction-, validation-, and repair-centered agent，而不是由 agent 数量或系统名称推定。",high,no,OY,2026-08-24,OY,2026-08-24,candidate-analysis system,False
