core_id,record_id,system_alias,task_category,a_level,a_level_reason,e_level,e_level_reason,evidence_object,external_evidence_profile,artifact_available,version_reported,environment_reported,external_confirmation_reported,note
C16,CP082,LLMVD.js,Node.js包漏洞检测、PoC生成与确认,A3,LLMVD.js是multi-stage agent pipeline，可扫描代码、提出漏洞、生成PoC exploit，并通过lightweight execution oracle验证。,E3,PoC exploit、execution oracle validated exploit、reported vulnerabilities、maintainer acknowledgments。; 不能把36个validated exploits都写成已公开确认CVE；不能称其无需任何source-limited review。,系统输出,NA,public metadata status recorded; 敏感PoC可能不公开。,NA,SecBench.js、VulcaN、private real-world dataset、260个近期npm包。,中高：含公开benchmark和近期npm包；36个未记录漏洞仅3个维护者确认，需谨慎。,不能把36个validated exploits都写成已公开确认CVE；不能称其无需任何source-limited review。; source_status: version/artifact/environment fields recorded from public metadata; no independent reproduction claim is made
C17,CP083,Multi-Agent Harnesses,多agent漏洞发现harness优化；真实软件漏洞发现,A4 + A5,AgentFlow用typed graph DSL搜索agent角色、prompt、工具绑定、通信拓扑和协调协议，并用runtime feedback诊断失败后改写harness。,E3,vendor-confirmed zero-day、CVE、sanitizer crash、PoC/reproducer；但需独立核验。; 在独立核验前不能把10个Chrome zero-day当成确定事实写入正文；只能写“论文报告”。,系统输出,NA,论文声明开源https://github.com/berabuddies/agentflow；Chrome PoC/配置因披露限制不公开。,NA,TerminalBench-2；Google Chrome campaign。,很高但NA：论文声称10个Chrome zero-day和2个Critical sandbox-escape CVE。,在独立核验前不能把10个Chrome zero-day当成确定事实写入正文；只能写“论文报告”。; source_status: version/artifact/environment fields recorded from public metadata; no independent reproduction claim is made
C18,CP084,PentestAgent,second_coder_to_code,A4,不同Agent分别承担情报收集、漏洞分析、利用等任务，形成协作式工作流。,E1,已知漏洞环境利用、CTF机器攻破、利用成功率。; 不能声称其解决真实世界开放环境渗透测试；需要区分已知漏洞利用与漏洞挖掘。,任务完成,NA,论文给出GitHub仓库：https://github.com/nbshenxm/pentest-agent；public metadata status recorded; ,NA,VulHub Docker漏洞环境与HackTheBox CTF挑战。,VulHub和HTB具有实践意义，但仍以已知漏洞和靶场为主。,不能声称其解决真实世界开放环境渗透测试；需要区分已知漏洞利用与漏洞挖掘。; source_status: version/artifact/environment fields recorded from public metadata; no independent reproduction claim is made
C19,CP085,LIVA,IoT固件taint-style漏洞检测,A2,LIVA包含taint propagation agent和vulnerability inference agent，结合LLM语义理解、图数据库和聚类优化完成固件漏洞分析。,E0,known vulnerabilities、previously unknown vulnerabilities、CVE/CNVD identifiers。; 不能声称所有64个未知漏洞都已CVE确认；只能写39个获得CVE/CNVD编号。,模型判断,E4a,论文声明公开https://github.com/RingBDStack/LIVA；public metadata status recorded; ,NA,64个IoT firmware samples，11个厂商，含SaTC/Karonte数据集和15个新增固件。,高：真实固件、64个未知漏洞、39个官方CVE/CNVD编号。,不能声称所有64个未知漏洞都已CVE确认；只能写39个获得CVE/CNVD编号。; source_status: version/artifact/environment fields recorded from public metadata; no independent reproduction claim is made
C20,CP089,FirmAgent,second_coder_to_code,A3,包含LLM taint analysis agent和PoC generation agent，围绕固件运行路径进行分析与生成。,E3,真实固件漏洞、PoC、CVE、未知漏洞确认。; 不能泛化为所有IoT固件或全系统环境均有效；需保留rehosting依赖与适用边界。,系统输出,E4a,public metadata status recorded; ,NA,14个真实世界IoT固件。,高：真实IoT固件与CVE证据。,不能泛化为所有IoT固件或全系统环境均有效；需保留rehosting依赖与适用边界。; source_status: version/artifact/environment fields recorded from public metadata; no independent reproduction claim is made
C21,CP094,PANGOLIN,IoT固件漏洞发现与fuzzing,A3,PANGOLIN使用LLM分析API dispatch机制和跨语言调用，并通过response-driven feedback修正parameter specifications。,E2,0-day vulnerability、vendor acknowledged、CVE/CNVD IDs、command injection/XSS/info leak/DoS/arbitrary file operation。; 正式USENIX版本已核验；新发现数量和厂商确认仍按作者报告记录；敏感payload细节不进入公开artifact。,系统输出,E4a,论文声明Open Science DOI:10.6084/m9.figshare.30904379；另有GitHub链接https://github.com/vul337/PANGOLIN.git，public metadata status recorded; ,NA,12个多语言IoT设备，来自8个厂商。,高：真实IoT设备、厂商确认和漏洞编号。,正式USENIX版本已核验；新发现数量和厂商确认仍按作者报告记录；敏感payload细节不进入公开artifact。; source_status: version/artifact/environment fields recorded from public metadata; no independent reproduction claim is made
C22,CP095,TransferFuzz-Pro,漏洞验证、PoC生成、代码复用导致的漏洞传播确认,A3,LLM模拟人类debugging过程，根据程序执行结果迭代分析命令行参数直到到达目标漏洞代码。,E3,CVE-listed vulnerabilities、PoC、crash/triggerability verification、affected binaries。; 不能写成发现38个新漏洞；更准确是识别38个此前未报告的受影响二进制/软件实例。,系统输出,NA,public metadata status recorded; ,NA,AFLGo、SelectFuzz、DAFL相关传播漏洞实例和OCTOPOCs尽可能收集的案例。,高：CVE和Linux发行版真实二进制；但任务是传播验证。,不能写成发现38个新漏洞；更准确是识别38个此前未报告的受影响二进制/软件实例。; source_status: version/artifact/environment fields recorded from public metadata; no independent reproduction claim is made
C23,CP130,Cybench,CTF/cyber range任务求解；漏洞识别与利用能力评估。,A4,论文定义act-execute-update循环，agent执行命令、接收环境observation并用memory继续迭代。,E1,CTF flag/exploit success；部分任务作为真实技能proxy，不等同真实CVE发现。; 不要把CTF成功率等同于真实生产环境漏洞发现率。,任务完成,NA,可得；论文声明code/data公开于cybench.github.io。,NA,Cybench：40个专业级CTF任务，含subtasks。,CTF/cyber range；有专业级任务和真实技能映射，但不是生产系统漏洞挖掘。,不要把CTF成功率等同于真实生产环境漏洞发现率。; source_status: version/artifact/environment fields recorded from public metadata; no independent reproduction claim is made
C24,CP131,BountyBench,Detect、Exploit、Patch三类任务。,A4,agent通过action-observation loop与Kali容器、系统运行时和评估器交互。,E1,真实bug bounty、可执行exploit、patch验证、运行时invariant。; 不要把其40个bounties推广为所有漏洞生态的总体分布。,任务完成,E4b,可得；论文声明code和run logs在bountybench.github.io。,NA,BountyBench：25个系统、40个bounties、120个任务。,高：真实开源系统、公开bug bounty和金额指标。,不要把其40个bounties推广为所有漏洞生态的总体分布。; source_status: version/artifact/environment fields recorded from public metadata; no independent reproduction claim is made
C25,CP132,SEC-bench,PoC generation、vulnerability patching；也包含benchmark自动构建。,A3,manager agent协调builder、exploiter、fixer并根据反馈重新分配任务。,E3,sanitizer触发、PoC artifact、patch后sanitizer消失。; 不要把SEC-bench扩展为覆盖全部漏洞类型或全部语言生态。,系统输出,NA,可得；论文给出GitHub、HuggingFace dataset和leaderboard。,NA,SEC-bench：200个已验证真实CVE实例。,高：真实CVE、真实开源项目，但聚焦C/C++ memory safety。,不要把SEC-bench扩展为覆盖全部漏洞类型或全部语言生态。; source_status: version/artifact/environment fields recorded from public metadata; no independent reproduction claim is made
C26,CP133,CyberGym,PoC生成/漏洞复现；扩展到open-ended漏洞发现。,A3 + A4 + A5,agent提交PoC到环境，接收执行反馈，并在不同难度设置下完成复现任务。,E3,sanitizer crash、pre/post-patch差异、PoC、zero-day disclosure。; 不要把20%左右成功率推广到非memory-safety或非OSS-Fuzz场景。,系统输出,E4b,项目页可追溯；specific artifact status not assigned in public metadata; public metadata status recorded; ,NA,CyberGym：1507个实例，188个项目。,很高：真实OSS-Fuzz漏洞、真实项目、零日发现与披露。,不要把20%左右成功率推广到非memory-safety或非OSS-Fuzz场景。; source_status: version/artifact/environment fields recorded from public metadata; no independent reproduction claim is made
C27,NA,AgentFuzz,agent应用中的taint-style漏洞发现；directed greybox fuzzing。,A4,使用LLM生成functionality-specific seed prompts，并用multifaceted feedback指导fuzzing。,N/A,0-day、PoC prompt、code injection/SQLi/SSRF/SSTI/CMDi、CVE。; 不要把AgentFuzz等同于通用软件漏洞挖掘；对象是LLM-based agent应用。,治理风险,E4a,可得；论文Open Science称公开源码、数据和baseline。,NA,20个真实开源agent应用。,高：开源agent应用、确认漏洞和CVE。,不要把AgentFuzz等同于通用软件漏洞挖掘；对象是LLM-based agent应用。; source_status: version/artifact/environment fields recorded from public metadata; no independent reproduction claim is made
C28,CP206,FuzzingBrain V2,CRS / vulnerability discovery / reproduction,A4,"Multi-agent CRS workflow coordinates vulnerability discovery, reproduction, and reporting across OSS-Fuzz/AIxCC-style targets.",E3,Reports fuzzer-driven reproduction and vulnerability evidence; maintainer/CVE-related statements remain source-limited and do not assign E4c.,系统输出,E4a,arXiv PDF/HTML/source available; project artifact not assigned from current public metadata.,NA,OSS-Fuzz / AIxCC-style open-source software context.,Author-reported maintainer/CVE-related clues are recorded at source level only.,"No claim-level E4c assigned without aligned artifact, version, environment, and external confirmation."
C29,CP207,DrillAgent,PoV generation / SEC-bench,A3,"Uses execution-state-aware hypothesis, verification, and refinement loops for PoV generation.",E3,Produces PoV/replay-oriented evidence on SEC-bench; benchmark ground truth is recorded as E4b rather than claim-level E4c.,系统输出,E4b,not assigned from current public metadata.,NA,SEC-bench CVE/PoV benchmark context.,Benchmark ground truth supports E4b; no claim-level E4c is assigned.,Benchmark-based evidence strengthens PoV/replay discussion but does not change E4c conclusion.
C30,CP208,OSS-CRS,CRS / real OSS security,A4,"AIxCC-style CRS orchestration coordinates analysis, fuzzing, PoV generation, and reporting for real OSS targets.",E3,Reports PoV/reproduction-oriented system outputs and unknown-bug claims; external confirmation remains source-limited.,系统输出,E4a,project page linked from arXiv; public availability recorded at source level.,NA,AIxCC-style CRS on real OSS projects.,Author-reported previously unknown OSS bug claims are recorded at source level only.,Unknown-vulnerability claims remain source-limited and do not assign E4c.
C31,CP209,GONDAR,Java vulnerability discovery / fuzzing,A4,"Combines LLM-assisted sink filtering, agent workflow, and fuzzing context for Java vulnerability discovery.",E3,Reports seed/PoC-style exploit evidence and zero-day-related claims; source-limited confirmation does not assign E4c.,系统输出,E4a,arXiv landing page and PDF/source available; no separate public artifact assigned in this release.,NA,Java benchmarks and OSS-CRS deployment context.,Author-reported zero-day-related claims are recorded at source level only.,Source-limited external confirmation remains E4a; no E4c assigned.
