core_id,record_id,system_alias,title,publication_status,boundary_role,materials_to_review,coder2_strongest_evidence_output,coder2_decision_reason,coder2_uncertainty_note
C20,CP089,FirmAgent,FirmAgent: leveraging fuzzing to assist LLM agents with IoT firmware vulnerability discovery,not_publicly_available,standard_core_entry,Review the public paper and any public artifact or project materials for record CP089 / title: FirmAgent: leveraging fuzzing to assist LLM agents with IoT firmware vulnerability discovery. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,externally traceable material,FirmAgent 结合 fuzzing 与 LLM taint/PoC agent，报告 140 个未知 IoT 漏洞和 17 个 CVE，且 PoC 有效性有统计结果。,未逐项打开 CVE；不写入任何 PoC 或设备细节。
C21,CP094,PANGOLIN,PANGOLIN: fuzzing multilingual IoT firmware with LLM-driven code analysis,not_publicly_available,standard_core_entry,Review the public paper and any public artifact or project materials for record CP094 / title: PANGOLIN: fuzzing multilingual IoT firmware with LLM-driven code analysis. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,externally traceable material,PANGOLIN 在 12 个多语言 IoT 设备上发现 68 个零日，论文称漏洞均已报告并获厂商确认/acknowledgment。,未逐个核验厂商公告；公开材料主要提供汇总性外部追踪。
C22,CP095,TransferFuzz-Pro,TransferFuzz-pro: LLM-driven code debugging for verifying propagated vulnerability,journal article,standard_core_entry,Review the public paper and any public artifact or project materials for record CP095 / title: TransferFuzz-pro: LLM-driven code debugging for verifying propagated vulnerability. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,reproducible validation,TransferFuzz-Pro 面向 CVE 传播验证，自动生成 PoC 并用二进制级 instrumentation 验证目标软件中漏洞可触发性。,未实际复现 PoC；判定依据为论文对 PoC 生成、target binary 和验证流程的公开描述。
C23,CP130,Cybench,Cybench: A Framework for Evaluating Cybersecurity Capabilities and Risks of Language Models,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP130 / title: Cybench: A Framework for Evaluating Cybersecurity Capabilities and Risks of Language Models. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,controlled task completion,Cybench 是开放 CTF/网络安全任务 benchmark，agent 行动由 evaluator 给出成功/失败与子任务评分。,这是能力 benchmark，不等同于目标软件漏洞挖掘的复现或外部披露证据。
C24,CP131,BountyBench,BountyBench: Dollar Impact of AI Agent Attackers and Defenders on Real-World Cybersecurity Systems,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP131 / title: BountyBench: Dollar Impact of AI Agent Attackers and Defenders on Real-World Cybersecurity Systems. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,reproducible validation,BountyBench 公开代码和实验运行日志，系统包含 exploit、patch 文件和 invariants，并通过手工与 CI 验证 exploitable/patchable。,未运行 CI 或核验每个 bounty；理由不含 exploit 细节。
C25,CP132,SEC-bench,SEC-bench: Automated Benchmarking of LLM Agents on Real-World Software Security Tasks,preprint_or_arxiv_from_local_metadata,standard_core_entry,Review the public paper and any public artifact or project materials for record CP132 / title: SEC-bench: Automated Benchmarking of LLM Agents on Real-World Software Security Tasks. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,reproducible validation,SEC-bench 自动构造带 harness 的仓库，在隔离环境中复现漏洞，并提供 verified PoC artifacts 与 validated patches、代码和数据集。,未执行 artifact；依据公开论文的自动复现/补丁验证流程。
C26,CP133,CyberGym,CyberGym: Evaluating AI Agents' Cybersecurity Capabilities with Real-World Vulnerabilities at Scale,preprint/project page,standard_core_entry,Review the public paper and any public artifact or project materials for record CP133 / title: CyberGym: Evaluating AI Agents' Cybersecurity Capabilities with Real-World Vulnerabilities at Scale. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,reproducible validation,CyberGym 公开代码/数据集，要求 agent 生成 PoC tests；成功标准是 pre-patch 触发而 post-patch 不触发。,Zotero 未匹配全文，依据 arXiv 与项目页；未运行具体 benchmark 实例。
C27,GB001,AgentFuzz,Make Agent Defeat Agent: Automatic Detection of Taint-Style Vulnerabilities in LLM-Based Agents,peer_reviewed,governance_boundary_case,Review the public USENIX Security 2025 paper and public Open Science artifact for GB001 / AgentFuzz. C27 is included as a governance boundary case rather than the target-software vulnerability-evidence main line; independently judge whether the strongest evidence output should be coded as governance boundary case under evidence_output_codebook.md. Do not consult original labels or adjudication files before independent coding.,governance boundary case,AgentFuzz 研究 LLM-based agents 本身的 taint-style 漏洞与披露风险，更适合作为治理/滥用/安全边界案例，而非目标软件漏洞挖掘主线。,虽然论文报告 CVE，但 row 的 boundary_role 与研究对象均指向治理边界；按边界案例编码。
C28,CP206,FuzzingBrain V2,FuzzingBrain V2: A Multi-Agent LLM System for Automated Vulnerability Discovery and Reproduction,verified_by_official_source,standard_core_entry,Review the public paper and any public artifact or project materials for record CP206 / title: FuzzingBrain V2: A Multi-Agent LLM System for Automated Vulnerability Discovery and Reproduction. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,externally traceable material,FuzzingBrain V2 报告真实部署中发现 29 个零日，均被 maintainer 确认并修复，其中 2 个分配 CVE。,未逐个核验 maintainer/CVE 链接；不记录漏洞细节。
C29,CP207,DrillAgent,Execution-State-Aware LLM Reasoning for Automated Proof-of-Vulnerability Generation,verified_by_official_source,standard_core_entry,Review the public paper and any public artifact or project materials for record CP207 / title: Execution-State-Aware LLM Reasoning for Automated Proof-of-Vulnerability Generation. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,reproducible validation,DrillAgent 以执行状态反馈生成 PoV，在 SEC-bench CVE 任务上用 coverage 与 sanitizer crash validation 验证。,未检查生成 PoV 文件；判定依据为论文中的执行验证与 benchmark 结果。
C30,CP208,OSS-CRS,OSS-CRS: Liberating AIxCC Cyber Reasoning Systems for Real-World Open-Source Security,verified_by_official_source,standard_core_entry,Review the public paper and any public artifact or project materials for record CP208 / title: OSS-CRS: Liberating AIxCC Cyber Reasoning Systems for Real-World Open-Source Security. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,externally traceable material,OSS-CRS 公开 CRS 平台并在 OSS-Fuzz 项目中发现 10 个未知 bug，部分已修复/确认，且通过 GitHub Security Advisories、SourceForge 或邮件披露。,公开 claim chain 因披露窗口/细节保护并不完整；未写入 PoV 或补丁细节。
C31,CP209,GONDAR,Contextualizing Sink Knowledge for Java Vulnerability Discovery,verified_by_official_source,standard_core_entry,Review the public paper and any public artifact or project materials for record CP209 / title: Contextualizing Sink Knowledge for Java Vulnerability Discovery. Use evidence_output_codebook.md to code the strongest evidence output. Do not consult original labels or adjudication files before independent coding.,runtime safety signal,GONDAR 使用 sink-centric fuzzing、运行反馈和 PoC synthesis 在 Java benchmark/OSS-CRS 场景发现漏洞，公开摘要支持运行时安全信号。,Zotero 未匹配全文，仅依据 arXiv 摘要；零日/OSS-CRS 外部链未独立核验，故保守不升到外部追踪。
