record_id,title,year,authors,source_type,venue_or_source,doi_or_url,corpus_layer,task_category,exclusion_reason,note
CP011,Vulnerability assessment of LLM-generated smart contracts in ethereum,2025,NA,conferencePaper,Zotero/FuLei518/project merged candidate,https://ceur-ws.org/Vol-4075/paper1.pdf,Background,Benchmark/Evaluation,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP012,Collaborative LLM reasoning for vulnerability detection in smart contracts,2025-10-28,NA,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-8973-8,Supporting,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP013,Bridging the gap between LLMs and structured program vulnerability analysis: an agent reasoning approach with first-order logic modeling,2025,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://www.sciencedirect.com/science/article/abs/pii/S0957417425037212,Supporting,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP014,UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report,2025-10-30,NA,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-6687-6,Core,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP015,ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis,2025-11-2,NA,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-5397-5,Core,Localization,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP016,Should we evaluate LLM based security analysis approaches on open source systems?,2025-11-16,NA,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3503-5733-2,Background,Benchmark/Evaluation,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP017,Explaining software vulnerabilities with large language models,2025-11-16,NA,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-8503-7,Background,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP018,"An empirical evaluation of LLM-based approaches for code vulnerability detection: RAG, SFT, and dual-agent systems",2025-11-10,NA,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-9948-5,Supporting,Benchmark/Evaluation,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP019,LEGEM: a scalable and adversarial-resilient framework for cross-platform IoT binary vulnerability detection,2026,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://ieeexplore.ieee.org/abstract/document/11235936,Background,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP020,Towards more accurate static analysis for taint-style bug detection in linux kernel,2025,NA,conferencePaper,Zotero/FuLei518/project merged candidate,https://www.cs.ucr.edu/~zhiyunq/pub/ase25_buglens.pdf,Background,Validation,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP021,VerilogLAVD: LLM-aided rule generation for vulnerability detection in verilog,2026,NA,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2508.13092,Background,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP022,Real-world code vulnerability detection framework: from data preprocessing to multi-feature fusion detection,2025,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://ieeexplore.ieee.org/abstract/document/11134102,Background,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP023,Examining the feasibility and influencing factors of large language models in source code security analysis,2025,NA,thesis,Zotero/FuLei518/project merged candidate,https://stars.library.ucf.edu/etd2024/340/,Background,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP024,HyFuzz: a hybrid AI-enhanced vulnerability detection framework,2025,NA,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-9788-7,Background,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP025,Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection,2025,NA,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2511.12164,Core,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP026,Advancing binary code similarity detection via context-content fusion and LLM verification,2025,NA,conferencePaper,Zotero/FuLei518/project merged candidate,https://gentlecp.github.io/pdfs/Co2FuLL_ASE_2025.pdf,Background,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP027,Exploring static taint analysis in LLMs:a dynamic benchmarking framework for measurement and enhancement,2025,NA,conferencePaper,Zotero/FuLei518/project merged candidate,https://yuanxzhang.github.io/paper/LLMTaint-ase25.pdf,Supporting,Benchmark/Evaluation,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP028,LOSVER: line-level modifiability signal-guided vulnerability detection and classification,2025-11-16,NA,conferencePaper,Zotero/FuLei518/project merged candidate,https://ieeexplore.ieee.org/abstract/document/11334430,Background,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP029,LLM-assisted security vulnerability analysis for educational websites: risk identification via LLM-EduAttackGraph,2025,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://ieeexplore.ieee.org/abstract/document/11258892,Background,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP030,A novel approach for software vulnerability detection based on ensemble learning model,2025,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://www.sciencedirect.com/science/article/abs/pii/S0045790625007918,Background,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP031,"Source code vulnerability detection with LLMs: a systematic evaluation of fine-tuning, and multimodal fusion of code text and software metrics",2025,NA,preprint,Zotero/FuLei518/project merged candidate,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5782211,Background,Benchmark/Evaluation,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP032,LLMs as firmware experts: a runtime-grown tree-of-agents framework,2025,NA,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2511.18438,Supporting,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP033,Large language model based smart contract auditing with LLMBugScanner,2025,NA,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2512.02069,Background,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP034,Large language models cannot reliably detect vulnerabilities in JavaScript: the first systematic benchmark and evaluation,2025,NA,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2512.01255,Background,Benchmark/Evaluation,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP035,Enhancing static vulnerability alert validation using large language models,2025,NA,preprint,Zotero/FuLei518/project merged candidate,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5845441,Supporting,Validation,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP036,BF-WeakWeb-2025: a novel dataset and LLM benchmark for web vulnerability detection in Burkina Faso,2025,NA,conferencePaper,Zotero/FuLei518/project merged candidate,https://ieeexplore.ieee.org/abstract/document/11288830,Background,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP037,Research on AIGC-based vulnerability detection and repair systems,2025-12-5,NA,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-5652-5,Background,Remediation,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP038,Software vulnerability detection based on LLM,2025-12-5,NA,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-1355-9,Background,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP039,Performance of open-source large language models in smart contract vulnerability detection,2025-12-5,NA,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-3806-4,Background,Benchmark/Evaluation,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP040,DeepDesc: integrating retrieval-augmented generation with large language models for smart contract vulnerability detection,2025,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://link.springer.com/article/10.1007/s10664-025-10770-7,Background,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP041,Fine-tuning a vulnerability-specific large language model for a hybrid software vulnerability detection method,2025,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://www.sciencedirect.com/science/article/abs/pii/S0952197625034414,Background,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP042,"Enhancing python code security: a comparison of machine learning, ChatGPT, and static analysis methods",2025-12-6,NA,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:978-1-6654-5756-9,Supporting,Benchmark/Evaluation,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP043,Beyond prompting: the role of phrasing tasks in vulnerability prediction for java,2025-12-08,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://link.springer.com/article/10.1186/s42400-025-00476-0,Background,Benchmark/Evaluation,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP044,A vulnerability detection scheme for smart contracts based on large language models and deep learning techniques,2026,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://openurl.ebsco.com/EPDB%3Agcd%3A11%3A7778651/detailv2?sid=ebsco%3Aplink%3Ascholar&id=ebsco%3Agcd%3A190869272&crl=c&link_origin=scholar.google.com,Background,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP045,Leveraging LLM agents for autonomous web penetration testing targeting SQL injection vulnerability,2025-12-8,NA,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-9447-3,Supporting,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP046,Trust-calibrated multi-stage large language model pipeline for vulnerability assessment in DevSecOps workflows,2025-12-8,NA,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-4536-9,Background,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP047,A benchmark dataset for code-level vulnerability detection and analysis,2025-12-8,NA,conferencePaper,Zotero/FuLei518/project merged candidate,https://ieeexplore.ieee.org/abstract/document/11402559,Background,Benchmark/Evaluation,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP048,A survey on the role of LLMs in AI-based software development: augmentation and latent risks,2025-12-8,NA,conferencePaper,Zotero/FuLei518/project merged candidate,https://ieeexplore.ieee.org/abstract/document/11401846,Excluded,Discovery,主题偏泛软件开发/agent应用安全，不直接服务agentic漏洞挖掘主线,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP049,LLM-based vulnerability detection in decompiled binary code for automated reverse engineering,2026,NA,conferencePaper,Zotero/FuLei518/project merged candidate,https://link.springer.com/chapter/10.1007/978-3-032-22062-2_6,Background,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP050,Unified artificial intelligence and formal reasoning approach to software security,2025-12-10,NA,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-5664-8,Background,Remediation,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP051,Generalizable secure code generation framework for robust software development practices,2025-12-10,NA,conferencePaper,Zotero/FuLei518/project merged candidate,https://ieeexplore.ieee.org/abstract/document/11354349,Excluded,Attribution,主题偏泛软件开发/agent应用安全，不直接服务agentic漏洞挖掘主线,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP052,From lab to reality: a practical evaluation of deep learning models and LLMs for vulnerability detection,2025,NA,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2512.10485,Background,Benchmark/Evaluation,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP053,Research status and analysis of LLM-based methods for code audit,2025-12-12,NA,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-6825-2,Background,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP054,LLM-guided initial seed selection for black-box IoT fuzzing to enhance vulnerability detection,2025-12-14,NA,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-9143-4,Background,Validation,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP055,Poster: boosting inter-procedural vulnerability detection via retrieval-augmented generation,2025-12-14,NA,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-4901-5,Background,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP056,The impact of prompt language and representation on LLM reasoning: a multilingual empirical study,2025,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://ieeexplore.ieee.org/abstract/document/11318327,Excluded,Benchmark/Evaluation,与本文核心范围关系较弱,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP057,A comprehensive assessment of OpenAI’s large language models for detecting vulnerabilities in source code,2026,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://www.sciencedirect.com/science/article/pii/S1877050926001080,Background,Benchmark/Evaluation,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP058,Adaptive hierarchical evaluation of LLMs and SAST tools for CWE prediction in python,2026,NA,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2601.01320,Background,Benchmark/Evaluation,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP059,Source code vulnerability detection based on deep learning: a review,2026-01-04,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://link.springer.com/article/10.1186/s42400-025-00518-7,Background,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP060,Automating fuzz driver generation for deep learning libraries with large language models,2026-01-04,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://link.springer.com/article/10.1186/s42400-025-00532-9,Background,Validation,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP061,All you need is a fuzzing brain: an LLM-powered system for automated vulnerability detection and patching,2025,NA,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2509.07225,Core,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP062,LLM-powered silent bug fuzzing in deep learning libraries via versatile and controlled bug transfer,2025,NA,conferencePaper,Zotero/FuLei518/project merged candidate,https://doi.org/10.1145/3798258,Background,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP063,Hybrid fuzzing with LLM-guided input mutation and semantic feedback,2025-10-27,NA,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-9628-6,Supporting,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP064,ChatHTTPFuzz: large language model-assisted IoT HTTP fuzzing,2025,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://doi.org/10.1007/s13042-024-02527-3,Background,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP065,Intelligent test case generation method for fuzzing IoT protocols based on LLM,2025,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://doi.org/10.1007/s10515-025-00557-x,Supporting,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP066,Mut4All: fuzzing compilers via LLM-synthesized mutators learned from bug reports,2026,NA,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2507.19275,Core,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP067,FuzzCoder: code large language model-based fuzz testing for industrial IoT programs,2025,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://doi.org/10.1109/JIOT.2025.3577602,Supporting,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP068,LLAMA: multi-feedback smart contract fuzzing framework with LLM-guided seed generation,2026,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://doi.org/10.1109/TIFS.2026.3666859,Core,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP069,SDLLMFuzz: dynamic-static LLM-assisted greybox fuzzing for structured input programs,2026,NA,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2604.17750,Supporting,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP070,When software security meets large language models: a survey,2025,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://doi.org/10.1109/JAS.2024.124971,Background,NA,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP071,ProtocolGuard: detecting protocol non-compliance bugs via LLM-guided static analysis and dynamic verification,2026,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://doi.org/10.14722/ndss.2026.240521,Core,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP072,BSFuzzer: context-aware semantic fuzzing for BLE logic flaw detection,2026,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://doi.org/10.14722/ndss.2026.240094,Core,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP073,Building a secure agentic AI application leveraging google's A2A protocol,2025,NA,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2504.16902,Excluded,NA,主题偏泛软件开发/agent应用安全，不直接服务agentic漏洞挖掘主线,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP074,RFCAUDIT: AI agent for auditing protocol implementations against RFC specifications,2025,NA,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2506.00714,Core,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP075,VulAgent: a hypothesis validation-based multi-agent system for software vulnerability detection,2025,NA,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2509.11523,Core,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP076,MALF: a multi-agent LLM framework for intelligent fuzzing of industrial control protocols,2025,NA,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2510.02694,Core,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP077,NeTestLLM: automated network protocol testing with LLM agents,2025,NA,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2510.13248,Core,Benchmark/Evaluation,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP078,PBFuzz: agentic directed fuzzing for PoV generation,2025,NA,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2512.04611,Core,Validation,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP079,VulnLLM-R: specialized reasoning LLM with agent scaffold for vulnerability detection,2025,NA,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2512.07533,Supporting,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP080,Co-RedTeam: orchestrated security discovery and exploitation with LLM agents,2025,NA,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2602.02164,Core,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP081,What makes a good LLM agent for real-world penetration testing?,2025,NA,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2602.17622,Core,Benchmark/Evaluation,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP082,Taint-style vulnerability detection and confirmation for node.js packages using LLM agent reasoning,2025,NA,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2604.20179,Core,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP083,Synthesizing multi-agent harnesses for vulnerability discovery,2025,NA,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2604.20801,Core,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP084,PentestAgent: incorporating LLM agents to automated penetration testing,2025-08-25,NA,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-4007-1410-8,Core,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP085,LIVA: a multi-agent LLM-assisted system for IoT vulnerability analysis,2025,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://doi.org/10.1109/TDSC.2026.3665343,Core,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP086,LLMFuzzTestGen: from automation to robustness via multi-agent LLM-driven fuzzing and feedback loops,2025-11-5,NA,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-6969-3,Supporting,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP087,MultiFuzz: a dense retrieval-based multi-agent system for network protocol fuzzing,2025,NA,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2508.14300,Supporting,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP088,Multi-level protocol consistency verification using large language model agents,2025,NA,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-9590-6,Supporting,Validation,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP089,FirmAgent: leveraging fuzzing to assist LLM agents with IoT firmware vulnerability discovery,2025,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://doi.org/10.14722/ndss.2026.231943,Core,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP090,PREMADC: protocol reverse engineering via multi-agent analysis and deep clustering for industrial control protocols,2026,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://doi.org/10.1109/JIOT.2026.3685605,Supporting,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP091,Semantic bug detection for network protocol implementations (PhD dissertation),2026-04-15,NA,thesis,Zotero/FuLei518/project merged candidate,https://doi.org/10.25394/PGS.32014092,Background,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP092,MARLFuzz: industrial control protocols fuzzing based on multi-agent reinforcement learning,2025,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://doi.org/10.1007/s00607-025-01421-2,Supporting,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP093,OmniFuzz: multi-agent RL-based protocol-aware fuzzing for power IoT devices,2026,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://doi.org/10.1007/s10922-025-09991-4,Supporting,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP094,PANGOLIN: fuzzing multilingual IoT firmware with LLM-driven code analysis,2025,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://www.usenix.org/conference/usenixsecurity26/presentation/jia,Core,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP095,TransferFuzz-pro: LLM-driven code debugging for verifying propagated vulnerability,2025,NA,journalArticle,Zotero/FuLei518/project merged candidate,https://doi.org/10.1109/TSE.2025.3584774,Core,Validation,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP096,WebFuzzGen: LLM-enhanced directed fuzzing for stateful web applications,2025-12-26,NA,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-6992-1,Supporting,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP097,PANGOLIN: Fuzzing Multilingual IoT Firmware with LLM-Driven Code Analysis,2026,NA,conferencePaper,Zotero/FuLei518/project merged candidate,https://www.usenix.org/conference/usenixsecurity26/presentation/jia,Supporting,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP098,LLM-RLFuzz: An Intelligent Fuzzing Framework for IoT Protocol,2026,NA,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:9789819501298,Supporting,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP099,ELFuzz: Efficient Input Generation via LLM-driven Synthesis Over Fuzzer Space,2025,NA,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:978-1-939133-52-6,Background,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP100,CKGFuzzer: LLM-Based Fuzz Driver Generation Enhanced By Code Knowledge Graph,2025-04,NA,conferencePaper,Zotero/FuLei518/project merged candidate,https://ieeexplore.ieee.org/abstract/document/11024256,Supporting,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP101,Building A Secure Agentic AI Application Leveraging Google’s A2A Protocol,2025-12,NA,conferencePaper,Zotero/FuLei518/project merged candidate,https://ieeexplore.ieee.org/abstract/document/11418008,Excluded,NA,主题偏泛软件开发/agent应用安全，不直接服务agentic漏洞挖掘主线,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP102,RFCAudit: AI Agent for Auditing Protocol Implementations Against RFC Specifications,2025-11,NA,conferencePaper,Zotero/FuLei518/project merged candidate,https://ieeexplore.ieee.org/abstract/document/11334718,Supporting,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP103,Leveraging Open-Source LLMs for Zero-Shot Vulnerability Detection: A Comparative Analysis,2025,NA,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:978-3-031-87775-9,Supporting,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP104,MultiFuzz: A Dense Retrieval-based Multi-Agent System for Network Protocol Fuzzing,2025-10,NA,conferencePaper,Zotero/FuLei518/project merged candidate,https://ieeexplore.ieee.org/abstract/document/11315267,Supporting,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
CP105,Automated Model-Based Fuzzing for 5G O-RAN,"十一月 21, 2025",NA,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-4007-1129-9,Supporting,Discovery,NA,context/supporting record; not used for Core quantitative claims unless explicitly coded
