record_id,title,year,source_bucket,source_name,source_type,venue_or_source,doi_or_url,corpus_layer,task_category,screening_decision,deduplication_status,source_trace_note
CP011,Vulnerability assessment of LLM-generated smart contracts in ethereum,2025,zotero,Local Zotero / seed / snowball metadata,conferencePaper,Zotero/FuLei518/project merged candidate,https://ceur-ws.org/Vol-4075/paper1.pdf,Background,Benchmark/Evaluation,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP012,Collaborative LLM reasoning for vulnerability detection in smart contracts,2025-10-28,zotero,Local Zotero / seed / snowball metadata,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-8973-8,Supporting,Discovery,included_supporting,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP013,Bridging the gap between LLMs and structured program vulnerability analysis: an agent reasoning approach with first-order logic modeling,2025,sciencedirect,ScienceDirect / Elsevier,journalArticle,Zotero/FuLei518/project merged candidate,https://www.sciencedirect.com/science/article/abs/pii/S0957417425037212,Supporting,Discovery,included_supporting,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP014,UniFuzz: a unified fuzzing framework for smart contract vulnerability detection with LLMs and audit report,2025-10-30,zotero,Local Zotero / seed / snowball metadata,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-6687-6,Core,Discovery,included_core,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP015,ReForge: a customizable AI-driven framework for end-to-end exploit generation and analysis,2025-11-2,zotero,Local Zotero / seed / snowball metadata,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-5397-5,Core,Localization,included_core,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP016,Should we evaluate LLM based security analysis approaches on open source systems?,2025-11-16,zotero,Local Zotero / seed / snowball metadata,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3503-5733-2,Background,Benchmark/Evaluation,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP017,Explaining software vulnerabilities with large language models,2025-11-16,zotero,Local Zotero / seed / snowball metadata,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-8503-7,Background,Discovery,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP018,"An empirical evaluation of LLM-based approaches for code vulnerability detection: RAG, SFT, and dual-agent systems",2025-11-10,zotero,Local Zotero / seed / snowball metadata,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-9948-5,Supporting,Benchmark/Evaluation,included_supporting,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP019,LEGEM: a scalable and adversarial-resilient framework for cross-platform IoT binary vulnerability detection,2026,ieee,IEEE Xplore,journalArticle,Zotero/FuLei518/project merged candidate,https://ieeexplore.ieee.org/abstract/document/11235936,Background,Discovery,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP020,Towards more accurate static analysis for taint-style bug detection in linux kernel,2025,zotero,Local Zotero / seed / snowball metadata,conferencePaper,Zotero/FuLei518/project merged candidate,https://www.cs.ucr.edu/~zhiyunq/pub/ase25_buglens.pdf,Background,Validation,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP021,VerilogLAVD: LLM-aided rule generation for vulnerability detection in verilog,2026,arxiv,arXiv / CoRR,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2508.13092,Background,Discovery,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP022,Real-world code vulnerability detection framework: from data preprocessing to multi-feature fusion detection,2025,ieee,IEEE Xplore,journalArticle,Zotero/FuLei518/project merged candidate,https://ieeexplore.ieee.org/abstract/document/11134102,Background,Discovery,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP023,Examining the feasibility and influencing factors of large language models in source code security analysis,2025,zotero,Local Zotero / seed / snowball metadata,thesis,Zotero/FuLei518/project merged candidate,https://stars.library.ucf.edu/etd2024/340/,Background,Discovery,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP024,HyFuzz: a hybrid AI-enhanced vulnerability detection framework,2025,zotero,Local Zotero / seed / snowball metadata,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-9788-7,Background,Discovery,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP025,Multi-agent collaborative fuzzing with continuous reflection for smart contracts vulnerability detection,2025,arxiv,arXiv / CoRR,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2511.12164,Core,Discovery,included_core,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP026,Advancing binary code similarity detection via context-content fusion and LLM verification,2025,zotero,Local Zotero / seed / snowball metadata,conferencePaper,Zotero/FuLei518/project merged candidate,https://gentlecp.github.io/pdfs/Co2FuLL_ASE_2025.pdf,Background,Discovery,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP027,Exploring static taint analysis in LLMs:a dynamic benchmarking framework for measurement and enhancement,2025,zotero,Local Zotero / seed / snowball metadata,conferencePaper,Zotero/FuLei518/project merged candidate,https://yuanxzhang.github.io/paper/LLMTaint-ase25.pdf,Supporting,Benchmark/Evaluation,included_supporting,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP028,LOSVER: line-level modifiability signal-guided vulnerability detection and classification,2025-11-16,ieee,IEEE Xplore,conferencePaper,Zotero/FuLei518/project merged candidate,https://ieeexplore.ieee.org/abstract/document/11334430,Background,Discovery,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP029,LLM-assisted security vulnerability analysis for educational websites: risk identification via LLM-EduAttackGraph,2025,ieee,IEEE Xplore,journalArticle,Zotero/FuLei518/project merged candidate,https://ieeexplore.ieee.org/abstract/document/11258892,Background,Discovery,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP030,A novel approach for software vulnerability detection based on ensemble learning model,2025,sciencedirect,ScienceDirect / Elsevier,journalArticle,Zotero/FuLei518/project merged candidate,https://www.sciencedirect.com/science/article/abs/pii/S0045790625007918,Background,Discovery,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP031,"Source code vulnerability detection with LLMs: a systematic evaluation of fine-tuning, and multimodal fusion of code text and software metrics",2025,zotero,Local Zotero / seed / snowball metadata,preprint,Zotero/FuLei518/project merged candidate,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5782211,Background,Benchmark/Evaluation,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP032,LLMs as firmware experts: a runtime-grown tree-of-agents framework,2025,arxiv,arXiv / CoRR,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2511.18438,Supporting,Discovery,included_supporting,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP033,Large language model based smart contract auditing with LLMBugScanner,2025,arxiv,arXiv / CoRR,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2512.02069,Background,Discovery,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP034,Large language models cannot reliably detect vulnerabilities in JavaScript: the first systematic benchmark and evaluation,2025,arxiv,arXiv / CoRR,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2512.01255,Background,Benchmark/Evaluation,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP035,Enhancing static vulnerability alert validation using large language models,2025,zotero,Local Zotero / seed / snowball metadata,preprint,Zotero/FuLei518/project merged candidate,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5845441,Supporting,Validation,included_supporting,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP036,BF-WeakWeb-2025: a novel dataset and LLM benchmark for web vulnerability detection in Burkina Faso,2025,ieee,IEEE Xplore,conferencePaper,Zotero/FuLei518/project merged candidate,https://ieeexplore.ieee.org/abstract/document/11288830,Background,Discovery,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP037,Research on AIGC-based vulnerability detection and repair systems,2025-12-5,zotero,Local Zotero / seed / snowball metadata,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-5652-5,Background,Remediation,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP038,Software vulnerability detection based on LLM,2025-12-5,zotero,Local Zotero / seed / snowball metadata,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-1355-9,Background,Discovery,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP039,Performance of open-source large language models in smart contract vulnerability detection,2025-12-5,zotero,Local Zotero / seed / snowball metadata,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-3806-4,Background,Benchmark/Evaluation,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP040,DeepDesc: integrating retrieval-augmented generation with large language models for smart contract vulnerability detection,2025,springer,SpringerLink,journalArticle,Zotero/FuLei518/project merged candidate,https://link.springer.com/article/10.1007/s10664-025-10770-7,Background,Discovery,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP041,Fine-tuning a vulnerability-specific large language model for a hybrid software vulnerability detection method,2025,sciencedirect,ScienceDirect / Elsevier,journalArticle,Zotero/FuLei518/project merged candidate,https://www.sciencedirect.com/science/article/abs/pii/S0952197625034414,Background,Discovery,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP042,"Enhancing python code security: a comparison of machine learning, ChatGPT, and static analysis methods",2025-12-6,zotero,Local Zotero / seed / snowball metadata,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:978-1-6654-5756-9,Supporting,Benchmark/Evaluation,included_supporting,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP043,Beyond prompting: the role of phrasing tasks in vulnerability prediction for java,2025-12-08,springer,SpringerLink,journalArticle,Zotero/FuLei518/project merged candidate,https://link.springer.com/article/10.1186/s42400-025-00476-0,Background,Benchmark/Evaluation,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP044,A vulnerability detection scheme for smart contracts based on large language models and deep learning techniques,2026,zotero,Local Zotero / seed / snowball metadata,journalArticle,Zotero/FuLei518/project merged candidate,https://openurl.ebsco.com/EPDB%3Agcd%3A11%3A7778651/detailv2?sid=ebsco%3Aplink%3Ascholar&id=ebsco%3Agcd%3A190869272&crl=c&link_origin=scholar.google.com,Background,Discovery,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP045,Leveraging LLM agents for autonomous web penetration testing targeting SQL injection vulnerability,2025-12-8,zotero,Local Zotero / seed / snowball metadata,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-9447-3,Supporting,Discovery,included_supporting,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP046,Trust-calibrated multi-stage large language model pipeline for vulnerability assessment in DevSecOps workflows,2025-12-8,zotero,Local Zotero / seed / snowball metadata,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-4536-9,Background,Discovery,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP047,A benchmark dataset for code-level vulnerability detection and analysis,2025-12-8,ieee,IEEE Xplore,conferencePaper,Zotero/FuLei518/project merged candidate,https://ieeexplore.ieee.org/abstract/document/11402559,Background,Benchmark/Evaluation,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP048,A survey on the role of LLMs in AI-based software development: augmentation and latent risks,2025-12-8,ieee,IEEE Xplore,conferencePaper,Zotero/FuLei518/project merged candidate,https://ieeexplore.ieee.org/abstract/document/11401846,Excluded,Discovery,excluded_with_reason,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP049,LLM-based vulnerability detection in decompiled binary code for automated reverse engineering,2026,springer,SpringerLink,conferencePaper,Zotero/FuLei518/project merged candidate,https://link.springer.com/chapter/10.1007/978-3-032-22062-2_6,Background,Discovery,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP050,Unified artificial intelligence and formal reasoning approach to software security,2025-12-10,zotero,Local Zotero / seed / snowball metadata,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-5664-8,Background,Remediation,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP051,Generalizable secure code generation framework for robust software development practices,2025-12-10,ieee,IEEE Xplore,conferencePaper,Zotero/FuLei518/project merged candidate,https://ieeexplore.ieee.org/abstract/document/11354349,Excluded,Attribution,excluded_with_reason,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP052,From lab to reality: a practical evaluation of deep learning models and LLMs for vulnerability detection,2025,arxiv,arXiv / CoRR,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2512.10485,Background,Benchmark/Evaluation,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP053,Research status and analysis of LLM-based methods for code audit,2025-12-12,zotero,Local Zotero / seed / snowball metadata,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-6825-2,Background,Discovery,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP054,LLM-guided initial seed selection for black-box IoT fuzzing to enhance vulnerability detection,2025-12-14,zotero,Local Zotero / seed / snowball metadata,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-9143-4,Background,Validation,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP055,Poster: boosting inter-procedural vulnerability detection via retrieval-augmented generation,2025-12-14,zotero,Local Zotero / seed / snowball metadata,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-4901-5,Background,Discovery,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP056,The impact of prompt language and representation on LLM reasoning: a multilingual empirical study,2025,ieee,IEEE Xplore,journalArticle,Zotero/FuLei518/project merged candidate,https://ieeexplore.ieee.org/abstract/document/11318327,Excluded,Benchmark/Evaluation,excluded_with_reason,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP057,A comprehensive assessment of OpenAI’s large language models for detecting vulnerabilities in source code,2026,sciencedirect,ScienceDirect / Elsevier,journalArticle,Zotero/FuLei518/project merged candidate,https://www.sciencedirect.com/science/article/pii/S1877050926001080,Background,Benchmark/Evaluation,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP058,Adaptive hierarchical evaluation of LLMs and SAST tools for CWE prediction in python,2026,arxiv,arXiv / CoRR,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2601.01320,Background,Benchmark/Evaluation,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP059,Source code vulnerability detection based on deep learning: a review,2026-01-04,springer,SpringerLink,journalArticle,Zotero/FuLei518/project merged candidate,https://link.springer.com/article/10.1186/s42400-025-00518-7,Background,Discovery,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP060,Automating fuzz driver generation for deep learning libraries with large language models,2026-01-04,springer,SpringerLink,journalArticle,Zotero/FuLei518/project merged candidate,https://link.springer.com/article/10.1186/s42400-025-00532-9,Background,Validation,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP061,All you need is a fuzzing brain: an LLM-powered system for automated vulnerability detection and patching,2025,arxiv,arXiv / CoRR,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2509.07225,Core,Discovery,included_core,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP062,LLM-powered silent bug fuzzing in deep learning libraries via versatile and controlled bug transfer,2025,crossref,DOI / Crossref / publisher-title lookup,conferencePaper,Zotero/FuLei518/project merged candidate,https://doi.org/10.1145/3798258,Background,Discovery,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP063,Hybrid fuzzing with LLM-guided input mutation and semantic feedback,2025-10-27,zotero,Local Zotero / seed / snowball metadata,conferencePaper,Zotero/FuLei518/project merged candidate,urn:isbn:979-8-3315-9628-6,Supporting,Discovery,included_supporting,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP064,ChatHTTPFuzz: large language model-assisted IoT HTTP fuzzing,2025,crossref,DOI / Crossref / publisher-title lookup,journalArticle,Zotero/FuLei518/project merged candidate,https://doi.org/10.1007/s13042-024-02527-3,Background,Discovery,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP065,Intelligent test case generation method for fuzzing IoT protocols based on LLM,2025,crossref,DOI / Crossref / publisher-title lookup,journalArticle,Zotero/FuLei518/project merged candidate,https://doi.org/10.1007/s10515-025-00557-x,Supporting,Discovery,included_supporting,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP066,Mut4All: fuzzing compilers via LLM-synthesized mutators learned from bug reports,2026,arxiv,arXiv / CoRR,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2507.19275,Core,Discovery,included_core,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP067,FuzzCoder: code large language model-based fuzz testing for industrial IoT programs,2025,crossref,DOI / Crossref / publisher-title lookup,journalArticle,Zotero/FuLei518/project merged candidate,https://doi.org/10.1109/JIOT.2025.3577602,Supporting,Discovery,included_supporting,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP068,LLAMA: multi-feedback smart contract fuzzing framework with LLM-guided seed generation,2026,crossref,DOI / Crossref / publisher-title lookup,journalArticle,Zotero/FuLei518/project merged candidate,https://doi.org/10.1109/TIFS.2026.3666859,Core,Discovery,included_core,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP069,SDLLMFuzz: dynamic-static LLM-assisted greybox fuzzing for structured input programs,2026,arxiv,arXiv / CoRR,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2604.17750,Supporting,Discovery,included_supporting,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP070,When software security meets large language models: a survey,2025,crossref,DOI / Crossref / publisher-title lookup,journalArticle,Zotero/FuLei518/project merged candidate,https://doi.org/10.1109/JAS.2024.124971,Background,NA,included_background,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP071,ProtocolGuard: detecting protocol non-compliance bugs via LLM-guided static analysis and dynamic verification,2026,crossref,DOI / Crossref / publisher-title lookup,journalArticle,Zotero/FuLei518/project merged candidate,https://doi.org/10.14722/ndss.2026.240521,Core,Discovery,included_core,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP072,BSFuzzer: context-aware semantic fuzzing for BLE logic flaw detection,2026,crossref,DOI / Crossref / publisher-title lookup,journalArticle,Zotero/FuLei518/project merged candidate,https://doi.org/10.14722/ndss.2026.240094,Core,Discovery,included_core,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
CP073,Building a secure agentic AI application leveraging google's A2A protocol,2025,arxiv,arXiv / CoRR,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2504.16902,Excluded,NA,excluded_with_reason,alternate_version_not_counted,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key. Canonical version crosswalk: CP073 -> CP101 (alternate_version_not_counted)."
CP074,RFCAUDIT: AI agent for auditing protocol implementations against RFC specifications,2025,arxiv,arXiv / CoRR,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2506.00714,Core,Discovery,included_core,alternate_version_not_counted,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key. Canonical version crosswalk: CP074 -> CP102 (alternate_version_not_counted)."
CP075,VulAgent: a hypothesis validation-based multi-agent system for software vulnerability detection,2025,arxiv,arXiv / CoRR,preprint,Zotero/FuLei518/project merged candidate,https://arxiv.org/abs/2509.11523,Core,Discovery,included_core,unique_candidate_record,"Assigned from corpus DOI/URL, venue/source, source_type, and Zotero/reference metadata; CandidateID is the deduplicated record key."
